Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-11,D,Aarti Industries Ord Shs,3.744074,3.744074,3.744074,3.744074,2400.002503,1
1995-01-19,D,Aarti Industries Ord Shs,3.735367,3.831146,3.72666,3.831146,12000.012517,0
1995-02-07,D,Aarti Industries Ord Shs,3.657003,3.744074,3.657003,3.700539,4800.005007,0
1995-02-08,D,Aarti Industries Ord Shs,3.72666,3.72666,3.72666,3.72666,2400.002503,1
1995-02-09,D,Aarti Industries Ord Shs,3.72666,3.72666,3.72666,3.72666,2400.002503,1
1995-02-13,D,Aarti Industries Ord Shs,3.72666,3.72666,3.72666,3.72666,2400.002503,1
1995-02-14,D,Aarti Industries Ord Shs,3.569931,3.569931,3.569931,3.569931,2400.002503,1
1995-02-15,D,Aarti Industries Ord Shs,3.517689,3.517689,3.413203,3.413203,4800.005007,0
1995-02-16,D,Aarti Industries Ord Shs,3.517689,3.517689,3.517689,3.517689,2400.002503,1
1995-02-20,D,Aarti Industries Ord Shs,3.517689,3.517689,3.517689,3.517689,2400.002503,1
1995-02-21,D,Aarti Industries Ord Shs,3.308717,3.308717,3.134574,3.134574,7200.00751,0
1995-02-22,D,Aarti Industries Ord Shs,3.343546,3.343546,3.343546,3.343546,2400.002503,1
1995-02-23,D,Aarti Industries Ord Shs,3.30001,3.308717,3.30001,3.308717,7200.00751,0
1995-02-28,D,Aarti Industries Ord Shs,3.22687,3.22687,3.225128,3.225128,4800.005007,0
1995-03-01,D,Aarti Industries Ord Shs,3.273888,3.273888,3.273888,3.273888,2400.002503,1
1995-03-02,D,Aarti Industries Ord Shs,3.099745,3.099745,3.099745,3.099745,2400.002503,1
1995-03-03,D,Aarti Industries Ord Shs,3.047502,3.047502,3.047502,3.047502,7200.00751,1
1995-03-09,D,Aarti Industries Ord Shs,2.855945,2.855945,2.855945,2.855945,2400.002503,1
1995-03-10,D,Aarti Industries Ord Shs,2.960431,2.960431,2.960431,2.960431,2400.002503,1
1995-03-13,D,Aarti Industries Ord Shs,2.960431,3.134574,2.960431,3.064917,38400.040054,0
1995-03-14,D,Aarti Industries Ord Shs,3.028347,3.132833,3.028347,3.082331,12000.012517,0
1995-03-15,D,Aarti Industries Ord Shs,3.134574,3.134574,3.134574,3.134574,7200.00751,1
1995-03-16,D,Aarti Industries Ord Shs,3.134574,3.134574,3.134574,3.134574,2400.002503,1
1995-03-20,D,Aarti Industries Ord Shs,2.786288,2.960431,2.786288,2.960431,4800.005007,0
1995-03-21,D,Aarti Industries Ord Shs,2.890774,2.892515,2.855945,2.855945,12000.012517,0
1995-03-22,D,Aarti Industries Ord Shs,2.855945,2.855945,2.786288,2.786288,7200.00751,0
1995-03-23,D,Aarti Industries Ord Shs,2.960431,2.960431,2.960431,2.960431,4800.005007,1
1995-03-24,D,Aarti Industries Ord Shs,2.960431,3.030088,2.960431,2.998742,55200.057578,0
1995-03-27,D,Aarti Industries Ord Shs,3.0684,3.0684,3.030088,3.030088,26400.027537,0
1995-03-28,D,Aarti Industries Ord Shs,3.030088,3.134574,3.030088,3.134574,28800.030041,0
1995-03-29,D,Aarti Industries Ord Shs,3.064917,3.134574,3.064917,3.134574,52800.055075,0
1995-03-30,D,Aarti Industries Ord Shs,3.134574,3.169403,3.134574,3.134574,28800.030041,1
1995-03-31,D,Aarti Industries Ord Shs,3.204231,3.204231,3.136315,3.17811,21600.022531,0
1995-04-03,D,Aarti Industries Ord Shs,3.221645,3.221645,3.204231,3.212938,7200.00751,0
