Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-11-21,D,Archean Chemical Industries Ord Shs,450.0,476.0,440.2,458.15,22187351,0
2022-11-22,D,Archean Chemical Industries Ord Shs,460.8,478.0,450.0,454.85,4464605,0
2022-11-23,D,Archean Chemical Industries Ord Shs,458.9,471.65,455.6,464.7,1736495,0
2022-11-24,D,Archean Chemical Industries Ord Shs,468.0,509.0,465.0,502.4,4878787,0
2022-11-25,D,Archean Chemical Industries Ord Shs,495.95,538.8,493.2,534.0,3312638,0
2022-11-28,D,Archean Chemical Industries Ord Shs,527.95,547.0,514.35,539.55,1577078,0
2022-11-29,D,Archean Chemical Industries Ord Shs,542.3,554.45,534.0,539.15,885600,0
2022-11-30,D,Archean Chemical Industries Ord Shs,541.0,543.25,502.6,516.4,469673,0
2022-12-01,D,Archean Chemical Industries Ord Shs,517.9,535.0,514.0,530.85,547914,0
2022-12-02,D,Archean Chemical Industries Ord Shs,530.85,538.8,515.35,521.95,270405,0
2022-12-05,D,Archean Chemical Industries Ord Shs,524.6,533.0,518.0,519.45,410127,0
2022-12-06,D,Archean Chemical Industries Ord Shs,522.05,523.4,502.0,504.9,235149,0
2022-12-07,D,Archean Chemical Industries Ord Shs,505.65,525.0,505.65,514.75,490412,0
2022-12-08,D,Archean Chemical Industries Ord Shs,517.35,534.45,504.2,527.9,422580,0
2022-12-09,D,Archean Chemical Industries Ord Shs,530.55,534.45,516.4,521.2,235446,0
2022-12-12,D,Archean Chemical Industries Ord Shs,520.0,535.0,512.8,533.95,351782,0
2022-12-13,D,Archean Chemical Industries Ord Shs,535.0,554.5,525.0,530.45,741309,0
2022-12-14,D,Archean Chemical Industries Ord Shs,533.15,541.2,515.1,517.3,316805,0
2022-12-15,D,Archean Chemical Industries Ord Shs,519.9,523.65,508.1,513.15,367466,0
2022-12-16,D,Archean Chemical Industries Ord Shs,509.4,514.7,501.0,508.6,509306,0
2022-12-19,D,Archean Chemical Industries Ord Shs,507.95,517.45,507.9,510.3,140417,0
2022-12-20,D,Archean Chemical Industries Ord Shs,512.9,512.95,505.0,510.45,109997,0
2022-12-21,D,Archean Chemical Industries Ord Shs,510.45,514.4,485.0,499.1,326458,0
2022-12-22,D,Archean Chemical Industries Ord Shs,498.05,507.5,471.65,495.4,533055,0
2022-12-23,D,Archean Chemical Industries Ord Shs,485.0,494.0,477.8,486.5,295703,0
2022-12-26,D,Archean Chemical Industries Ord Shs,483.25,496.0,477.0,492.5,195031,0
2022-12-27,D,Archean Chemical Industries Ord Shs,495.0,520.0,490.05,516.75,309484,0
2022-12-28,D,Archean Chemical Industries Ord Shs,517.4,532.8,517.4,524.15,201311,0
2022-12-29,D,Archean Chemical Industries Ord Shs,525.0,528.35,521.25,526.55,293939,0
2022-12-30,D,Archean Chemical Industries Ord Shs,529.2,532.0,522.1,526.25,151449,0
2023-01-02,D,Archean Chemical Industries Ord Shs,528.9,533.95,523.0,525.25,188657,0
2023-01-03,D,Archean Chemical Industries Ord Shs,527.9,530.3,524.0,525.45,85226,0
2023-01-04,D,Archean Chemical Industries Ord Shs,526.5,539.9,523.35,532.95,258179,0
2023-01-05,D,Archean Chemical Industries Ord Shs,534.9,570.8,528.65,558.75,797190,0
2023-01-06,D,Archean Chemical Industries Ord Shs,561.55,578.7,538.65,562.3,524972,0
2023-01-09,D,Archean Chemical Industries Ord Shs,565.15,577.8,558.3,562.5,166981,0
2023-01-10,D,Archean Chemical Industries Ord Shs,565.35,570.0,547.05,559.15,145658,0
2023-01-11,D,Archean Chemical Industries Ord Shs,559.35,573.35,555.15,570.1,165310,0
2023-01-12,D,Archean Chemical Industries Ord Shs,572.65,584.5,565.6,572.4,144471,0
2023-01-13,D,Archean Chemical Industries Ord Shs,575.3,629.0,574.05,615.6,1417432,0
2023-01-16,D,Archean Chemical Industries Ord Shs,619.0,653.6,617.05,628.75,709501,0
2023-01-17,D,Archean Chemical Industries Ord Shs,631.9,639.0,605.0,609.8,219546,0
2023-01-18,D,Archean Chemical Industries Ord Shs,610.95,633.5,610.95,617.4,391405,0
2023-01-19,D,Archean Chemical Industries Ord Shs,617.0,617.0,601.15,602.4,174650,0
2023-01-20,D,Archean Chemical Industries Ord Shs,605.0,616.1,600.25,605.3,224041,0
2023-01-23,D,Archean Chemical Industries Ord Shs,608.35,622.45,604.85,617.8,248054,0
2023-01-24,D,Archean Chemical Industries Ord Shs,615.0,638.0,607.9,622.8,1333094,0
2023-01-25,D,Archean Chemical Industries Ord Shs,622.8,653.4,616.25,639.05,473741,0
2023-01-27,D,Archean Chemical Industries Ord Shs,640.0,658.6,606.95,621.3,317561,0
2023-01-30,D,Archean Chemical Industries Ord Shs,621.9,637.25,618.3,626.9,167060,0
2023-01-31,D,Archean Chemical Industries Ord Shs,629.95,654.9,629.0,650.45,191098,0
2023-02-01,D,Archean Chemical Industries Ord Shs,654.4,668.0,620.1,632.85,163414,0
2023-02-02,D,Archean Chemical Industries Ord Shs,630.8,660.0,626.0,648.35,190407,0
2023-02-03,D,Archean Chemical Industries Ord Shs,651.55,665.0,633.85,651.95,148144,0
2023-02-06,D,Archean Chemical Industries Ord Shs,655.0,679.8,652.1,660.6,251998,0
2023-02-07,D,Archean Chemical Industries Ord Shs,663.95,673.0,657.4,664.75,104797,0
2023-02-08,D,Archean Chemical Industries Ord Shs,668.0,674.8,630.0,633.2,142665,0
2023-02-09,D,Archean Chemical Industries Ord Shs,633.35,639.9,616.55,624.95,179986,0
2023-02-10,D,Archean Chemical Industries Ord Shs,620.0,658.8,620.0,645.2,354949,0
2023-02-13,D,Archean Chemical Industries Ord Shs,677.45,731.8,670.05,676.65,781247,0
