Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-07-25,D,Allied Digital Services Ord Shs,166.25,185.25,154.2,165.075,22463056,0
2007-07-26,D,Allied Digital Services Ord Shs,163.5,169.5,160.05,161.875,6958634,0
2007-07-27,D,Allied Digital Services Ord Shs,159.5,159.5,146.0,151.0,3403284,0
2007-07-30,D,Allied Digital Services Ord Shs,151.025,155.5,144.15,148.925,3286572,0
2007-07-31,D,Allied Digital Services Ord Shs,150.15,165.9,150.15,160.375,6638280,0
2007-08-01,D,Allied Digital Services Ord Shs,157.4,157.4,143.5,145.7,1993772,0
2007-08-02,D,Allied Digital Services Ord Shs,146.0,151.65,143.0,144.475,1695734,0
2007-08-03,D,Allied Digital Services Ord Shs,146.325,150.0,144.275,146.65,696384,0
2007-08-06,D,Allied Digital Services Ord Shs,142.825,157.0,138.0,153.525,1129316,0
2007-08-07,D,Allied Digital Services Ord Shs,155.5,166.25,155.125,159.225,2981610,0
2007-08-08,D,Allied Digital Services Ord Shs,162.5,165.95,158.5,159.85,1868298,0
2007-08-09,D,Allied Digital Services Ord Shs,162.5,164.7,151.5,152.375,1109486,0
2007-08-10,D,Allied Digital Services Ord Shs,150.0,150.85,140.55,149.2,566318,0
2007-08-13,D,Allied Digital Services Ord Shs,152.5,157.0,150.525,153.55,722008,0
2007-08-14,D,Allied Digital Services Ord Shs,154.5,161.0,152.6,157.8,1029712,0
2007-08-16,D,Allied Digital Services Ord Shs,153.0,153.0,142.55,147.5,299670,0
2007-08-17,D,Allied Digital Services Ord Shs,147.3,151.5,141.0,144.35,269018,0
2007-08-20,D,Allied Digital Services Ord Shs,150.5,155.5,149.0,149.95,401114,0
2007-08-21,D,Allied Digital Services Ord Shs,152.5,155.0,137.0,139.525,280988,0
2007-08-22,D,Allied Digital Services Ord Shs,142.625,145.0,136.05,139.2,205812,0
2007-08-23,D,Allied Digital Services Ord Shs,144.25,145.475,139.275,140.5,178972,0
2007-08-24,D,Allied Digital Services Ord Shs,142.5,143.45,138.875,140.075,98378,0
2007-08-27,D,Allied Digital Services Ord Shs,144.875,147.5,142.0,146.025,121738,0
2007-08-28,D,Allied Digital Services Ord Shs,146.25,149.65,145.0,146.175,91676,0
2007-08-29,D,Allied Digital Services Ord Shs,140.5,150.5,140.5,147.95,210150,0
2007-08-30,D,Allied Digital Services Ord Shs,150.0,153.3,148.5,149.7,136114,0
2007-08-31,D,Allied Digital Services Ord Shs,151.95,152.5,147.5,147.9,117030,0
2007-09-03,D,Allied Digital Services Ord Shs,150.0,156.25,148.1,153.375,218922,0
2007-09-04,D,Allied Digital Services Ord Shs,155.35,161.7,153.5,160.05,296174,0
2007-09-05,D,Allied Digital Services Ord Shs,161.5,186.6,161.5,175.9,4292470,0
2007-09-06,D,Allied Digital Services Ord Shs,175.975,179.0,166.55,169.9,1370474,0
2007-09-07,D,Allied Digital Services Ord Shs,169.9,175.45,168.55,170.025,490906,0
2007-09-10,D,Allied Digital Services Ord Shs,166.5,169.925,165.95,166.95,219390,0
2007-09-11,D,Allied Digital Services Ord Shs,168.825,172.5,165.075,166.2,320150,0
2007-09-12,D,Allied Digital Services Ord Shs,169.0,179.25,167.675,175.35,933988,0
2007-09-13,D,Allied Digital Services Ord Shs,176.5,187.5,176.275,180.85,1090062,0
2007-09-14,D,Allied Digital Services Ord Shs,183.0,190.0,175.6,179.625,1551352,0
2007-09-17,D,Allied Digital Services Ord Shs,180.025,185.0,163.5,182.175,590752,0
2007-09-18,D,Allied Digital Services Ord Shs,181.35,186.0,178.05,178.875,292626,0
2007-09-19,D,Allied Digital Services Ord Shs,182.25,184.25,177.5,178.375,307338,0
2007-09-20,D,Allied Digital Services Ord Shs,179.15,179.7,175.0,178.0,150792,0
2007-09-21,D,Allied Digital Services Ord Shs,175.05,182.45,174.0,179.2,202530,0
2007-09-24,D,Allied Digital Services Ord Shs,180.0,182.4,174.05,175.15,82058,0
2007-09-25,D,Allied Digital Services Ord Shs,176.2,183.25,171.75,181.875,223788,0
2007-09-26,D,Allied Digital Services Ord Shs,181.5,182.5,177.25,180.3,126444,0
2007-09-27,D,Allied Digital Services Ord Shs,183.5,185.0,179.025,181.525,112140,0
2007-09-28,D,Allied Digital Services Ord Shs,182.5,191.95,180.2,188.825,512116,0
2007-10-01,D,Allied Digital Services Ord Shs,190.225,210.0,188.0,200.175,905522,0
2007-10-03,D,Allied Digital Services Ord Shs,202.5,207.5,192.7,201.675,337718,0
2007-10-04,D,Allied Digital Services Ord Shs,195.5,200.325,190.45,197.95,86234,0
2007-10-05,D,Allied Digital Services Ord Shs,203.0,203.475,190.25,192.2,52640,0
2007-10-08,D,Allied Digital Services Ord Shs,194.25,194.425,180.65,191.45,112690,0
2007-10-09,D,Allied Digital Services Ord Shs,186.0,198.5,186.0,194.475,59972,0
2007-10-10,D,Allied Digital Services Ord Shs,196.55,201.0,195.0,197.05,84178,0
2007-10-11,D,Allied Digital Services Ord Shs,199.9,200.5,186.0,199.4,39720,0
2007-10-12,D,Allied Digital Services Ord Shs,200.0,209.4,195.025,204.625,71308,0
2007-10-15,D,Allied Digital Services Ord Shs,207.45,225.5,207.4,215.725,173444,0
2007-10-16,D,Allied Digital Services Ord Shs,201.7,225.0,201.7,209.775,143062,0
2007-10-17,D,Allied Digital Services Ord Shs,180.0,209.0,175.025,205.0,69360,0
2007-10-18,D,Allied Digital Services Ord Shs,211.3,215.0,187.5,194.95,24884,0
2007-10-19,D,Allied Digital Services Ord Shs,181.55,198.0,181.55,195.05,44092,0
2007-10-22,D,Allied Digital Services Ord Shs,177.5,208.5,177.5,196.35,14140,0
2007-10-23,D,Allied Digital Services Ord Shs,202.0,208.0,198.0,204.85,122820,0
2007-10-24,D,Allied Digital Services Ord Shs,206.5,213.5,200.05,211.475,137904,0
2007-10-25,D,Allied Digital Services Ord Shs,210.0,215.0,207.5,214.05,56896,0
2007-10-26,D,Allied Digital Services Ord Shs,215.575,222.0,213.125,217.55,89468,0
2007-10-29,D,Allied Digital Services Ord Shs,219.0,220.0,207.575,210.6,13614,0
2007-10-30,D,Allied Digital Services Ord Shs,213.4,215.0,197.75,212.875,20128,0
2007-10-31,D,Allied Digital Services Ord Shs,214.9,219.9,206.25,217.825,27908,0
2007-11-01,D,Allied Digital Services Ord Shs,215.175,217.5,205.25,208.225,19654,0
2007-11-02,D,Allied Digital Services Ord Shs,196.5,213.825,196.5,208.225,11312,0
2007-11-05,D,Allied Digital Services Ord Shs,205.15,215.0,200.525,211.475,29486,0
2007-11-06,D,Allied Digital Services Ord Shs,210.0,224.5,210.0,220.625,36286,0
2007-11-07,D,Allied Digital Services Ord Shs,220.0,225.0,216.0,219.05,32666,0
2007-11-08,D,Allied Digital Services Ord Shs,222.5,222.5,212.5,219.275,19238,0
2007-11-09,D,Allied Digital Services Ord Shs,219.5,222.0,213.325,218.65,4490,0
2007-11-12,D,Allied Digital Services Ord Shs,221.5,234.0,214.0,230.15,43564,0
2007-11-13,D,Allied Digital Services Ord Shs,229.5,249.5,229.5,236.85,31132,0
2007-11-14,D,Allied Digital Services Ord Shs,236.5,244.975,227.5,230.5,14348,0
2007-11-15,D,Allied Digital Services Ord Shs,225.025,237.5,222.525,230.7,23254,0
2007-11-16,D,Allied Digital Services Ord Shs,242.5,256.95,235.0,235.75,48926,0
2007-11-19,D,Allied Digital Services Ord Shs,244.175,244.175,232.0,233.3,13732,0
2007-11-20,D,Allied Digital Services Ord Shs,234.4,241.0,227.5,232.175,13446,0
2007-11-21,D,Allied Digital Services Ord Shs,230.5,235.5,226.55,229.35,5992,0
2007-11-22,D,Allied Digital Services Ord Shs,235.0,235.0,206.075,215.425,15730,0
2007-11-23,D,Allied Digital Services Ord Shs,219.975,240.0,216.0,219.8,3836,0
2007-11-26,D,Allied Digital Services Ord Shs,221.0,235.4,217.5,232.475,12810,0
2007-11-27,D,Allied Digital Services Ord Shs,230.5,230.5,225.0,227.65,23948,0
2007-11-28,D,Allied Digital Services Ord Shs,226.0,231.5,225.0,228.775,23908,0
2007-11-29,D,Allied Digital Services Ord Shs,227.0,235.0,221.05,226.175,8022,0
2007-11-30,D,Allied Digital Services Ord Shs,226.0,237.5,226.0,231.425,14684,0
2007-12-03,D,Allied Digital Services Ord Shs,227.5,237.5,225.0,235.675,11152,0
2007-12-04,D,Allied Digital Services Ord Shs,231.7,236.375,231.0,231.2,1568,0
2007-12-05,D,Allied Digital Services Ord Shs,226.325,235.0,226.325,229.175,4018,0
2007-12-06,D,Allied Digital Services Ord Shs,228.05,234.85,226.5,230.2,13214,0
2007-12-07,D,Allied Digital Services Ord Shs,211.45,270.5,211.45,259.05,142428,0
2007-12-10,D,Allied Digital Services Ord Shs,259.5,263.25,245.5,248.85,13930,0
2007-12-11,D,Allied Digital Services Ord Shs,246.025,254.95,245.525,246.05,6652,0
2007-12-12,D,Allied Digital Services Ord Shs,246.5,254.5,240.5,251.1,12592,0
2007-12-13,D,Allied Digital Services Ord Shs,254.0,267.5,246.725,259.575,34690,0
2007-12-14,D,Allied Digital Services Ord Shs,257.5,310.0,257.5,289.9,68452,0
2007-12-17,D,Allied Digital Services Ord Shs,290.5,337.5,290.5,305.525,43736,0
2007-12-18,D,Allied Digital Services Ord Shs,317.475,320.0,302.0,314.075,20728,0
2007-12-19,D,Allied Digital Services Ord Shs,325.0,345.0,312.5,325.9,36322,0
2007-12-20,D,Allied Digital Services Ord Shs,325.0,388.5,325.0,373.225,180834,0
2007-12-24,D,Allied Digital Services Ord Shs,395.0,395.0,350.075,363.025,83334,0
2007-12-26,D,Allied Digital Services Ord Shs,366.0,370.0,352.5,355.775,21110,0
2007-12-27,D,Allied Digital Services Ord Shs,356.5,384.975,356.5,374.375,65516,0
2007-12-28,D,Allied Digital Services Ord Shs,375.0,382.0,367.5,370.9,25828,0
2007-12-31,D,Allied Digital Services Ord Shs,392.5,408.0,385.0,408.0,74986,0
2008-01-01,D,Allied Digital Services Ord Shs,443.5,448.8,425.0,448.8,112896,0
2008-01-02,D,Allied Digital Services Ord Shs,462.2,493.7,457.5,493.7,103276,0
2008-01-03,D,Allied Digital Services Ord Shs,512.25,518.4,512.25,518.4,70880,0
2008-01-04,D,Allied Digital Services Ord Shs,544.325,544.325,492.5,511.575,141548,0
2008-01-07,D,Allied Digital Services Ord Shs,510.0,537.175,486.0,537.175,172934,0
2008-01-08,D,Allied Digital Services Ord Shs,564.05,564.05,510.325,527.275,110296,0
2008-01-09,D,Allied Digital Services Ord Shs,535.0,535.0,505.075,526.25,115916,0
2008-01-10,D,Allied Digital Services Ord Shs,527.5,549.5,499.95,505.025,91862,0
2008-01-11,D,Allied Digital Services Ord Shs,505.05,505.05,479.775,479.775,71214,0
2008-01-14,D,Allied Digital Services Ord Shs,475.0,503.5,455.8,483.875,9156,0
2008-01-15,D,Allied Digital Services Ord Shs,476.0,508.075,460.5,502.525,305246,0
2008-01-16,D,Allied Digital Services Ord Shs,509.95,509.95,477.4,477.625,121504,0
2008-01-17,D,Allied Digital Services Ord Shs,485.0,489.95,475.0,475.175,81170,0
2008-01-18,D,Allied Digital Services Ord Shs,471.5,486.45,451.45,451.45,2460,0
2008-01-21,D,Allied Digital Services Ord Shs,431.5,435.0,428.9,428.9,22506,0
2008-01-22,D,Allied Digital Services Ord Shs,407.475,407.975,407.475,407.475,30912,1
2008-01-23,D,Allied Digital Services Ord Shs,387.1,427.6,387.1,387.825,58324,0
2008-01-24,D,Allied Digital Services Ord Shs,368.5,400.0,368.45,370.475,22564,0
2008-01-25,D,Allied Digital Services Ord Shs,352.5,389.0,352.025,379.3,57886,0
2008-01-28,D,Allied Digital Services Ord Shs,375.0,398.275,375.0,398.275,47176,0
2008-01-29,D,Allied Digital Services Ord Shs,418.1,418.1,400.0,400.8,5260,0
2008-01-30,D,Allied Digital Services Ord Shs,407.5,420.85,385.5,413.725,70960,0
2008-01-31,D,Allied Digital Services Ord Shs,420.0,434.075,394.55,426.225,16628,0
2008-02-01,D,Allied Digital Services Ord Shs,413.525,440.0,404.95,425.125,36634,0
2008-02-04,D,Allied Digital Services Ord Shs,446.0,446.4,412.5,415.775,46402,0
2008-02-05,D,Allied Digital Services Ord Shs,429.9,429.9,396.075,405.825,2146,0
2008-02-06,D,Allied Digital Services Ord Shs,397.0,422.5,393.0,413.775,4830,0
2008-02-07,D,Allied Digital Services Ord Shs,424.0,424.0,394.0,398.725,7002,0
2008-02-08,D,Allied Digital Services Ord Shs,386.0,409.975,379.0,381.925,14724,0
2008-02-11,D,Allied Digital Services Ord Shs,376.075,393.0,375.0,375.225,10226,0
2008-02-12,D,Allied Digital Services Ord Shs,370.0,377.0,356.525,358.525,28760,0
2008-02-13,D,Allied Digital Services Ord Shs,345.0,360.0,340.9,348.625,6974,0
2008-02-14,D,Allied Digital Services Ord Shs,342.5,362.5,342.5,351.05,4170,0
