Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-08-31,D,Aeroflex Industries Ord Shs,190.0,196.35,162.3,163.25,36098037,0
2023-09-01,D,Aeroflex Industries Ord Shs,164.9,171.45,158.5,165.0,9720028,0
2023-09-04,D,Aeroflex Industries Ord Shs,165.0,167.25,160.35,161.2,3010366,0
2023-09-05,D,Aeroflex Industries Ord Shs,160.5,162.5,153.5,154.15,3460816,0
2023-09-06,D,Aeroflex Industries Ord Shs,155.0,162.5,154.2,159.1,2759974,0
2023-09-07,D,Aeroflex Industries Ord Shs,160.5,161.45,156.25,156.7,1515649,0
2023-09-08,D,Aeroflex Industries Ord Shs,158.45,159.0,155.4,156.6,1008534,0
2023-09-11,D,Aeroflex Industries Ord Shs,158.5,158.9,154.5,154.95,1107364,0
2023-09-12,D,Aeroflex Industries Ord Shs,156.0,157.4,147.2,148.65,1383190,0
2023-09-13,D,Aeroflex Industries Ord Shs,149.3,158.6,145.45,155.75,2802134,0
2023-09-14,D,Aeroflex Industries Ord Shs,157.95,159.8,156.55,157.9,1490449,0
2023-09-15,D,Aeroflex Industries Ord Shs,159.8,159.8,155.5,156.45,925930,0
2023-09-18,D,Aeroflex Industries Ord Shs,156.9,157.5,153.0,153.55,417796,0
2023-09-20,D,Aeroflex Industries Ord Shs,152.1,157.35,151.5,154.15,834708,0
2023-09-21,D,Aeroflex Industries Ord Shs,153.95,156.45,150.5,151.55,610128,0
2023-09-22,D,Aeroflex Industries Ord Shs,151.7,154.25,151.0,151.8,730176,0
2023-09-25,D,Aeroflex Industries Ord Shs,152.25,152.8,146.5,149.05,514346,0
2023-09-26,D,Aeroflex Industries Ord Shs,149.1,151.4,148.25,149.2,337286,0
2023-09-27,D,Aeroflex Industries Ord Shs,149.0,150.0,147.0,148.35,266907,0
2023-09-28,D,Aeroflex Industries Ord Shs,148.6,156.7,148.55,150.85,1206610,0
2023-09-29,D,Aeroflex Industries Ord Shs,151.45,154.0,150.65,152.75,547688,0
2023-10-03,D,Aeroflex Industries Ord Shs,152.6,153.3,150.3,151.5,408303,0
2023-10-04,D,Aeroflex Industries Ord Shs,151.15,152.4,148.0,148.6,507025,0
