Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-11-16,D,Agro Phos India Ord Shs,22.85,22.85,22.85,22.85,0,1
2016-11-18,D,Agro Phos India Ord Shs,23.8,23.8,23.8,23.8,0,1
2016-11-21,D,Agro Phos India Ord Shs,21.15,21.15,21.15,21.15,0,1
2016-11-22,D,Agro Phos India Ord Shs,20.35,20.35,20.35,20.35,0,1
2016-11-23,D,Agro Phos India Ord Shs,20.35,20.35,20.35,20.35,0,1
2016-11-24,D,Agro Phos India Ord Shs,19.5,19.5,19.5,19.5,0,1
2016-11-25,D,Agro Phos India Ord Shs,20.85,20.85,20.85,20.85,0,1
2016-11-28,D,Agro Phos India Ord Shs,21.15,21.15,21.15,21.15,0,1
2016-11-29,D,Agro Phos India Ord Shs,20.95,20.95,20.95,20.95,0,1
2016-11-30,D,Agro Phos India Ord Shs,21.25,21.25,21.25,21.25,0,1
2016-12-01,D,Agro Phos India Ord Shs,21.85,21.85,21.85,21.85,0,1
2016-12-02,D,Agro Phos India Ord Shs,21.15,21.15,21.15,21.15,0,1
2016-12-06,D,Agro Phos India Ord Shs,21.0,21.0,21.0,21.0,0,1
2016-12-07,D,Agro Phos India Ord Shs,20.75,20.75,20.75,20.75,0,1
2016-12-08,D,Agro Phos India Ord Shs,19.9,19.9,19.9,19.9,0,1
2016-12-09,D,Agro Phos India Ord Shs,19.45,19.45,19.45,19.45,0,1
2016-12-12,D,Agro Phos India Ord Shs,19.1,19.1,19.1,19.1,0,1
2016-12-13,D,Agro Phos India Ord Shs,20.85,20.85,20.85,20.85,0,1
2016-12-14,D,Agro Phos India Ord Shs,20.65,20.65,20.65,20.65,0,1
2016-12-15,D,Agro Phos India Ord Shs,20.55,20.55,20.55,20.55,0,1
2016-12-19,D,Agro Phos India Ord Shs,21.0,21.0,21.0,21.0,0,1
2016-12-20,D,Agro Phos India Ord Shs,20.4,20.4,20.4,20.4,0,1
2016-12-21,D,Agro Phos India Ord Shs,20.7,20.7,20.7,20.7,0,1
2016-12-23,D,Agro Phos India Ord Shs,20.4,20.4,20.4,20.4,0,1
2016-12-26,D,Agro Phos India Ord Shs,19.5,19.5,19.5,19.5,0,1
2016-12-27,D,Agro Phos India Ord Shs,19.4,19.4,19.4,19.4,0,1
2016-12-28,D,Agro Phos India Ord Shs,20.1,20.1,20.1,20.1,0,1
