Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-12-14,D,AIA Engineering Ord Shs,76.541014,99.226425,76.541014,97.209065,48181429.282041,0
2005-12-15,D,AIA Engineering Ord Shs,100.868003,103.221589,96.576168,101.135006,17317449.74195,0
2005-12-16,D,AIA Engineering Ord Shs,100.927337,117.085995,98.296858,112.457934,21186484.684297,0
2005-12-19,D,AIA Engineering Ord Shs,111.825037,116.067426,104.052267,108.393547,21584184.678371,0
2005-12-20,D,AIA Engineering Ord Shs,108.779219,108.779219,101.283342,102.568914,6731394.899694,0
2005-12-21,D,AIA Engineering Ord Shs,103.023809,108.185877,102.845807,103.785264,8533979.872834,0
2005-12-22,D,AIA Engineering Ord Shs,104.309382,106.801415,103.073254,103.706151,3029139.954862,0
2005-12-23,D,AIA Engineering Ord Shs,104.230269,107.730983,103.884154,104.971946,3757184.944014,0
2005-12-26,D,AIA Engineering Ord Shs,105.357618,105.397174,100.08677,103.162255,2894264.956872,0
2005-12-27,D,AIA Engineering Ord Shs,101.856905,106.75197,101.856905,105.881736,2017149.969942,0
2005-12-28,D,AIA Engineering Ord Shs,105.416952,105.792735,103.636928,104.408272,1049899.984355,0
2005-12-29,D,AIA Engineering Ord Shs,104.52694,112.022817,104.42805,110.499908,5737504.914505,0
2005-12-30,D,AIA Engineering Ord Shs,111.152583,111.439365,106.069627,106.64319,1549784.976906,0
2006-01-02,D,AIA Engineering Ord Shs,105.278506,108.472659,104.902723,105.683955,512409.992364,0
2006-01-03,D,AIA Engineering Ord Shs,106.405854,106.603634,103.498482,104.299493,637244.990504,0
2006-01-04,D,AIA Engineering Ord Shs,104.823611,112.932607,104.764277,111.439365,1656954.975309,0
2006-01-05,D,AIA Engineering Ord Shs,112.141485,117.105773,107.236532,115.394973,4374619.934813,0
2006-01-06,D,AIA Engineering Ord Shs,115.899313,116.640989,108.976999,110.104347,2300949.965713,0
2006-01-09,D,AIA Engineering Ord Shs,111.152583,113.486392,109.234114,110.005457,695079.989643,0
2006-01-10,D,AIA Engineering Ord Shs,112.339266,123.098519,109.37256,117.966118,8024274.880429,0
2006-01-12,D,AIA Engineering Ord Shs,116.888215,122.950184,109.085778,117.63978,4008769.940265,0
2006-01-13,D,AIA Engineering Ord Shs,117.580446,122.960073,117.580446,118.332012,2545959.962062,0
2006-01-16,D,AIA Engineering Ord Shs,119.627473,121.911837,113.555615,114.277514,1937909.971123,0
2006-01-17,D,AIA Engineering Ord Shs,115.305972,116.690435,109.431894,111.330586,1184459.98235,0
2006-01-18,D,AIA Engineering Ord Shs,112.734827,113.703951,109.768121,110.98447,826819.987679,0
2006-01-19,D,AIA Engineering Ord Shs,111.923927,115.879535,111.152583,112.477712,1291179.98076,0
2006-01-20,D,AIA Engineering Ord Shs,113.525948,113.921509,110.213127,111.162472,549319.991814,0
2006-01-23,D,AIA Engineering Ord Shs,110.638354,112.418378,106.208073,107.483757,619289.990772,0
2006-01-24,D,AIA Engineering Ord Shs,108.838553,120.586708,107.988097,116.868437,3400354.949331,0
