Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-12-23,D,Alkem Laboratories Ord Shs,1369.569976,1403.015272,1345.949856,1371.257128,10984341,0
2015-12-24,D,Alkem Laboratories Ord Shs,1377.509512,1532.280844,1374.532186,1512.233516,5450848,0
2015-12-28,D,Alkem Laboratories Ord Shs,1521.115872,1528.856919,1423.261089,1457.30185,2046162,0
2015-12-29,D,Alkem Laboratories Ord Shs,1458.740891,1481.715924,1423.161845,1454.47339,1333944,0
2015-12-30,D,Alkem Laboratories Ord Shs,1466.829293,1478.639353,1433.086265,1447.228564,622721,0
2015-12-31,D,Alkem Laboratories Ord Shs,1448.965337,1485.288715,1431.597602,1474.024498,774495,0
2016-01-01,D,Alkem Laboratories Ord Shs,1483.700808,1507.519416,1468.814178,1491.739588,508347,0
2016-01-04,D,Alkem Laboratories Ord Shs,1488.563774,1568.058379,1473.776388,1518.585144,1350429,0
2016-01-05,D,Alkem Laboratories Ord Shs,1526.375814,1576.891113,1522.009069,1555.851342,658233,0
2016-01-06,D,Alkem Laboratories Ord Shs,1544.23977,1570.043263,1506.526974,1515.458952,594918,0
2016-01-07,D,Alkem Laboratories Ord Shs,1492.632786,1503.450404,1447.427052,1456.259786,349010,0
2016-01-08,D,Alkem Laboratories Ord Shs,1468.814178,1492.533542,1458.889757,1466.03534,190247,0
2016-01-11,D,Alkem Laboratories Ord Shs,1452.33964,1473.577899,1438.792807,1464.546677,187799,0
2016-01-12,D,Alkem Laboratories Ord Shs,1469.80662,1480.723482,1453.927547,1463.157258,143904,0
2016-01-13,D,Alkem Laboratories Ord Shs,1466.829293,1477.398801,1353.690904,1405.049778,353619,0
2016-01-14,D,Alkem Laboratories Ord Shs,1386.441491,1451.942663,1359.645556,1424.948241,395952,0
2016-01-15,D,Alkem Laboratories Ord Shs,1433.284753,1458.889757,1411.252541,1420.829606,257237,0
2016-01-18,D,Alkem Laboratories Ord Shs,1410.260099,1410.309721,1322.18087,1334.437529,635080,0
2016-01-19,D,Alkem Laboratories Ord Shs,1344.758926,1364.607766,1271.318217,1320.344853,467691,0
2016-01-20,D,Alkem Laboratories Ord Shs,1310.023456,1346.843054,1291.167057,1312.802293,332152,0
2016-01-21,D,Alkem Laboratories Ord Shs,1328.879854,1364.607766,1327.887412,1358.256137,197466,0
2016-01-22,D,Alkem Laboratories Ord Shs,1374.532186,1389.220328,1305.557467,1356.469742,166387,0
2016-01-25,D,Alkem Laboratories Ord Shs,1363.416836,1367.386604,1339.796716,1346.594944,120355,0
2016-01-27,D,Alkem Laboratories Ord Shs,1354.385614,1354.385614,1320.98994,1329.376075,90193,0
