Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-06-23,D,AllCargo Logistics Ord Shs,12.330217,12.70105,10.607695,12.415509,174356397.401887,0
2006-06-25,D,AllCargo Logistics Ord Shs,12.385842,12.867925,12.385842,12.594436,12922519.807439,0
2006-06-26,D,AllCargo Logistics Ord Shs,12.552717,12.710321,10.718945,11.190831,39920479.405139,0
2006-06-27,D,AllCargo Logistics Ord Shs,11.013758,11.162091,10.496445,10.781987,23914919.64364,0
2006-06-28,D,AllCargo Logistics Ord Shs,10.411153,11.662716,10.364799,11.331747,38854999.421015,0
2006-06-29,D,AllCargo Logistics Ord Shs,11.514383,12.3673,11.424456,12.04931,42613639.365007,0
2006-06-30,D,AllCargo Logistics Ord Shs,12.237508,12.738134,12.052092,12.199498,32481839.515983,0
2006-07-03,D,AllCargo Logistics Ord Shs,12.237508,12.3673,12.052092,12.146654,7198399.892735,0
2006-07-04,D,AllCargo Logistics Ord Shs,12.232873,12.328363,12.052092,12.108644,2159039.967828,0
2006-07-05,D,AllCargo Logistics Ord Shs,12.03355,12.608342,11.905612,12.540665,8076599.879649,0
2006-07-06,D,AllCargo Logistics Ord Shs,12.404383,12.977321,12.124404,12.272738,23418799.651033,0
2006-07-07,D,AllCargo Logistics Ord Shs,12.330217,12.556425,11.961237,12.014081,5454399.918723,0
2006-07-10,D,AllCargo Logistics Ord Shs,11.773966,12.293133,11.773966,12.121623,2976359.955649,0
2006-07-11,D,AllCargo Logistics Ord Shs,12.180029,12.3673,12.126258,12.269956,2418079.963968,0
2006-07-12,D,AllCargo Logistics Ord Shs,12.053946,12.385842,11.684039,12.167977,849439.987342,0
2006-07-13,D,AllCargo Logistics Ord Shs,12.054873,12.383988,12.054873,12.137383,1225599.981737,0
2006-07-14,D,AllCargo Logistics Ord Shs,11.885216,12.1448,11.748008,11.875946,928039.986171,0
2006-07-17,D,AllCargo Logistics Ord Shs,11.739664,12.098446,11.406841,11.615435,749399.988833,0
2006-07-18,D,AllCargo Logistics Ord Shs,11.753571,11.785091,11.310424,11.456904,724079.98921,0
2006-07-19,D,AllCargo Logistics Ord Shs,11.514383,11.652518,11.384591,11.405914,1448119.978421,0
2006-07-20,D,AllCargo Logistics Ord Shs,11.660862,11.660862,11.143549,11.249237,1046599.984404,0
2006-07-21,D,AllCargo Logistics Ord Shs,11.145403,11.356779,10.828341,11.015612,234399.996507,0
2006-07-24,D,AllCargo Logistics Ord Shs,11.125008,11.125008,10.462143,10.617893,153319.997715,0
2006-07-25,D,AllCargo Logistics Ord Shs,10.680007,10.828341,10.616039,10.667028,116079.99827,0
