Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-09-08,D,Ameya Precision Engineers Ord Shs,68.4,71.8,65.0,65.4,1648000,0
2022-09-09,D,Ameya Precision Engineers Ord Shs,62.15,62.15,62.15,62.15,16000,1
2022-09-12,D,Ameya Precision Engineers Ord Shs,59.05,59.05,59.05,59.05,4000,1
2022-09-13,D,Ameya Precision Engineers Ord Shs,56.1,56.1,56.1,56.1,20000,1
2022-09-14,D,Ameya Precision Engineers Ord Shs,53.3,58.9,53.3,58.9,448000,0
2022-09-15,D,Ameya Precision Engineers Ord Shs,61.75,61.8,57.0,61.8,524000,0
2022-09-16,D,Ameya Precision Engineers Ord Shs,62.75,64.8,59.0,64.4,180000,0
2022-09-19,D,Ameya Precision Engineers Ord Shs,64.85,66.95,62.8,65.5,108000,0
2022-09-20,D,Ameya Precision Engineers Ord Shs,65.0,66.0,62.25,62.3,156000,0
2022-09-21,D,Ameya Precision Engineers Ord Shs,59.35,63.9,59.2,59.25,72000,0
2022-09-22,D,Ameya Precision Engineers Ord Shs,56.1,56.2,53.35,55.4,68000,0
2022-09-23,D,Ameya Precision Engineers Ord Shs,54.2,54.2,52.5,52.55,48000,0
2022-09-26,D,Ameya Precision Engineers Ord Shs,52.0,52.0,47.5,47.85,100000,0
2022-09-27,D,Ameya Precision Engineers Ord Shs,50.0,57.4,47.5,57.4,148000,0
2022-09-28,D,Ameya Precision Engineers Ord Shs,58.0,64.4,54.8,60.1,120000,0
2022-09-29,D,Ameya Precision Engineers Ord Shs,62.0,62.0,57.65,58.4,44000,0
2022-09-30,D,Ameya Precision Engineers Ord Shs,57.3,59.95,57.0,58.45,24000,0
2022-10-03,D,Ameya Precision Engineers Ord Shs,59.3,59.3,56.0,56.6,48000,0
2022-10-04,D,Ameya Precision Engineers Ord Shs,58.0,58.0,56.25,56.85,16000,0
2022-10-06,D,Ameya Precision Engineers Ord Shs,56.5,56.5,55.55,55.55,16000,0
2022-10-10,D,Ameya Precision Engineers Ord Shs,52.3,54.0,51.85,53.95,28000,0
2022-10-11,D,Ameya Precision Engineers Ord Shs,52.0,52.0,51.85,51.85,12000,0
2022-10-12,D,Ameya Precision Engineers Ord Shs,51.5,51.5,49.5,50.0,36000,0
2022-10-13,D,Ameya Precision Engineers Ord Shs,50.0,50.0,50.0,50.0,8000,1
2022-10-14,D,Ameya Precision Engineers Ord Shs,52.85,52.85,50.7,52.4,24000,0
2022-10-17,D,Ameya Precision Engineers Ord Shs,53.0,55.0,53.0,55.0,28000,0
2022-10-18,D,Ameya Precision Engineers Ord Shs,57.55,57.6,54.95,55.0,36000,0
2022-10-19,D,Ameya Precision Engineers Ord Shs,55.0,56.0,55.0,55.9,20000,0
2022-10-20,D,Ameya Precision Engineers Ord Shs,54.05,54.15,52.3,53.95,48000,0
2022-10-21,D,Ameya Precision Engineers Ord Shs,52.0,52.0,52.0,52.0,12000,1
2022-10-25,D,Ameya Precision Engineers Ord Shs,52.0,52.25,51.3,51.55,24000,0
2022-10-27,D,Ameya Precision Engineers Ord Shs,52.75,56.0,52.75,56.0,32000,0
2022-10-28,D,Ameya Precision Engineers Ord Shs,56.75,57.9,54.3,54.3,24000,0
2022-10-31,D,Ameya Precision Engineers Ord Shs,52.95,53.15,50.05,51.6,84000,0
2022-11-01,D,Ameya Precision Engineers Ord Shs,50.1,51.0,49.7,50.15,32000,0
2022-11-02,D,Ameya Precision Engineers Ord Shs,50.25,51.5,50.25,51.5,16000,0
2022-11-03,D,Ameya Precision Engineers Ord Shs,51.5,57.75,51.5,54.9,48000,0
2022-11-04,D,Ameya Precision Engineers Ord Shs,57.0,64.0,57.0,63.1,224000,0
2022-11-07,D,Ameya Precision Engineers Ord Shs,63.2,63.2,58.5,58.5,32000,0
2022-11-09,D,Ameya Precision Engineers Ord Shs,59.9,59.9,56.75,57.5,20000,0
2022-11-10,D,Ameya Precision Engineers Ord Shs,58.0,61.0,58.0,59.0,32000,0
2022-11-11,D,Ameya Precision Engineers Ord Shs,57.35,58.9,55.5,58.9,36000,0
2022-11-14,D,Ameya Precision Engineers Ord Shs,57.3,57.3,53.8,53.8,12000,0
2022-11-15,D,Ameya Precision Engineers Ord Shs,54.0,55.45,53.3,55.0,16000,0
2022-11-16,D,Ameya Precision Engineers Ord Shs,56.45,59.8,56.45,58.6,20000,0
2022-11-17,D,Ameya Precision Engineers Ord Shs,55.0,55.0,54.0,54.0,12000,0
2022-11-18,D,Ameya Precision Engineers Ord Shs,55.0,55.0,54.5,54.5,8000,0
2022-11-22,D,Ameya Precision Engineers Ord Shs,52.5,52.5,52.0,52.0,16000,0
2022-11-23,D,Ameya Precision Engineers Ord Shs,52.0,52.0,51.2,51.2,8000,0
2022-11-25,D,Ameya Precision Engineers Ord Shs,53.65,53.65,53.65,53.65,4000,1
2022-11-28,D,Ameya Precision Engineers Ord Shs,52.0,52.0,52.0,52.0,12000,1
2022-11-29,D,Ameya Precision Engineers Ord Shs,50.5,51.75,50.05,50.05,40000,0
2022-11-30,D,Ameya Precision Engineers Ord Shs,50.05,51.1,49.7,50.1,44000,0
2022-12-01,D,Ameya Precision Engineers Ord Shs,50.1,51.9,50.0,51.9,16000,0
2022-12-02,D,Ameya Precision Engineers Ord Shs,52.9,52.9,50.0,50.0,24000,0
