Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-11-10,D,Amines And Plasticizers Ord Shs,163.35,163.35,157.0,160.0,8742,0
2023-11-12,D,Amines And Plasticizers Ord Shs,163.85,165.05,159.0,162.6,12350,0
2023-11-13,D,Amines And Plasticizers Ord Shs,162.6,163.2,153.65,157.0,7098,0
2023-11-15,D,Amines And Plasticizers Ord Shs,157.9,164.0,151.2,153.8,7065,0
2023-11-16,D,Amines And Plasticizers Ord Shs,153.25,158.75,153.25,156.1,9783,0
2023-11-17,D,Amines And Plasticizers Ord Shs,153.2,160.45,153.2,157.15,12403,0
2023-11-20,D,Amines And Plasticizers Ord Shs,157.7,160.95,155.1,156.35,6678,0
2023-11-21,D,Amines And Plasticizers Ord Shs,155.15,157.45,155.15,155.7,14336,0
2023-11-22,D,Amines And Plasticizers Ord Shs,157.0,159.05,155.1,155.8,10380,0
2023-11-23,D,Amines And Plasticizers Ord Shs,156.85,157.05,152.95,153.5,16893,0
2023-11-24,D,Amines And Plasticizers Ord Shs,155.8,156.45,149.0,151.2,10988,0
2023-11-28,D,Amines And Plasticizers Ord Shs,158.8,161.0,154.1,158.8,16207,1
2023-11-29,D,Amines And Plasticizers Ord Shs,159.7,160.5,150.0,154.3,12583,0
2023-11-30,D,Amines And Plasticizers Ord Shs,154.05,158.3,150.3,154.55,13411,0
2023-12-01,D,Amines And Plasticizers Ord Shs,154.7,173.65,153.8,163.75,78860,0
2023-12-04,D,Amines And Plasticizers Ord Shs,169.0,173.0,165.55,166.8,27070,0
2023-12-05,D,Amines And Plasticizers Ord Shs,168.05,169.4,162.55,163.25,15008,0
2023-12-06,D,Amines And Plasticizers Ord Shs,165.0,176.4,163.9,173.85,53963,0
2023-12-07,D,Amines And Plasticizers Ord Shs,175.8,179.9,168.15,171.1,23621,0
2023-12-08,D,Amines And Plasticizers Ord Shs,177.0,179.0,170.4,172.15,32272,0
2023-12-11,D,Amines And Plasticizers Ord Shs,168.0,175.25,168.0,172.65,27916,0
2023-12-12,D,Amines And Plasticizers Ord Shs,174.2,174.4,165.0,165.4,14818,0
2023-12-13,D,Amines And Plasticizers Ord Shs,163.5,169.9,158.35,162.15,20002,0
2023-12-14,D,Amines And Plasticizers Ord Shs,165.15,168.1,161.45,163.75,10644,0
2023-12-15,D,Amines And Plasticizers Ord Shs,164.9,168.35,162.15,164.1,11185,0
2023-12-18,D,Amines And Plasticizers Ord Shs,179.9,179.9,161.0,163.75,15936,0
2023-12-19,D,Amines And Plasticizers Ord Shs,160.55,167.1,160.55,163.2,7482,0
2023-12-20,D,Amines And Plasticizers Ord Shs,168.6,168.6,156.1,157.6,22428,0
2023-12-21,D,Amines And Plasticizers Ord Shs,157.55,166.15,155.0,162.85,11938,0
2023-12-22,D,Amines And Plasticizers Ord Shs,162.85,166.95,156.65,158.75,6255,0
2023-12-26,D,Amines And Plasticizers Ord Shs,161.95,167.95,158.4,166.7,37788,0
2023-12-27,D,Amines And Plasticizers Ord Shs,168.7,172.6,166.2,167.1,19442,0
2023-12-28,D,Amines And Plasticizers Ord Shs,170.0,170.45,165.15,167.9,41954,0
2023-12-29,D,Amines And Plasticizers Ord Shs,168.2,169.35,164.15,167.4,15223,0
2024-01-01,D,Amines And Plasticizers Ord Shs,165.95,170.1,165.25,167.95,13183,0
2024-01-02,D,Amines And Plasticizers Ord Shs,169.45,171.85,164.55,168.3,23008,0
2024-01-03,D,Amines And Plasticizers Ord Shs,171.8,173.0,167.9,170.7,80815,0
2024-01-04,D,Amines And Plasticizers Ord Shs,176.0,187.0,172.3,181.8,101607,0
2024-01-05,D,Amines And Plasticizers Ord Shs,182.0,209.0,180.0,202.0,163610,0
2024-01-08,D,Amines And Plasticizers Ord Shs,209.8,235.35,207.05,223.9,248916,0
2024-01-09,D,Amines And Plasticizers Ord Shs,224.85,226.7,208.0,209.25,50162,0
2024-01-10,D,Amines And Plasticizers Ord Shs,206.15,213.45,201.65,208.9,33292,0
2024-01-11,D,Amines And Plasticizers Ord Shs,212.45,223.9,205.05,211.7,46196,0
2024-01-12,D,Amines And Plasticizers Ord Shs,221.95,223.55,212.05,218.1,19664,0
2024-01-15,D,Amines And Plasticizers Ord Shs,218.35,218.7,208.0,209.1,17330,0
2024-01-16,D,Amines And Plasticizers Ord Shs,209.1,216.2,200.0,203.75,18430,0
2024-01-17,D,Amines And Plasticizers Ord Shs,198.35,204.35,193.35,195.55,22014,0
2024-01-18,D,Amines And Plasticizers Ord Shs,199.55,215.0,191.0,210.95,42683,0
2024-01-19,D,Amines And Plasticizers Ord Shs,216.0,216.0,203.35,206.4,21663,0
2024-01-20,D,Amines And Plasticizers Ord Shs,206.4,214.95,205.0,205.9,8401,0
2024-01-23,D,Amines And Plasticizers Ord Shs,218.5,218.5,198.0,199.7,18073,0
2024-01-24,D,Amines And Plasticizers Ord Shs,206.0,206.0,195.1,198.75,12724,0
2024-01-25,D,Amines And Plasticizers Ord Shs,204.5,204.5,198.8,200.85,5683,0
2024-01-29,D,Amines And Plasticizers Ord Shs,208.85,208.85,198.0,205.65,9550,0
2024-01-30,D,Amines And Plasticizers Ord Shs,205.8,206.75,200.1,202.35,5890,0
2024-01-31,D,Amines And Plasticizers Ord Shs,207.45,207.45,198.55,204.3,4637,0
2024-02-01,D,Amines And Plasticizers Ord Shs,202.55,218.0,202.55,210.5,28747,0
2024-02-02,D,Amines And Plasticizers Ord Shs,215.1,218.2,210.7,212.25,20375,0
2024-02-05,D,Amines And Plasticizers Ord Shs,212.25,216.5,193.05,198.3,42943,0
2024-02-06,D,Amines And Plasticizers Ord Shs,200.25,202.9,193.7,195.95,13869,0
2024-02-07,D,Amines And Plasticizers Ord Shs,195.95,204.9,195.25,198.6,12042,0
2024-02-08,D,Amines And Plasticizers Ord Shs,198.6,213.0,197.25,207.05,38876,0
2024-02-09,D,Amines And Plasticizers Ord Shs,211.9,211.9,195.1,205.8,19407,0
2024-02-12,D,Amines And Plasticizers Ord Shs,207.9,207.9,191.0,193.85,15444,0
2024-02-13,D,Amines And Plasticizers Ord Shs,201.0,203.2,193.0,196.0,9532,0
2024-02-14,D,Amines And Plasticizers Ord Shs,195.95,198.45,193.85,196.15,5571,0
2024-02-15,D,Amines And Plasticizers Ord Shs,202.05,203.85,194.05,195.1,8194,0
2024-02-16,D,Amines And Plasticizers Ord Shs,197.45,203.55,194.0,195.65,9512,0
2024-02-19,D,Amines And Plasticizers Ord Shs,199.8,203.0,193.35,198.2,12847,0
