Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-04-10,D,Anjani Portland Cement Ord Shs,234.927252,247.989207,233.047834,243.572575,6770.180926,0
2017-04-11,D,Anjani Portland Cement Ord Shs,245.217066,248.083178,238.263219,245.405007,2341.150273,0
2017-04-12,D,Anjani Portland Cement Ord Shs,249.022887,258.748875,228.819143,241.599186,6795.720747,0
2017-04-13,D,Anjani Portland Cement Ord Shs,246.20376,246.20376,233.282761,234.73931,2823.214397,0
2017-04-17,D,Anjani Portland Cement Ord Shs,235.819975,244.277357,233.987543,235.021223,3233.979854,0
2017-04-18,D,Anjani Portland Cement Ord Shs,235.021223,239.625797,230.228707,230.745547,2934.951115,0
2017-04-19,D,Anjani Portland Cement Ord Shs,243.384633,243.384633,226.281929,229.664881,3720.300616,0
2017-04-20,D,Anjani Portland Cement Ord Shs,242.163011,242.163011,231.168416,234.504383,2655.077241,0
2017-04-21,D,Anjani Portland Cement Ord Shs,234.927252,239.625797,231.685256,235.960932,2368.818413,0
2017-04-24,D,Anjani Portland Cement Ord Shs,238.639103,249.022887,234.927252,244.794197,4790.844786,0
2017-04-25,D,Anjani Portland Cement Ord Shs,257.480268,257.480268,243.384633,243.760517,10677.773563,0
2017-04-26,D,Anjani Portland Cement Ord Shs,253.721432,253.721432,237.182554,238.075277,5192.03281,0
2017-04-27,D,Anjani Portland Cement Ord Shs,236.80667,241.881099,235.866961,237.746379,1479.181309,0
2017-04-28,D,Anjani Portland Cement Ord Shs,234.927252,240.518521,231.168416,234.551368,3480.864792,0
2017-05-02,D,Anjani Portland Cement Ord Shs,240.377564,240.377564,227.644507,234.410412,3744.776278,0
2017-05-03,D,Anjani Portland Cement Ord Shs,228.349289,234.927252,222.945962,229.288998,6432.842455,0
2017-05-04,D,Anjani Portland Cement Ord Shs,225.624133,237.182554,225.624133,233.18879,3762.866984,0
2017-05-05,D,Anjani Portland Cement Ord Shs,235.866961,235.866961,220.831617,227.92642,2386.909119,0
2017-05-08,D,Anjani Portland Cement Ord Shs,220.925588,234.927252,220.925588,228.208333,1477.05299,0
2017-05-09,D,Anjani Portland Cement Ord Shs,225.530162,233.000848,224.637438,229.288998,1007.758777,0
2017-05-10,D,Anjani Portland Cement Ord Shs,232.061139,232.108125,225.624133,228.396274,3679.862565,0
2017-05-11,D,Anjani Portland Cement Ord Shs,233.940557,233.940557,222.75802,225.295235,1628.163599,0
2017-05-12,D,Anjani Portland Cement Ord Shs,221.11353,228.020391,220.831617,225.013322,2444.373717,0
2017-05-15,D,Anjani Portland Cement Ord Shs,225.060307,229.242012,221.771326,224.590453,3205.247556,0
2017-05-16,D,Anjani Portland Cement Ord Shs,230.228707,230.228707,222.945962,225.248249,3869.282906,0
2017-05-17,D,Anjani Portland Cement Ord Shs,228.302303,228.725172,225.530162,226.89274,2018.710031,0
2017-05-18,D,Anjani Portland Cement Ord Shs,230.181721,230.181721,221.301471,223.650744,1484.502105,0
2017-05-19,D,Anjani Portland Cement Ord Shs,221.818311,230.228707,216.133072,225.154278,6188.085835,0
2017-05-22,D,Anjani Portland Cement Ord Shs,222.711035,226.469871,216.321014,221.771326,3646.87363,0
2017-05-23,D,Anjani Portland Cement Ord Shs,221.818311,227.40958,215.193363,217.542635,6048.680978,0
2017-05-24,D,Anjani Portland Cement Ord Shs,212.374236,215.663217,206.970909,210.823716,5587.900038,0
2017-05-25,D,Anjani Portland Cement Ord Shs,207.205836,230.181721,200.158019,220.502719,9220.939598,0
2017-05-26,D,Anjani Portland Cement Ord Shs,222.711035,229.242012,219.04617,223.932657,4704.647889,0
2017-05-29,D,Anjani Portland Cement Ord Shs,229.195027,229.288998,215.005421,216.039101,8954.899794,0
2017-05-30,D,Anjani Portland Cement Ord Shs,215.663217,215.663217,212.374236,214.206668,2102.778609,0
2017-05-31,D,Anjani Portland Cement Ord Shs,214.206668,220.784631,207.205836,209.977978,5229.278382,0
2017-06-01,D,Anjani Portland Cement Ord Shs,209.602094,217.025795,205.796273,208.803342,4387.528443,0
2017-06-02,D,Anjani Portland Cement Ord Shs,212.797105,212.797105,201.708539,208.474443,12362.337601,0
2017-06-05,D,Anjani Portland Cement Ord Shs,206.782967,214.018727,206.735982,211.481512,3193.541804,0
2017-06-06,D,Anjani Portland Cement Ord Shs,211.434527,216.086086,205.796273,206.829953,2349.663547,0
2017-06-07,D,Anjani Portland Cement Ord Shs,207.675691,211.387541,203.916855,208.239516,4141.707665,0
2017-06-08,D,Anjani Portland Cement Ord Shs,214.206668,214.206668,207.769662,211.058643,2548.66132,0
2017-06-09,D,Anjani Portland Cement Ord Shs,218.905213,218.905213,207.675691,209.13224,3278.674541,0
2017-06-12,D,Anjani Portland Cement Ord Shs,221.771326,221.771326,207.06488,207.252822,836.429143,0
2017-06-13,D,Anjani Portland Cement Ord Shs,210.494818,225.906045,210.494818,214.770494,5005.804947,0
2017-06-14,D,Anjani Portland Cement Ord Shs,214.629537,218.482344,212.515192,215.146377,981.154796,0
2017-06-15,D,Anjani Portland Cement Ord Shs,217.025795,223.368831,214.253654,220.925588,4296.010751,0
2017-06-16,D,Anjani Portland Cement Ord Shs,223.932657,223.932657,218.01249,220.314777,1528.132633,0
2017-06-19,D,Anjani Portland Cement Ord Shs,225.389206,226.281929,216.180057,220.314777,3500.019658,0
2017-06-20,D,Anjani Portland Cement Ord Shs,224.543467,224.543467,216.133072,220.59669,1849.508716,0
2017-06-21,D,Anjani Portland Cement Ord Shs,223.039933,223.039933,215.193363,216.414984,3783.086009,0
2017-06-22,D,Anjani Portland Cement Ord Shs,223.650744,223.650744,214.723508,217.119766,1389.791935,0
2017-06-23,D,Anjani Portland Cement Ord Shs,223.650744,223.650744,207.299807,209.461138,3799.048398,0
2017-06-27,D,Anjani Portland Cement Ord Shs,209.555109,211.387541,204.856564,206.595025,1545.15918,0
2017-06-28,D,Anjani Portland Cement Ord Shs,199.406251,209.508123,199.359266,204.104796,1118.431335,0
2017-06-29,D,Anjani Portland Cement Ord Shs,211.387541,211.387541,204.99752,207.111865,1595.174663,0
2017-06-30,D,Anjani Portland Cement Ord Shs,206.688996,206.735982,204.856564,205.561345,2311.353815,0
2017-07-03,D,Anjani Portland Cement Ord Shs,205.843258,216.133072,205.843258,212.797105,5110.09255,0
2017-07-04,D,Anjani Portland Cement Ord Shs,212.32725,218.952199,207.722676,208.803342,2598.676803,0
2017-07-05,D,Anjani Portland Cement Ord Shs,214.582552,214.582552,202.977146,210.635774,4162.990849,0
2017-07-06,D,Anjani Portland Cement Ord Shs,213.126003,219.891908,210.306876,219.140141,2167.692321,0
2017-07-07,D,Anjani Portland Cement Ord Shs,221.72434,240.565506,219.328082,221.583384,18569.578302,0
2017-07-10,D,Anjani Portland Cement Ord Shs,221.677355,225.530162,218.01249,219.609995,419.278731,0
2017-07-11,D,Anjani Portland Cement Ord Shs,220.878602,220.878602,211.575483,214.817479,7869.457395,0
2017-07-12,D,Anjani Portland Cement Ord Shs,219.187126,220.784631,213.501887,214.864465,2420.962214,0
2017-07-13,D,Anjani Portland Cement Ord Shs,215.240348,221.489413,208.709371,213.783799,3426.592672,0
2017-07-14,D,Anjani Portland Cement Ord Shs,211.058643,218.482344,211.058643,212.938061,2827.471034,0
2017-07-17,D,Anjani Portland Cement Ord Shs,216.884839,220.643675,212.609163,216.97881,3290.380293,0
2017-07-18,D,Anjani Portland Cement Ord Shs,210.68276,217.072781,210.68276,215.851159,1749.477749,0
2017-07-19,D,Anjani Portland Cement Ord Shs,220.361762,220.59669,216.227043,218.059475,940.716746,0
2017-07-20,D,Anjani Portland Cement Ord Shs,216.227043,218.153446,215.193363,216.46197,898.150377,0
2017-07-21,D,Anjani Portland Cement Ord Shs,214.723508,217.025795,212.468207,214.535566,1838.867124,0
2017-07-24,D,Anjani Portland Cement Ord Shs,215.193363,215.898145,212.468207,214.723508,868.353919,0
2017-07-25,D,Anjani Portland Cement Ord Shs,215.146377,215.193363,209.555109,212.280265,2727.440068,0
2017-07-26,D,Anjani Portland Cement Ord Shs,215.146377,216.039101,210.964672,214.300639,1121.623813,0
2017-07-27,D,Anjani Portland Cement Ord Shs,215.94513,216.133072,210.494818,213.313945,3309.535159,0
2017-07-28,D,Anjani Portland Cement Ord Shs,214.253654,214.253654,206.407084,209.085254,2978.581643,0
2017-07-31,D,Anjani Portland Cement Ord Shs,212.32725,214.206668,207.440763,211.058643,2247.504262,0
2017-08-01,D,Anjani Portland Cement Ord Shs,208.145545,213.172988,208.145545,210.494818,5162.236352,0
2017-08-02,D,Anjani Portland Cement Ord Shs,222.711035,222.711035,205.796273,213.783799,3536.201071,0
2017-08-03,D,Anjani Portland Cement Ord Shs,212.374236,214.206668,209.320181,213.172988,2276.236561,0
2017-08-04,D,Anjani Portland Cement Ord Shs,211.528498,214.206668,210.024963,212.045338,1013.079573,0
2017-08-07,D,Anjani Portland Cement Ord Shs,215.099392,218.388373,214.253654,215.193363,2013.389235,0
2017-08-08,D,Anjani Portland Cement Ord Shs,210.494818,214.441596,207.675691,210.917687,1816.51978,0
2017-08-09,D,Anjani Portland Cement Ord Shs,209.367167,209.367167,203.447,204.198767,4625.900108,0
2017-08-10,D,Anjani Portland Cement Ord Shs,194.989619,202.977146,183.760096,189.727249,8064.198531,0
2017-08-11,D,Anjani Portland Cement Ord Shs,185.592529,190.760929,179.48442,187.988787,4441.800563,0
2017-08-14,D,Anjani Portland Cement Ord Shs,195.271532,200.111033,187.049078,194.096896,2400.743189,0
2017-08-16,D,Anjani Portland Cement Ord Shs,195.553445,199.030368,193.580056,194.284837,1891.010925,0
2017-08-17,D,Anjani Portland Cement Ord Shs,196.070284,197.291906,192.922259,197.103964,468.230055,0
2017-08-18,D,Anjani Portland Cement Ord Shs,193.580056,196.775066,186.297311,192.640347,2516.736543,0
2017-08-21,D,Anjani Portland Cement Ord Shs,190.807914,199.171324,190.807914,194.848663,2379.460005,0
2017-08-22,D,Anjani Portland Cement Ord Shs,199.688164,199.688164,191.230783,193.908954,2519.929021,0
2017-08-23,D,Anjani Portland Cement Ord Shs,190.103132,196.352197,190.103132,194.56675,1175.895933,0
2017-08-24,D,Anjani Portland Cement Ord Shs,195.459474,205.749287,193.580056,202.225378,2805.123691,0
2017-08-28,D,Anjani Portland Cement Ord Shs,207.675691,224.355526,200.205004,222.100224,7162.855676,0
2017-08-29,D,Anjani Portland Cement Ord Shs,221.771326,229.242012,213.36093,225.765089,7788.581295,0
2017-08-30,D,Anjani Portland Cement Ord Shs,226.000016,270.918107,226.000016,270.918107,275717.26765,0
2017-08-31,D,Anjani Portland Cement Ord Shs,275.287754,278.905633,259.359686,264.058231,155888.683405,0
2017-09-01,D,Anjani Portland Cement Ord Shs,264.058231,267.817067,243.572575,248.459062,34392.561669,0
2017-09-04,D,Anjani Portland Cement Ord Shs,254.614156,255.60085,236.148874,239.719768,26908.32991,0
2017-09-05,D,Anjani Portland Cement Ord Shs,242.444924,249.022887,235.866961,237.981306,14649.215754,0
2017-09-06,D,Anjani Portland Cement Ord Shs,240.095651,240.095651,229.288998,231.591285,14947.180334,0
2017-09-07,D,Anjani Portland Cement Ord Shs,234.927252,234.927252,226.516856,229.570911,9942.439546,0
2017-09-08,D,Anjani Portland Cement Ord Shs,228.44326,247.989207,222.147209,239.343884,28477.964752,0
2017-09-11,D,Anjani Portland Cement Ord Shs,235.25615,250.902305,235.25615,246.579644,10263.815629,0
2017-09-12,D,Anjani Portland Cement Ord Shs,247.143469,250.714363,244.277357,247.002513,9664.693991,0
2017-09-13,D,Anjani Portland Cement Ord Shs,247.895236,248.553033,235.25615,238.404175,10740.558957,0
2017-09-14,D,Anjani Portland Cement Ord Shs,239.625797,246.109789,236.900641,237.887335,3451.068334,0
2017-09-15,D,Anjani Portland Cement Ord Shs,238.075277,243.807502,237.746379,240.565506,4865.335931,0
2017-09-18,D,Anjani Portland Cement Ord Shs,244.324342,246.20376,241.787128,243.666546,1946.347204,0
2017-09-19,D,Anjani Portland Cement Ord Shs,242.444924,251.842014,238.028292,246.861556,8411.114435,0
2017-09-20,D,Anjani Portland Cement Ord Shs,246.250745,248.975902,244.794197,245.358022,2708.285202,0
2017-09-21,D,Anjani Portland Cement Ord Shs,245.311036,248.036193,240.565506,240.894404,9876.461674,0
2017-09-22,D,Anjani Portland Cement Ord Shs,239.719768,242.397939,235.021223,237.652408,12087.784523,0
2017-09-25,D,Anjani Portland Cement Ord Shs,238.498146,238.498146,221.865297,227.832449,14039.452523,0
2017-09-26,D,Anjani Portland Cement Ord Shs,227.832449,233.047834,216.602926,225.530162,8941.065724,0
2017-09-27,D,Anjani Portland Cement Ord Shs,223.7917,232.577979,218.01249,220.032864,10775.676211,0
2017-09-28,D,Anjani Portland Cement Ord Shs,220.925588,229.899809,220.831617,226.047002,3907.592637,0
2017-09-29,D,Anjani Portland Cement Ord Shs,228.349289,231.826212,225.530162,228.302303,666.163669,0
2017-10-03,D,Anjani Portland Cement Ord Shs,228.302303,233.047834,225.530162,225.671118,3012.634738,0
2017-10-04,D,Anjani Portland Cement Ord Shs,227.879434,251.560101,225.765089,236.430786,7029.835774,0
2017-10-05,D,Anjani Portland Cement Ord Shs,234.927252,241.740142,233.987543,239.061972,1514.298563,0
2017-10-06,D,Anjani Portland Cement Ord Shs,241.317273,252.217898,235.819975,243.948458,10328.729341,0
2017-10-09,D,Anjani Portland Cement Ord Shs,242.491909,244.230371,236.947626,239.813739,4663.14568,0
2017-10-10,D,Anjani Portland Cement Ord Shs,238.733073,243.901473,236.947626,239.249913,6665.893323,0
2017-10-11,D,Anjani Portland Cement Ord Shs,237.746379,239.625797,226.986711,230.745547,6730.807035,0
2017-10-12,D,Anjani Portland Cement Ord Shs,231.168416,238.216233,229.852823,232.202096,1545.15918,0
2017-10-13,D,Anjani Portland Cement Ord Shs,233.047834,237.605423,226.469871,227.738478,7218.191955,0
2017-10-16,D,Anjani Portland Cement Ord Shs,230.228707,234.786296,227.456565,230.933489,4524.804982,0
2017-10-17,D,Anjani Portland Cement Ord Shs,229.288998,231.12143,227.785463,230.134736,2678.488744,0
2017-10-18,D,Anjani Portland Cement Ord Shs,230.228707,234.927252,225.530162,227.221638,2477.362653,0
2017-10-19,D,Anjani Portland Cement Ord Shs,232.953863,235.866961,227.40958,229.148042,4595.03949,0
