Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-16,D,Apcotex Industries Ord Shs,23.5,23.5,23.5,23.5,999.999985,1
1995-05-17,D,Apcotex Industries Ord Shs,24.0,24.0,24.0,24.0,1999.99997,1
1995-05-29,D,Apcotex Industries Ord Shs,22.5,22.5,22.5,22.5,999.999985,1
1995-06-08,D,Apcotex Industries Ord Shs,21.1,21.1,20.3,20.3,6999.999896,0
1995-06-09,D,Apcotex Industries Ord Shs,21.5,21.5,21.5,21.5,999.999985,1
1995-06-12,D,Apcotex Industries Ord Shs,23.0,23.0,23.0,23.0,999.999985,1
1995-06-13,D,Apcotex Industries Ord Shs,23.5,25.0,23.5,25.0,5999.999911,0
1995-07-27,D,Apcotex Industries Ord Shs,23.0,23.0,23.0,23.0,999.999985,1
1995-11-10,D,Apcotex Industries Ord Shs,25.3,25.3,25.3,25.3,999.999985,1
1995-12-13,D,Apcotex Industries Ord Shs,23.0,23.0,23.0,23.0,1999.99997,1
1995-12-19,D,Apcotex Industries Ord Shs,23.0,23.0,23.0,23.0,1999.99997,1
1996-01-04,D,Apcotex Industries Ord Shs,25.0,25.0,25.0,25.0,18999.999717,1
1996-02-23,D,Apcotex Industries Ord Shs,22.5,22.5,22.5,22.5,999.999985,1
1996-03-04,D,Apcotex Industries Ord Shs,21.0,21.0,21.0,21.0,999.999985,1
1996-03-06,D,Apcotex Industries Ord Shs,20.3,20.3,20.3,20.3,999.999985,1
1996-03-11,D,Apcotex Industries Ord Shs,21.0,21.0,21.0,21.0,999.999985,1
1996-03-27,D,Apcotex Industries Ord Shs,20.0,20.0,20.0,20.0,999.999985,1
1996-03-28,D,Apcotex Industries Ord Shs,18.8,18.8,18.8,18.8,999.999985,1
1996-03-29,D,Apcotex Industries Ord Shs,18.8,18.8,18.8,18.8,1999.99997,1
1996-04-02,D,Apcotex Industries Ord Shs,20.0,20.0,20.0,20.0,999.999985,1
1996-04-04,D,Apcotex Industries Ord Shs,20.0,20.0,20.0,20.0,999.999985,1
