Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-03,D,Apollo Tyres Ord Shs,19.97644,19.97644,19.477029,19.477029,1499.999978,0
1994-11-07,D,Apollo Tyres Ord Shs,18.977618,18.977618,18.977618,18.977618,999.999985,1
1994-11-08,D,Apollo Tyres Ord Shs,18.977618,18.977618,18.977618,18.977618,1999.99997,1
1994-11-09,D,Apollo Tyres Ord Shs,18.977618,19.277264,18.977618,19.277264,12999.999806,0
1994-11-25,D,Apollo Tyres Ord Shs,17.479385,17.479385,17.479385,17.479385,499.999993,1
1994-11-29,D,Apollo Tyres Ord Shs,17.479385,17.479385,17.079856,17.079856,5999.999911,0
1994-12-05,D,Apollo Tyres Ord Shs,16.130975,16.130975,16.130975,16.130975,499.999993,1
1994-12-06,D,Apollo Tyres Ord Shs,15.831329,15.831329,15.581623,15.831329,10999.999836,1
1994-12-07,D,Apollo Tyres Ord Shs,15.981152,15.981152,15.581623,15.781387,13999.999791,0
1994-12-08,D,Apollo Tyres Ord Shs,15.781387,15.831329,15.681505,15.681505,19999.999702,0
1994-12-09,D,Apollo Tyres Ord Shs,15.481741,15.481741,15.481741,15.481741,499.999993,1
1994-12-12,D,Apollo Tyres Ord Shs,15.981152,15.981152,14.98233,15.281976,35999.999464,0
1994-12-13,D,Apollo Tyres Ord Shs,14.482919,14.482919,14.383037,14.432978,52499.999218,0
1994-12-14,D,Apollo Tyres Ord Shs,14.98233,14.98233,14.98233,14.98233,999.999985,1
1994-12-15,D,Apollo Tyres Ord Shs,14.782565,15.182094,14.782565,15.182094,22499.999665,0
1994-12-16,D,Apollo Tyres Ord Shs,14.98233,16.33074,14.98233,16.33074,21999.999672,0
1994-12-19,D,Apollo Tyres Ord Shs,15.981152,16.180916,15.781387,15.781387,12999.999806,0
1994-12-20,D,Apollo Tyres Ord Shs,15.481741,15.481741,15.481741,15.481741,999.999985,1
1994-12-21,D,Apollo Tyres Ord Shs,15.481741,15.481741,14.932389,15.281976,41999.999374,0
1994-12-22,D,Apollo Tyres Ord Shs,14.98233,15.281976,14.98233,15.281976,22999.999657,0
1994-12-23,D,Apollo Tyres Ord Shs,15.281976,15.281976,14.98233,14.98233,21999.999672,0
1994-12-26,D,Apollo Tyres Ord Shs,14.183272,14.782565,14.183272,14.782565,2999.999955,0
1995-01-02,D,Apollo Tyres Ord Shs,15.082212,15.082212,15.082212,15.082212,999.999985,1
1995-01-03,D,Apollo Tyres Ord Shs,14.482919,14.682683,14.482919,14.682683,5999.999911,0
1995-01-06,D,Apollo Tyres Ord Shs,14.482919,14.482919,14.08339,14.08339,4999.999925,0
1995-01-09,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.983508,13.983508,999.999985,1
1995-01-11,D,Apollo Tyres Ord Shs,13.63392,13.63392,13.63392,13.63392,2499.999963,1
1995-01-12,D,Apollo Tyres Ord Shs,13.783743,13.983508,13.484097,13.484097,15999.999762,0
1995-01-17,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.583979,13.763767,31499.999531,0
1995-01-18,D,Apollo Tyres Ord Shs,14.183272,14.183272,13.983508,14.08339,8499.999873,0
1995-01-19,D,Apollo Tyres Ord Shs,14.482919,14.482919,14.183272,14.208243,3499.999948,0
1995-01-23,D,Apollo Tyres Ord Shs,13.883626,13.983508,13.883626,13.883626,6999.999896,1
1995-01-24,D,Apollo Tyres Ord Shs,13.484097,13.484097,13.484097,13.484097,1999.99997,1
1995-01-25,D,Apollo Tyres Ord Shs,13.783743,13.783743,12.984686,13.144497,23999.999642,0
1995-01-27,D,Apollo Tyres Ord Shs,13.309303,13.683861,13.234391,13.683861,25999.999613,0
1995-01-30,D,Apollo Tyres Ord Shs,13.683861,13.683861,13.384215,13.484097,18999.999717,0
1995-01-31,D,Apollo Tyres Ord Shs,13.683861,13.858655,13.683861,13.858655,6499.999903,0
1995-02-02,D,Apollo Tyres Ord Shs,14.233213,14.233213,13.983508,13.983508,4999.999925,0
1995-02-03,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.933567,13.933567,4999.999925,0
1995-02-06,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.983508,13.983508,499.999993,1
1995-02-07,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.583979,13.583979,2499.999963,0
1995-02-08,D,Apollo Tyres Ord Shs,13.983508,13.983508,13.883626,13.883626,1999.99997,0
1995-02-09,D,Apollo Tyres Ord Shs,13.883626,13.883626,13.783743,13.783743,5999.999911,0
1995-02-10,D,Apollo Tyres Ord Shs,13.509067,13.509067,13.18445,13.18445,12999.999806,0
1995-02-13,D,Apollo Tyres Ord Shs,13.683861,13.783743,13.084568,13.084568,6499.999903,0
1995-02-14,D,Apollo Tyres Ord Shs,13.359244,13.359244,13.18445,13.284332,20499.999695,0
1995-02-15,D,Apollo Tyres Ord Shs,13.18445,13.18445,12.98968,13.18445,2499.999963,1
1995-02-16,D,Apollo Tyres Ord Shs,13.18445,13.18445,13.084568,13.084568,2499.999963,0
1995-02-17,D,Apollo Tyres Ord Shs,13.084568,13.084568,13.084568,13.084568,1999.99997,1
1995-02-20,D,Apollo Tyres Ord Shs,12.884804,12.884804,12.884804,12.884804,1999.99997,1
1995-02-21,D,Apollo Tyres Ord Shs,12.784921,12.784921,12.235569,12.235569,5499.999918,0
1995-02-22,D,Apollo Tyres Ord Shs,12.185628,12.485275,12.185628,12.28551,2999.999955,0
1995-02-23,D,Apollo Tyres Ord Shs,13.484097,13.484097,13.484097,13.484097,1499.999978,1
1995-02-24,D,Apollo Tyres Ord Shs,14.482919,14.482919,13.783743,13.983508,6499.999903,0
1995-02-28,D,Apollo Tyres Ord Shs,13.783743,13.983508,13.534038,13.534038,9999.999851,0
1995-03-01,D,Apollo Tyres Ord Shs,13.484097,13.484097,12.984686,13.134509,5499.999918,0
1995-03-02,D,Apollo Tyres Ord Shs,13.484097,13.484097,13.484097,13.484097,4999.999925,1
1995-03-03,D,Apollo Tyres Ord Shs,13.733802,13.733802,13.484097,13.583979,19499.999709,0
1995-03-06,D,Apollo Tyres Ord Shs,13.484097,13.63392,13.484097,13.593967,12499.999814,0
1995-03-07,D,Apollo Tyres Ord Shs,13.783743,13.783743,12.984686,13.084568,31499.999531,0
1995-03-08,D,Apollo Tyres Ord Shs,13.284332,13.284332,12.784921,12.884804,28999.999568,0
1995-03-09,D,Apollo Tyres Ord Shs,12.884804,13.384215,12.884804,12.939739,45499.999322,0
1995-03-10,D,Apollo Tyres Ord Shs,13.084568,13.284332,13.084568,13.234391,25999.999613,0
