Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1998-09-02,D,Archies Ord Shs,30.1,30.5,29.65,29.925,89999.998659,0
1998-09-03,D,Archies Ord Shs,30.8,30.8,27.725,28.2,118999.998227,0
1998-09-04,D,Archies Ord Shs,28.5,29.19,28.4,29.065,62999.999061,0
1998-09-07,D,Archies Ord Shs,29.0,29.3,29.0,29.1,71999.998927,0
1998-09-08,D,Archies Ord Shs,28.8,28.8,28.0,28.225,56999.999151,0
1998-09-09,D,Archies Ord Shs,28.8,28.8,28.4,28.49,47999.999285,0
1998-09-10,D,Archies Ord Shs,28.78,28.78,28.39,28.54,41999.999374,0
1998-09-11,D,Archies Ord Shs,28.45,28.98,28.43,28.76,34999.999478,0
1998-09-14,D,Archies Ord Shs,29.0,29.4,28.8,29.0,37999.999434,1
1998-09-15,D,Archies Ord Shs,28.78,28.8,28.5,28.7,32999.999508,0
1998-09-16,D,Archies Ord Shs,29.0,29.2,28.9,29.025,61999.999076,0
1998-09-17,D,Archies Ord Shs,29.02,29.2,29.0,29.0,44999.999329,0
1998-09-18,D,Archies Ord Shs,29.2,29.85,29.005,29.845,52999.99921,0
1998-09-21,D,Archies Ord Shs,29.6,31.3,29.6,30.94,74999.998882,0
1998-09-22,D,Archies Ord Shs,30.9,31.4,30.8,31.07,78999.998823,0
1998-09-23,D,Archies Ord Shs,31.5,33.560001,31.5,33.560001,94999.998584,0
1998-09-24,D,Archies Ord Shs,34.490001,35.400001,33.900001,34.000001,86999.998704,0
1998-09-25,D,Archies Ord Shs,34.100001,34.200001,33.3,33.525,34999.999478,0
1998-09-28,D,Archies Ord Shs,33.1,34.800001,33.1,34.660001,104999.998435,0
1998-09-29,D,Archies Ord Shs,35.000001,35.400001,34.300001,34.525001,109999.998361,0
1998-09-30,D,Archies Ord Shs,35.500001,37.290001,35.475001,37.290001,185999.997228,0
1998-10-05,D,Archies Ord Shs,37.500001,37.500001,34.350001,34.915001,109999.998361,0
1998-10-06,D,Archies Ord Shs,34.500001,34.570001,32.7,33.1,116999.998257,0
1998-10-07,D,Archies Ord Shs,35.000001,35.750001,35.000001,35.750001,163999.997556,0
1998-10-08,D,Archies Ord Shs,36.500001,38.600001,34.700001,37.870001,350999.99477,0
1998-10-09,D,Archies Ord Shs,38.000001,38.200001,36.410001,36.780001,116999.998257,0
1998-10-12,D,Archies Ord Shs,36.900001,37.400001,35.725001,35.940001,90999.998644,0
1998-10-13,D,Archies Ord Shs,35.600001,35.800001,33.22,34.060001,133999.998003,0
1998-10-14,D,Archies Ord Shs,35.000001,35.790001,34.600001,35.605001,56999.999151,0
1998-10-15,D,Archies Ord Shs,35.600001,35.875001,35.000001,35.100001,28999.999568,0
1998-10-16,D,Archies Ord Shs,35.200001,35.200001,33.600001,34.485001,54999.99918,0
1998-10-19,D,Archies Ord Shs,34.000001,35.180001,34.000001,34.340001,41999.999374,0
1998-10-20,D,Archies Ord Shs,34.500001,34.500001,32.0,32.785,73999.998897,0
1998-10-22,D,Archies Ord Shs,34.495001,34.495001,32.8,33.26,49999.999255,0
1998-10-23,D,Archies Ord Shs,33.5,33.700001,32.125,32.375,54999.99918,0
1998-10-26,D,Archies Ord Shs,33.37,34.600001,33.0,33.4,50999.99924,0
1998-10-27,D,Archies Ord Shs,33.4,33.4,32.505,32.945,52999.99921,0
1998-10-28,D,Archies Ord Shs,33.2,33.3,32.205,32.205,23999.999642,0
1998-10-29,D,Archies Ord Shs,32.5,32.5,32.1,32.3,39999.999404,0
1998-10-30,D,Archies Ord Shs,32.38,33.28,31.8,32.01,79999.998808,0
1998-10-31,D,Archies Ord Shs,32.0,32.4,31.9,32.25,23999.999642,0
1998-11-02,D,Archies Ord Shs,32.0,32.5,31.35,32.495,177999.997348,0
1998-11-03,D,Archies Ord Shs,32.65,32.65,31.805,32.44,241999.996394,0
1998-11-05,D,Archies Ord Shs,32.7,34.200001,32.05,34.100001,144999.997839,0
1998-11-06,D,Archies Ord Shs,33.610001,34.100001,33.5,33.575001,26999.999598,0
1998-11-09,D,Archies Ord Shs,34.300001,34.300001,33.700001,33.700001,27999.999583,0
1998-11-10,D,Archies Ord Shs,33.680001,33.700001,33.4,33.570001,85999.998719,0
1998-11-11,D,Archies Ord Shs,33.895001,34.100001,33.2,33.305,48999.99927,0
1998-11-12,D,Archies Ord Shs,33.880001,33.995001,33.31,33.970001,138999.997929,0
1998-11-13,D,Archies Ord Shs,33.800001,34.000001,33.700001,33.870001,33999.999493,0
1998-11-16,D,Archies Ord Shs,34.000001,34.590001,34.000001,34.590001,56999.999151,0
1998-11-17,D,Archies Ord Shs,33.980001,35.775001,33.980001,35.275001,46999.9993,0
1998-11-18,D,Archies Ord Shs,36.000001,38.000001,36.000001,37.850001,119999.998212,0
1998-11-19,D,Archies Ord Shs,37.805001,38.200001,37.125001,37.125001,76999.998853,0
1998-11-20,D,Archies Ord Shs,36.950001,37.490001,36.505001,37.295001,62999.999061,0
1998-11-23,D,Archies Ord Shs,38.375001,40.990001,37.900001,40.990001,350999.99477,0
1998-11-24,D,Archies Ord Shs,41.325001,41.325001,39.500001,40.200001,194999.997094,0
1998-11-26,D,Archies Ord Shs,40.700001,40.700001,38.235001,39.060001,418999.993756,0
1998-11-27,D,Archies Ord Shs,38.800001,39.000001,38.510001,38.855001,143999.997854,0
1998-11-28,D,Archies Ord Shs,38.700001,40.785001,38.565001,39.845001,534999.992028,0
1998-11-30,D,Archies Ord Shs,39.275001,40.350001,39.275001,39.865001,190999.997154,0
1998-12-01,D,Archies Ord Shs,39.970001,40.475001,39.825001,40.100001,167999.997497,0
1998-12-02,D,Archies Ord Shs,40.295001,43.270001,39.900001,42.990001,1602999.976113,0
1998-12-03,D,Archies Ord Shs,43.105001,44.600001,42.700001,43.820001,2206999.967113,0
1998-12-04,D,Archies Ord Shs,43.900001,44.480001,43.200001,43.875001,430999.993578,0
1998-12-07,D,Archies Ord Shs,43.800001,45.200001,43.710001,44.890001,883999.986827,0
1998-12-08,D,Archies Ord Shs,45.050001,45.505001,44.400001,45.505001,696999.989614,0
1998-12-09,D,Archies Ord Shs,45.600001,45.975001,44.710001,44.750001,504999.992475,0
1998-12-10,D,Archies Ord Shs,44.800001,45.000001,43.500001,43.995001,627999.990642,0
1998-12-11,D,Archies Ord Shs,43.855001,44.200001,43.565001,44.100001,283999.995768,0
1998-12-14,D,Archies Ord Shs,44.295001,45.400001,44.200001,44.425001,374999.994412,0
1998-12-15,D,Archies Ord Shs,44.200001,44.650001,43.660001,44.090001,321999.995202,0
1998-12-16,D,Archies Ord Shs,43.720001,44.050001,43.555001,44.010001,177999.997348,0
1998-12-17,D,Archies Ord Shs,43.400001,43.900001,43.000001,43.350001,400999.994025,0
1998-12-18,D,Archies Ord Shs,43.400001,43.400001,41.500001,42.525001,1102999.983564,0
1998-12-21,D,Archies Ord Shs,42.600001,45.930001,42.600001,45.930001,1519999.97735,0
1998-12-22,D,Archies Ord Shs,46.400001,48.900001,44.810001,47.630001,1805999.973089,0
1998-12-23,D,Archies Ord Shs,47.100001,50.950001,46.665001,49.115001,733999.989063,0
1998-12-24,D,Archies Ord Shs,49.000001,49.900001,48.010001,48.155001,347999.994814,0
1998-12-28,D,Archies Ord Shs,50.400001,50.400001,47.250001,48.000001,123999.998152,0
1998-12-29,D,Archies Ord Shs,47.900001,48.500001,46.600001,47.890001,307999.99541,0
1998-12-30,D,Archies Ord Shs,48.800001,50.285001,48.525001,48.985001,105999.99842,0
1998-12-31,D,Archies Ord Shs,49.000001,49.500001,48.600001,48.775001,51999.999225,0
1999-01-01,D,Archies Ord Shs,49.095001,49.795001,49.095001,49.795001,40999.999389,0
1999-01-04,D,Archies Ord Shs,49.800001,53.780001,49.800001,53.780001,233999.996513,0
1999-01-05,D,Archies Ord Shs,54.195001,55.000001,53.225001,54.000001,261999.996096,0
1999-01-06,D,Archies Ord Shs,55.600001,57.700001,55.300001,55.805001,236999.996468,0
1999-01-07,D,Archies Ord Shs,56.790001,58.890001,54.500001,58.400001,688999.989733,0
1999-01-08,D,Archies Ord Shs,58.900001,59.100001,57.300001,58.200001,195999.997079,0
1999-01-11,D,Archies Ord Shs,57.810001,58.500001,57.500001,57.795001,138999.997929,0
1999-01-12,D,Archies Ord Shs,57.050001,57.500001,53.500001,55.285001,326999.995127,0
1999-01-13,D,Archies Ord Shs,56.000001,57.195001,54.000001,54.150001,167999.997497,0
1999-01-14,D,Archies Ord Shs,53.000001,55.000001,53.000001,54.900001,57999.999136,0
1999-01-15,D,Archies Ord Shs,54.995001,56.500001,54.995001,56.400001,76999.998853,0
1999-01-18,D,Archies Ord Shs,56.745001,60.915001,56.700001,60.915001,118999.998227,0
1999-01-19,D,Archies Ord Shs,61.500001,65.790001,61.500001,65.790001,150999.99775,0
1999-01-21,D,Archies Ord Shs,67.000001,71.055001,67.000001,71.055001,55999.999166,0
1999-01-22,D,Archies Ord Shs,75.700001,76.740001,70.200001,72.000001,125999.998122,0
1999-01-25,D,Archies Ord Shs,72.500001,72.500001,66.500001,66.500001,82999.998763,0
1999-01-27,D,Archies Ord Shs,70.000001,70.900001,70.000001,70.000001,74999.998882,1
1999-01-28,D,Archies Ord Shs,70.100001,70.970001,68.850001,68.900001,28999.999568,0
1999-01-29,D,Archies Ord Shs,68.600001,70.990001,68.600001,70.800001,18999.999717,0
1999-02-01,D,Archies Ord Shs,71.000001,71.000001,70.005001,70.300001,25999.999613,0
1999-02-02,D,Archies Ord Shs,69.950001,70.500001,69.250001,70.350001,34999.999478,0
1999-02-03,D,Archies Ord Shs,71.000001,71.000001,69.000001,69.210001,23999.999642,0
1999-02-04,D,Archies Ord Shs,69.500001,70.490001,69.125001,69.125001,11999.999821,0
1999-02-05,D,Archies Ord Shs,69.000001,69.000001,67.500001,68.000001,7999.999881,0
1999-02-08,D,Archies Ord Shs,68.990001,68.990001,65.500001,66.000001,19999.999702,0
1999-02-09,D,Archies Ord Shs,65.000001,65.000001,62.500001,64.000001,34999.999478,0
1999-02-10,D,Archies Ord Shs,67.000001,69.120001,66.800001,69.120001,25999.999613,0
1999-02-11,D,Archies Ord Shs,74.500001,74.650001,72.810001,74.305001,54999.99918,0
1999-02-12,D,Archies Ord Shs,75.500001,76.050001,73.500001,76.050001,69999.998957,0
1999-02-15,D,Archies Ord Shs,77.000001,77.500001,75.200001,76.300001,63999.999046,0
1999-02-16,D,Archies Ord Shs,75.000001,77.750001,72.500001,77.750001,42999.999359,0
1999-02-17,D,Archies Ord Shs,77.600001,83.500001,77.600001,80.500001,132999.998018,0
1999-02-18,D,Archies Ord Shs,81.110001,81.495001,80.000001,81.100001,26999.999598,0
1999-02-19,D,Archies Ord Shs,81.000001,81.590001,80.500001,80.500001,17999.999732,0
1999-02-22,D,Archies Ord Shs,81.000001,81.000001,76.150001,76.150001,20999.999687,0
1999-02-23,D,Archies Ord Shs,73.250001,77.600001,72.500001,72.600001,91999.998629,0
1999-02-24,D,Archies Ord Shs,74.200001,78.410001,74.200001,78.400001,79999.998808,0
1999-02-25,D,Archies Ord Shs,78.995001,83.390001,78.250001,83.000001,77999.998838,0
1999-02-26,D,Archies Ord Shs,82.400001,82.695001,81.500001,81.950001,32999.999508,0
1999-02-27,D,Archies Ord Shs,81.900001,82.900001,80.300001,82.900001,49999.999255,0
1999-03-01,D,Archies Ord Shs,83.000001,89.000001,81.700001,88.800001,82999.998763,0
1999-03-03,D,Archies Ord Shs,95.900001,95.905001,95.000001,95.905001,83999.998748,0
1999-03-04,D,Archies Ord Shs,95.250001,95.900001,93.225001,94.360001,139999.997914,0
1999-03-05,D,Archies Ord Shs,93.995001,99.770001,93.800001,97.800001,133999.998003,0
1999-03-08,D,Archies Ord Shs,95.500001,99.700001,95.500001,98.400001,83999.998748,0
1999-03-09,D,Archies Ord Shs,98.800001,106.275002,98.500001,106.275002,137999.997944,0
1999-03-10,D,Archies Ord Shs,109.900002,110.690002,107.100002,109.300002,140999.997899,0
1999-03-11,D,Archies Ord Shs,108.100002,109.000002,102.100002,102.150002,90999.998644,0
1999-03-12,D,Archies Ord Shs,106.900002,109.200002,102.500002,108.800002,84999.998733,0
1999-03-15,D,Archies Ord Shs,109.000002,113.995002,107.825002,111.290002,120999.998197,0
1999-03-16,D,Archies Ord Shs,110.100002,112.700002,108.200002,111.200002,66999.999002,0
1999-03-17,D,Archies Ord Shs,111.000002,111.100002,104.800002,104.800002,98999.998525,0
1999-03-18,D,Archies Ord Shs,106.000002,106.600002,103.400002,105.500002,52999.99921,0
1999-03-19,D,Archies Ord Shs,106.200002,108.000002,103.500002,105.100002,43999.999344,0
1999-03-20,D,Archies Ord Shs,105.000002,105.500002,105.000002,105.400002,2999.999955,0
1999-03-22,D,Archies Ord Shs,105.000002,105.000002,103.900002,104.510002,25999.999613,0
1999-03-23,D,Archies Ord Shs,105.100002,107.500002,104.000002,105.400002,39999.999404,0
1999-03-24,D,Archies Ord Shs,104.150002,104.900002,99.300001,99.600001,71999.998927,0
1999-03-25,D,Archies Ord Shs,99.300001,100.500001,97.000001,100.200001,56999.999151,0
1999-03-26,D,Archies Ord Shs,99.000001,100.200001,92.185001,92.200001,115999.998271,0
1999-03-30,D,Archies Ord Shs,85.105001,96.000001,85.105001,91.100001,143999.997854,0
1999-03-31,D,Archies Ord Shs,97.900001,98.390001,97.900001,98.390001,8999.999866,0
1999-04-01,D,Archies Ord Shs,106.265002,106.265002,106.265002,106.265002,27999.999583,1
1999-04-05,D,Archies Ord Shs,114.500002,114.770002,102.700002,114.770002,113999.998301,0
1999-04-06,D,Archies Ord Shs,109.000002,122.870002,109.000002,115.300002,137999.997944,0
1999-04-07,D,Archies Ord Shs,122.400002,124.525002,117.100002,119.300002,373999.994427,0
1999-04-08,D,Archies Ord Shs,117.000002,118.900002,112.200002,112.995002,117999.998242,0
1999-04-09,D,Archies Ord Shs,114.100002,114.100002,104.000002,104.000002,89999.998659,0
1999-04-12,D,Archies Ord Shs,98.850001,100.000001,96.500001,99.000001,49999.999255,0
1999-04-13,D,Archies Ord Shs,98.000001,98.800001,92.500001,93.020001,147999.997795,0
1999-04-15,D,Archies Ord Shs,87.000001,90.500001,87.000001,88.000001,48999.99927,0
1999-04-16,D,Archies Ord Shs,87.000001,95.000001,87.000001,95.000001,30999.999538,0
1999-04-17,D,Archies Ord Shs,102.600002,102.600002,87.500001,87.600001,79999.998808,0
1999-04-19,D,Archies Ord Shs,90.000001,94.610001,90.000001,94.610001,14999.999776,0
1999-04-20,D,Archies Ord Shs,100.000001,102.180002,99.005001,102.180002,38999.999419,0
1999-04-21,D,Archies Ord Shs,107.800002,110.000002,106.500002,109.030002,64999.999031,0
1999-04-22,D,Archies Ord Shs,103.000002,106.000002,100.400001,101.100002,31999.999523,0
1999-04-23,D,Archies Ord Shs,103.000002,105.000002,96.000001,99.750001,35999.999464,0
1999-04-26,D,Archies Ord Shs,95.000001,95.000001,91.770001,91.770001,32999.999508,0
1999-04-28,D,Archies Ord Shs,88.000001,88.000001,84.625001,86.200001,87999.998689,0
1999-04-29,D,Archies Ord Shs,88.000001,93.100001,88.000001,93.100001,34999.999478,0
1999-04-30,D,Archies Ord Shs,96.500001,100.550001,96.000001,100.400001,40999.999389,0
1999-05-03,D,Archies Ord Shs,98.500001,100.900002,98.405001,98.500001,24999.999627,1
1999-05-04,D,Archies Ord Shs,98.500001,99.900001,97.500001,99.900001,39999.999404,0
1999-05-05,D,Archies Ord Shs,102.890002,103.500002,100.500001,102.105002,23999.999642,0
1999-05-06,D,Archies Ord Shs,102.400002,103.500002,101.000002,101.000002,13999.999791,0
1999-05-07,D,Archies Ord Shs,101.000002,101.000002,99.600001,99.600001,3999.99994,0
1999-05-10,D,Archies Ord Shs,101.000002,101.000002,99.500001,99.500001,8999.999866,0
1999-05-11,D,Archies Ord Shs,106.500002,106.900002,99.500001,101.900002,17999.999732,0
1999-05-12,D,Archies Ord Shs,103.000002,107.500002,98.000001,98.000001,43999.999344,0
1999-05-13,D,Archies Ord Shs,101.400002,102.490002,101.000002,101.790002,13999.999791,0
1999-05-14,D,Archies Ord Shs,101.700002,102.000002,99.250001,100.050001,67999.998987,0
1999-05-17,D,Archies Ord Shs,100.100001,100.100001,92.050001,92.050001,36999.999449,0
1999-05-18,D,Archies Ord Shs,91.900001,95.400001,89.120001,94.350001,82999.998763,0
1999-05-19,D,Archies Ord Shs,101.900002,101.900002,101.900002,101.900002,9999.999851,1
1999-05-20,D,Archies Ord Shs,105.000002,107.500002,103.225002,104.000002,63999.999046,0
1999-05-21,D,Archies Ord Shs,104.000002,104.890002,101.200002,103.400002,28999.999568,0
1999-05-24,D,Archies Ord Shs,98.700001,106.950002,98.700001,102.000002,12999.999806,0
1999-05-25,D,Archies Ord Shs,102.000002,104.200002,102.000002,103.000002,19999.999702,0
1999-05-26,D,Archies Ord Shs,100.510001,102.500002,100.000001,100.000001,26999.999598,0
1999-05-27,D,Archies Ord Shs,100.000001,102.000002,98.200001,98.200001,24999.999627,0
1999-05-28,D,Archies Ord Shs,97.000001,98.400001,92.000001,95.500001,43999.999344,0
1999-05-31,D,Archies Ord Shs,96.990001,101.000002,96.990001,99.800001,26999.999598,0
1999-06-01,D,Archies Ord Shs,99.005001,99.500001,98.000001,99.000001,9999.999851,0
1999-06-02,D,Archies Ord Shs,98.000001,98.200001,97.200001,98.200001,11999.999821,0
1999-06-03,D,Archies Ord Shs,97.000001,97.000001,94.500001,96.100001,16999.999747,0
1999-06-04,D,Archies Ord Shs,96.500001,97.000001,96.000001,96.000001,16999.999747,0
1999-06-07,D,Archies Ord Shs,96.000001,96.475001,93.305001,96.000001,20999.999687,1
1999-06-08,D,Archies Ord Shs,95.510001,95.600001,91.800001,93.500001,31999.999523,0
1999-06-09,D,Archies Ord Shs,94.990001,95.750001,94.610001,95.050001,14999.999776,0
1999-06-10,D,Archies Ord Shs,93.715001,94.945001,92.510001,93.350001,17999.999732,0
1999-06-11,D,Archies Ord Shs,93.590001,93.600001,92.400001,92.850001,31999.999523,0
1999-06-14,D,Archies Ord Shs,90.100001,90.200001,89.305001,89.995001,9999.999851,0
1999-06-15,D,Archies Ord Shs,90.100001,90.100001,87.500001,87.805001,18999.999717,0
1999-06-16,D,Archies Ord Shs,87.990001,89.500001,87.990001,89.160001,36999.999449,0
1999-06-17,D,Archies Ord Shs,90.000001,90.100001,88.200001,88.920001,24999.999627,0
1999-06-18,D,Archies Ord Shs,89.000001,89.500001,88.650001,88.680001,12999.999806,0
1999-06-21,D,Archies Ord Shs,86.100001,86.100001,82.510001,84.295001,21999.999672,0
1999-06-22,D,Archies Ord Shs,85.000001,88.000001,85.000001,86.230001,50999.99924,0
1999-06-23,D,Archies Ord Shs,88.000001,90.400001,85.000001,85.850001,56999.999151,0
1999-06-24,D,Archies Ord Shs,85.700001,85.700001,85.610001,85.655001,1999.99997,0
