Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-01-23,D,Artemis Medicare Services Ord Shs,4.945,4.945,4.945,4.945,0.0,1
2020-01-24,D,Artemis Medicare Services Ord Shs,21.5,22.575,21.5,22.575,1029.999985,0
2020-01-27,D,Artemis Medicare Services Ord Shs,23.7,23.7,23.7,23.7,199.999997,1
2020-01-28,D,Artemis Medicare Services Ord Shs,24.885,24.885,24.885,24.885,259.999996,1
2020-01-29,D,Artemis Medicare Services Ord Shs,26.125,26.125,26.125,26.125,36959.999449,1
2020-01-30,D,Artemis Medicare Services Ord Shs,27.43,27.43,27.43,27.43,11499.999829,1
2020-01-31,D,Artemis Medicare Services Ord Shs,28.8,28.8,27.805,28.8,33769.999497,1
2020-02-01,D,Artemis Medicare Services Ord Shs,29.78,30.095,27.5,28.76,25649.999618,0
2020-02-03,D,Artemis Medicare Services Ord Shs,29.75,29.75,27.325,27.325,3629.999946,0
2020-02-04,D,Artemis Medicare Services Ord Shs,25.96,27.5,25.96,27.425,21029.999687,0
2020-02-05,D,Artemis Medicare Services Ord Shs,26.7,28.0,26.7,27.295,17109.999745,0
2020-02-06,D,Artemis Medicare Services Ord Shs,28.3,28.3,26.0,26.3,30629.999544,0
2020-02-07,D,Artemis Medicare Services Ord Shs,26.3,26.7,24.46,25.1,16769.99975,0
2020-02-10,D,Artemis Medicare Services Ord Shs,23.63,25.8,23.63,25.005,3969.999941,0
2020-02-11,D,Artemis Medicare Services Ord Shs,25.005,25.005,24.2,24.5,4169.999938,0
2020-02-12,D,Artemis Medicare Services Ord Shs,24.51,25.69,24.505,25.69,1219.999982,0
2020-02-13,D,Artemis Medicare Services Ord Shs,24.505,24.505,21.3,22.98,20599.999693,0
2020-02-14,D,Artemis Medicare Services Ord Shs,23.79,23.79,21.8,22.775,4399.999934,0
2020-02-17,D,Artemis Medicare Services Ord Shs,21.55,22.67,18.68,21.235,15029.999776,0
2020-02-18,D,Artemis Medicare Services Ord Shs,21.235,21.8,21.2,21.2,7469.999889,0
2020-02-19,D,Artemis Medicare Services Ord Shs,21.08,22.1,20.445,21.755,14539.999783,0
2020-02-20,D,Artemis Medicare Services Ord Shs,21.89,23.855,21.6,22.1,13089.999805,0
2020-02-24,D,Artemis Medicare Services Ord Shs,22.24,23.1,21.9,22.095,2159.999968,0
2020-02-25,D,Artemis Medicare Services Ord Shs,21.005,22.995,20.2,20.73,39129.999417,0
2020-02-26,D,Artemis Medicare Services Ord Shs,21.6,21.6,19.655,19.92,9839.999853,0
2020-02-27,D,Artemis Medicare Services Ord Shs,19.665,21.09,19.665,19.815,2699.99996,0
2020-02-28,D,Artemis Medicare Services Ord Shs,19.81,21.2,19.81,21.12,11799.999824,0
2020-03-02,D,Artemis Medicare Services Ord Shs,20.8,21.2,20.01,20.02,1279.999981,0
2020-03-03,D,Artemis Medicare Services Ord Shs,22.0,22.0,20.005,20.865,14279.999787,0
2020-03-04,D,Artemis Medicare Services Ord Shs,21.995,21.995,17.11,18.29,29399.999562,0
2020-03-05,D,Artemis Medicare Services Ord Shs,19.0,20.4,18.5,19.72,2749.999959,0
2020-03-06,D,Artemis Medicare Services Ord Shs,19.0,20.4,17.215,19.99,14279.999787,0
2020-03-09,D,Artemis Medicare Services Ord Shs,19.9,21.715,18.105,19.0,12699.999811,0
2020-03-11,D,Artemis Medicare Services Ord Shs,18.055,18.9,18.0,18.4,14869.999778,0
2020-03-12,D,Artemis Medicare Services Ord Shs,18.0,18.0,16.0,16.34,46829.999302,0
2020-03-13,D,Artemis Medicare Services Ord Shs,13.145,17.8,13.145,17.135,12949.999807,0
2020-03-16,D,Artemis Medicare Services Ord Shs,16.0,16.99,16.0,16.45,17319.999742,0
2020-03-17,D,Artemis Medicare Services Ord Shs,16.5,16.5,15.7,15.7,16179.999759,0
2020-03-18,D,Artemis Medicare Services Ord Shs,16.8,17.96,13.6,14.005,40279.9994,0
2020-03-19,D,Artemis Medicare Services Ord Shs,12.0,14.89,11.55,14.23,9229.999862,0
2020-03-20,D,Artemis Medicare Services Ord Shs,13.8,14.0,13.5,13.535,43789.999347,0
2020-03-23,D,Artemis Medicare Services Ord Shs,13.5,14.375,11.8,12.505,459.999993,0
2020-03-24,D,Artemis Medicare Services Ord Shs,10.67,14.0,10.67,14.0,8389.999875,0
2020-03-25,D,Artemis Medicare Services Ord Shs,13.0,13.995,12.505,13.195,14609.999782,0
2020-03-26,D,Artemis Medicare Services Ord Shs,14.65,15.53,11.015,13.08,19179.999714,0
2020-03-27,D,Artemis Medicare Services Ord Shs,15.25,15.25,11.8,12.73,22469.999665,0
2020-03-30,D,Artemis Medicare Services Ord Shs,13.35,14.9,12.305,12.455,20369.999696,0
2020-03-31,D,Artemis Medicare Services Ord Shs,13.89,13.89,12.505,13.7,4999.999925,0
2020-04-01,D,Artemis Medicare Services Ord Shs,13.7,13.7,12.595,12.72,2499.999963,0
2020-04-03,D,Artemis Medicare Services Ord Shs,13.5,13.5,12.65,12.65,6289.999906,0
2020-04-07,D,Artemis Medicare Services Ord Shs,14.0,14.0,13.205,13.915,17689.999736,0
2020-04-08,D,Artemis Medicare Services Ord Shs,14.0,14.7,13.63,13.8,17289.999742,0
2020-04-09,D,Artemis Medicare Services Ord Shs,14.69,16.56,14.0,16.56,36889.99945,0
2020-04-13,D,Artemis Medicare Services Ord Shs,16.69,19.125,16.69,17.215,34139.999491,0
2020-04-15,D,Artemis Medicare Services Ord Shs,16.505,18.495,16.3,16.955,25259.999624,0
2020-04-16,D,Artemis Medicare Services Ord Shs,18.0,18.0,16.4,16.445,27629.999588,0
2020-04-17,D,Artemis Medicare Services Ord Shs,16.1,16.995,16.1,16.3,33139.999506,0
2020-04-20,D,Artemis Medicare Services Ord Shs,15.505,16.975,14.525,15.975,18169.999729,0
2020-04-21,D,Artemis Medicare Services Ord Shs,15.5,16.755,14.85,15.26,23559.999649,0
2020-04-22,D,Artemis Medicare Services Ord Shs,16.0,16.0,15.0,15.31,8009.999881,0
2020-04-23,D,Artemis Medicare Services Ord Shs,15.15,17.01,15.005,15.355,13839.999794,0
2020-04-24,D,Artemis Medicare Services Ord Shs,15.365,15.99,14.86,15.24,9569.999857,0
2020-04-27,D,Artemis Medicare Services Ord Shs,15.495,16.885,15.26,15.56,9999.999851,0
2020-04-28,D,Artemis Medicare Services Ord Shs,16.495,16.495,15.105,15.215,5459.999919,0
2020-04-29,D,Artemis Medicare Services Ord Shs,16.095,16.095,15.225,15.42,3999.99994,0
2020-04-30,D,Artemis Medicare Services Ord Shs,15.01,16.485,15.005,15.985,23949.999643,0
2020-05-04,D,Artemis Medicare Services Ord Shs,16.1,16.55,15.1,15.57,7109.999894,0
2020-05-05,D,Artemis Medicare Services Ord Shs,15.59,16.1,15.025,15.895,4049.99994,0
2020-05-06,D,Artemis Medicare Services Ord Shs,15.155,15.9,15.155,15.85,7459.999889,0
2020-05-07,D,Artemis Medicare Services Ord Shs,15.8,15.8,15.35,15.49,4059.99994,0
2020-05-08,D,Artemis Medicare Services Ord Shs,17.48,17.48,14.525,15.92,11439.99983,0
2020-05-11,D,Artemis Medicare Services Ord Shs,16.2,16.2,14.33,15.285,11319.999831,0
2020-05-12,D,Artemis Medicare Services Ord Shs,15.05,16.18,14.995,15.13,18689.999721,0
2020-05-13,D,Artemis Medicare Services Ord Shs,15.99,15.99,15.1,15.13,13369.999801,0
2020-05-14,D,Artemis Medicare Services Ord Shs,15.135,15.5,14.9,15.365,2649.999961,0
2020-05-15,D,Artemis Medicare Services Ord Shs,15.695,15.695,15.005,15.035,2799.999958,0
2020-05-18,D,Artemis Medicare Services Ord Shs,15.695,15.695,14.0,15.01,2919.999956,0
2020-05-19,D,Artemis Medicare Services Ord Shs,15.67,15.67,15.0,15.105,509.999992,0
2020-05-20,D,Artemis Medicare Services Ord Shs,15.0,15.0,14.2,14.585,5259.999922,0
2020-05-21,D,Artemis Medicare Services Ord Shs,14.615,15.8,14.615,15.575,10369.999845,0
2020-05-22,D,Artemis Medicare Services Ord Shs,15.575,15.575,13.635,14.39,19589.999708,0
2020-05-26,D,Artemis Medicare Services Ord Shs,14.53,15.0,13.7,14.97,27649.999588,0
2020-05-27,D,Artemis Medicare Services Ord Shs,14.97,15.19,14.11,15.02,18099.99973,0
2020-05-28,D,Artemis Medicare Services Ord Shs,14.205,15.5,14.205,15.5,18409.999726,0
2020-05-29,D,Artemis Medicare Services Ord Shs,15.5,16.2,15.05,15.675,20429.999696,0
2020-06-01,D,Artemis Medicare Services Ord Shs,15.555,17.0,15.555,16.21,16319.999757,0
2020-06-02,D,Artemis Medicare Services Ord Shs,17.495,17.495,16.28,16.685,5279.999921,0
2020-06-03,D,Artemis Medicare Services Ord Shs,16.6,17.295,16.3,16.455,10879.999838,0
2020-06-04,D,Artemis Medicare Services Ord Shs,16.5,18.58,16.5,17.99,144239.997851,0
2020-06-05,D,Artemis Medicare Services Ord Shs,18.0,18.4,17.45,18.305,14979.999777,0
2020-06-08,D,Artemis Medicare Services Ord Shs,20.16,20.16,17.235,18.335,14229.999788,0
2020-06-09,D,Artemis Medicare Services Ord Shs,18.495,18.495,17.9,18.24,56289.999161,0
2020-06-10,D,Artemis Medicare Services Ord Shs,17.9,18.3,17.6,18.3,17689.999736,0
2020-06-11,D,Artemis Medicare Services Ord Shs,19.0,19.0,17.21,17.39,38859.999421,0
2020-06-12,D,Artemis Medicare Services Ord Shs,17.39,20.39,16.55,18.735,41299.999385,0
2020-06-15,D,Artemis Medicare Services Ord Shs,18.3,18.7,16.12,17.84,46759.999303,0
2020-06-16,D,Artemis Medicare Services Ord Shs,18.745,18.745,17.4,17.95,23329.999652,0
2020-06-17,D,Artemis Medicare Services Ord Shs,17.7,17.995,17.42,17.54,101999.99848,0
2020-06-18,D,Artemis Medicare Services Ord Shs,17.605,18.0,17.4,17.41,11239.999833,0
2020-06-19,D,Artemis Medicare Services Ord Shs,17.305,17.995,17.305,17.84,10009.999851,0
2020-06-22,D,Artemis Medicare Services Ord Shs,18.99,19.12,17.85,18.7,23409.999651,0
2020-06-23,D,Artemis Medicare Services Ord Shs,19.5,20.8,19.025,20.065,96289.998565,0
2020-06-24,D,Artemis Medicare Services Ord Shs,20.065,20.885,18.5,18.805,47809.999288,0
2020-06-25,D,Artemis Medicare Services Ord Shs,19.5,22.06,18.59,18.72,58979.999121,0
2020-06-26,D,Artemis Medicare Services Ord Shs,19.5,20.0,18.6,18.71,35089.999477,0
2020-06-29,D,Artemis Medicare Services Ord Shs,18.3,18.495,17.615,17.935,37779.999437,0
2020-06-30,D,Artemis Medicare Services Ord Shs,18.995,19.0,17.925,18.0,34559.999485,0
2020-07-01,D,Artemis Medicare Services Ord Shs,18.895,19.0,17.855,18.125,15189.999774,0
2020-07-02,D,Artemis Medicare Services Ord Shs,18.08,18.16,17.7,17.8,17569.999738,0
2020-07-03,D,Artemis Medicare Services Ord Shs,18.695,18.695,17.81,18.14,23409.999651,0
2020-07-06,D,Artemis Medicare Services Ord Shs,19.77,19.77,17.795,17.93,24329.999637,0
2020-07-07,D,Artemis Medicare Services Ord Shs,18.0,18.29,17.75,17.985,21819.999675,0
2020-07-08,D,Artemis Medicare Services Ord Shs,18.795,18.795,17.755,18.055,37249.999445,0
2020-07-09,D,Artemis Medicare Services Ord Shs,18.1,18.795,17.995,18.335,23429.999651,0
2020-07-10,D,Artemis Medicare Services Ord Shs,18.2,18.3,17.7,17.97,15739.999765,0
2020-07-13,D,Artemis Medicare Services Ord Shs,18.78,18.78,17.66,17.99,14129.999789,0
2020-07-14,D,Artemis Medicare Services Ord Shs,18.295,18.295,17.305,17.51,35759.999467,0
2020-07-15,D,Artemis Medicare Services Ord Shs,17.615,17.985,17.515,17.575,5189.999923,0
2020-07-16,D,Artemis Medicare Services Ord Shs,17.4,17.995,16.9,17.74,4779.999929,0
2020-07-17,D,Artemis Medicare Services Ord Shs,17.985,18.58,17.6,17.825,32029.999523,0
2020-07-20,D,Artemis Medicare Services Ord Shs,17.705,18.275,17.54,18.145,4129.999938,0
2020-07-21,D,Artemis Medicare Services Ord Shs,17.605,17.8,17.3,17.595,77369.998847,0
2020-07-22,D,Artemis Medicare Services Ord Shs,18.195,18.195,16.86,17.465,35229.999475,0
2020-07-23,D,Artemis Medicare Services Ord Shs,17.97,17.97,17.215,17.285,16889.999748,0
2020-07-24,D,Artemis Medicare Services Ord Shs,17.36,18.1,17.075,17.67,24329.999637,0
2020-07-27,D,Artemis Medicare Services Ord Shs,17.98,17.98,17.2,17.44,8629.999871,0
2020-07-28,D,Artemis Medicare Services Ord Shs,17.5,17.785,17.07,17.315,14289.999787,0
2020-07-29,D,Artemis Medicare Services Ord Shs,17.205,17.495,17.005,17.125,13869.999793,0
2020-07-30,D,Artemis Medicare Services Ord Shs,18.095,18.095,17.2,17.29,14649.999782,0
2020-07-31,D,Artemis Medicare Services Ord Shs,17.3,17.48,17.005,17.11,21619.999678,0
2020-08-03,D,Artemis Medicare Services Ord Shs,17.15,19.695,16.895,17.495,30439.999546,0
2020-08-04,D,Artemis Medicare Services Ord Shs,17.0,18.87,16.5,16.625,86409.998712,0
2020-08-05,D,Artemis Medicare Services Ord Shs,17.29,17.3,16.165,16.795,81239.998789,0
2020-08-06,D,Artemis Medicare Services Ord Shs,16.8,16.97,16.6,16.68,4799.999928,0
2020-08-07,D,Artemis Medicare Services Ord Shs,16.925,17.37,16.2,17.08,17159.999744,0
2020-08-10,D,Artemis Medicare Services Ord Shs,17.47,17.595,16.615,17.345,9169.999863,0
2020-08-11,D,Artemis Medicare Services Ord Shs,16.815,17.45,16.815,17.23,25579.999619,0
2020-08-12,D,Artemis Medicare Services Ord Shs,16.905,17.8,16.81,17.495,38109.999432,0
2020-08-13,D,Artemis Medicare Services Ord Shs,17.795,17.8,16.82,17.09,17249.999743,0
2020-08-14,D,Artemis Medicare Services Ord Shs,17.575,17.575,16.675,16.89,3359.99995,0
2020-08-17,D,Artemis Medicare Services Ord Shs,17.3,17.3,16.55,16.85,44639.999335,0
2020-08-18,D,Artemis Medicare Services Ord Shs,16.85,16.95,16.46,16.715,29259.999564,0
2020-08-19,D,Artemis Medicare Services Ord Shs,17.0,17.285,16.15,16.64,44149.999342,0
2020-08-20,D,Artemis Medicare Services Ord Shs,16.5,16.8,16.235,16.75,1459.999978,0
2020-08-21,D,Artemis Medicare Services Ord Shs,16.505,16.96,16.505,16.895,35479.999471,0
2020-08-24,D,Artemis Medicare Services Ord Shs,17.0,17.0,16.31,16.685,67609.998993,0
2020-08-25,D,Artemis Medicare Services Ord Shs,16.8,16.9,16.61,16.7,31599.999529,0
2020-08-26,D,Artemis Medicare Services Ord Shs,16.9,17.5,16.7,16.725,18129.99973,0
2020-08-27,D,Artemis Medicare Services Ord Shs,16.9,17.0,16.705,16.79,12679.999811,0
2020-08-28,D,Artemis Medicare Services Ord Shs,17.0,17.655,16.7,16.71,31389.999532,0
2020-08-31,D,Artemis Medicare Services Ord Shs,16.525,16.895,16.125,16.145,20189.999699,0
2020-09-01,D,Artemis Medicare Services Ord Shs,16.025,16.7,16.025,16.67,9559.999858,0
2020-09-02,D,Artemis Medicare Services Ord Shs,16.7,16.7,16.0,16.51,6829.999898,0
2020-09-03,D,Artemis Medicare Services Ord Shs,16.4,16.8,16.11,16.675,9179.999863,0
2020-09-04,D,Artemis Medicare Services Ord Shs,16.9,17.0,16.28,16.455,21939.999673,0
2020-09-07,D,Artemis Medicare Services Ord Shs,16.8,16.8,16.3,16.41,3479.999948,0
2020-09-08,D,Artemis Medicare Services Ord Shs,16.3,16.895,16.005,16.18,20999.999687,0
2020-09-09,D,Artemis Medicare Services Ord Shs,16.0,16.495,15.805,16.005,9629.999857,0
2020-09-10,D,Artemis Medicare Services Ord Shs,16.495,16.495,15.62,16.2,49129.999268,0
2020-09-11,D,Artemis Medicare Services Ord Shs,16.49,16.7,16.3,16.335,13009.999806,0
2020-09-14,D,Artemis Medicare Services Ord Shs,16.335,16.475,16.005,16.115,12979.999807,0
2020-09-15,D,Artemis Medicare Services Ord Shs,16.3,16.3,16.11,16.155,4609.999931,0
2020-09-16,D,Artemis Medicare Services Ord Shs,16.3,16.5,16.02,16.44,6799.999899,0
2020-09-17,D,Artemis Medicare Services Ord Shs,16.2,16.4,16.2,16.325,13599.999797,0
2020-09-18,D,Artemis Medicare Services Ord Shs,16.2,16.7,13.5,15.155,87119.998702,0
2020-09-21,D,Artemis Medicare Services Ord Shs,15.77,15.77,14.515,14.865,34319.999489,0
2020-09-22,D,Artemis Medicare Services Ord Shs,15.475,15.475,14.47,15.175,49529.999262,0
2020-09-23,D,Artemis Medicare Services Ord Shs,15.0,15.875,15.0,15.395,10059.99985,0
2020-09-24,D,Artemis Medicare Services Ord Shs,14.86,15.72,14.86,15.405,13379.999801,0
2020-09-25,D,Artemis Medicare Services Ord Shs,15.7,16.245,15.11,15.995,23989.999643,0
2020-09-28,D,Artemis Medicare Services Ord Shs,15.995,16.385,15.8,16.165,14419.999785,0
2020-09-29,D,Artemis Medicare Services Ord Shs,16.0,16.285,15.81,15.855,2319.999965,0
2020-09-30,D,Artemis Medicare Services Ord Shs,15.7,16.275,15.225,15.38,6179.999908,0
2020-10-01,D,Artemis Medicare Services Ord Shs,15.7,16.0,15.43,15.6,19969.999702,0
2020-10-05,D,Artemis Medicare Services Ord Shs,15.315,15.88,15.155,15.33,23959.999643,0
2020-10-06,D,Artemis Medicare Services Ord Shs,15.2,15.9,15.2,15.575,11829.999824,0
2020-10-07,D,Artemis Medicare Services Ord Shs,15.5,15.98,15.12,15.52,26619.999603,0
2020-10-08,D,Artemis Medicare Services Ord Shs,15.5,15.895,15.315,15.43,10539.999843,0
2020-10-09,D,Artemis Medicare Services Ord Shs,15.5,15.965,15.23,15.355,9149.999864,0
2020-10-12,D,Artemis Medicare Services Ord Shs,15.5,15.8,15.38,15.59,15719.999766,0
2020-10-13,D,Artemis Medicare Services Ord Shs,15.5,15.795,15.31,15.49,15289.999772,0
2020-10-14,D,Artemis Medicare Services Ord Shs,15.49,15.68,15.36,15.62,6159.999908,0
2020-10-15,D,Artemis Medicare Services Ord Shs,15.4,15.51,15.1,15.165,9949.999852,0
2020-10-16,D,Artemis Medicare Services Ord Shs,15.69,15.8,15.31,15.595,5559.999917,0
2020-10-19,D,Artemis Medicare Services Ord Shs,15.3,15.305,15.215,15.305,1869.999972,0
2020-10-20,D,Artemis Medicare Services Ord Shs,15.4,15.45,15.4,15.45,1099.999984,0
2020-10-21,D,Artemis Medicare Services Ord Shs,15.8,15.8,15.405,15.735,28229.999579,0
2020-10-22,D,Artemis Medicare Services Ord Shs,15.6,16.67,15.23,16.115,19029.999716,0
2020-10-23,D,Artemis Medicare Services Ord Shs,16.7,16.8,16.01,16.2,61449.999084,0
2020-10-26,D,Artemis Medicare Services Ord Shs,17.17,17.51,16.0,16.305,62719.999065,0
2020-10-27,D,Artemis Medicare Services Ord Shs,16.305,17.1,16.0,16.95,55919.999167,0
2020-10-28,D,Artemis Medicare Services Ord Shs,16.8,16.9,16.23,16.555,10429.999845,0
2020-10-29,D,Artemis Medicare Services Ord Shs,16.77,16.77,16.035,16.2,2379.999965,0
2020-10-30,D,Artemis Medicare Services Ord Shs,16.78,16.78,15.85,16.435,3339.99995,0
2020-11-02,D,Artemis Medicare Services Ord Shs,16.765,16.765,15.9,15.92,19809.999705,0
2020-11-03,D,Artemis Medicare Services Ord Shs,16.6,16.6,15.6,15.65,10659.999841,0
2020-11-04,D,Artemis Medicare Services Ord Shs,16.35,16.35,15.6,15.605,20289.999698,0
2020-11-05,D,Artemis Medicare Services Ord Shs,15.805,15.885,15.305,15.465,6739.9999,0
2020-11-06,D,Artemis Medicare Services Ord Shs,15.4,16.1,15.21,16.02,58149.999133,0
2020-11-09,D,Artemis Medicare Services Ord Shs,15.8,16.295,15.605,15.65,4299.999936,0
2020-11-10,D,Artemis Medicare Services Ord Shs,15.8,16.145,15.8,15.8,3759.999944,1
2020-11-11,D,Artemis Medicare Services Ord Shs,15.7,16.0,15.605,15.71,16149.999759,0
2020-11-12,D,Artemis Medicare Services Ord Shs,15.6,15.98,15.42,15.605,16669.999752,0
2020-11-13,D,Artemis Medicare Services Ord Shs,15.505,15.9,15.505,15.885,2499.999963,0
2020-11-14,D,Artemis Medicare Services Ord Shs,15.8,16.085,15.6,15.91,149.999998,0
2020-11-17,D,Artemis Medicare Services Ord Shs,15.91,16.29,15.605,15.75,24329.999637,0
2020-11-18,D,Artemis Medicare Services Ord Shs,15.8,15.915,15.4,15.41,31399.999532,0
2020-11-19,D,Artemis Medicare Services Ord Shs,15.815,15.86,15.485,15.505,3049.999955,0
2020-11-20,D,Artemis Medicare Services Ord Shs,15.5,16.0,15.5,15.955,47549.999291,0
2020-11-23,D,Artemis Medicare Services Ord Shs,15.8,15.9,15.68,15.755,14559.999783,0
2020-11-24,D,Artemis Medicare Services Ord Shs,15.7,16.09,15.695,15.825,35559.99947,0
2020-11-25,D,Artemis Medicare Services Ord Shs,15.82,15.95,15.565,15.9,28699.999572,0
2020-11-26,D,Artemis Medicare Services Ord Shs,15.8,16.275,15.79,16.07,29369.999562,0
2020-11-27,D,Artemis Medicare Services Ord Shs,15.51,16.65,15.51,16.325,52189.999222,0
2020-12-01,D,Artemis Medicare Services Ord Shs,16.655,19.39,16.51,17.585,112339.998326,0
2020-12-02,D,Artemis Medicare Services Ord Shs,17.585,19.475,17.3,19.295,369269.994497,0
2020-12-03,D,Artemis Medicare Services Ord Shs,19.685,19.685,18.225,18.51,45839.999317,0
2020-12-04,D,Artemis Medicare Services Ord Shs,19.295,19.84,18.26,19.465,85379.998728,0
2020-12-07,D,Artemis Medicare Services Ord Shs,19.695,21.49,19.695,21.33,222599.996683,0
2020-12-08,D,Artemis Medicare Services Ord Shs,22.1,22.79,21.705,22.23,116169.998269,0
2020-12-09,D,Artemis Medicare Services Ord Shs,22.5,23.49,21.995,22.795,99899.998511,0
2020-12-10,D,Artemis Medicare Services Ord Shs,23.15,24.51,20.23,23.575,107909.998392,0
2020-12-11,D,Artemis Medicare Services Ord Shs,24.475,24.5,22.8,22.9,53419.999204,0
2020-12-14,D,Artemis Medicare Services Ord Shs,24.27,24.395,21.62,21.99,46369.999309,0
2020-12-15,D,Artemis Medicare Services Ord Shs,21.855,22.4,21.51,22.0,11019.999836,0
2020-12-16,D,Artemis Medicare Services Ord Shs,22.495,22.495,21.8,21.935,11269.999832,0
2020-12-17,D,Artemis Medicare Services Ord Shs,21.7,22.5,21.7,21.9,8359.999875,0
2020-12-18,D,Artemis Medicare Services Ord Shs,22.5,22.995,22.0,22.83,27259.999594,0
2020-12-21,D,Artemis Medicare Services Ord Shs,23.4,23.94,22.58,22.865,34349.999488,0
2020-12-22,D,Artemis Medicare Services Ord Shs,22.865,22.865,22.0,22.58,5249.999922,0
2020-12-23,D,Artemis Medicare Services Ord Shs,22.4,22.5,21.51,22.5,3619.999946,0
2020-12-24,D,Artemis Medicare Services Ord Shs,22.495,22.5,21.4,22.4,6739.9999,0
2020-12-28,D,Artemis Medicare Services Ord Shs,21.505,22.69,21.4,22.69,369.999994,0
2020-12-29,D,Artemis Medicare Services Ord Shs,22.6,22.685,21.65,21.705,4729.99993,0
2020-12-30,D,Artemis Medicare Services Ord Shs,22.5,22.68,21.72,22.395,1669.999975,0
2020-12-31,D,Artemis Medicare Services Ord Shs,22.385,22.6,21.9,22.545,12089.99982,0
2021-01-01,D,Artemis Medicare Services Ord Shs,22.5,22.5,21.81,21.945,2909.999957,0
2021-01-04,D,Artemis Medicare Services Ord Shs,21.945,22.7,21.925,22.005,3319.999951,0
2021-01-05,D,Artemis Medicare Services Ord Shs,21.1,22.39,20.91,21.61,2739.999959,0
2021-01-06,D,Artemis Medicare Services Ord Shs,21.7,22.095,21.61,21.71,4959.999926,0
2021-01-07,D,Artemis Medicare Services Ord Shs,21.71,22.6,21.5,21.815,10809.999839,0
2021-01-08,D,Artemis Medicare Services Ord Shs,21.59,21.9,21.5,21.71,20329.999697,0
2021-01-11,D,Artemis Medicare Services Ord Shs,21.95,22.7,21.0,22.7,23199.999654,0
2021-01-12,D,Artemis Medicare Services Ord Shs,22.7,22.7,22.0,22.21,11399.99983,0
2021-01-13,D,Artemis Medicare Services Ord Shs,23.28,23.3,22.5,22.51,18519.999724,0
2021-01-14,D,Artemis Medicare Services Ord Shs,21.8,23.635,21.8,23.1,22339.999667,0
2021-01-15,D,Artemis Medicare Services Ord Shs,24.1,24.1,23.02,23.535,30169.99955,0
2021-01-18,D,Artemis Medicare Services Ord Shs,23.7,23.7,22.705,23.21,7789.999884,0
2021-01-19,D,Artemis Medicare Services Ord Shs,22.85,23.2,22.4,22.55,16499.999754,0
2021-01-20,D,Artemis Medicare Services Ord Shs,23.2,23.3,21.665,22.795,1649.999975,0
2021-01-21,D,Artemis Medicare Services Ord Shs,22.795,22.795,21.7,22.095,8619.999872,0
2021-01-22,D,Artemis Medicare Services Ord Shs,22.0,22.0,21.0,21.015,18249.999728,0
2021-01-25,D,Artemis Medicare Services Ord Shs,21.5,22.05,20.715,21.0,37309.999444,0
2021-01-27,D,Artemis Medicare Services Ord Shs,21.0,21.795,20.4,21.2,22109.999671,0
2021-01-28,D,Artemis Medicare Services Ord Shs,21.0,21.49,20.57,21.02,36419.999457,0
2021-01-29,D,Artemis Medicare Services Ord Shs,21.295,21.295,20.4,21.0,31239.999534,0
2021-02-01,D,Artemis Medicare Services Ord Shs,20.6,21.27,20.6,20.6,9809.999854,1
2021-02-02,D,Artemis Medicare Services Ord Shs,20.6,21.43,20.105,20.98,100659.9985,0
2021-02-03,D,Artemis Medicare Services Ord Shs,20.55,21.4,20.51,20.515,15779.999765,0
2021-02-04,D,Artemis Medicare Services Ord Shs,20.8,21.5,20.61,21.3,36579.999455,0
2021-02-05,D,Artemis Medicare Services Ord Shs,23.24,23.295,21.4,22.075,56079.999164,0
2021-02-08,D,Artemis Medicare Services Ord Shs,23.84,23.88,20.62,21.545,75079.998881,0
2021-02-09,D,Artemis Medicare Services Ord Shs,21.555,21.97,19.625,20.695,54719.999185,0
2021-02-10,D,Artemis Medicare Services Ord Shs,21.825,21.825,18.82,19.86,135519.997981,0
2021-02-11,D,Artemis Medicare Services Ord Shs,19.8,21.5,19.8,21.215,30649.999543,0
2021-02-12,D,Artemis Medicare Services Ord Shs,22.375,23.335,20.905,22.81,126029.998122,0
2021-02-15,D,Artemis Medicare Services Ord Shs,23.01,25.09,22.6,24.605,167059.997511,0
2021-02-16,D,Artemis Medicare Services Ord Shs,24.745,26.9,24.39,26.635,105979.998421,0
2021-02-17,D,Artemis Medicare Services Ord Shs,27.17,27.17,25.305,25.46,17679.999737,0
2021-02-18,D,Artemis Medicare Services Ord Shs,25.5,25.735,24.59,25.175,35369.999473,0
2021-02-19,D,Artemis Medicare Services Ord Shs,25.09,25.09,23.92,23.92,11399.99983,0
2021-02-22,D,Artemis Medicare Services Ord Shs,23.92,24.62,23.05,23.31,110149.998359,0
2021-02-23,D,Artemis Medicare Services Ord Shs,23.31,23.615,22.9,23.11,73999.998897,0
