Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-08-26,D,Arvind Smartspaces Ord Shs,55.698333,55.698333,52.9159,52.9159,9735,0
2015-08-27,D,Arvind Smartspaces Ord Shs,50.282527,50.282527,50.282527,50.282527,3099,1
2015-08-28,D,Arvind Smartspaces Ord Shs,47.798212,47.798212,47.798212,47.798212,1832,1
2015-08-31,D,Arvind Smartspaces Ord Shs,45.41327,45.41327,45.41327,45.41327,761,1
2015-09-01,D,Arvind Smartspaces Ord Shs,43.177387,43.177387,43.177387,43.177387,1024,1
2015-09-02,D,Arvind Smartspaces Ord Shs,41.040877,41.040877,41.040877,41.040877,2261,1
2015-09-03,D,Arvind Smartspaces Ord Shs,39.003739,39.003739,39.003739,39.003739,2748,1
2015-09-04,D,Arvind Smartspaces Ord Shs,37.065973,37.065973,37.065973,37.065973,3607,1
2015-09-07,D,Arvind Smartspaces Ord Shs,35.227581,35.227581,35.227581,35.227581,1338,1
2015-09-08,D,Arvind Smartspaces Ord Shs,33.48856,33.48856,33.48856,33.48856,342,1
2015-09-09,D,Arvind Smartspaces Ord Shs,30.159579,30.159579,30.159579,30.159579,20260,1
2015-09-10,D,Arvind Smartspaces Ord Shs,27.178401,33.140756,27.178401,33.140756,2182966,0
2015-09-11,D,Arvind Smartspaces Ord Shs,34.979149,36.420052,31.898599,35.674757,2163150,0
2015-09-14,D,Arvind Smartspaces Ord Shs,38.954052,39.202484,37.860954,39.202484,1567313,0
2015-09-15,D,Arvind Smartspaces Ord Shs,42.133975,43.078015,41.53774,43.078015,190600,0
2015-09-16,D,Arvind Smartspaces Ord Shs,45.214525,45.214525,45.214525,45.214525,73962,1
2015-09-18,D,Arvind Smartspaces Ord Shs,47.450408,47.450408,47.450408,47.450408,236435,1
2015-09-21,D,Arvind Smartspaces Ord Shs,47.69884,49.785664,45.115152,49.785664,2014665,0
2015-09-22,D,Arvind Smartspaces Ord Shs,52.269978,52.269978,48.692565,52.12092,1182409,0
2015-09-23,D,Arvind Smartspaces Ord Shs,51.17688,54.704607,50.183154,54.704607,416724,0
2015-09-24,D,Arvind Smartspaces Ord Shs,56.145509,57.437353,55.847391,57.437353,183045,0
2015-09-28,D,Arvind Smartspaces Ord Shs,60.269471,60.269471,60.269471,60.269471,5201,1
2015-09-29,D,Arvind Smartspaces Ord Shs,61.014766,63.250649,57.785157,63.250649,1203975,0
2015-09-30,D,Arvind Smartspaces Ord Shs,65.387159,66.380885,65.287787,66.380885,70229,0
2015-10-01,D,Arvind Smartspaces Ord Shs,69.66018,69.66018,63.797198,69.66018,603030,1
2015-10-05,D,Arvind Smartspaces Ord Shs,72.442613,73.138221,72.442613,73.138221,25771,0
2015-10-06,D,Arvind Smartspaces Ord Shs,76.76532,76.76532,73.535711,76.76532,643304,1
2015-10-07,D,Arvind Smartspaces Ord Shs,79.398693,79.498066,72.939476,72.939476,774684,0
2015-10-08,D,Arvind Smartspaces Ord Shs,71.548259,71.548259,69.312376,69.312376,103117,0
2015-10-09,D,Arvind Smartspaces Ord Shs,66.082767,72.74073,65.884022,72.74073,1162337,0
2015-10-12,D,Arvind Smartspaces Ord Shs,76.36783,76.36783,73.535711,75.324418,669148,0
2015-10-13,D,Arvind Smartspaces Ord Shs,76.516889,77.460928,71.597946,71.597946,120123,0
2015-10-14,D,Arvind Smartspaces Ord Shs,68.020533,71.051397,68.020533,68.070219,161120,0
2015-10-15,D,Arvind Smartspaces Ord Shs,66.679003,71.448887,65.685277,69.461435,323197,0
2015-10-16,D,Arvind Smartspaces Ord Shs,70.554534,72.889789,66.281513,71.150769,395956,0
