Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-03-20,D,Astral Ord Shs,4.635,5.11425,4.5,4.74075,107248952.359288,0
2007-03-21,D,Astral Ord Shs,4.725,4.83975,4.3965,4.4505,27409310.29425,0
2007-03-22,D,Astral Ord Shs,4.59,4.68,4.3785,4.42125,9761644.153525,0
2007-03-23,D,Astral Ord Shs,4.49775,4.49775,4.05675,4.1805,4447199.867463,0
2007-03-26,D,Astral Ord Shs,4.14,4.14225,3.8745,3.9105,2657044.365258,0
2007-03-28,D,Astral Ord Shs,3.9825,3.9825,3.555,3.61125,1343599.959958,0
2007-03-29,D,Astral Ord Shs,3.6,3.645,3.42675,3.492,1938133.275572,0
2007-03-30,D,Astral Ord Shs,3.645,3.825,3.42225,3.7305,3068377.686333,0
2007-04-02,D,Astral Ord Shs,3.5325,3.8205,3.51675,3.609,791799.976403,0
2007-04-03,D,Astral Ord Shs,3.61125,3.735,3.5595,3.61125,421644.431878,1
2007-04-04,D,Astral Ord Shs,3.663,3.663,3.47625,3.501,364666.655799,0
2007-04-05,D,Astral Ord Shs,3.4875,3.7575,3.47625,3.537,610533.315138,0
2007-04-09,D,Astral Ord Shs,3.57525,3.7125,3.54375,3.57075,469399.986011,0
2007-04-10,D,Astral Ord Shs,3.519,3.627,3.4245,3.58875,285088.880393,0
2007-04-11,D,Astral Ord Shs,3.5775,3.67875,3.5685,3.58875,345377.767485,0
2007-04-12,D,Astral Ord Shs,3.5325,3.61575,3.51,3.52575,78422.219885,0
2007-04-13,D,Astral Ord Shs,3.4425,3.58875,3.42225,3.50325,134622.21821,0
2007-04-16,D,Astral Ord Shs,3.53925,3.8385,3.51675,3.77325,1195799.964362,0
2007-04-17,D,Astral Ord Shs,3.744,3.951,3.69,3.81375,606844.426359,0
2007-04-18,D,Astral Ord Shs,3.825,4.383,3.825,4.18725,5471377.614718,0
2007-04-19,D,Astral Ord Shs,4.23,4.2615,3.96,4.113,778355.532359,0
2007-04-20,D,Astral Ord Shs,4.12425,4.212,3.9375,3.96225,415711.098722,0
2007-04-23,D,Astral Ord Shs,4.059,4.11525,3.92625,3.95775,280688.880524,0
2007-04-24,D,Astral Ord Shs,3.915,4.3965,3.8925,4.1715,2254044.377269,0
2007-04-25,D,Astral Ord Shs,4.1625,4.7475,4.1535,4.43025,5541199.834859,0
2007-04-26,D,Astral Ord Shs,4.55625,4.725,4.2795,4.32,2061355.494122,0
2007-04-27,D,Astral Ord Shs,4.374,4.5,4.29975,4.40325,729399.978262,0
2007-04-30,D,Astral Ord Shs,4.329,4.67325,4.329,4.59675,752444.42202,0
2007-05-03,D,Astral Ord Shs,4.6305,4.7295,4.46625,4.53375,512377.762508,0
2007-05-04,D,Astral Ord Shs,4.545,4.88475,4.545,4.69125,2258755.488239,0
2007-05-07,D,Astral Ord Shs,4.95,5.04,4.78125,4.82625,1313177.738642,0
2007-05-08,D,Astral Ord Shs,4.725,4.86,4.6575,4.743,597799.982184,0
2007-05-09,D,Astral Ord Shs,4.6575,4.806,4.5675,4.662,397199.988163,0
2007-05-10,D,Astral Ord Shs,4.59225,4.9455,4.59225,4.86225,685866.646226,0
2007-05-11,D,Astral Ord Shs,5.13,5.13,4.59,4.878,771311.088124,0
2007-05-14,D,Astral Ord Shs,4.9095,5.058,4.896,4.9545,441777.764612,0
2007-05-15,D,Astral Ord Shs,5.058,5.28525,4.9095,5.13,2915488.802001,0
2007-05-16,D,Astral Ord Shs,5.1975,5.283,4.995,5.0445,587888.871368,0
2007-05-17,D,Astral Ord Shs,5.085,5.1255,4.8645,4.90275,407911.098954,0
2007-05-18,D,Astral Ord Shs,4.86675,5.0625,4.86,4.92975,314777.768397,0
2007-05-21,D,Astral Ord Shs,4.95,5.175,4.95,5.049,458688.875219,0
2007-05-22,D,Astral Ord Shs,5.00175,5.2605,5.00175,5.15925,1902088.832202,0
2007-05-23,D,Astral Ord Shs,5.1975,5.3145,5.0445,5.08725,999911.081311,0
2007-05-24,D,Astral Ord Shs,4.96575,5.13,4.96575,5.05125,161777.772956,0
2007-05-25,D,Astral Ord Shs,5.0625,5.21325,4.995,5.14125,417955.5431,0
2007-05-28,D,Astral Ord Shs,5.1615,5.18625,5.085,5.1525,280777.76941,0
2007-05-29,D,Astral Ord Shs,5.1525,5.1525,5.0445,5.121,192777.772033,0
2007-05-30,D,Astral Ord Shs,5.121,5.13,5.04,5.06475,242088.881674,0
2007-05-31,D,Astral Ord Shs,4.86,5.0625,4.86,4.923,356222.211606,0
2007-06-01,D,Astral Ord Shs,4.9905,5.18625,4.9905,5.16375,576911.093918,0
2007-06-04,D,Astral Ord Shs,5.175,5.19975,5.08725,5.11425,257333.325664,0
2007-06-05,D,Astral Ord Shs,5.1075,5.1705,4.995,5.013,96822.219337,0
2007-06-06,D,Astral Ord Shs,5.13,5.1435,4.8645,4.87575,163422.217352,0
2007-06-07,D,Astral Ord Shs,4.9365,4.94775,4.7295,4.824,130933.329431,0
2007-06-08,D,Astral Ord Shs,4.7295,4.95,4.725,4.91625,114155.552153,0
2007-06-11,D,Astral Ord Shs,4.86,4.995,4.7745,4.83075,75955.553292,0
2007-06-12,D,Astral Ord Shs,4.635,4.7475,4.635,4.6755,110911.107806,0
2007-06-13,D,Astral Ord Shs,4.6035,4.752,4.52475,4.5585,60066.664877,0
2007-06-14,D,Astral Ord Shs,4.7205,4.7205,4.527,4.61475,27844.443615,0
2007-06-15,D,Astral Ord Shs,4.62375,4.83075,4.62375,4.82175,52066.665115,0
2007-06-18,D,Astral Ord Shs,4.9275,4.9275,4.6395,4.74975,40733.332119,0
2007-06-19,D,Astral Ord Shs,4.905,4.905,4.59,4.716,39311.10994,0
2007-06-20,D,Astral Ord Shs,4.7655,4.7835,4.635,4.698,72444.442285,0
2007-06-21,D,Astral Ord Shs,4.6845,4.81275,4.68,4.752,70622.220118,0
2007-06-22,D,Astral Ord Shs,4.725,4.83975,4.689,4.74075,74177.775567,0
2007-06-25,D,Astral Ord Shs,4.815,4.86,4.59225,4.6395,78977.775424,0
2007-06-26,D,Astral Ord Shs,4.7295,4.851,4.635,4.77225,745333.311121,0
2007-06-27,D,Astral Ord Shs,4.8375,4.86,4.7475,4.806,659577.758121,0
