Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-06,D,Agro Tech Foods Ord Shs,255.0,255.0,255.0,255.0,100,1
1995-01-03,D,Agro Tech Foods Ord Shs,230.0,230.0,225.0,225.0,1500,0
1995-01-06,D,Agro Tech Foods Ord Shs,215.0,215.0,215.0,215.0,100,1
1995-01-09,D,Agro Tech Foods Ord Shs,225.0,225.0,225.0,225.0,100,1
1995-01-18,D,Agro Tech Foods Ord Shs,225.0,225.0,225.0,225.0,100,1
1995-01-23,D,Agro Tech Foods Ord Shs,220.0,220.0,220.0,220.0,200,1
1995-02-02,D,Agro Tech Foods Ord Shs,194.0,200.0,194.0,200.0,200,0
1995-02-03,D,Agro Tech Foods Ord Shs,204.0,204.0,204.0,204.0,400,1
1995-02-06,D,Agro Tech Foods Ord Shs,210.0,210.0,210.0,210.0,100,1
1995-02-07,D,Agro Tech Foods Ord Shs,205.0,205.0,205.0,205.0,200,1
1995-02-09,D,Agro Tech Foods Ord Shs,205.0,205.0,205.0,205.0,400,1
1995-02-10,D,Agro Tech Foods Ord Shs,205.0,205.0,205.0,205.0,300,1
1995-02-14,D,Agro Tech Foods Ord Shs,200.0,200.0,200.0,200.0,1100,1
1995-02-15,D,Agro Tech Foods Ord Shs,205.0,205.0,200.0,200.0,200,0
1995-02-17,D,Agro Tech Foods Ord Shs,202.5,202.5,200.0,200.0,500,0
1995-02-20,D,Agro Tech Foods Ord Shs,190.0,190.0,190.0,190.0,100,1
1995-02-21,D,Agro Tech Foods Ord Shs,195.0,195.0,195.0,195.0,100,1
1995-02-22,D,Agro Tech Foods Ord Shs,195.0,195.0,193.0,193.0,200,0
1995-03-01,D,Agro Tech Foods Ord Shs,200.0,200.0,200.0,200.0,100,1
1995-03-06,D,Agro Tech Foods Ord Shs,200.0,200.0,196.5,196.5,200,0
1995-03-07,D,Agro Tech Foods Ord Shs,202.0,203.0,202.0,203.0,300,0
1995-03-08,D,Agro Tech Foods Ord Shs,200.0,200.0,197.0,197.0,300,0
1995-03-13,D,Agro Tech Foods Ord Shs,196.5,196.5,195.0,195.0,200,0
1995-03-14,D,Agro Tech Foods Ord Shs,193.0,193.0,193.0,193.0,100,1
1995-03-15,D,Agro Tech Foods Ord Shs,205.0,210.0,205.0,210.0,300,0
1995-03-16,D,Agro Tech Foods Ord Shs,205.0,205.0,205.0,205.0,100,1
1995-03-20,D,Agro Tech Foods Ord Shs,200.0,200.0,197.0,198.0,300,0
1995-03-23,D,Agro Tech Foods Ord Shs,210.0,210.0,210.0,210.0,100,1
1995-03-28,D,Agro Tech Foods Ord Shs,190.0,190.0,190.0,190.0,100,1
1995-03-29,D,Agro Tech Foods Ord Shs,190.0,190.0,190.0,190.0,200,1
1995-03-30,D,Agro Tech Foods Ord Shs,185.0,185.0,185.0,185.0,200,1
1995-03-31,D,Agro Tech Foods Ord Shs,185.0,185.0,185.0,185.0,500,1
1995-04-03,D,Agro Tech Foods Ord Shs,190.0,190.0,180.0,180.0,600,0
1995-04-04,D,Agro Tech Foods Ord Shs,186.0,186.0,182.0,183.0,300,0
1995-04-05,D,Agro Tech Foods Ord Shs,180.0,190.0,180.0,190.0,200,0
1995-04-06,D,Agro Tech Foods Ord Shs,190.0,190.0,187.0,187.0,500,0
1995-04-07,D,Agro Tech Foods Ord Shs,189.0,192.0,189.0,190.0,400,0
1995-04-10,D,Agro Tech Foods Ord Shs,185.0,185.0,185.0,185.0,300,1
1995-04-11,D,Agro Tech Foods Ord Shs,170.0,185.0,170.0,185.0,300,0
1995-04-17,D,Agro Tech Foods Ord Shs,187.5,187.5,180.0,180.0,200,0
1995-04-18,D,Agro Tech Foods Ord Shs,181.0,181.0,175.0,175.0,300,0
1995-04-19,D,Agro Tech Foods Ord Shs,174.0,175.0,174.0,175.0,300,0
1995-04-20,D,Agro Tech Foods Ord Shs,170.0,174.0,170.0,170.0,500,1
1995-04-21,D,Agro Tech Foods Ord Shs,169.0,169.0,155.0,155.0,600,0
1995-04-24,D,Agro Tech Foods Ord Shs,157.0,158.0,155.0,158.0,600,0
1995-04-25,D,Agro Tech Foods Ord Shs,158.0,158.0,155.0,155.0,300,0
1995-04-26,D,Agro Tech Foods Ord Shs,155.0,155.0,154.0,154.0,200,0
1995-04-27,D,Agro Tech Foods Ord Shs,157.0,157.0,156.0,156.35,400,0
1995-04-28,D,Agro Tech Foods Ord Shs,154.0,154.0,150.5,153.25,900,0
1995-05-02,D,Agro Tech Foods Ord Shs,150.0,150.0,150.0,150.0,100,1
1995-05-03,D,Agro Tech Foods Ord Shs,135.0,135.0,135.0,135.0,500,1
1995-05-04,D,Agro Tech Foods Ord Shs,143.0,143.0,142.0,142.0,400,0
1995-05-05,D,Agro Tech Foods Ord Shs,142.0,149.5,142.0,147.25,600,0
1995-05-08,D,Agro Tech Foods Ord Shs,150.0,150.0,149.95,150.0,500,1
1995-05-09,D,Agro Tech Foods Ord Shs,152.0,160.0,152.0,159.95,1200,0
1995-05-10,D,Agro Tech Foods Ord Shs,155.0,155.0,148.0,148.0,300,0
1995-05-12,D,Agro Tech Foods Ord Shs,150.05,150.05,150.0,150.0,300,0
1995-05-15,D,Agro Tech Foods Ord Shs,141.0,141.0,140.0,140.0,200,0
1995-05-16,D,Agro Tech Foods Ord Shs,141.0,142.0,139.5,139.5,500,0
1995-05-17,D,Agro Tech Foods Ord Shs,138.0,140.0,138.0,139.0,400,0
1995-05-18,D,Agro Tech Foods Ord Shs,140.0,145.0,140.0,142.0,1100,0
1995-05-19,D,Agro Tech Foods Ord Shs,142.5,142.5,140.0,140.0,500,0
1995-05-22,D,Agro Tech Foods Ord Shs,139.0,139.0,135.0,135.0,400,0
1995-05-23,D,Agro Tech Foods Ord Shs,148.0,148.0,140.0,140.0,200,0
1995-05-24,D,Agro Tech Foods Ord Shs,141.0,141.0,140.0,140.0,200,0
1995-05-25,D,Agro Tech Foods Ord Shs,140.0,140.0,135.0,135.0,300,0
1995-05-26,D,Agro Tech Foods Ord Shs,138.0,138.0,134.0,134.0,400,0
1995-05-29,D,Agro Tech Foods Ord Shs,132.0,132.0,131.0,131.0,400,0
1995-05-30,D,Agro Tech Foods Ord Shs,130.0,132.0,130.0,131.0,600,0
1995-05-31,D,Agro Tech Foods Ord Shs,131.0,131.0,128.0,128.0,500,0
1995-06-01,D,Agro Tech Foods Ord Shs,129.0,129.0,129.0,129.0,200,1
1995-06-02,D,Agro Tech Foods Ord Shs,129.0,130.0,128.0,128.0,1000,0
1995-06-05,D,Agro Tech Foods Ord Shs,130.0,130.0,127.0,129.7,500,0
1995-06-06,D,Agro Tech Foods Ord Shs,128.0,129.0,119.0,122.0,700,0
1995-06-07,D,Agro Tech Foods Ord Shs,128.75,129.0,122.05,122.05,1700,0
1995-06-08,D,Agro Tech Foods Ord Shs,125.0,127.0,125.0,127.0,200,0
1995-06-09,D,Agro Tech Foods Ord Shs,126.0,126.0,117.0,117.0,400,0
1995-06-12,D,Agro Tech Foods Ord Shs,120.0,120.0,119.0,119.0,200,0
1995-06-13,D,Agro Tech Foods Ord Shs,124.75,124.75,122.0,123.4,200,0
1995-06-14,D,Agro Tech Foods Ord Shs,123.4,123.4,119.0,119.0,200,0
1995-06-15,D,Agro Tech Foods Ord Shs,120.0,120.0,120.0,120.0,200,1
1995-06-16,D,Agro Tech Foods Ord Shs,118.0,118.0,118.0,118.0,300,1
1995-06-20,D,Agro Tech Foods Ord Shs,121.0,123.0,120.0,120.0,1000,0
1995-06-21,D,Agro Tech Foods Ord Shs,117.5,120.0,117.5,120.0,300,0
1995-06-22,D,Agro Tech Foods Ord Shs,115.0,115.0,115.0,115.0,100,1
1995-06-23,D,Agro Tech Foods Ord Shs,116.5,116.5,115.0,115.0,300,0
1995-06-26,D,Agro Tech Foods Ord Shs,114.0,114.0,108.0,108.0,200,0
1995-06-27,D,Agro Tech Foods Ord Shs,108.0,108.0,108.0,108.0,200,1
1995-06-28,D,Agro Tech Foods Ord Shs,108.5,108.5,104.0,105.0,1200,0
1995-06-29,D,Agro Tech Foods Ord Shs,104.0,108.0,102.5,104.35,900,0
1995-06-30,D,Agro Tech Foods Ord Shs,99.0,99.0,98.5,98.5,300,0
1995-07-03,D,Agro Tech Foods Ord Shs,97.75,97.75,97.0,97.0,500,0
1995-07-04,D,Agro Tech Foods Ord Shs,95.0,99.5,90.0,95.9,1100,0
1995-07-05,D,Agro Tech Foods Ord Shs,93.0,93.0,93.0,93.0,400,1
1995-07-06,D,Agro Tech Foods Ord Shs,92.0,92.0,87.0,88.0,1500,0
1995-07-07,D,Agro Tech Foods Ord Shs,87.0,87.0,85.05,86.5,6400,0
1995-07-10,D,Agro Tech Foods Ord Shs,88.0,88.0,87.0,87.0,800,0
1995-07-11,D,Agro Tech Foods Ord Shs,86.0,90.0,86.0,87.0,1600,0
1995-07-12,D,Agro Tech Foods Ord Shs,88.0,89.0,88.0,88.0,1400,1
1995-07-13,D,Agro Tech Foods Ord Shs,90.0,90.0,88.0,88.0,1400,0
1995-07-14,D,Agro Tech Foods Ord Shs,95.0,97.0,92.0,97.0,1500,0
1995-07-17,D,Agro Tech Foods Ord Shs,105.0,109.0,104.0,107.0,1400,0
1995-07-18,D,Agro Tech Foods Ord Shs,111.05,114.95,107.0,110.25,2200,0
1995-07-19,D,Agro Tech Foods Ord Shs,107.0,109.95,103.05,108.0,1800,0
1995-07-20,D,Agro Tech Foods Ord Shs,108.0,109.0,108.0,108.5,1600,0
