Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-08-19,D,Aurum Proptech Ord Shs,2.710068,2.845572,2.61573,2.845572,327237.87913,0
2015-08-20,D,Aurum Proptech Ord Shs,2.987507,2.987507,2.987507,2.987507,62794.358868,1
2015-08-21,D,Aurum Proptech Ord Shs,3.027386,3.11229,2.838282,3.041966,580184.034289,0
2015-08-24,D,Aurum Proptech Ord Shs,2.890168,2.890168,2.890168,2.890168,10689.27872,1
2015-08-25,D,Aurum Proptech Ord Shs,2.745659,2.745659,2.745659,2.745659,3698.232069,1
2015-08-26,D,Aurum Proptech Ord Shs,2.608441,2.608441,2.608441,2.608441,22986.484427,1
2015-08-27,D,Aurum Proptech Ord Shs,2.581426,2.738798,2.478083,2.698919,253706.141162,0
2015-08-28,D,Aurum Proptech Ord Shs,2.675764,2.767528,2.598578,2.626451,101412.09248,0
2015-08-31,D,Aurum Proptech Ord Shs,2.624307,2.656038,2.505955,2.584427,47251.064664,0
2015-09-01,D,Aurum Proptech Ord Shs,2.538545,2.713499,2.521393,2.698919,144467.429716,0
2015-09-02,D,Aurum Proptech Ord Shs,2.77782,2.98279,2.718644,2.897886,898188.014767,0
2015-09-03,D,Aurum Proptech Ord Shs,2.909893,2.971641,2.755522,2.802691,226624.252957,0
2015-09-04,D,Aurum Proptech Ord Shs,2.79583,2.829277,2.617446,2.659469,181800.196036,0
2015-09-07,D,Aurum Proptech Ord Shs,2.701492,2.742658,2.54026,2.603295,124894.697969,0
2015-09-08,D,Aurum Proptech Ord Shs,2.57285,2.692487,2.472508,2.58357,120461.217235,0
2015-09-09,D,Aurum Proptech Ord Shs,2.607154,2.688628,2.578424,2.599436,93028.883405,0
2015-09-10,D,Aurum Proptech Ord Shs,2.57285,2.632025,2.459644,2.60158,52752.373833,0
2015-09-11,D,Aurum Proptech Ord Shs,2.632883,2.718644,2.613586,2.681767,114590.222288,0
2015-09-14,D,Aurum Proptech Ord Shs,2.709211,2.727221,2.644032,2.65904,78920.354819,0
2015-09-15,D,Aurum Proptech Ord Shs,2.692916,2.721646,2.631596,2.639744,34755.960251,0
2015-09-16,D,Aurum Proptech Ord Shs,2.667187,2.675764,2.581426,2.582712,42857.43853,0
2015-09-18,D,Aurum Proptech Ord Shs,2.599007,2.660326,2.585714,2.60501,35779.811195,0
