Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-01-08,D,Avanti Feeds Ord Shs,1.693334,1.693334,1.503334,1.633334,1214.999403,0
2010-01-11,D,Avanti Feeds Ord Shs,1.776668,1.846668,1.673334,1.750001,14309.992963,0
2010-01-12,D,Avanti Feeds Ord Shs,1.756668,1.890001,1.693334,1.706668,46079.977341,0
2010-01-13,D,Avanti Feeds Ord Shs,1.606667,1.783334,1.606667,1.766668,14264.992985,0
2010-01-14,D,Avanti Feeds Ord Shs,1.733334,1.900001,1.733334,1.880001,28274.986096,0
2010-01-15,D,Avanti Feeds Ord Shs,1.963334,1.963334,1.850001,1.853334,8999.995574,0
2010-01-18,D,Avanti Feeds Ord Shs,2.033334,2.033334,1.870001,1.930001,3044.998503,0
2010-01-19,D,Avanti Feeds Ord Shs,2.086668,2.086668,1.826668,2.000001,56819.972059,0
2010-01-20,D,Avanti Feeds Ord Shs,1.906668,1.906668,1.870001,1.870001,1499.999262,0
2010-01-21,D,Avanti Feeds Ord Shs,1.800001,1.800001,1.800001,1.800001,4499.997787,1
2010-01-25,D,Avanti Feeds Ord Shs,2.013334,2.106668,1.853334,1.990001,72914.964145,0
2010-01-27,D,Avanti Feeds Ord Shs,1.900001,1.900001,1.743334,1.743334,4574.99775,0
2010-01-28,D,Avanti Feeds Ord Shs,1.666667,1.700001,1.666667,1.700001,42299.979199,0
2010-01-29,D,Avanti Feeds Ord Shs,1.820001,1.833334,1.820001,1.830001,5999.99705,0
2010-02-01,D,Avanti Feeds Ord Shs,1.800001,1.800001,1.800001,1.800001,14.999993,1
2010-02-02,D,Avanti Feeds Ord Shs,1.746668,1.916668,1.613334,1.766668,53759.973564,0
2010-02-03,D,Avanti Feeds Ord Shs,1.636667,1.863334,1.636667,1.846668,5339.997374,0
2010-02-04,D,Avanti Feeds Ord Shs,1.683334,2.216668,1.683334,1.960001,712034.649865,0
2010-02-05,D,Avanti Feeds Ord Shs,1.810001,2.000001,1.676667,1.816668,158804.92191,0
2010-02-06,D,Avanti Feeds Ord Shs,2.000001,2.000001,1.746668,1.776668,46529.977119,0
2010-02-08,D,Avanti Feeds Ord Shs,1.930001,1.930001,1.733334,1.766668,30509.984997,0
2010-02-09,D,Avanti Feeds Ord Shs,1.703334,1.833334,1.700001,1.733334,14939.992653,0
2010-02-10,D,Avanti Feeds Ord Shs,1.726668,1.776668,1.683334,1.690001,57479.971735,0
2010-02-11,D,Avanti Feeds Ord Shs,1.753334,1.753334,1.643334,1.656667,914.99955,0
2010-02-15,D,Avanti Feeds Ord Shs,1.806668,1.886668,1.643334,1.813334,108014.946885,0
2010-02-16,D,Avanti Feeds Ord Shs,1.736668,1.756668,1.736668,1.756668,2999.998525,0
2010-02-17,D,Avanti Feeds Ord Shs,1.733334,1.733334,1.670001,1.720001,45404.977673,0
2010-02-18,D,Avanti Feeds Ord Shs,1.666667,1.886668,1.666667,1.680001,38909.980866,0
2010-02-19,D,Avanti Feeds Ord Shs,1.600001,1.766668,1.600001,1.673334,23324.98853,0
2010-02-22,D,Avanti Feeds Ord Shs,1.606667,1.733334,1.606667,1.733334,9629.995265,0
2010-02-23,D,Avanti Feeds Ord Shs,1.680001,1.680001,1.680001,1.680001,1424.999299,1
2010-02-24,D,Avanti Feeds Ord Shs,1.600001,1.600001,1.596667,1.600001,6974.99657,1
2010-02-25,D,Avanti Feeds Ord Shs,1.593334,1.600001,1.566667,1.566667,6284.996909,0
2010-02-26,D,Avanti Feeds Ord Shs,1.533334,1.646667,1.496667,1.646667,8384.995877,0
2010-03-02,D,Avanti Feeds Ord Shs,1.726668,1.726668,1.573334,1.706668,4514.99778,0
