Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-01-10,D,AVT Natural Products Ord Shs,7.9,7.9,6.0,6.545,1125899.983223,0
2007-01-11,D,AVT Natural Products Ord Shs,6.65,7.0,6.55,6.705,152839.997723,0
2007-01-12,D,AVT Natural Products Ord Shs,6.825,7.125,6.655,6.8075,109139.998374,0
2007-01-15,D,AVT Natural Products Ord Shs,6.68,6.95,6.68,6.7875,9299.999861,0
2007-01-16,D,AVT Natural Products Ord Shs,6.5575,6.6,6.5575,6.6,9119.999864,0
2007-01-17,D,AVT Natural Products Ord Shs,6.31,7.0,6.3,6.5,271859.995949,0
2007-01-18,D,AVT Natural Products Ord Shs,6.5,6.7375,6.5,6.53,20719.999691,0
2007-01-19,D,AVT Natural Products Ord Shs,6.3,6.525,6.055,6.13,137979.997944,0
2007-01-22,D,AVT Natural Products Ord Shs,6.3,6.9,5.56,6.1775,392299.994154,0
2007-01-23,D,AVT Natural Products Ord Shs,6.25,6.2975,6.0,6.1625,94119.998598,0
2007-01-24,D,AVT Natural Products Ord Shs,6.055,6.2725,6.0,6.065,87379.998698,0
2007-01-25,D,AVT Natural Products Ord Shs,5.8,6.1325,5.8,5.925,156199.997672,0
2007-01-29,D,AVT Natural Products Ord Shs,5.8,6.1,5.8,5.8575,9039.999865,0
2007-01-31,D,AVT Natural Products Ord Shs,6.15,6.2,5.9,5.935,20519.999694,0
2007-02-01,D,AVT Natural Products Ord Shs,6.2,7.1225,6.15,7.075,306279.995436,0
2007-02-02,D,AVT Natural Products Ord Shs,7.35,7.395,6.57,6.7325,446759.993343,0
2007-02-05,D,AVT Natural Products Ord Shs,6.515,7.15,6.515,6.8675,226319.996628,0
2007-02-06,D,AVT Natural Products Ord Shs,7.2,7.2,6.65,6.7125,31279.999534,0
2007-02-07,D,AVT Natural Products Ord Shs,7.0,7.0,6.4,6.4975,38319.999429,0
2007-02-08,D,AVT Natural Products Ord Shs,6.5,6.65,6.45,6.5625,23139.999655,0
2007-02-09,D,AVT Natural Products Ord Shs,6.45,6.7,6.25,6.505,24639.999633,0
2007-02-12,D,AVT Natural Products Ord Shs,6.745,6.745,6.255,6.31,13359.999801,0
2007-02-13,D,AVT Natural Products Ord Shs,6.25,6.4975,6.19,6.39,14999.999776,0
2007-02-14,D,AVT Natural Products Ord Shs,6.25,6.3575,6.055,6.095,9479.999859,0
2007-02-15,D,AVT Natural Products Ord Shs,6.25,6.4975,6.25,6.3,13039.999806,0
2007-02-19,D,AVT Natural Products Ord Shs,6.35,6.5,6.35,6.41,19299.999712,0
2007-02-20,D,AVT Natural Products Ord Shs,6.25,6.35,6.25,6.265,17799.999735,0
2007-02-21,D,AVT Natural Products Ord Shs,6.35,6.5,6.1025,6.2175,12139.999819,0
2007-02-22,D,AVT Natural Products Ord Shs,6.4,6.4,5.9125,6.0275,12319.999816,0
2007-02-23,D,AVT Natural Products Ord Shs,5.9,5.9,5.75,5.76,4799.999928,0
2007-02-26,D,AVT Natural Products Ord Shs,5.6,5.6,5.5,5.5,13999.999791,0
2007-02-27,D,AVT Natural Products Ord Shs,5.55,5.8,5.315,5.315,13839.999794,0
2007-02-28,D,AVT Natural Products Ord Shs,5.6,5.745,5.355,5.5175,31999.999523,0
2007-03-01,D,AVT Natural Products Ord Shs,5.5175,5.625,5.5175,5.595,10039.99985,0
2007-03-02,D,AVT Natural Products Ord Shs,5.6,5.6,5.3625,5.4,7839.999883,0
2007-03-05,D,AVT Natural Products Ord Shs,5.3625,5.5,5.0,5.15,28579.999574,0
2007-03-06,D,AVT Natural Products Ord Shs,5.4475,5.4475,5.0,5.0,12699.999811,0
2007-03-07,D,AVT Natural Products Ord Shs,5.4475,5.4475,4.755,4.945,5679.999915,0
2007-03-08,D,AVT Natural Products Ord Shs,5.05,5.5,4.9,5.3,24199.999639,0
2007-03-09,D,AVT Natural Products Ord Shs,5.35,5.35,5.05,5.3,12479.999814,0
