Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1998-12-04,D,AXIS Bank Ord Shs,3.37,3.39,3.26,3.31,181999.997288,0
1998-12-07,D,AXIS Bank Ord Shs,3.31,3.35,3.29,3.33,112499.998324,0
1998-12-08,D,AXIS Bank Ord Shs,3.27,3.32,3.2,3.25,270999.995962,0
1998-12-09,D,AXIS Bank Ord Shs,3.33,3.33,3.2,3.23,150999.99775,0
1998-12-10,D,AXIS Bank Ord Shs,3.26,3.26,3.15,3.18,78999.998823,0
1998-12-11,D,AXIS Bank Ord Shs,3.2,3.2,3.16,3.19,77499.998845,0
1998-12-14,D,AXIS Bank Ord Shs,3.19,3.2,3.15,3.17,29499.99956,0
1998-12-15,D,AXIS Bank Ord Shs,3.12,3.19,3.11,3.19,103999.99845,0
1998-12-16,D,AXIS Bank Ord Shs,3.1,3.18,3.07,3.18,61999.999076,0
1998-12-17,D,AXIS Bank Ord Shs,3.14,3.15,3.1,3.13,56999.999151,0
1998-12-18,D,AXIS Bank Ord Shs,3.12,3.14,3.05,3.1,63999.999046,0
1998-12-21,D,AXIS Bank Ord Shs,3.15,3.18,3.05,3.06,42499.999367,0
1998-12-22,D,AXIS Bank Ord Shs,3.14,3.14,3.0,3.01,72999.998912,0
1998-12-23,D,AXIS Bank Ord Shs,3.1,3.12,3.01,3.07,63999.999046,0
1998-12-24,D,AXIS Bank Ord Shs,3.07,3.07,3.01,3.04,46999.9993,0
1998-12-28,D,AXIS Bank Ord Shs,3.04,3.04,2.98,3.0,97999.99854,0
1998-12-29,D,AXIS Bank Ord Shs,3.0,3.03,2.99,3.03,68499.998979,0
1998-12-30,D,AXIS Bank Ord Shs,3.13,3.6,3.1,3.44,332999.995038,0
1998-12-31,D,AXIS Bank Ord Shs,3.57,3.57,3.31,3.33,121499.99819,0
1999-01-01,D,AXIS Bank Ord Shs,3.3,3.38,3.3,3.38,72499.99892,0
1999-01-04,D,AXIS Bank Ord Shs,3.43,3.51,3.35,3.37,114499.998294,0
1999-01-05,D,AXIS Bank Ord Shs,3.35,3.37,3.1,3.2,305499.995448,0
1999-01-06,D,AXIS Bank Ord Shs,3.3,3.34,3.18,3.19,90499.998651,0
1999-01-07,D,AXIS Bank Ord Shs,3.27,3.6,3.23,3.57,468499.993019,0
1999-01-08,D,AXIS Bank Ord Shs,3.58,3.6,3.41,3.6,424999.993667,0
1999-01-11,D,AXIS Bank Ord Shs,3.64,3.64,3.45,3.46,197999.99705,0
1999-01-12,D,AXIS Bank Ord Shs,3.32,3.52,3.31,3.43,198499.997042,0
1999-01-13,D,AXIS Bank Ord Shs,3.43,3.47,3.39,3.39,89999.998659,0
1999-01-14,D,AXIS Bank Ord Shs,3.3,3.45,3.3,3.4,62999.999061,0
1999-01-15,D,AXIS Bank Ord Shs,3.36,3.38,3.28,3.28,58499.999128,0
1999-01-18,D,AXIS Bank Ord Shs,3.26,3.37,3.26,3.32,28499.999575,0
1999-01-19,D,AXIS Bank Ord Shs,3.4,3.4,3.2,3.25,80999.998793,0
1999-01-21,D,AXIS Bank Ord Shs,3.38,3.38,3.2,3.27,28999.999568,0
1999-01-22,D,AXIS Bank Ord Shs,3.35,3.37,3.27,3.31,29999.999553,0
1999-01-25,D,AXIS Bank Ord Shs,3.3,3.37,3.27,3.31,37499.999441,0
1999-01-27,D,AXIS Bank Ord Shs,3.25,3.32,3.25,3.25,25499.99962,1
1999-01-28,D,AXIS Bank Ord Shs,3.16,3.24,3.16,3.16,51499.999233,1
1999-01-29,D,AXIS Bank Ord Shs,3.1,3.2,3.1,3.19,51999.999225,0
1999-02-01,D,AXIS Bank Ord Shs,3.2,3.2,3.06,3.1,49499.999262,0
