Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-22,D,Bajaj Hindusthan Sugar Ord Shs,11.400953,11.400953,11.400953,11.400953,592.055769,1
1995-05-23,D,Bajaj Hindusthan Sugar Ord Shs,11.400953,11.400953,11.400953,11.400953,592.055769,1
1995-05-24,D,Bajaj Hindusthan Sugar Ord Shs,11.400953,11.485405,11.400953,11.485405,1776.167306,0
1995-05-29,D,Bajaj Hindusthan Sugar Ord Shs,11.147599,11.147599,11.147599,11.147599,592.055769,1
1995-06-12,D,Bajaj Hindusthan Sugar Ord Shs,10.556438,10.556438,10.556438,10.556438,2368.223074,1
1995-06-13,D,Bajaj Hindusthan Sugar Ord Shs,10.640889,10.640889,10.640889,10.640889,5328.501917,1
1995-06-14,D,Bajaj Hindusthan Sugar Ord Shs,10.978695,10.978695,10.978695,10.978695,2368.223074,1
1995-06-15,D,Bajaj Hindusthan Sugar Ord Shs,10.978695,10.978695,10.978695,10.978695,592.055769,1
1995-08-01,D,Bajaj Hindusthan Sugar Ord Shs,9.374117,9.374117,9.374117,9.374117,1184.111537,1
1995-08-02,D,Bajaj Hindusthan Sugar Ord Shs,9.289665,9.289665,9.289665,9.289665,592.055769,1
1995-08-07,D,Bajaj Hindusthan Sugar Ord Shs,8.782956,8.782956,8.782956,8.782956,592.055769,1
1995-10-11,D,Bajaj Hindusthan Sugar Ord Shs,9.796374,9.796374,9.796374,9.796374,3552.334611,1
1995-10-13,D,Bajaj Hindusthan Sugar Ord Shs,9.458568,9.458568,9.458568,9.458568,1184.111537,1
1995-10-23,D,Bajaj Hindusthan Sugar Ord Shs,8.614053,8.614053,8.614053,8.614053,2368.223074,1
1995-10-30,D,Bajaj Hindusthan Sugar Ord Shs,8.529602,8.529602,8.529602,8.529602,592.055769,1
1995-11-01,D,Bajaj Hindusthan Sugar Ord Shs,7.769538,8.107344,7.769538,8.107344,1184.111537,0
1995-11-07,D,Bajaj Hindusthan Sugar Ord Shs,8.022893,8.44515,8.022893,8.179128,1776.167306,0
1995-11-13,D,Bajaj Hindusthan Sugar Ord Shs,8.398702,8.398702,8.398702,8.398702,592.055769,1
1995-11-16,D,Bajaj Hindusthan Sugar Ord Shs,7.769538,7.769538,7.769538,7.769538,1184.111537,1
1995-11-27,D,Bajaj Hindusthan Sugar Ord Shs,7.178378,7.178378,7.178378,7.178378,1184.111537,1
1995-11-29,D,Bajaj Hindusthan Sugar Ord Shs,6.75612,6.75612,6.75612,6.75612,592.055769,1
1995-11-30,D,Bajaj Hindusthan Sugar Ord Shs,6.925023,6.925023,6.925023,6.925023,592.055769,1
1995-12-04,D,Bajaj Hindusthan Sugar Ord Shs,7.093926,7.093926,7.093926,7.093926,4736.446148,1
1995-12-15,D,Bajaj Hindusthan Sugar Ord Shs,6.75612,6.75612,6.75612,6.75612,592.055769,1
1995-12-18,D,Bajaj Hindusthan Sugar Ord Shs,7.093926,7.169933,7.093926,7.153042,2368.223074,0
1995-12-19,D,Bajaj Hindusthan Sugar Ord Shs,6.90391,6.925023,6.90391,6.925023,2960.278843,0
1995-12-22,D,Bajaj Hindusthan Sugar Ord Shs,6.925023,6.925023,6.925023,6.925023,1184.111537,1
1995-12-27,D,Bajaj Hindusthan Sugar Ord Shs,6.713895,6.75612,6.713895,6.743453,1776.167306,0
1995-12-29,D,Bajaj Hindusthan Sugar Ord Shs,6.75612,7.347281,6.75612,6.840572,119595.265249,0
1996-01-01,D,Bajaj Hindusthan Sugar Ord Shs,6.75612,6.75612,6.16496,6.16496,120187.321017,0
1996-01-03,D,Bajaj Hindusthan Sugar Ord Shs,5.953831,5.953831,5.953831,5.953831,5920.557686,1
1996-01-09,D,Bajaj Hindusthan Sugar Ord Shs,5.426009,5.426009,5.36267,5.426009,4736.446148,1
1996-01-10,D,Bajaj Hindusthan Sugar Ord Shs,5.404896,5.404896,5.36267,5.36267,7104.669223,0
1996-01-12,D,Bajaj Hindusthan Sugar Ord Shs,5.235993,5.235993,5.151542,5.235993,5328.501917,1
1996-01-16,D,Bajaj Hindusthan Sugar Ord Shs,5.278219,5.358448,5.278219,5.358448,3552.334611,0
1996-01-17,D,Bajaj Hindusthan Sugar Ord Shs,5.36267,5.36267,5.36267,5.36267,2368.223074,1
1996-01-19,D,Bajaj Hindusthan Sugar Ord Shs,5.278219,5.278219,5.278219,5.278219,592.055769,1
1996-01-22,D,Bajaj Hindusthan Sugar Ord Shs,5.06709,5.193767,5.06709,5.172655,2368.223074,0
1996-01-23,D,Bajaj Hindusthan Sugar Ord Shs,5.151542,5.151542,5.151542,5.151542,1184.111537,1
1996-01-24,D,Bajaj Hindusthan Sugar Ord Shs,4.733507,4.733507,4.729284,4.733507,2368.223074,1
1996-01-29,D,Bajaj Hindusthan Sugar Ord Shs,4.940413,5.06709,4.940413,5.06709,5328.501917,0
1996-01-30,D,Bajaj Hindusthan Sugar Ord Shs,4.982639,4.982639,4.982639,4.982639,3552.334611,1
1996-01-31,D,Bajaj Hindusthan Sugar Ord Shs,5.109316,5.109316,5.109316,5.109316,5920.557686,1
1996-02-02,D,Bajaj Hindusthan Sugar Ord Shs,5.235993,5.36267,5.235993,5.240216,3552.334611,0
1996-02-05,D,Bajaj Hindusthan Sugar Ord Shs,5.73848,5.73848,5.573799,5.616025,5920.557686,0
1996-02-06,D,Bajaj Hindusthan Sugar Ord Shs,5.742702,6.122734,5.742702,5.996057,18353.728825,0
1996-02-07,D,Bajaj Hindusthan Sugar Ord Shs,5.911605,6.333863,5.911605,6.333863,2960.278843,0
1996-02-08,D,Bajaj Hindusthan Sugar Ord Shs,5.953831,6.249411,5.953831,6.232521,10064.948065,0
1996-02-12,D,Bajaj Hindusthan Sugar Ord Shs,6.333863,6.75612,6.333863,6.75612,13025.226908,0
