Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-10,D,Balkrishna Industries Ord Shs,5.87293,5.938918,5.87293,5.905924,2999.998525,0
1995-05-15,D,Balkrishna Industries Ord Shs,5.87293,5.87293,5.87293,5.87293,1499.999262,1
1995-06-07,D,Balkrishna Industries Ord Shs,5.312032,5.345026,5.312032,5.345026,11999.994099,0
1995-06-08,D,Balkrishna Industries Ord Shs,5.312032,5.312032,5.312032,5.312032,1499.999262,1
1995-06-09,D,Balkrishna Industries Ord Shs,5.411014,5.411014,5.411014,5.411014,2999.998525,1
1995-06-13,D,Balkrishna Industries Ord Shs,5.21305,5.411014,5.21305,5.411014,7499.996312,0
1995-06-20,D,Balkrishna Industries Ord Shs,5.361523,5.361523,5.361523,5.361523,1499.999262,1
1995-06-21,D,Balkrishna Industries Ord Shs,5.345026,5.345026,5.345026,5.345026,2999.998525,1
1995-06-26,D,Balkrishna Industries Ord Shs,5.279038,5.295535,5.279038,5.279038,11999.994099,1
1995-07-04,D,Balkrishna Industries Ord Shs,4.949098,4.949098,4.949098,4.949098,2999.998525,1
1995-07-12,D,Balkrishna Industries Ord Shs,4.685146,4.685146,4.685146,4.685146,5999.99705,1
1995-08-01,D,Balkrishna Industries Ord Shs,5.081074,5.081074,5.081074,5.081074,5999.99705,1
1995-09-07,D,Balkrishna Industries Ord Shs,4.619158,4.619158,4.619158,4.619158,2999.998525,1
1995-09-12,D,Balkrishna Industries Ord Shs,4.619158,4.619158,4.619158,4.619158,1499.999262,1
1995-09-13,D,Balkrishna Industries Ord Shs,4.949098,4.949098,4.949098,4.949098,2999.998525,1
1995-09-21,D,Balkrishna Industries Ord Shs,4.454188,4.454188,4.454188,4.454188,1499.999262,1
1995-09-22,D,Balkrishna Industries Ord Shs,4.124248,4.124248,4.124248,4.124248,1499.999262,1
1995-10-04,D,Balkrishna Industries Ord Shs,4.289218,4.289218,4.289218,4.289218,2999.998525,1
1995-10-09,D,Balkrishna Industries Ord Shs,4.22323,4.22323,4.22323,4.22323,5999.99705,1
1995-10-16,D,Balkrishna Industries Ord Shs,4.124248,4.124248,4.124248,4.124248,1499.999262,1
1995-10-17,D,Balkrishna Industries Ord Shs,4.099503,4.099503,4.099503,4.099503,2999.998525,1
1996-02-26,D,Balkrishna Industries Ord Shs,4.089605,4.089605,4.089605,4.089605,2999.998525,1
1996-02-27,D,Balkrishna Industries Ord Shs,3.792659,3.792659,3.792659,3.792659,2999.998525,1
1996-06-03,D,Balkrishna Industries Ord Shs,1.979639,1.979639,1.979639,1.979639,7499.996312,1
1996-06-11,D,Balkrishna Industries Ord Shs,1.979639,1.979639,1.979639,1.979639,2999.998525,1
1996-07-09,D,Balkrishna Industries Ord Shs,2.015933,2.015933,2.012633,2.014283,11999.994099,0
1996-07-15,D,Balkrishna Industries Ord Shs,1.979639,1.979639,1.979639,1.979639,2999.998525,1
1996-07-16,D,Balkrishna Industries Ord Shs,1.979639,1.979639,1.814669,1.814669,8999.995574,0
1996-07-24,D,Balkrishna Industries Ord Shs,1.633202,1.996136,1.633202,1.996136,5999.99705,0
1996-07-25,D,Balkrishna Industries Ord Shs,2.1941,2.1941,2.1941,2.1941,1499.999262,1
1996-07-30,D,Balkrishna Industries Ord Shs,2.408561,2.408561,2.408561,2.408561,1499.999262,1
1996-08-02,D,Balkrishna Industries Ord Shs,2.639519,2.639519,2.639519,2.639519,1499.999262,1
1996-08-05,D,Balkrishna Industries Ord Shs,2.903471,2.903471,2.903471,2.903471,1499.999262,1
1996-08-20,D,Balkrishna Industries Ord Shs,2.599926,2.599926,2.599926,2.599926,8999.995574,1
1996-09-26,D,Balkrishna Industries Ord Shs,2.340923,2.340923,2.340923,2.340923,1499.999262,1
1996-11-21,D,Balkrishna Industries Ord Shs,1.15479,1.15479,1.15479,1.15479,1499.999262,1
1996-11-22,D,Balkrishna Industries Ord Shs,1.220778,1.220778,1.220778,1.220778,11999.994099,1
1996-11-25,D,Balkrishna Industries Ord Shs,1.334607,1.336256,1.334607,1.336256,11999.994099,0
1996-11-26,D,Balkrishna Industries Ord Shs,1.288415,1.288415,1.286765,1.286765,2999.998525,0
1996-11-27,D,Balkrishna Industries Ord Shs,1.255421,1.385747,1.220778,1.385747,151499.925502,0
1996-11-28,D,Balkrishna Industries Ord Shs,1.250472,1.253772,1.250472,1.253772,34499.983035,0
1996-11-29,D,Balkrishna Industries Ord Shs,1.229026,1.253772,1.204281,1.253772,325499.839939,0
1996-12-02,D,Balkrishna Industries Ord Shs,1.229026,1.229026,1.229026,1.229026,11999.994099,1
1996-12-03,D,Balkrishna Industries Ord Shs,1.224077,1.224077,1.224077,1.224077,5999.99705,1
1996-12-04,D,Balkrishna Industries Ord Shs,1.222427,1.222427,1.220778,1.220778,17999.991149,0
1996-12-06,D,Balkrishna Industries Ord Shs,1.240574,1.240574,1.240574,1.240574,1499.999262,1
1996-12-12,D,Balkrishna Industries Ord Shs,1.303262,1.303262,1.303262,1.303262,2999.998525,1
1996-12-18,D,Balkrishna Industries Ord Shs,1.385747,1.42699,1.385747,1.42699,4499.997787,0
1996-12-20,D,Balkrishna Industries Ord Shs,1.517723,1.517723,1.517723,1.517723,2999.998525,1
1996-12-23,D,Balkrishna Industries Ord Shs,1.616705,1.616705,1.616705,1.616705,5999.99705,1
1997-01-01,D,Balkrishna Industries Ord Shs,1.560616,1.560616,1.560616,1.560616,59999.970496,1
1997-01-02,D,Balkrishna Industries Ord Shs,1.616705,1.715687,1.575463,1.575463,55499.972709,0
1997-01-03,D,Balkrishna Industries Ord Shs,1.710738,1.710738,1.710738,1.710738,2999.998525,1
1997-01-06,D,Balkrishna Industries Ord Shs,1.880657,1.880657,1.715687,1.715687,68999.96607,0
1997-01-07,D,Balkrishna Industries Ord Shs,1.745382,1.748681,1.740433,1.740433,17999.991149,0
