Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-25,D,Ballarpur Industries Ord Shs,85.241987,85.759951,85.241987,85.759951,675.723338,0
1994-12-06,D,Ballarpur Industries Ord Shs,78.434467,78.434467,78.434467,78.434467,337.861669,1
1994-12-07,D,Ballarpur Industries Ord Shs,82.874154,82.874154,82.874154,82.874154,337.861669,1
1994-12-08,D,Ballarpur Industries Ord Shs,74.586739,74.586739,74.586739,74.586739,337.861669,1
1994-12-20,D,Ballarpur Industries Ord Shs,78.434467,78.434467,78.434467,78.434467,337.861669,1
1994-12-21,D,Ballarpur Industries Ord Shs,71.345767,71.345767,71.345767,71.345767,675.723338,1
1995-01-02,D,Ballarpur Industries Ord Shs,73.965183,73.99478,73.965183,73.99478,1013.585007,0
1995-01-03,D,Ballarpur Industries Ord Shs,73.965183,73.99478,73.965183,73.99478,675.723338,0
1995-01-06,D,Ballarpur Industries Ord Shs,75.474676,75.474676,75.474676,75.474676,2027.170013,1
1995-01-09,D,Ballarpur Industries Ord Shs,77.250551,77.250551,77.250551,77.250551,337.861669,1
1995-01-11,D,Ballarpur Industries Ord Shs,76.214624,76.214624,76.214624,76.214624,337.861669,1
1995-01-25,D,Ballarpur Industries Ord Shs,72.514885,72.514885,72.514885,72.514885,1013.585007,1
1995-01-27,D,Ballarpur Industries Ord Shs,73.99478,73.99478,73.99478,73.99478,675.723338,1
1995-01-30,D,Ballarpur Industries Ord Shs,72.529684,74.586739,72.529684,74.586739,675.723338,0
1995-01-31,D,Ballarpur Industries Ord Shs,74.734728,74.882718,74.734728,74.882718,675.723338,0
1995-02-06,D,Ballarpur Industries Ord Shs,75.400681,75.474676,75.400681,75.474676,1351.446675,0
1995-02-07,D,Ballarpur Industries Ord Shs,75.474676,75.474676,74.586739,74.586739,2365.031682,0
1995-02-08,D,Ballarpur Industries Ord Shs,78.434467,78.434467,78.434467,78.434467,337.861669,1
1995-02-20,D,Ballarpur Industries Ord Shs,73.99478,73.99478,73.99478,73.99478,337.861669,1
1995-02-21,D,Ballarpur Industries Ord Shs,74.29076,74.29076,74.29076,74.29076,337.861669,1
1995-02-23,D,Ballarpur Industries Ord Shs,69.555094,69.555094,69.555094,69.555094,337.861669,1
1995-02-24,D,Ballarpur Industries Ord Shs,70.147052,70.147052,70.147052,70.147052,337.861669,1
1995-03-02,D,Ballarpur Industries Ord Shs,68.075198,68.075198,68.075198,68.075198,675.723338,1
1995-03-06,D,Ballarpur Industries Ord Shs,72.514885,72.514885,71.034989,71.034989,2702.893351,0
1995-03-07,D,Ballarpur Industries Ord Shs,71.034989,71.034989,71.034989,71.034989,1689.308344,1
1995-03-08,D,Ballarpur Industries Ord Shs,71.034989,73.077245,71.034989,73.077245,28042.518514,0
1995-03-09,D,Ballarpur Industries Ord Shs,73.106843,73.99478,73.106843,73.99478,675.723338,0
1995-03-21,D,Ballarpur Industries Ord Shs,69.851073,69.851073,69.851073,69.851073,337.861669,1
1995-03-24,D,Ballarpur Industries Ord Shs,69.555094,69.555094,69.555094,69.555094,3378.616688,1
1995-03-29,D,Ballarpur Industries Ord Shs,69.555094,69.555094,69.555094,69.555094,337.861669,1
1995-04-05,D,Ballarpur Industries Ord Shs,68.075198,72.514885,68.075198,72.514885,1013.585007,0
1995-04-10,D,Ballarpur Industries Ord Shs,69.555094,69.555094,69.555094,69.555094,337.861669,1
1995-04-17,D,Ballarpur Industries Ord Shs,68.371177,69.555094,68.371177,69.555094,1689.308344,0
1995-04-20,D,Ballarpur Industries Ord Shs,71.034989,71.034989,71.034989,71.034989,337.861669,1
1995-04-27,D,Ballarpur Industries Ord Shs,56.827991,56.827991,56.827991,56.827991,337.861669,1
1995-05-02,D,Ballarpur Industries Ord Shs,62.510791,63.635511,62.510791,63.635511,675.723338,0
1995-05-03,D,Ballarpur Industries Ord Shs,62.155616,62.155616,62.155616,62.155616,337.861669,1
1995-05-04,D,Ballarpur Industries Ord Shs,62.155616,62.155616,62.155616,62.155616,337.861669,1
1995-05-05,D,Ballarpur Industries Ord Shs,63.635511,63.93149,63.635511,63.93149,17568.80678,0
1995-05-09,D,Ballarpur Industries Ord Shs,63.043553,63.635511,63.043553,63.635511,17568.80678,0
1995-05-10,D,Ballarpur Industries Ord Shs,62.155616,62.155616,62.155616,62.155616,337.861669,1
