Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-15,D,Balmer Lawrie And Co Ord Shs,12.571444,12.571444,12.571444,12.571444,1049.998686,1
1994-12-26,D,Balmer Lawrie And Co Ord Shs,12.380968,12.380968,12.380968,12.380968,3149.996057,1
1995-01-02,D,Balmer Lawrie And Co Ord Shs,12.571444,12.571444,11.7143,11.7143,8399.989486,0
1995-01-03,D,Balmer Lawrie And Co Ord Shs,12.000015,12.000015,12.000015,12.000015,524.999343,1
1995-01-09,D,Balmer Lawrie And Co Ord Shs,10.476204,10.476204,10.476204,10.476204,5249.993429,1
1995-01-12,D,Balmer Lawrie And Co Ord Shs,10.000013,10.000013,10.000013,10.000013,1049.998686,1
1995-01-17,D,Balmer Lawrie And Co Ord Shs,10.480965,10.480965,10.480965,10.480965,524.999343,1
1995-01-19,D,Balmer Lawrie And Co Ord Shs,10.761918,10.761918,10.761918,10.761918,524.999343,1
1995-01-24,D,Balmer Lawrie And Co Ord Shs,11.519062,11.519062,11.519062,11.519062,524.999343,1
1995-01-25,D,Balmer Lawrie And Co Ord Shs,11.428586,11.428586,11.428586,11.428586,524.999343,1
1995-01-27,D,Balmer Lawrie And Co Ord Shs,11.238109,11.238109,11.238109,11.238109,1049.998686,1
1995-01-30,D,Balmer Lawrie And Co Ord Shs,11.428586,11.428586,11.428586,11.428586,524.999343,1
1995-01-31,D,Balmer Lawrie And Co Ord Shs,11.142871,11.428586,11.142871,11.428586,1574.998029,0
1995-02-07,D,Balmer Lawrie And Co Ord Shs,10.285727,10.285727,10.285727,10.285727,524.999343,1
1995-02-09,D,Balmer Lawrie And Co Ord Shs,9.333345,9.333345,9.333345,9.333345,524.999343,1
1995-02-10,D,Balmer Lawrie And Co Ord Shs,9.714298,9.714298,9.523821,9.523821,2624.996714,0
1995-02-15,D,Balmer Lawrie And Co Ord Shs,9.528583,9.528583,9.523821,9.523821,2099.997371,0
1995-02-16,D,Balmer Lawrie And Co Ord Shs,9.095249,9.095249,9.095249,9.095249,524.999343,1
1995-02-17,D,Balmer Lawrie And Co Ord Shs,9.04763,9.04763,9.04763,9.04763,4724.994086,1
1995-02-28,D,Balmer Lawrie And Co Ord Shs,9.057154,9.057154,9.04763,9.04763,2099.997371,0
1995-03-06,D,Balmer Lawrie And Co Ord Shs,9.51906,9.523821,9.51906,9.523821,2099.997371,0
1995-03-07,D,Balmer Lawrie And Co Ord Shs,9.533345,9.714298,9.523821,9.523821,7874.990143,0
1995-03-08,D,Balmer Lawrie And Co Ord Shs,9.428583,9.428583,9.238107,9.238107,4724.994086,0
1995-03-09,D,Balmer Lawrie And Co Ord Shs,9.523821,9.523821,9.238107,9.333345,4199.994743,0
1995-03-10,D,Balmer Lawrie And Co Ord Shs,9.342869,9.61906,9.342869,9.61906,6299.992114,0
1995-03-13,D,Balmer Lawrie And Co Ord Shs,9.04763,9.333345,9.04763,9.333345,1574.998029,0
1995-03-14,D,Balmer Lawrie And Co Ord Shs,10.238108,10.476204,10.238108,10.476204,2624.996714,0
1995-03-15,D,Balmer Lawrie And Co Ord Shs,9.533345,9.533345,9.290488,9.523821,7349.9908,0
1995-03-16,D,Balmer Lawrie And Co Ord Shs,9.333345,9.333345,9.04763,9.142869,2099.997371,0
1995-03-21,D,Balmer Lawrie And Co Ord Shs,9.514298,9.523821,9.514298,9.523821,2099.997371,0
1995-03-22,D,Balmer Lawrie And Co Ord Shs,9.523821,9.523821,9.523821,9.523821,524.999343,1
1995-03-23,D,Balmer Lawrie And Co Ord Shs,9.333345,9.523821,9.333345,9.523821,1049.998686,0
1995-03-24,D,Balmer Lawrie And Co Ord Shs,9.528583,9.528583,9.528583,9.528583,524.999343,1
1995-03-28,D,Balmer Lawrie And Co Ord Shs,9.04763,9.04763,9.04763,9.04763,1574.998029,1
1995-03-31,D,Balmer Lawrie And Co Ord Shs,9.904774,9.904774,9.904774,9.904774,1049.998686,1
1995-04-04,D,Balmer Lawrie And Co Ord Shs,9.809536,9.809536,9.809536,9.809536,3674.9954,1
1995-04-06,D,Balmer Lawrie And Co Ord Shs,9.052392,9.523821,9.052392,9.523821,3149.996057,0
1995-04-10,D,Balmer Lawrie And Co Ord Shs,9.476202,9.523821,9.428583,9.500012,4199.994743,0
1995-04-11,D,Balmer Lawrie And Co Ord Shs,9.428583,9.714298,9.333345,9.714298,1574.998029,0
1995-04-12,D,Balmer Lawrie And Co Ord Shs,9.242869,9.242869,9.238107,9.238107,1049.998686,0
1995-04-18,D,Balmer Lawrie And Co Ord Shs,9.523821,9.523821,9.04763,9.523821,3149.996057,1
1995-04-19,D,Balmer Lawrie And Co Ord Shs,10.476204,10.476204,9.04763,9.51906,3149.996057,0
1995-04-20,D,Balmer Lawrie And Co Ord Shs,9.04763,9.04763,8.766678,8.923821,2624.996714,0
