Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-10-04,D,Banco Products India Ord Shs,3.625,3.625,3.625,3.625,7999.999881,1
1995-10-12,D,Banco Products India Ord Shs,4.25,4.25,4.25,4.25,3999.99994,1
1995-10-30,D,Banco Products India Ord Shs,4.2,4.2,3.825,3.825,7999.999881,0
1995-10-31,D,Banco Products India Ord Shs,4.2075,4.2075,4.2075,4.2075,3999.99994,1
1995-11-01,D,Banco Products India Ord Shs,4.25,4.25,4.25,4.25,3999.99994,1
1995-11-02,D,Banco Products India Ord Shs,4.25125,4.25125,4.25,4.25,11999.999821,0
1995-11-06,D,Banco Products India Ord Shs,4.25,4.25,4.25,4.25,3999.99994,1
1995-11-10,D,Banco Products India Ord Shs,4.0,4.0,4.0,4.0,3999.99994,1
1995-11-13,D,Banco Products India Ord Shs,4.1,4.10625,4.1,4.1025,11999.999821,0
1995-11-14,D,Banco Products India Ord Shs,4.0,4.0,4.0,4.0,3999.99994,1
1995-11-15,D,Banco Products India Ord Shs,3.825,3.825,3.8125,3.825,11999.999821,1
1995-11-16,D,Banco Products India Ord Shs,3.875,3.875,3.875,3.875,3999.99994,1
1995-11-23,D,Banco Products India Ord Shs,3.625,3.625,3.625,3.625,3999.99994,1
1995-11-27,D,Banco Products India Ord Shs,3.8725,3.8725,3.8725,3.8725,3999.99994,1
1995-11-28,D,Banco Products India Ord Shs,3.75,3.75,3.75,3.75,3999.99994,1
1995-11-29,D,Banco Products India Ord Shs,3.7625,3.875,3.7625,3.7625,11999.999821,1
1995-11-30,D,Banco Products India Ord Shs,3.38625,3.5,3.38625,3.5,11999.999821,0
1995-12-01,D,Banco Products India Ord Shs,3.12625,3.12625,3.125,3.125,39999.999404,0
1995-12-04,D,Banco Products India Ord Shs,2.9,2.9,2.875,2.875,27999.999583,0
1995-12-05,D,Banco Products India Ord Shs,2.625,2.64375,2.625,2.625,87999.998689,1
1995-12-06,D,Banco Products India Ord Shs,2.775,2.825,2.775,2.775,7999.999881,1
1995-12-07,D,Banco Products India Ord Shs,2.75,2.75,2.65,2.7375,63999.999046,0
1995-12-08,D,Banco Products India Ord Shs,2.875,2.9875,2.875,2.9875,27999.999583,0
1995-12-11,D,Banco Products India Ord Shs,2.9,2.9,2.9,2.9,7999.999881,1
1995-12-12,D,Banco Products India Ord Shs,2.9,2.925,2.75,2.75,31999.999523,0
1995-12-14,D,Banco Products India Ord Shs,2.7,2.7,2.7,2.7,15999.999762,1
1995-12-15,D,Banco Products India Ord Shs,2.7,2.7,2.7,2.7,3999.99994,1
1995-12-18,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,3999.99994,1
1995-12-19,D,Banco Products India Ord Shs,2.55,2.55125,2.55,2.55125,35999.999464,0
1995-12-20,D,Banco Products India Ord Shs,2.55,2.55,2.55,2.55,15999.999762,1
1995-12-21,D,Banco Products India Ord Shs,2.55,2.55,2.5,2.5,27999.999583,0
1995-12-22,D,Banco Products India Ord Shs,2.525,2.525,2.525,2.525,3999.99994,1
1995-12-29,D,Banco Products India Ord Shs,2.5,2.5,2.5,2.5,3999.99994,1
1996-01-01,D,Banco Products India Ord Shs,2.425,2.425,2.425,2.425,3999.99994,1
1996-01-02,D,Banco Products India Ord Shs,2.425,2.425,2.425,2.425,3999.99994,1
1996-01-03,D,Banco Products India Ord Shs,2.525,2.525,2.525,2.525,7999.999881,1
1996-01-04,D,Banco Products India Ord Shs,2.45,2.45,2.45,2.45,7999.999881,1
1996-01-05,D,Banco Products India Ord Shs,2.38125,2.38125,2.38125,2.38125,3999.99994,1
1996-01-09,D,Banco Products India Ord Shs,2.30125,2.30125,2.30125,2.30125,3999.99994,1
1996-01-10,D,Banco Products India Ord Shs,2.275,2.275,2.2,2.275,11999.999821,1
1996-01-12,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,7999.999881,1
1996-01-19,D,Banco Products India Ord Shs,2.1375,2.1375,2.1375,2.1375,7999.999881,1
1996-01-24,D,Banco Products India Ord Shs,2.05,2.05,2.05,2.05,3999.99994,1
1996-01-25,D,Banco Products India Ord Shs,2.0,2.0,2.0,2.0,3999.99994,1
1996-01-30,D,Banco Products India Ord Shs,2.025,2.0275,2.025,2.025,7999.999881,1
1996-01-31,D,Banco Products India Ord Shs,2.025,2.025,2.025,2.025,7999.999881,1
1996-02-02,D,Banco Products India Ord Shs,2.125,2.225,2.125,2.225,11999.999821,0
1996-02-05,D,Banco Products India Ord Shs,2.425,2.4375,2.425,2.4375,15999.999762,0
1996-02-07,D,Banco Products India Ord Shs,2.275,2.275,2.2625,2.2625,7999.999881,0
1996-02-08,D,Banco Products India Ord Shs,2.3625,2.3625,2.3625,2.3625,3999.99994,1
1996-02-09,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,3999.99994,1
1996-02-12,D,Banco Products India Ord Shs,2.475,2.5,2.475,2.5,15999.999762,0
1996-02-14,D,Banco Products India Ord Shs,2.61875,2.625,2.61875,2.625,11999.999821,0
1996-02-15,D,Banco Products India Ord Shs,2.75,2.875,2.75,2.875,63999.999046,0
1996-02-16,D,Banco Products India Ord Shs,2.7,2.725,2.7,2.725,11999.999821,0
1996-02-19,D,Banco Products India Ord Shs,2.7,2.7,2.675,2.675,19999.999702,0
1996-02-20,D,Banco Products India Ord Shs,2.675,2.675,2.675,2.675,3999.99994,1
1996-02-22,D,Banco Products India Ord Shs,2.7,2.7,2.7,2.7,3999.99994,1
1996-02-23,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,11999.999821,1
1996-02-26,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,15999.999762,1
1996-03-01,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,3999.99994,1
1996-03-08,D,Banco Products India Ord Shs,2.525,2.575,2.525,2.575,7999.999881,0
1996-03-15,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,7999.999881,1
1996-03-19,D,Banco Products India Ord Shs,2.5,2.5,2.5,2.5,3999.99994,1
1996-03-25,D,Banco Products India Ord Shs,2.4,2.4,2.4,2.4,3999.99994,1
1996-03-26,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,15999.999762,1
1996-03-29,D,Banco Products India Ord Shs,2.425,2.425,2.425,2.425,3999.99994,1
1996-04-02,D,Banco Products India Ord Shs,2.37625,2.37625,2.375,2.375,7999.999881,0
1996-04-03,D,Banco Products India Ord Shs,2.4,2.4,2.4,2.4,3999.99994,1
1996-04-04,D,Banco Products India Ord Shs,2.4,2.4,2.375,2.375,7999.999881,0
1996-04-08,D,Banco Products India Ord Shs,2.425,2.425,2.425,2.425,3999.99994,1
1996-04-11,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,7999.999881,1
1996-04-16,D,Banco Products India Ord Shs,2.4,2.4,2.4,2.4,7999.999881,1
1996-04-19,D,Banco Products India Ord Shs,2.64,2.64,2.64,2.64,3999.99994,1
1996-04-22,D,Banco Products India Ord Shs,2.64,2.75,2.64,2.75,15999.999762,0
1996-04-25,D,Banco Products India Ord Shs,2.7475,2.7475,2.7475,2.7475,3999.99994,1
1996-05-01,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,3999.99994,1
1996-05-02,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,3999.99994,1
1996-05-03,D,Banco Products India Ord Shs,2.625,2.625,2.625,2.625,3999.99994,1
1996-05-16,D,Banco Products India Ord Shs,2.4125,2.4125,2.4,2.4,7999.999881,0
1996-05-17,D,Banco Products India Ord Shs,2.425,2.425,2.40625,2.425,31999.999523,1
1996-05-21,D,Banco Products India Ord Shs,2.35375,2.35375,2.35375,2.35375,3999.99994,1
1996-05-23,D,Banco Products India Ord Shs,2.3,2.3,2.3,2.3,3999.99994,1
1996-05-27,D,Banco Products India Ord Shs,2.25,2.25,2.2,2.2,11999.999821,0
1996-05-29,D,Banco Products India Ord Shs,2.2,2.2,2.2,2.2,11999.999821,1
1996-05-30,D,Banco Products India Ord Shs,2.41875,2.41875,2.41875,2.41875,3999.99994,1
1996-05-31,D,Banco Products India Ord Shs,2.375,2.375,2.375,2.375,7999.999881,1
1996-06-03,D,Banco Products India Ord Shs,2.31375,2.31375,2.31375,2.31375,3999.99994,1
1996-06-04,D,Banco Products India Ord Shs,2.5,2.5,2.5,2.5,7999.999881,1
1996-06-06,D,Banco Products India Ord Shs,2.25,2.25,2.25,2.25,3999.99994,1
1996-06-07,D,Banco Products India Ord Shs,2.20125,2.325,2.20125,2.325,19999.999702,0
1996-06-11,D,Banco Products India Ord Shs,2.325,2.325,2.225,2.225,15999.999762,0
1996-06-12,D,Banco Products India Ord Shs,2.25,2.3,2.25,2.3,7999.999881,0
1996-06-13,D,Banco Products India Ord Shs,2.3525,2.375,2.35125,2.35125,15999.999762,0
1996-06-14,D,Banco Products India Ord Shs,2.375,2.39875,2.32625,2.39875,19999.999702,0
1996-06-17,D,Banco Products India Ord Shs,2.2875,2.4875,2.2875,2.475,19999.999702,0
1996-06-18,D,Banco Products India Ord Shs,2.35,2.39875,2.35,2.39875,11999.999821,0
1996-06-20,D,Banco Products India Ord Shs,2.30625,2.30625,2.3,2.3,7999.999881,0
1996-06-21,D,Banco Products India Ord Shs,2.275,2.275,2.225,2.225,7999.999881,0
1996-06-24,D,Banco Products India Ord Shs,2.3425,2.35,2.3425,2.35,23999.999642,0
1996-06-25,D,Banco Products India Ord Shs,2.35,2.35,2.325,2.35,19999.999702,1
1996-06-26,D,Banco Products India Ord Shs,2.325,2.325,2.325,2.325,3999.99994,1
1996-06-27,D,Banco Products India Ord Shs,2.325,2.325,2.325,2.325,11999.999821,1
1996-07-01,D,Banco Products India Ord Shs,2.125,2.125,2.125,2.125,11999.999821,1
1996-07-05,D,Banco Products India Ord Shs,2.075,2.075,2.05,2.05,7999.999881,0
1996-07-10,D,Banco Products India Ord Shs,1.9125,1.9125,1.9125,1.9125,3999.99994,1
1996-07-12,D,Banco Products India Ord Shs,1.80125,1.80125,1.8,1.8,7999.999881,0
1996-07-19,D,Banco Products India Ord Shs,1.8,1.8,1.8,1.8,3999.99994,1
1996-07-26,D,Banco Products India Ord Shs,1.9625,1.9625,1.9625,1.9625,3999.99994,1
1996-07-29,D,Banco Products India Ord Shs,1.875,1.95,1.875,1.95,11999.999821,0
1996-07-30,D,Banco Products India Ord Shs,1.875,1.875,1.825,1.825,7999.999881,0
1996-08-01,D,Banco Products India Ord Shs,1.8,1.8,1.8,1.8,3999.99994,1
1996-08-02,D,Banco Products India Ord Shs,1.7,1.7,1.7,1.7,3999.99994,1
1996-08-06,D,Banco Products India Ord Shs,1.55125,1.55125,1.55125,1.55125,3999.99994,1
1996-08-07,D,Banco Products India Ord Shs,1.675,1.675,1.675,1.675,3999.99994,1
1996-08-08,D,Banco Products India Ord Shs,1.55625,1.55625,1.55625,1.55625,3999.99994,1
1996-08-09,D,Banco Products India Ord Shs,1.55,1.55,1.55,1.55,15999.999762,1
1996-08-12,D,Banco Products India Ord Shs,1.475,1.55,1.45,1.475,27999.999583,1
1996-08-13,D,Banco Products India Ord Shs,1.4,1.4,1.4,1.4,3999.99994,1
1996-08-14,D,Banco Products India Ord Shs,1.39875,1.4,1.30125,1.30125,19999.999702,0
1996-08-16,D,Banco Products India Ord Shs,1.29875,1.3,1.29875,1.3,15999.999762,0
1996-08-19,D,Banco Products India Ord Shs,1.375,1.375,1.375,1.375,3999.99994,1
1996-08-20,D,Banco Products India Ord Shs,1.3,1.325,1.2875,1.2875,19999.999702,0
1996-08-21,D,Banco Products India Ord Shs,1.325,1.325,1.325,1.325,15999.999762,1
1996-08-23,D,Banco Products India Ord Shs,1.325,1.395,1.325,1.395,23999.999642,0
1996-08-26,D,Banco Products India Ord Shs,1.33,1.33,1.33,1.33,7999.999881,1
1996-08-27,D,Banco Products India Ord Shs,1.41875,1.41875,1.325,1.39625,19999.999702,0
1996-08-28,D,Banco Products India Ord Shs,1.45,1.48125,1.45,1.45,19999.999702,1
1996-08-29,D,Banco Products India Ord Shs,1.4875,1.55,1.4625,1.52125,31999.999523,0
1996-08-30,D,Banco Products India Ord Shs,1.5525,1.575,1.55,1.575,19999.999702,0
1996-09-02,D,Banco Products India Ord Shs,1.6475,1.64875,1.625,1.625,15999.999762,0
1996-09-03,D,Banco Products India Ord Shs,1.65,1.7,1.6025,1.6025,47999.999285,0
1996-09-04,D,Banco Products India Ord Shs,1.7125,1.7375,1.7125,1.7375,11999.999821,0
1996-09-05,D,Banco Products India Ord Shs,1.75,1.77375,1.73875,1.7625,47999.999285,0
1996-09-06,D,Banco Products India Ord Shs,1.8,1.8,1.775,1.775,11999.999821,0
1996-09-09,D,Banco Products India Ord Shs,1.7375,1.775,1.7375,1.77375,31999.999523,0
1996-09-10,D,Banco Products India Ord Shs,1.725,1.725,1.7,1.70625,19999.999702,0
1996-09-11,D,Banco Products India Ord Shs,1.65,1.6875,1.65,1.6875,27999.999583,0
1996-09-12,D,Banco Products India Ord Shs,1.625,1.65,1.625,1.64875,47999.999285,0
1996-09-13,D,Banco Products India Ord Shs,1.675,1.675,1.625,1.625,7999.999881,0
1996-09-16,D,Banco Products India Ord Shs,1.55,1.625,1.55,1.5625,39999.999404,0
1996-09-17,D,Banco Products India Ord Shs,1.54375,1.575,1.54125,1.55875,23999.999642,0
1996-09-18,D,Banco Products India Ord Shs,1.60125,1.62375,1.575,1.57625,23999.999642,0
1996-09-19,D,Banco Products India Ord Shs,1.575,1.5825,1.55,1.5825,43999.999344,0
1996-09-20,D,Banco Products India Ord Shs,1.575,1.5975,1.575,1.595,43999.999344,0
1996-09-23,D,Banco Products India Ord Shs,1.575,1.59,1.53125,1.53875,23999.999642,0
1996-09-24,D,Banco Products India Ord Shs,1.4375,1.49375,1.43375,1.4375,55999.999166,1
1996-09-27,D,Banco Products India Ord Shs,1.4,1.4,1.4,1.4,3999.99994,1
1996-09-30,D,Banco Products India Ord Shs,1.4275,1.4275,1.425,1.425,11999.999821,0
1996-10-01,D,Banco Products India Ord Shs,1.375,1.375,1.375,1.375,3999.99994,1
1996-10-07,D,Banco Products India Ord Shs,1.3,1.3,1.3,1.3,3999.99994,1
1996-10-09,D,Banco Products India Ord Shs,1.3375,1.3375,1.325,1.325,15999.999762,0
1996-10-10,D,Banco Products India Ord Shs,1.325,1.33625,1.2625,1.33625,23999.999642,0
1996-10-15,D,Banco Products India Ord Shs,1.325,1.325,1.25,1.275,11999.999821,0
1996-10-22,D,Banco Products India Ord Shs,1.25,1.3,1.25,1.2675,11999.999821,0
1996-10-28,D,Banco Products India Ord Shs,1.2125,1.29875,1.2125,1.29875,7999.999881,0
1996-10-29,D,Banco Products India Ord Shs,1.2975,1.2975,1.2275,1.2275,7999.999881,0
1996-11-06,D,Banco Products India Ord Shs,1.225,1.225,1.225,1.225,3999.99994,1
1996-11-07,D,Banco Products India Ord Shs,1.31,1.31,1.31,1.31,3999.99994,1
1996-11-08,D,Banco Products India Ord Shs,1.225,1.225,1.225,1.225,3999.99994,1
1996-11-10,D,Banco Products India Ord Shs,1.225,1.225,1.175,1.175,7999.999881,0
1996-11-11,D,Banco Products India Ord Shs,1.25,1.25,1.15125,1.15125,11999.999821,0
1996-12-02,D,Banco Products India Ord Shs,1.175,1.175,1.175,1.175,3999.99994,1
1996-12-04,D,Banco Products India Ord Shs,1.25,1.25,1.25,1.25,3999.99994,1
1996-12-06,D,Banco Products India Ord Shs,1.25,1.25,1.25,1.25,3999.99994,1
1996-12-17,D,Banco Products India Ord Shs,1.225,1.25,1.225,1.25,11999.999821,0
1996-12-18,D,Banco Products India Ord Shs,1.175,1.175,1.175,1.175,11999.999821,1
1996-12-20,D,Banco Products India Ord Shs,1.25,1.25,1.1875,1.19375,11999.999821,0
1996-12-23,D,Banco Products India Ord Shs,1.13875,1.225,1.13875,1.2175,31999.999523,0
1996-12-24,D,Banco Products India Ord Shs,1.225,1.275,1.225,1.275,11999.999821,0
1996-12-31,D,Banco Products India Ord Shs,1.34,1.34,1.3375,1.3375,7999.999881,0
1997-01-01,D,Banco Products India Ord Shs,1.425,1.425,1.425,1.425,3999.99994,1
1997-01-03,D,Banco Products India Ord Shs,1.5225,1.5225,1.5225,1.5225,3999.99994,1
1997-01-06,D,Banco Products India Ord Shs,1.525,1.56375,1.525,1.55625,27999.999583,0
1997-01-07,D,Banco Products India Ord Shs,1.5875,1.5875,1.5875,1.5875,11999.999821,1
1997-01-08,D,Banco Products India Ord Shs,1.625,1.625,1.625,1.625,7999.999881,1
1997-01-09,D,Banco Products India Ord Shs,1.625,1.73875,1.625,1.73875,27999.999583,0
1997-01-10,D,Banco Products India Ord Shs,1.85875,1.86,1.85875,1.86,7999.999881,0
1997-01-13,D,Banco Products India Ord Shs,1.8125,1.8375,1.77125,1.82,35999.999464,0
1997-01-14,D,Banco Products India Ord Shs,1.85125,1.9,1.825,1.9,27999.999583,0
1997-01-15,D,Banco Products India Ord Shs,2.0,2.0,2.0,2.0,3999.99994,1
1997-01-16,D,Banco Products India Ord Shs,2.11875,2.11875,2.025,2.04625,39999.999404,0
1997-01-17,D,Banco Products India Ord Shs,1.92625,1.92625,1.92625,1.92625,3999.99994,1
1997-01-20,D,Banco Products India Ord Shs,1.795,1.795,1.795,1.795,3999.99994,1
1997-01-21,D,Banco Products India Ord Shs,1.67,1.725,1.67,1.725,7999.999881,0
1997-01-22,D,Banco Products India Ord Shs,1.725,1.725,1.725,1.725,3999.99994,1
1997-01-24,D,Banco Products India Ord Shs,1.725,1.725,1.725,1.725,3999.99994,1
1997-01-27,D,Banco Products India Ord Shs,1.7,1.7,1.7,1.7,3999.99994,1
1997-01-28,D,Banco Products India Ord Shs,1.625,1.625,1.58125,1.58125,15999.999762,0
1997-01-29,D,Banco Products India Ord Shs,1.675,1.6925,1.63125,1.6625,19999.999702,0
1997-01-31,D,Banco Products India Ord Shs,1.72375,1.72375,1.72375,1.72375,3999.99994,1
1997-02-03,D,Banco Products India Ord Shs,1.7,1.7,1.625,1.625,19999.999702,0
1997-02-04,D,Banco Products India Ord Shs,1.625,1.625,1.625,1.625,3999.99994,1
1997-02-05,D,Banco Products India Ord Shs,1.5875,1.675,1.575,1.675,15999.999762,0
1997-02-11,D,Banco Products India Ord Shs,1.6,1.6,1.6,1.6,3999.99994,1
1997-02-13,D,Banco Products India Ord Shs,1.525,1.525,1.525,1.525,3999.99994,1
1997-02-14,D,Banco Products India Ord Shs,1.525,1.525,1.525,1.525,3999.99994,1
1997-02-17,D,Banco Products India Ord Shs,1.575,1.6,1.575,1.6,7999.999881,0
1997-02-18,D,Banco Products India Ord Shs,1.5625,1.575,1.55,1.55,15999.999762,0
1997-02-19,D,Banco Products India Ord Shs,1.575,1.575,1.575,1.575,3999.99994,1
1997-02-20,D,Banco Products India Ord Shs,1.58125,1.6,1.575,1.575,23999.999642,0
1997-02-24,D,Banco Products India Ord Shs,1.5625,1.5625,1.5625,1.5625,3999.99994,1
1997-02-25,D,Banco Products India Ord Shs,1.5125,1.5125,1.5125,1.5125,3999.99994,1
1997-03-03,D,Banco Products India Ord Shs,1.5,1.60625,1.5,1.60625,403999.99398,0
1997-03-04,D,Banco Products India Ord Shs,1.7,1.7,1.7,1.7,3999.99994,1
1997-03-05,D,Banco Products India Ord Shs,1.71625,1.71625,1.71625,1.71625,7999.999881,1
1997-03-06,D,Banco Products India Ord Shs,1.7125,1.75,1.7,1.7,15999.999762,0
1997-03-10,D,Banco Products India Ord Shs,1.6025,1.6025,1.6025,1.6025,3999.99994,1
1997-03-11,D,Banco Products India Ord Shs,1.575,1.6,1.575,1.6,7999.999881,0
1997-03-12,D,Banco Products India Ord Shs,1.7,1.7,1.68125,1.68125,11999.999821,0
1997-03-13,D,Banco Products India Ord Shs,1.63125,1.63125,1.63125,1.63125,3999.99994,1
1997-03-14,D,Banco Products India Ord Shs,1.5625,1.5625,1.5625,1.5625,3999.99994,1
1997-03-17,D,Banco Products India Ord Shs,1.575,1.575,1.575,1.575,3999.99994,1
1997-03-18,D,Banco Products India Ord Shs,1.6225,1.6225,1.60625,1.60625,7999.999881,0
1997-03-19,D,Banco Products India Ord Shs,1.60625,1.60625,1.60625,1.60625,3999.99994,1
1997-03-20,D,Banco Products India Ord Shs,1.575,1.575,1.52625,1.55,19999.999702,0
1997-03-21,D,Banco Products India Ord Shs,1.54375,1.55,1.54375,1.55,11999.999821,0
1997-03-25,D,Banco Products India Ord Shs,1.56875,1.56875,1.55,1.55,11999.999821,0
1997-03-26,D,Banco Products India Ord Shs,1.55,1.55,1.55,1.55,3999.99994,1
1997-04-02,D,Banco Products India Ord Shs,1.5425,1.55,1.4625,1.4625,27999.999583,0
1997-04-04,D,Banco Products India Ord Shs,1.5,1.5,1.5,1.5,7999.999881,1
1997-04-07,D,Banco Products India Ord Shs,1.4875,1.5375,1.4875,1.5375,15999.999762,0
1997-04-10,D,Banco Products India Ord Shs,1.5975,1.5975,1.525,1.54875,11999.999821,0
1997-04-12,D,Banco Products India Ord Shs,1.45375,1.5675,1.45375,1.5675,399999.99404,0
1997-04-17,D,Banco Products India Ord Shs,1.5,1.5,1.5,1.5,3999.99994,1
1997-04-22,D,Banco Products India Ord Shs,1.5,1.5675,1.5,1.55875,11999.999821,0
1997-04-24,D,Banco Products India Ord Shs,1.5625,1.5625,1.5625,1.5625,3999.99994,1
1997-04-29,D,Banco Products India Ord Shs,1.46875,1.5,1.46875,1.5,7999.999881,0
1997-04-30,D,Banco Products India Ord Shs,1.58,1.58,1.58,1.58,19999.999702,1
1997-05-02,D,Banco Products India Ord Shs,1.54875,1.55,1.525,1.525,23999.999642,0
1997-05-05,D,Banco Products India Ord Shs,1.42625,1.42625,1.42625,1.42625,3999.99994,1
1997-05-07,D,Banco Products India Ord Shs,1.4,1.4,1.3875,1.39,11999.999821,0
1997-05-08,D,Banco Products India Ord Shs,1.4,1.45,1.4,1.44375,15999.999762,0
1997-05-09,D,Banco Products India Ord Shs,1.4,1.4725,1.35,1.355,35999.999464,0
1997-05-12,D,Banco Products India Ord Shs,1.365,1.365,1.365,1.365,3999.99994,1
1997-05-13,D,Banco Products India Ord Shs,1.35,1.3625,1.325,1.325,11999.999821,0
1997-05-14,D,Banco Products India Ord Shs,1.32,1.32,1.32,1.32,3999.99994,1
1997-05-15,D,Banco Products India Ord Shs,1.32,1.4125,1.32,1.4125,11999.999821,0
1997-05-19,D,Banco Products India Ord Shs,1.375,1.375,1.375,1.375,3999.99994,1
1997-05-20,D,Banco Products India Ord Shs,1.325,1.325,1.325,1.325,7999.999881,1
1997-05-21,D,Banco Products India Ord Shs,1.23625,1.325,1.235,1.2775,23999.999642,0
1997-05-22,D,Banco Products India Ord Shs,1.2625,1.2625,1.2625,1.2625,3999.99994,1
1997-05-23,D,Banco Products India Ord Shs,1.28,1.28,1.275,1.275,7999.999881,0
1997-05-26,D,Banco Products India Ord Shs,1.25,1.275,1.25,1.275,11999.999821,0
1997-05-27,D,Banco Products India Ord Shs,1.28125,1.28125,1.2375,1.2375,15999.999762,0
1997-05-29,D,Banco Products India Ord Shs,1.24375,1.24375,1.24375,1.24375,3999.99994,1
1997-06-04,D,Banco Products India Ord Shs,1.25,1.25,1.25,1.25,7999.999881,1
1997-06-09,D,Banco Products India Ord Shs,1.2275,1.2275,1.225,1.225,15999.999762,0
1997-06-10,D,Banco Products India Ord Shs,1.2,1.2,1.2,1.2,3999.99994,1
1997-06-11,D,Banco Products India Ord Shs,1.2,1.2,1.2,1.2,3999.99994,1
1997-06-13,D,Banco Products India Ord Shs,1.15,1.15,1.15,1.15,7999.999881,1
1997-06-16,D,Banco Products India Ord Shs,1.175,1.175,1.175,1.175,7999.999881,1
1997-06-17,D,Banco Products India Ord Shs,1.175,1.185,1.175,1.185,15999.999762,0
1997-06-18,D,Banco Products India Ord Shs,1.1875,1.2375,1.1875,1.2375,23999.999642,0
1997-06-19,D,Banco Products India Ord Shs,1.32375,1.325,1.25,1.25,11999.999821,0
1997-06-20,D,Banco Products India Ord Shs,1.3375,1.3375,1.3375,1.3375,7999.999881,1
1997-06-23,D,Banco Products India Ord Shs,1.37625,1.4125,1.375,1.4125,27999.999583,0
1997-06-24,D,Banco Products India Ord Shs,1.3875,1.42,1.3875,1.42,15999.999762,0
1997-06-27,D,Banco Products India Ord Shs,1.5,1.5,1.5,1.5,7999.999881,1
1997-06-30,D,Banco Products India Ord Shs,1.475,1.475,1.475,1.475,3999.99994,1
1997-07-01,D,Banco Products India Ord Shs,1.38125,1.38125,1.3775,1.3775,11999.999821,0
1997-07-02,D,Banco Products India Ord Shs,1.465,1.46625,1.325,1.325,23999.999642,0
1997-07-03,D,Banco Products India Ord Shs,1.35,1.375,1.3375,1.3375,15999.999762,0
1997-07-04,D,Banco Products India Ord Shs,1.375,1.375,1.375,1.375,7999.999881,1
1997-07-08,D,Banco Products India Ord Shs,1.3525,1.4,1.35,1.4,19999.999702,0
1997-07-09,D,Banco Products India Ord Shs,1.3625,1.39375,1.3625,1.39375,11999.999821,0
1997-07-10,D,Banco Products India Ord Shs,1.4,1.475,1.4,1.475,11999.999821,0
1997-07-11,D,Banco Products India Ord Shs,1.5675,1.56875,1.5675,1.56875,7999.999881,0
1997-07-14,D,Banco Products India Ord Shs,1.6225,1.62375,1.525,1.525,23999.999642,0
1997-07-15,D,Banco Products India Ord Shs,1.5025,1.54875,1.5,1.50125,19999.999702,0
1997-07-16,D,Banco Products India Ord Shs,1.5,1.5,1.48125,1.48125,15999.999762,0
1997-07-17,D,Banco Products India Ord Shs,1.40125,1.40125,1.40125,1.40125,3999.99994,1
1997-07-22,D,Banco Products India Ord Shs,1.375,1.375,1.375,1.375,7999.999881,1
1997-07-24,D,Banco Products India Ord Shs,1.4125,1.4125,1.375,1.375,7999.999881,0
1997-07-28,D,Banco Products India Ord Shs,1.30625,1.44125,1.30625,1.44125,71999.998927,0
1997-07-29,D,Banco Products India Ord Shs,1.4125,1.4125,1.4125,1.4125,3999.99994,1
1997-07-30,D,Banco Products India Ord Shs,1.46875,1.5,1.46875,1.4875,39999.999404,0
1997-07-31,D,Banco Products India Ord Shs,1.58625,1.5875,1.58625,1.5875,11999.999821,0
1997-08-01,D,Banco Products India Ord Shs,1.6125,1.6875,1.6125,1.6875,35999.999464,0
1997-08-05,D,Banco Products India Ord Shs,1.6125,1.625,1.6125,1.625,19999.999702,0
1997-08-06,D,Banco Products India Ord Shs,1.6875,1.6875,1.6875,1.6875,3999.99994,1
