Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-12-24,D,MRS Bectors Food Specialities Ord Shs,500.0,600.0,500.0,594.2,37066792,0
2020-12-28,D,MRS Bectors Food Specialities Ord Shs,604.3,624.0,538.3,559.15,12523905,0
2020-12-29,D,MRS Bectors Food Specialities Ord Shs,553.0,564.45,517.1,521.35,6256476,0
2020-12-30,D,MRS Bectors Food Specialities Ord Shs,520.0,538.0,507.15,514.75,5803600,0
2020-12-31,D,MRS Bectors Food Specialities Ord Shs,517.8,524.95,510.0,514.35,2382600,0
2021-01-01,D,MRS Bectors Food Specialities Ord Shs,516.0,519.45,501.25,502.7,2117248,0
2021-01-04,D,MRS Bectors Food Specialities Ord Shs,503.2,505.4,467.5,470.15,3119301,0
2021-01-05,D,MRS Bectors Food Specialities Ord Shs,460.0,489.9,450.1,475.85,4837879,0
2021-01-06,D,MRS Bectors Food Specialities Ord Shs,476.0,481.7,461.7,464.15,1166890,0
2021-01-07,D,MRS Bectors Food Specialities Ord Shs,461.1,468.05,455.1,455.85,713031,0
2021-01-08,D,MRS Bectors Food Specialities Ord Shs,457.0,467.9,453.7,456.8,955664,0
2021-01-11,D,MRS Bectors Food Specialities Ord Shs,465.0,465.0,451.0,453.5,789630,0
2021-01-12,D,MRS Bectors Food Specialities Ord Shs,451.0,451.0,435.0,436.7,1304843,0
2021-01-13,D,MRS Bectors Food Specialities Ord Shs,437.0,443.9,427.0,429.05,720330,0
2021-01-14,D,MRS Bectors Food Specialities Ord Shs,428.0,445.4,422.45,438.85,1253003,0
2021-01-15,D,MRS Bectors Food Specialities Ord Shs,438.0,459.9,438.0,449.05,1588383,0
2021-01-18,D,MRS Bectors Food Specialities Ord Shs,453.0,453.0,432.0,433.95,455523,0
2021-01-19,D,MRS Bectors Food Specialities Ord Shs,439.45,443.7,434.0,434.7,363002,0
2021-01-20,D,MRS Bectors Food Specialities Ord Shs,434.7,439.5,430.0,431.35,370929,0
2021-01-21,D,MRS Bectors Food Specialities Ord Shs,430.0,432.0,407.1,409.85,2927474,0
2021-01-22,D,MRS Bectors Food Specialities Ord Shs,410.0,427.9,394.0,396.55,1827611,0
2021-01-25,D,MRS Bectors Food Specialities Ord Shs,397.25,400.6,377.0,392.45,1026018,0
2021-01-27,D,MRS Bectors Food Specialities Ord Shs,392.0,395.8,384.05,386.5,562871,0
2021-01-28,D,MRS Bectors Food Specialities Ord Shs,380.0,391.45,379.65,384.0,463043,0
2021-01-29,D,MRS Bectors Food Specialities Ord Shs,388.0,389.75,372.5,374.95,382485,0
2021-02-01,D,MRS Bectors Food Specialities Ord Shs,372.0,382.3,370.6,376.2,639305,0
2021-02-02,D,MRS Bectors Food Specialities Ord Shs,382.0,408.95,378.65,405.15,1499601,0
