Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-10,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.489292,1.458898,1.458898,24749.987829,1
1995-05-12,D,Bhansali Engineering Polymers Ord Shs,1.474095,1.519686,1.458898,1.519686,43499.978609,0
1995-05-15,D,Bhansali Engineering Polymers Ord Shs,1.489292,1.489292,1.458898,1.474095,41249.979716,0
1995-05-16,D,Bhansali Engineering Polymers Ord Shs,1.489292,1.550079,1.489292,1.519686,91499.955006,0
1995-05-17,D,Bhansali Engineering Polymers Ord Shs,1.519686,1.550079,1.519686,1.550079,43499.978609,0
1995-05-18,D,Bhansali Engineering Polymers Ord Shs,1.580473,1.641261,1.580473,1.641261,53999.973446,0
1995-05-19,D,Bhansali Engineering Polymers Ord Shs,1.6443,1.702048,1.610867,1.641261,48749.976028,0
1995-05-22,D,Bhansali Engineering Polymers Ord Shs,1.641261,1.702048,1.641261,1.702048,111749.945048,0
1995-05-23,D,Bhansali Engineering Polymers Ord Shs,1.702048,1.717245,1.59567,1.695969,89999.955744,0
1995-05-24,D,Bhansali Engineering Polymers Ord Shs,1.762835,1.808426,1.732442,1.778032,146999.927715,0
1995-05-25,D,Bhansali Engineering Polymers Ord Shs,1.671654,1.702048,1.671654,1.686851,28499.985985,0
1995-05-26,D,Bhansali Engineering Polymers Ord Shs,1.702048,1.702048,1.580473,1.580473,53249.973815,0
1995-05-29,D,Bhansali Engineering Polymers Ord Shs,1.702048,1.702048,1.534883,1.580473,20999.989674,0
1995-05-30,D,Bhansali Engineering Polymers Ord Shs,1.54704,1.54704,1.477135,1.49841,28499.985985,0
1995-05-31,D,Bhansali Engineering Polymers Ord Shs,1.519686,1.534883,1.458898,1.534883,23999.988198,0
1995-06-01,D,Bhansali Engineering Polymers Ord Shs,1.59567,1.59567,1.464977,1.519686,16499.991886,0
1995-06-02,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.519686,1.458898,1.519686,47249.976765,0
1995-06-05,D,Bhansali Engineering Polymers Ord Shs,1.474095,1.489292,1.474095,1.483213,10499.994837,0
1995-06-06,D,Bhansali Engineering Polymers Ord Shs,1.471056,1.474095,1.443701,1.443701,24749.987829,0
1995-06-07,D,Bhansali Engineering Polymers Ord Shs,1.489292,1.54704,1.489292,1.534883,62999.969021,0
1995-06-08,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.571355,1.458898,1.562237,61499.969758,0
1995-06-09,D,Bhansali Engineering Polymers Ord Shs,1.519686,1.580473,1.492331,1.580473,83999.958694,0
1995-06-12,D,Bhansali Engineering Polymers Ord Shs,1.519686,1.519686,1.489292,1.492331,33749.983404,0
1995-06-13,D,Bhansali Engineering Polymers Ord Shs,1.428505,1.522725,1.428505,1.519686,64499.968283,0
1995-06-14,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.516646,1.458898,1.516646,32999.983773,0
1995-06-15,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.468016,1.458898,1.468016,4499.997787,0
1995-06-16,D,Bhansali Engineering Polymers Ord Shs,1.580473,1.580473,1.461938,1.468016,28499.985985,0
1995-06-19,D,Bhansali Engineering Polymers Ord Shs,1.519686,1.519686,1.474095,1.474095,35999.982297,0
1995-06-20,D,Bhansali Engineering Polymers Ord Shs,1.458898,1.519686,1.458898,1.519686,64499.968283,0
1995-06-21,D,Bhansali Engineering Polymers Ord Shs,1.489292,1.702048,1.489292,1.565276,29999.985248,0
1995-06-22,D,Bhansali Engineering Polymers Ord Shs,1.477135,1.550079,1.477135,1.531843,22499.988936,0
1995-06-23,D,Bhansali Engineering Polymers Ord Shs,1.550079,1.610867,1.550079,1.604788,47249.976765,0
