Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2000-07-17,D,Bhartiya International Ord Shs,57.9,58.0,50.85,53.45,4300,0
2000-07-18,D,Bhartiya International Ord Shs,51.0,52.4,49.2,49.7,4900,0
2000-07-19,D,Bhartiya International Ord Shs,53.7,53.7,53.7,53.7,2020,1
2000-07-20,D,Bhartiya International Ord Shs,56.95,57.0,54.0,54.25,708,0
2000-07-21,D,Bhartiya International Ord Shs,55.8,56.0,53.55,55.3,3080,0
2000-07-24,D,Bhartiya International Ord Shs,51.75,52.9,51.15,52.8,1300,0
2000-07-25,D,Bhartiya International Ord Shs,52.9,53.9,50.0,53.85,2115,0
2000-07-26,D,Bhartiya International Ord Shs,56.9,56.9,56.9,56.9,500,1
2000-07-27,D,Bhartiya International Ord Shs,55.0,56.0,54.25,55.55,1950,0
2000-07-28,D,Bhartiya International Ord Shs,56.0,57.65,56.0,57.05,1500,0
2000-07-31,D,Bhartiya International Ord Shs,55.55,55.55,54.8,54.8,790,0
2000-08-01,D,Bhartiya International Ord Shs,55.75,55.75,53.9,54.5,1470,0
2000-08-02,D,Bhartiya International Ord Shs,55.2,55.25,53.1,53.2,800,0
2000-08-03,D,Bhartiya International Ord Shs,55.4,55.5,55.4,55.5,100,0
2000-08-04,D,Bhartiya International Ord Shs,55.5,55.5,54.4,54.6,940,0
2000-08-07,D,Bhartiya International Ord Shs,54.05,54.05,54.0,54.0,140,0
2000-08-08,D,Bhartiya International Ord Shs,55.85,58.2,55.85,58.2,1700,0
2000-08-09,D,Bhartiya International Ord Shs,56.0,56.0,55.05,55.05,600,0
2000-08-11,D,Bhartiya International Ord Shs,54.15,54.15,54.0,54.05,210,0
2000-08-14,D,Bhartiya International Ord Shs,53.25,53.25,52.15,52.15,151,0
2000-08-16,D,Bhartiya International Ord Shs,53.0,54.2,53.0,54.0,850,0
2000-08-17,D,Bhartiya International Ord Shs,52.1,52.7,52.0,52.7,300,0
2000-08-18,D,Bhartiya International Ord Shs,52.0,52.0,50.1,51.0,750,0
2000-08-21,D,Bhartiya International Ord Shs,50.55,52.7,50.0,52.45,1200,0
2000-08-22,D,Bhartiya International Ord Shs,53.25,53.45,52.0,52.25,850,0
2000-08-23,D,Bhartiya International Ord Shs,52.5,53.95,52.35,53.5,1725,0
2000-08-24,D,Bhartiya International Ord Shs,54.25,54.25,53.7,53.95,450,0
2000-08-25,D,Bhartiya International Ord Shs,53.95,54.75,53.9,54.75,800,0
2000-08-28,D,Bhartiya International Ord Shs,53.75,55.0,53.75,54.5,900,0
2000-08-29,D,Bhartiya International Ord Shs,54.75,56.0,54.75,56.0,1150,0
2000-08-30,D,Bhartiya International Ord Shs,56.0,59.4,56.0,59.3,1400,0
2000-08-31,D,Bhartiya International Ord Shs,58.25,59.75,58.25,59.4,900,0
2000-09-04,D,Bhartiya International Ord Shs,60.8,63.7,60.8,63.65,820,0
2000-09-05,D,Bhartiya International Ord Shs,64.25,68.7,64.25,68.7,1185,0
2000-09-06,D,Bhartiya International Ord Shs,72.05,74.15,72.05,74.15,750,0
2000-09-07,D,Bhartiya International Ord Shs,75.0,80.0,74.15,77.05,4875,0
2000-09-08,D,Bhartiya International Ord Shs,77.8,77.8,72.1,74.45,2100,0
2000-09-11,D,Bhartiya International Ord Shs,74.0,75.7,74.0,74.7,1451,0
2000-09-12,D,Bhartiya International Ord Shs,72.55,73.0,69.0,69.0,1666,0
2000-09-13,D,Bhartiya International Ord Shs,66.2,69.95,65.0,68.05,1000,0
2000-09-14,D,Bhartiya International Ord Shs,69.0,69.85,66.1,69.7,811,0
2000-09-15,D,Bhartiya International Ord Shs,69.5,71.45,69.0,70.9,588,0
2000-09-18,D,Bhartiya International Ord Shs,68.0,68.0,65.25,65.25,700,0
2000-09-19,D,Bhartiya International Ord Shs,62.0,62.0,60.5,60.5,1150,0
2000-09-20,D,Bhartiya International Ord Shs,62.0,63.75,62.0,63.75,300,0
2000-09-21,D,Bhartiya International Ord Shs,63.7,63.7,63.7,63.7,50,1
2000-09-22,D,Bhartiya International Ord Shs,60.5,60.5,60.5,60.5,100,1
2000-09-26,D,Bhartiya International Ord Shs,57.0,61.0,56.15,58.2,302,0
2000-09-29,D,Bhartiya International Ord Shs,56.3,56.3,56.0,56.1,900,0
2000-10-03,D,Bhartiya International Ord Shs,56.5,58.4,56.5,58.4,500,0
2000-10-04,D,Bhartiya International Ord Shs,57.15,57.15,54.1,56.75,1575,0
2000-10-05,D,Bhartiya International Ord Shs,56.1,56.1,56.0,56.0,500,0
2000-10-10,D,Bhartiya International Ord Shs,56.0,56.0,52.5,53.2,1199,0
2000-10-11,D,Bhartiya International Ord Shs,53.5,56.0,53.45,53.55,520,0
2000-10-12,D,Bhartiya International Ord Shs,55.0,55.0,55.0,55.0,1,1
2000-10-13,D,Bhartiya International Ord Shs,57.4,57.4,50.75,52.8,1100,0
2000-10-17,D,Bhartiya International Ord Shs,53.8,56.5,53.8,56.5,184,0
2000-10-18,D,Bhartiya International Ord Shs,58.15,58.15,52.15,54.95,213,0
2000-10-19,D,Bhartiya International Ord Shs,52.1,53.95,52.0,52.0,301,0
2000-10-20,D,Bhartiya International Ord Shs,55.85,55.85,53.5,53.5,302,0
2000-10-23,D,Bhartiya International Ord Shs,51.1,51.9,49.3,51.85,595,0
2000-10-24,D,Bhartiya International Ord Shs,52.75,52.75,47.7,48.5,2250,0
2000-10-25,D,Bhartiya International Ord Shs,48.5,50.9,48.5,50.9,526,0
2000-10-26,D,Bhartiya International Ord Shs,52.95,52.95,52.95,52.95,1,1
2000-10-27,D,Bhartiya International Ord Shs,53.7,53.7,51.25,52.9,102,0
2000-10-30,D,Bhartiya International Ord Shs,54.0,54.0,50.05,50.7,102,0
2000-10-31,D,Bhartiya International Ord Shs,50.0,50.0,46.7,46.7,3011,0
2000-11-01,D,Bhartiya International Ord Shs,50.3,50.3,49.55,50.3,671,1
2000-11-02,D,Bhartiya International Ord Shs,52.5,53.0,46.3,46.35,7174,0
2000-11-03,D,Bhartiya International Ord Shs,48.75,49.85,45.05,49.2,2680,0
2000-11-06,D,Bhartiya International Ord Shs,49.7,50.75,48.65,49.95,1194,0
2000-11-07,D,Bhartiya International Ord Shs,48.0,49.8,48.0,49.4,1730,0
2000-11-08,D,Bhartiya International Ord Shs,50.5,53.35,50.5,53.15,2690,0
2000-11-09,D,Bhartiya International Ord Shs,50.0,51.65,49.25,51.3,2425,0
2000-11-10,D,Bhartiya International Ord Shs,52.2,52.2,49.1,51.0,860,0
2000-11-13,D,Bhartiya International Ord Shs,50.5,50.8,50.0,50.0,1050,0
2000-11-14,D,Bhartiya International Ord Shs,50.05,50.3,47.0,48.2,3094,0
2000-11-15,D,Bhartiya International Ord Shs,49.5,50.9,49.5,50.0,900,0
2000-11-16,D,Bhartiya International Ord Shs,50.0,50.0,49.6,49.65,151,0
2000-11-17,D,Bhartiya International Ord Shs,49.85,49.95,49.85,49.95,275,0
2000-11-20,D,Bhartiya International Ord Shs,50.1,50.95,49.0,50.95,3890,0
2000-11-21,D,Bhartiya International Ord Shs,49.1,50.2,49.0,49.5,870,0
2000-11-22,D,Bhartiya International Ord Shs,50.5,52.45,50.0,52.05,3425,0
2000-11-23,D,Bhartiya International Ord Shs,51.4,51.9,51.4,51.45,635,0
2000-11-24,D,Bhartiya International Ord Shs,51.0,52.5,51.0,52.0,1340,0
2000-11-27,D,Bhartiya International Ord Shs,52.2,52.5,51.85,52.05,1535,0
2000-11-28,D,Bhartiya International Ord Shs,52.6,53.65,51.55,52.5,27142,0
2000-11-29,D,Bhartiya International Ord Shs,52.45,53.45,52.0,52.6,2225,0
2000-11-30,D,Bhartiya International Ord Shs,52.7,56.85,52.7,55.0,4330,0
2000-12-01,D,Bhartiya International Ord Shs,55.0,56.85,54.5,55.0,4470,1
2000-12-04,D,Bhartiya International Ord Shs,55.0,55.5,54.0,55.1,1650,0
2000-12-05,D,Bhartiya International Ord Shs,55.0,55.0,54.3,54.75,650,0
2000-12-06,D,Bhartiya International Ord Shs,57.9,57.9,55.0,55.75,2350,0
