Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-02-06,D,BLS E-Services Ord Shs,305.0,366.0,303.1,366.0,49965562,0
2024-02-07,D,BLS E-Services Ord Shs,397.95,423.7,357.05,363.95,15744091,0
2024-02-08,D,BLS E-Services Ord Shs,350.0,359.0,322.45,339.4,6307054,0
2024-02-09,D,BLS E-Services Ord Shs,342.5,355.45,335.25,344.35,1948328,0
2024-02-12,D,BLS E-Services Ord Shs,350.95,351.0,325.15,336.0,3931970,0
2024-02-13,D,BLS E-Services Ord Shs,330.95,330.95,302.0,309.3,2004515,0
2024-02-14,D,BLS E-Services Ord Shs,302.05,342.7,300.0,326.0,2674558,0
2024-02-15,D,BLS E-Services Ord Shs,327.8,333.9,316.8,319.85,1818042,0
2024-02-16,D,BLS E-Services Ord Shs,322.8,379.45,318.05,364.25,9069121,0
2024-02-19,D,BLS E-Services Ord Shs,359.05,399.6,356.4,389.95,4905999,0
2024-02-20,D,BLS E-Services Ord Shs,389.95,418.35,386.55,399.45,5680784,0
2024-02-21,D,BLS E-Services Ord Shs,400.95,407.0,378.0,387.3,2467308,0
2024-02-22,D,BLS E-Services Ord Shs,391.9,397.0,374.2,390.85,1129674,0
2024-02-23,D,BLS E-Services Ord Shs,392.1,403.65,385.0,388.65,933565,0
2024-02-26,D,BLS E-Services Ord Shs,388.5,406.9,377.55,388.7,2363686,0
2024-02-27,D,BLS E-Services Ord Shs,390.0,404.45,386.0,387.4,2274839,0
2024-02-28,D,BLS E-Services Ord Shs,390.35,399.55,356.1,372.1,2731822,0
2024-02-29,D,BLS E-Services Ord Shs,373.2,380.95,366.05,369.55,442802,0
2024-03-01,D,BLS E-Services Ord Shs,374.8,388.6,373.25,379.95,2105364,0
2024-03-02,D,BLS E-Services Ord Shs,382.95,387.4,378.65,380.15,125188,0
2024-03-04,D,BLS E-Services Ord Shs,383.3,388.35,362.25,365.8,695383,0
2024-03-05,D,BLS E-Services Ord Shs,366.95,367.4,343.55,345.05,1924966,0
2024-03-06,D,BLS E-Services Ord Shs,345.1,348.95,320.0,328.1,6024863,0
2024-03-07,D,BLS E-Services Ord Shs,334.95,336.7,318.15,321.35,999250,0
2024-03-11,D,BLS E-Services Ord Shs,323.8,324.5,306.05,309.25,2222881,0
2024-03-12,D,BLS E-Services Ord Shs,309.8,313.5,290.2,295.35,1857550,0
2024-03-13,D,BLS E-Services Ord Shs,296.3,313.4,266.7,280.2,1752178,0
2024-03-14,D,BLS E-Services Ord Shs,274.95,336.2,272.0,317.2,3605159,0
2024-03-15,D,BLS E-Services Ord Shs,319.7,333.8,312.75,325.5,1729852,0
2024-03-18,D,BLS E-Services Ord Shs,327.8,332.95,313.0,316.65,1830692,0
2024-03-19,D,BLS E-Services Ord Shs,317.3,321.9,303.45,310.15,2159117,0
2024-03-20,D,BLS E-Services Ord Shs,312.1,318.65,305.05,313.45,2166925,0
2024-03-21,D,BLS E-Services Ord Shs,318.6,324.25,314.4,317.9,544139,0
2024-03-22,D,BLS E-Services Ord Shs,318.4,326.7,310.3,315.3,2803891,0
2024-03-26,D,BLS E-Services Ord Shs,317.0,324.7,309.05,312.75,806155,0
2024-03-27,D,BLS E-Services Ord Shs,315.0,321.9,306.5,308.05,2718895,0
2024-03-28,D,BLS E-Services Ord Shs,311.0,323.55,306.7,310.0,2455581,0
2024-04-01,D,BLS E-Services Ord Shs,316.5,332.0,314.35,320.8,1473020,0
2024-04-02,D,BLS E-Services Ord Shs,321.8,327.0,316.5,324.6,712464,0
2024-04-03,D,BLS E-Services Ord Shs,324.0,330.85,321.6,326.9,1140009,0
2024-04-04,D,BLS E-Services Ord Shs,332.0,337.0,323.1,326.65,968516,0
2024-04-05,D,BLS E-Services Ord Shs,327.2,332.4,324.15,327.2,682936,1
2024-04-08,D,BLS E-Services Ord Shs,329.75,343.3,326.6,333.1,1321025,0
2024-04-09,D,BLS E-Services Ord Shs,337.7,337.7,321.55,326.1,455995,0
2024-04-10,D,BLS E-Services Ord Shs,328.4,329.5,322.6,325.35,486089,0
2024-04-12,D,BLS E-Services Ord Shs,325.15,326.05,316.85,319.85,443711,0
2024-04-15,D,BLS E-Services Ord Shs,306.6,320.35,304.0,308.35,659780,0
2024-04-16,D,BLS E-Services Ord Shs,305.65,314.4,304.8,308.3,667474,0
2024-04-18,D,BLS E-Services Ord Shs,310.0,313.75,301.0,302.3,508484,0
2024-04-19,D,BLS E-Services Ord Shs,301.0,301.0,291.0,298.6,276822,0
2024-04-22,D,BLS E-Services Ord Shs,302.7,308.0,299.95,302.85,303895,0
2024-04-23,D,BLS E-Services Ord Shs,306.0,306.0,301.5,302.15,195694,0
2024-04-24,D,BLS E-Services Ord Shs,306.0,306.95,297.85,298.65,363459,0
2024-04-25,D,BLS E-Services Ord Shs,301.3,305.85,297.1,299.5,289995,0
2024-04-26,D,BLS E-Services Ord Shs,302.55,304.0,297.0,299.0,224301,0
2024-04-29,D,BLS E-Services Ord Shs,301.5,308.6,298.05,306.0,408032,0
2024-04-30,D,BLS E-Services Ord Shs,307.65,307.65,301.0,302.55,227827,0
2024-05-02,D,BLS E-Services Ord Shs,303.0,312.0,299.3,305.6,764619,0
2024-05-03,D,BLS E-Services Ord Shs,306.9,307.8,298.05,299.9,380308,0
2024-05-06,D,BLS E-Services Ord Shs,301.9,303.1,291.35,293.75,362991,0
2024-05-07,D,BLS E-Services Ord Shs,294.3,295.45,279.0,283.35,922911,0
2024-05-08,D,BLS E-Services Ord Shs,283.35,286.75,280.1,281.7,190272,0
2024-05-09,D,BLS E-Services Ord Shs,282.5,283.75,267.5,268.6,572318,0
2024-05-10,D,BLS E-Services Ord Shs,270.0,274.8,262.55,271.3,332612,0
2024-05-13,D,BLS E-Services Ord Shs,272.5,275.95,260.25,265.85,493162,0
2024-05-14,D,BLS E-Services Ord Shs,260.1,273.4,259.1,267.45,770240,0
2024-05-15,D,BLS E-Services Ord Shs,267.55,289.45,267.0,280.8,752573,0
2024-05-16,D,BLS E-Services Ord Shs,285.2,288.45,280.05,281.45,381060,0
2024-05-17,D,BLS E-Services Ord Shs,282.8,282.8,277.2,278.15,203799,0
2024-05-18,D,BLS E-Services Ord Shs,279.9,281.0,274.0,277.55,66718,0
2024-05-21,D,BLS E-Services Ord Shs,277.0,280.2,268.0,274.95,194754,0
2024-05-22,D,BLS E-Services Ord Shs,275.95,279.0,274.15,274.95,141434,0
2024-05-23,D,BLS E-Services Ord Shs,274.95,278.0,273.0,275.0,158885,0
2024-05-24,D,BLS E-Services Ord Shs,276.3,276.45,268.1,269.7,168398,0
2024-05-27,D,BLS E-Services Ord Shs,270.3,273.85,262.15,262.85,323176,0
2024-05-28,D,BLS E-Services Ord Shs,262.85,265.25,255.0,255.55,291656,0
2024-05-29,D,BLS E-Services Ord Shs,255.8,258.85,252.0,253.0,330126,0
2024-05-30,D,BLS E-Services Ord Shs,255.4,256.65,244.8,245.75,346296,0
2024-05-31,D,BLS E-Services Ord Shs,248.65,258.95,243.95,246.0,346323,0
2024-06-03,D,BLS E-Services Ord Shs,280.0,280.0,251.1,253.2,402334,0
2024-06-04,D,BLS E-Services Ord Shs,253.2,253.7,221.25,234.05,682821,0
2024-06-05,D,BLS E-Services Ord Shs,240.0,244.95,223.55,242.2,369541,0
2024-06-06,D,BLS E-Services Ord Shs,244.8,251.7,243.85,250.7,189590,0
2024-06-07,D,BLS E-Services Ord Shs,252.65,258.5,249.45,256.7,219106,0
2024-06-10,D,BLS E-Services Ord Shs,256.95,260.0,254.06,256.32,235804,0
2024-06-11,D,BLS E-Services Ord Shs,254.25,270.0,254.0,262.7,390577,0
2024-06-12,D,BLS E-Services Ord Shs,265.65,267.77,260.15,265.28,290968,0
2024-06-13,D,BLS E-Services Ord Shs,268.59,271.0,263.56,268.81,327744,0
2024-06-14,D,BLS E-Services Ord Shs,270.0,272.0,263.3,264.54,189165,0
2024-06-18,D,BLS E-Services Ord Shs,273.5,291.0,272.0,283.02,2112555,0
