Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-11-01,D,Blue Jet Healthcare Ord Shs,380.0,417.95,378.0,413.4,22439980,0
2023-11-02,D,Blue Jet Healthcare Ord Shs,423.0,433.4,403.4,406.95,4315489,0
2023-11-03,D,Blue Jet Healthcare Ord Shs,409.8,413.2,386.05,389.85,1466942,0
2023-11-06,D,Blue Jet Healthcare Ord Shs,372.0,393.75,357.35,382.5,2137882,0
2023-11-07,D,Blue Jet Healthcare Ord Shs,382.0,387.25,376.25,381.7,657524,0
2023-11-08,D,Blue Jet Healthcare Ord Shs,385.0,408.8,385.0,405.3,1164406,0
2023-11-09,D,Blue Jet Healthcare Ord Shs,406.5,419.9,401.05,404.05,945054,0
2023-11-10,D,Blue Jet Healthcare Ord Shs,399.0,402.7,376.65,387.75,666783,0
2023-11-12,D,Blue Jet Healthcare Ord Shs,390.0,404.95,390.0,402.15,248739,0
2023-11-13,D,Blue Jet Healthcare Ord Shs,403.0,415.0,398.05,400.25,502996,0
2023-11-15,D,Blue Jet Healthcare Ord Shs,403.75,406.9,391.35,392.55,444278,0
2023-11-16,D,Blue Jet Healthcare Ord Shs,395.0,396.0,384.0,389.15,817395,0
2023-11-17,D,Blue Jet Healthcare Ord Shs,391.0,394.0,379.0,381.45,374541,0
2023-11-20,D,Blue Jet Healthcare Ord Shs,381.0,398.0,381.0,393.2,518920,0
2023-11-21,D,Blue Jet Healthcare Ord Shs,393.95,401.2,384.0,389.65,446158,0
2023-11-22,D,Blue Jet Healthcare Ord Shs,390.0,392.0,382.3,385.35,208898,0
2023-11-23,D,Blue Jet Healthcare Ord Shs,385.75,386.0,379.3,383.7,236856,0
2023-11-24,D,Blue Jet Healthcare Ord Shs,382.0,384.3,370.05,374.3,375797,0
2023-11-28,D,Blue Jet Healthcare Ord Shs,376.0,377.7,358.6,364.75,450131,0
2023-11-29,D,Blue Jet Healthcare Ord Shs,366.9,372.0,362.25,364.45,478518,0
2023-11-30,D,Blue Jet Healthcare Ord Shs,366.0,366.8,355.5,360.1,369766,0
2023-12-01,D,Blue Jet Healthcare Ord Shs,362.2,364.0,344.75,346.95,736101,0
2023-12-04,D,Blue Jet Healthcare Ord Shs,350.55,358.0,332.9,355.4,977080,0
2023-12-05,D,Blue Jet Healthcare Ord Shs,355.4,369.95,355.4,360.25,503045,0
2023-12-06,D,Blue Jet Healthcare Ord Shs,360.55,362.9,346.05,348.5,349922,0
2023-12-07,D,Blue Jet Healthcare Ord Shs,348.65,352.45,341.25,350.05,251113,0
