Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2020-07-22,D,Borosil Ord Shs,177.282061,177.282061,168.417958,168.417958,43238,0
2020-07-23,D,Borosil Ord Shs,160.003187,160.003187,160.003187,160.003187,2587,1
2020-07-24,D,Borosil Ord Shs,152.037749,152.037749,152.037749,152.037749,2077,1
2020-07-27,D,Borosil Ord Shs,144.439947,144.439947,144.439947,144.439947,1969,1
2020-07-28,D,Borosil Ord Shs,137.250628,137.250628,137.250628,137.250628,891,1
2020-07-29,D,Borosil Ord Shs,130.388097,130.388097,130.388097,130.388097,3086,1
2020-07-30,D,Borosil Ord Shs,123.893201,133.982756,123.893201,123.893201,240504,1
2020-07-31,D,Borosil Ord Shs,121.156358,129.897916,117.725092,117.970183,173098,0
2020-08-03,D,Borosil Ord Shs,114.375523,117.643395,112.088013,112.210558,57853,0
2020-08-04,D,Borosil Ord Shs,107.022811,117.806789,107.022811,117.806789,65631,0
2020-08-05,D,Borosil Ord Shs,123.688959,123.688959,120.911268,123.688959,72921,1
2020-08-06,D,Borosil Ord Shs,128.672464,129.857067,123.688959,129.857067,111118,0
2020-08-07,D,Borosil Ord Shs,133.982756,133.982756,125.813076,131.654397,89181,0
2020-08-10,D,Borosil Ord Shs,134.718027,138.067596,130.714884,136.066024,120888,0
2020-08-11,D,Borosil Ord Shs,138.72117,138.72117,130.714884,131.286761,54453,0
2020-08-12,D,Borosil Ord Shs,130.224703,130.714884,125.813076,127.855496,51352,0
2020-08-13,D,Borosil Ord Shs,127.855496,130.714884,123.40302,126.384953,32003,0
2020-08-14,D,Borosil Ord Shs,126.384953,129.816219,123.770656,124.465078,40062,0
2020-08-17,D,Borosil Ord Shs,118.256121,122.953688,118.256121,118.256121,101413,1
2020-08-18,D,Borosil Ord Shs,118.29697,124.138291,112.741587,123.239626,80687,0
2020-08-19,D,Borosil Ord Shs,123.362172,127.855496,118.54206,126.139863,56561,0
2020-08-20,D,Borosil Ord Shs,123.770656,130.714884,121.319752,129.857067,72437,0
2020-08-21,D,Borosil Ord Shs,132.34882,136.311115,128.713312,136.311115,165086,0
2020-08-24,D,Borosil Ord Shs,143.091949,143.091949,143.091949,143.091949,48782,1
2020-08-25,D,Borosil Ord Shs,150.24042,150.24042,136.637902,141.53971,206661,0
2020-08-26,D,Borosil Ord Shs,143.051101,143.091949,137.291476,141.743952,85857,0
2020-08-27,D,Borosil Ord Shs,145.011824,145.011824,135.616692,137.373173,43360,0
2020-08-28,D,Borosil Ord Shs,142.152436,142.152436,132.34882,137.495718,43811,0
2020-08-31,D,Borosil Ord Shs,138.966261,139.456442,130.633187,130.633187,49954,0
2020-09-01,D,Borosil Ord Shs,130.55149,131.531852,124.17914,126.548347,23173,0
2020-09-02,D,Borosil Ord Shs,129.775371,132.839001,125.813076,132.226275,28457,0
2020-09-03,D,Borosil Ord Shs,132.226275,135.534995,125.649682,132.144578,24055,0
2020-09-04,D,Borosil Ord Shs,133.165788,133.165788,125.567985,128.468222,24521,0
2020-09-07,D,Borosil Ord Shs,124.996108,130.714884,124.996108,126.46665,29355,0
2020-09-08,D,Borosil Ord Shs,123.362172,127.855496,123.362172,123.974898,57132,0
2020-09-09,D,Borosil Ord Shs,122.6269,124.138291,119.685815,122.749446,34292,0
2020-09-10,D,Borosil Ord Shs,122.13672,125.813076,122.13672,124.342533,26065,0
2020-09-11,D,Borosil Ord Shs,120.911268,127.937193,120.911268,125.077804,17634,0
2020-09-14,D,Borosil Ord Shs,126.71174,131.32761,125.20035,130.878277,61649,0
2020-09-15,D,Borosil Ord Shs,133.982756,133.982756,130.714884,132.267123,37062,0
2020-09-16,D,Borosil Ord Shs,132.430517,133.165788,128.345677,131.817791,46251,0
2020-09-17,D,Borosil Ord Shs,131.981184,133.084091,127.447012,129.040099,30730,0
2020-09-18,D,Borosil Ord Shs,129.897916,131.940336,125.853924,127.038528,20120,0
2020-09-21,D,Borosil Ord Shs,126.262408,129.897916,121.319752,121.850781,33065,0
2020-09-22,D,Borosil Ord Shs,125.813076,125.813076,118.868847,121.319752,38522,0
2020-09-23,D,Borosil Ord Shs,120.992964,127.365315,116.009459,119.277331,45792,0
2020-09-24,D,Borosil Ord Shs,118.460363,120.747874,114.579765,117.970183,18652,0
2020-09-25,D,Borosil Ord Shs,118.460363,118.460363,114.702311,116.458792,44276,0
2020-09-28,D,Borosil Ord Shs,120.094299,122.259265,116.826427,121.564842,21429,0
2020-09-29,D,Borosil Ord Shs,122.6269,126.46665,118.460363,119.849209,36899,0
2020-09-30,D,Borosil Ord Shs,122.463507,122.463507,118.54206,120.911268,8700,0
2020-10-01,D,Borosil Ord Shs,123.362172,124.996108,118.54206,122.177568,14499,0
2020-10-05,D,Borosil Ord Shs,124.505927,124.505927,119.277331,121.074661,12576,0
2020-10-06,D,Borosil Ord Shs,118.705454,121.728236,118.460363,119.808361,11138,0
2020-10-07,D,Borosil Ord Shs,118.54206,120.992964,117.684244,118.378667,7802,0
2020-10-08,D,Borosil Ord Shs,120.461935,120.461935,114.620614,115.437582,23965,0
2020-10-09,D,Borosil Ord Shs,115.437582,120.012603,113.558555,113.967039,29466,0
2020-10-12,D,Borosil Ord Shs,113.803646,114.375523,111.107651,111.965468,24350,0
2020-10-13,D,Borosil Ord Shs,111.107651,112.741587,107.186205,109.555412,20696,0
2020-10-14,D,Borosil Ord Shs,111.107651,113.967039,106.205843,111.107651,53808,1
2020-10-15,D,Borosil Ord Shs,114.293827,114.45722,109.473715,110.535774,31856,0
2020-10-16,D,Borosil Ord Shs,110.37238,113.476859,108.697596,110.004744,12371,0
2020-10-19,D,Borosil Ord Shs,112.741587,115.47843,110.290683,115.47843,25629,0
2020-10-20,D,Borosil Ord Shs,119.113938,121.238055,116.458792,121.238055,52684,0
