Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2008-01-03,D,Burnpur Cement Ord Shs,15.0,50.5,15.0,48.05,152748815,0
2008-01-04,D,Burnpur Cement Ord Shs,55.05,57.65,49.0,54.15,49868652,0
2008-01-07,D,Burnpur Cement Ord Shs,53.5,54.95,48.4,50.25,15807574,0
2008-01-08,D,Burnpur Cement Ord Shs,50.25,51.5,42.55,43.65,9773688,0
2008-01-09,D,Burnpur Cement Ord Shs,43.0,43.65,37.1,40.15,7855718,0
2008-01-10,D,Burnpur Cement Ord Shs,41.8,42.7,37.4,37.9,4663813,0
2008-01-11,D,Burnpur Cement Ord Shs,39.5,39.8,33.15,36.0,4313440,0
2008-01-14,D,Burnpur Cement Ord Shs,36.0,43.2,33.1,42.0,15250357,0
2008-01-15,D,Burnpur Cement Ord Shs,43.95,46.45,41.5,42.15,11133307,0
2008-01-16,D,Burnpur Cement Ord Shs,42.25,42.25,38.05,39.8,5308754,0
2008-01-17,D,Burnpur Cement Ord Shs,40.85,43.5,39.3,41.3,6526869,0
2008-01-18,D,Burnpur Cement Ord Shs,40.0,41.4,35.2,37.75,2737560,0
2008-01-21,D,Burnpur Cement Ord Shs,38.7,38.7,30.2,31.3,2655782,0
2008-01-22,D,Burnpur Cement Ord Shs,29.0,29.5,25.05,27.1,776312,0
2008-01-23,D,Burnpur Cement Ord Shs,30.2,32.55,29.0,31.95,1388420,0
2008-01-24,D,Burnpur Cement Ord Shs,34.0,35.0,30.1,31.15,1318793,0
2008-01-25,D,Burnpur Cement Ord Shs,32.75,33.55,30.5,31.8,1043057,0
2008-01-28,D,Burnpur Cement Ord Shs,31.0,31.0,25.45,30.4,818114,0
2008-01-29,D,Burnpur Cement Ord Shs,32.5,32.8,30.3,31.0,753650,0
2008-01-30,D,Burnpur Cement Ord Shs,30.7,31.0,29.15,29.6,633192,0
2008-01-31,D,Burnpur Cement Ord Shs,29.0,29.8,28.0,28.95,850165,0
2008-02-01,D,Burnpur Cement Ord Shs,29.2,29.5,28.0,28.2,489162,0
2008-02-04,D,Burnpur Cement Ord Shs,29.4,32.5,29.2,29.85,921720,0
2008-02-05,D,Burnpur Cement Ord Shs,28.4,31.2,28.4,29.95,1124596,0
2008-02-06,D,Burnpur Cement Ord Shs,30.0,30.0,27.5,29.3,644916,0
