Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-11-23,D,Barak Valley Cements Ord Shs,62.6,67.0,52.0,55.3,11385373,0
2007-11-26,D,Barak Valley Cements Ord Shs,58.0,58.0,52.2,53.25,812619,0
2007-11-27,D,Barak Valley Cements Ord Shs,52.0,53.0,48.35,49.0,476815,0
2007-11-28,D,Barak Valley Cements Ord Shs,49.8,50.0,46.1,46.7,367810,0
2007-11-29,D,Barak Valley Cements Ord Shs,47.85,48.4,46.25,46.55,150107,0
2007-11-30,D,Barak Valley Cements Ord Shs,46.75,48.4,45.05,46.35,169589,0
2007-12-03,D,Barak Valley Cements Ord Shs,47.4,47.9,45.25,46.6,131176,0
2007-12-04,D,Barak Valley Cements Ord Shs,47.1,50.0,46.65,49.35,353393,0
2007-12-05,D,Barak Valley Cements Ord Shs,49.5,53.5,48.55,51.15,375782,0
2007-12-06,D,Barak Valley Cements Ord Shs,52.4,53.35,50.5,51.0,160638,0
2007-12-07,D,Barak Valley Cements Ord Shs,52.0,53.5,51.2,51.75,197521,0
2007-12-10,D,Barak Valley Cements Ord Shs,52.5,52.5,50.5,51.0,68063,0
2007-12-11,D,Barak Valley Cements Ord Shs,51.7,52.7,50.5,51.4,104427,0
2007-12-12,D,Barak Valley Cements Ord Shs,50.2,55.9,50.1,54.9,333308,0
2007-12-13,D,Barak Valley Cements Ord Shs,55.5,56.45,54.0,54.3,154025,0
2007-12-14,D,Barak Valley Cements Ord Shs,54.0,56.1,54.0,54.45,315583,0
2007-12-17,D,Barak Valley Cements Ord Shs,54.45,58.0,53.1,54.25,347719,0
2007-12-18,D,Barak Valley Cements Ord Shs,54.1,54.6,52.0,52.75,69611,0
2007-12-19,D,Barak Valley Cements Ord Shs,53.9,54.0,52.55,52.8,65056,0
2007-12-20,D,Barak Valley Cements Ord Shs,53.1,53.15,51.5,52.15,53886,0
2007-12-24,D,Barak Valley Cements Ord Shs,53.75,53.75,51.0,51.9,33637,0
2007-12-26,D,Barak Valley Cements Ord Shs,51.3,52.4,51.3,51.9,49619,0
2007-12-27,D,Barak Valley Cements Ord Shs,52.1,52.65,51.65,52.25,39690,0
2007-12-28,D,Barak Valley Cements Ord Shs,51.55,54.0,51.5,52.4,71167,0
2007-12-31,D,Barak Valley Cements Ord Shs,53.8,62.9,52.55,62.9,518166,0
2008-01-01,D,Barak Valley Cements Ord Shs,60.1,67.8,58.1,62.25,720460,0
2008-01-02,D,Barak Valley Cements Ord Shs,63.0,63.95,60.5,63.05,346828,0
2008-01-03,D,Barak Valley Cements Ord Shs,65.0,65.0,61.6,61.85,226888,0
2008-01-04,D,Barak Valley Cements Ord Shs,63.0,63.9,60.75,61.5,241036,0
2008-01-07,D,Barak Valley Cements Ord Shs,60.5,62.5,60.2,60.6,216907,0
