Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-05-09,D,Campus Activewear Ord Shs,360.0,418.0,337.0,378.9,58753140,0
2022-05-10,D,Campus Activewear Ord Shs,372.55,408.8,360.05,367.65,22231974,0
2022-05-11,D,Campus Activewear Ord Shs,369.75,382.0,328.15,348.45,11420193,0
2022-05-12,D,Campus Activewear Ord Shs,345.85,345.85,323.3,340.0,6133738,0
2022-05-13,D,Campus Activewear Ord Shs,349.05,357.0,330.0,332.6,3239264,0
2022-05-16,D,Campus Activewear Ord Shs,325.05,335.7,324.0,326.5,2197235,0
2022-05-17,D,Campus Activewear Ord Shs,329.0,334.4,314.5,330.15,2530474,0
2022-05-18,D,Campus Activewear Ord Shs,333.0,347.9,325.55,342.2,3453151,0
2022-05-19,D,Campus Activewear Ord Shs,330.0,337.75,325.05,334.2,1301807,0
2022-05-20,D,Campus Activewear Ord Shs,339.0,345.45,335.0,342.95,1332175,0
2022-05-23,D,Campus Activewear Ord Shs,345.0,345.0,336.0,340.15,826780,0
2022-05-24,D,Campus Activewear Ord Shs,341.0,341.85,330.0,330.75,568765,0
2022-05-25,D,Campus Activewear Ord Shs,331.45,344.15,318.5,339.65,1228169,0
2022-05-26,D,Campus Activewear Ord Shs,339.0,341.0,325.05,337.25,688738,0
2022-05-27,D,Campus Activewear Ord Shs,339.0,358.9,335.15,355.85,1620311,0
2022-05-30,D,Campus Activewear Ord Shs,356.0,364.4,347.1,359.2,1449532,0
2022-05-31,D,Campus Activewear Ord Shs,359.95,372.9,354.0,368.05,2264079,0
2022-06-01,D,Campus Activewear Ord Shs,370.0,374.4,360.1,362.85,1020390,0
2022-06-02,D,Campus Activewear Ord Shs,359.0,362.4,354.5,357.95,566469,0
2022-06-03,D,Campus Activewear Ord Shs,360.0,362.4,336.3,340.6,549386,0
2022-06-06,D,Campus Activewear Ord Shs,335.1,339.7,331.2,334.8,670599,0
2022-06-07,D,Campus Activewear Ord Shs,334.95,339.8,325.1,326.8,502582,0
2022-06-08,D,Campus Activewear Ord Shs,329.8,334.95,325.15,328.6,384976,0
2022-06-09,D,Campus Activewear Ord Shs,328.8,333.0,322.1,324.45,650457,0
2022-06-10,D,Campus Activewear Ord Shs,320.5,326.95,318.5,325.05,865972,0
2022-06-13,D,Campus Activewear Ord Shs,320.0,322.2,316.25,320.1,310223,0
2022-06-14,D,Campus Activewear Ord Shs,318.0,325.75,313.65,315.4,343917,0
2022-06-15,D,Campus Activewear Ord Shs,319.7,322.15,316.1,317.95,247429,0
2022-06-16,D,Campus Activewear Ord Shs,321.05,327.95,313.0,314.65,514648,0
2022-06-17,D,Campus Activewear Ord Shs,312.2,313.7,305.9,309.7,415048,0
2022-06-20,D,Campus Activewear Ord Shs,308.9,325.0,297.1,318.7,876505,0
2022-06-21,D,Campus Activewear Ord Shs,321.0,326.95,319.0,322.2,222721,0
2022-06-22,D,Campus Activewear Ord Shs,319.8,333.0,315.1,330.1,258532,0
2022-06-23,D,Campus Activewear Ord Shs,328.0,335.95,323.0,325.55,251233,0
2022-06-24,D,Campus Activewear Ord Shs,327.5,331.0,325.1,328.2,150213,0
2022-06-27,D,Campus Activewear Ord Shs,331.1,334.0,328.05,329.95,214763,0
2022-06-28,D,Campus Activewear Ord Shs,334.0,339.8,332.45,336.2,456151,0
2022-06-29,D,Campus Activewear Ord Shs,334.9,342.3,330.25,332.45,259923,0
2022-06-30,D,Campus Activewear Ord Shs,334.9,335.0,324.0,325.85,136411,0
2022-07-01,D,Campus Activewear Ord Shs,324.9,340.0,319.6,337.0,242804,0
2022-07-04,D,Campus Activewear Ord Shs,336.0,346.3,331.95,344.7,327004,0
2022-07-05,D,Campus Activewear Ord Shs,343.55,351.05,341.1,348.2,402889,0
2022-07-06,D,Campus Activewear Ord Shs,348.0,359.0,343.25,354.9,550915,0
2022-07-07,D,Campus Activewear Ord Shs,356.1,364.3,352.35,359.8,518368,0
2022-07-08,D,Campus Activewear Ord Shs,362.1,368.1,351.75,355.95,432834,0
2022-07-11,D,Campus Activewear Ord Shs,351.6,373.0,351.35,370.2,603141,0
2022-07-12,D,Campus Activewear Ord Shs,365.0,390.0,365.0,379.95,1129412,0
2022-07-13,D,Campus Activewear Ord Shs,382.0,388.95,361.3,364.1,588753,0
2022-07-14,D,Campus Activewear Ord Shs,367.0,374.9,358.0,370.1,339565,0
2022-07-15,D,Campus Activewear Ord Shs,371.0,373.4,363.0,368.1,250910,0
2022-07-18,D,Campus Activewear Ord Shs,370.0,381.0,370.0,378.3,349525,0
2022-07-19,D,Campus Activewear Ord Shs,375.7,383.1,372.55,377.85,296224,0
2022-07-20,D,Campus Activewear Ord Shs,380.0,387.0,369.0,374.3,504774,0
2022-07-21,D,Campus Activewear Ord Shs,372.5,378.8,371.0,376.1,208394,0
2022-07-22,D,Campus Activewear Ord Shs,377.8,381.35,371.3,379.75,247293,0
2022-07-25,D,Campus Activewear Ord Shs,382.45,414.9,381.55,400.65,3053978,0
2022-07-26,D,Campus Activewear Ord Shs,401.0,422.5,394.25,413.85,1862172,0
2022-07-27,D,Campus Activewear Ord Shs,413.0,417.2,407.75,410.35,916509,0
2022-07-28,D,Campus Activewear Ord Shs,414.5,449.0,412.1,445.3,3761426,0
2022-07-29,D,Campus Activewear Ord Shs,449.7,459.95,431.55,440.3,2291090,0
2022-08-01,D,Campus Activewear Ord Shs,439.95,450.0,431.25,436.45,1024275,0
2022-08-02,D,Campus Activewear Ord Shs,434.9,449.7,428.0,436.35,988177,0
2022-08-03,D,Campus Activewear Ord Shs,436.4,436.4,422.05,429.15,743288,0
2022-08-04,D,Campus Activewear Ord Shs,431.5,434.95,416.15,425.5,685107,0
2022-08-05,D,Campus Activewear Ord Shs,424.0,426.0,408.5,413.8,574119,0
2022-08-08,D,Campus Activewear Ord Shs,411.25,421.95,404.3,415.4,865410,0
2022-08-10,D,Campus Activewear Ord Shs,418.95,423.85,410.05,420.5,817311,0
2022-08-11,D,Campus Activewear Ord Shs,424.0,425.85,413.0,419.0,739916,0
2022-08-12,D,Campus Activewear Ord Shs,421.5,438.9,420.05,435.35,1640165,0
2022-08-16,D,Campus Activewear Ord Shs,432.0,434.9,414.15,422.8,1499263,0
2022-08-17,D,Campus Activewear Ord Shs,424.45,449.1,423.35,433.8,1625625,0
2022-08-18,D,Campus Activewear Ord Shs,436.35,466.9,433.5,459.25,2384186,0
2022-08-19,D,Campus Activewear Ord Shs,460.35,501.5,460.0,490.65,5746239,0
2022-08-22,D,Campus Activewear Ord Shs,489.75,517.45,481.5,506.6,3174562,0
2022-08-23,D,Campus Activewear Ord Shs,506.6,517.9,484.15,490.85,1758814,0
2022-08-24,D,Campus Activewear Ord Shs,492.95,498.9,475.25,480.2,859582,0
2022-08-25,D,Campus Activewear Ord Shs,485.0,494.7,481.25,486.45,672163,0
2022-08-26,D,Campus Activewear Ord Shs,487.05,494.0,475.0,487.05,709248,1
2022-08-29,D,Campus Activewear Ord Shs,480.1,486.0,462.25,481.05,656034,0
2022-08-30,D,Campus Activewear Ord Shs,485.0,509.7,482.95,493.8,1463301,0
2022-09-01,D,Campus Activewear Ord Shs,488.8,494.75,482.7,484.55,504811,0
2022-09-02,D,Campus Activewear Ord Shs,488.0,510.25,487.95,494.75,1126556,0
2022-09-05,D,Campus Activewear Ord Shs,496.95,504.15,484.6,489.5,446151,0
2022-09-06,D,Campus Activewear Ord Shs,489.5,500.0,473.1,477.1,666548,0
2022-09-07,D,Campus Activewear Ord Shs,477.0,493.7,475.65,489.3,916252,0
2022-09-08,D,Campus Activewear Ord Shs,494.0,498.6,482.65,485.4,475833,0
2022-09-09,D,Campus Activewear Ord Shs,492.0,499.4,486.15,494.4,406321,0
2022-09-12,D,Campus Activewear Ord Shs,497.0,547.8,493.65,542.25,3068062,0
2022-09-13,D,Campus Activewear Ord Shs,549.0,562.5,535.0,550.85,2732277,0
2022-09-14,D,Campus Activewear Ord Shs,540.0,568.6,535.0,538.4,1777584,0
2022-09-15,D,Campus Activewear Ord Shs,548.0,559.7,536.0,552.5,1332271,0
