Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2002-12-23,D,Canara Bank Ord Shs,8.170302,9.677917,8.141122,9.463933,88361761.230148,0
2002-12-24,D,Canara Bank Ord Shs,9.609832,10.115612,9.532019,9.648738,78481850.189157,0
2002-12-26,D,Canara Bank Ord Shs,9.72655,9.872448,9.493113,9.541746,20912121.7003,0
2002-12-27,D,Canara Bank Ord Shs,9.814089,10.0378,9.532019,9.794636,29479738.060024,0
2002-12-30,D,Canara Bank Ord Shs,9.72655,9.72655,9.47366,9.541746,10686964.918957,0
2002-12-31,D,Canara Bank Ord Shs,9.522293,9.814089,9.493113,9.658464,13516313.417443,0
2003-01-01,D,Canara Bank Ord Shs,9.72655,9.784909,9.551472,9.639011,9902503.840813,0
2003-01-02,D,Canara Bank Ord Shs,9.677917,9.765456,9.483386,9.532019,8362075.857316,0
2003-01-03,D,Canara Bank Ord Shs,9.629285,9.72655,9.541746,9.629285,12472500.362821,1
2003-01-06,D,Canara Bank Ord Shs,9.658464,9.668191,8.987332,9.026239,10478597.103715,0
2003-01-07,D,Canara Bank Ord Shs,9.035965,9.269402,8.773348,9.172137,15550441.627313,0
2003-01-08,D,Canara Bank Ord Shs,9.181863,9.356941,9.172137,9.230496,7512211.322486,0
2003-01-09,D,Canara Bank Ord Shs,9.240223,10.105886,9.22077,9.97944,37626310.992621,0
2003-01-10,D,Canara Bank Ord Shs,10.105886,10.611666,9.823816,10.193425,44627092.266986,0
2003-01-13,D,Canara Bank Ord Shs,10.29069,10.582487,10.154518,10.436588,17900139.073924,0
2003-01-14,D,Canara Bank Ord Shs,10.533854,10.679752,10.310143,10.54358,18615135.646039,0
2003-01-15,D,Canara Bank Ord Shs,10.640846,10.845103,10.524127,10.747838,20697374.439193,0
2003-01-16,D,Canara Bank Ord Shs,10.718658,10.971549,10.718658,10.845103,18711726.93356,0
2003-01-17,D,Canara Bank Ord Shs,10.893736,10.971549,10.670025,10.815924,12691318.954408,0
2003-01-20,D,Canara Bank Ord Shs,10.845103,11.535688,10.845103,11.428696,41257156.414214,0
2003-01-21,D,Canara Bank Ord Shs,11.769126,13.36428,11.516235,13.198929,91934847.220842,0
2003-01-22,D,Canara Bank Ord Shs,13.422639,14.132677,12.82932,13.150296,91442319.044153,0
2003-01-23,D,Canara Bank Ord Shs,13.130843,14.015959,12.858499,13.568537,80647659.209093,0
2003-01-24,D,Canara Bank Ord Shs,13.568537,13.753342,12.527797,12.702874,40825765.022117,0
2003-01-27,D,Canara Bank Ord Shs,12.936312,12.936312,11.720493,11.95393,31445388.753073,0
2003-01-28,D,Canara Bank Ord Shs,12.060922,12.702874,11.895571,12.566703,34208053.793245,0
2003-01-29,D,Canara Bank Ord Shs,12.741781,13.179475,12.566703,12.722328,37021574.480434,0
2003-01-30,D,Canara Bank Ord Shs,12.82932,12.936312,12.381898,12.459711,18006476.879866,0
2003-01-31,D,Canara Bank Ord Shs,12.449984,12.48889,11.963657,12.109555,24095737.637361,0
2003-02-03,D,Canara Bank Ord Shs,12.255453,12.702874,12.187367,12.634789,20490178.673635,0
2003-02-04,D,Canara Bank Ord Shs,12.80014,13.743615,12.80014,13.179475,81165252.799191,0
2003-02-05,D,Canara Bank Ord Shs,13.228108,13.461545,12.916859,13.062757,34453906.636086,0
2003-02-06,D,Canara Bank Ord Shs,13.033577,13.461545,12.702874,13.374006,49319367.472436,0
2003-02-07,D,Canara Bank Ord Shs,13.490725,13.490725,12.936312,13.004398,27902560.150264,0
2003-02-10,D,Canara Bank Ord Shs,13.033577,13.033577,12.323539,12.411078,21335462.961675,0
2003-02-11,D,Canara Bank Ord Shs,12.449984,12.615336,12.041469,12.099828,26627704.231478,0
2003-02-12,D,Canara Bank Ord Shs,12.060922,12.411078,11.749673,12.119281,28056895.446977,0
2003-02-14,D,Canara Bank Ord Shs,12.20682,12.20682,11.380064,11.44815,31379358.146995,0
2003-02-17,D,Canara Bank Ord Shs,11.808032,12.586156,11.67186,12.440258,35498413.667495,0
2003-02-18,D,Canara Bank Ord Shs,12.839046,12.955765,12.615336,12.722328,38619803.01938,0
2003-02-19,D,Canara Bank Ord Shs,12.80014,13.218382,12.761234,13.072483,41428275.66802,0
2003-02-20,D,Canara Bank Ord Shs,13.11139,13.597717,12.868226,13.140569,68782840.904375,0
2003-02-21,D,Canara Bank Ord Shs,13.422639,13.422639,12.955765,13.08221,31432866.327506,0
2003-02-24,D,Canara Bank Ord Shs,13.228108,13.763068,13.150296,13.558811,61026719.874049,0
2003-02-25,D,Canara Bank Ord Shs,13.61717,13.61717,12.77096,12.839046,29137165.415442,0
2003-02-26,D,Canara Bank Ord Shs,12.916859,13.014124,12.274906,12.333266,43364748.492629,0
2003-02-27,D,Canara Bank Ord Shs,12.333266,12.887679,12.119281,12.712601,39176182.200982,0
2003-02-28,D,Canara Bank Ord Shs,13.033577,13.08221,12.031743,12.148461,60068821.145576,0
2003-03-03,D,Canara Bank Ord Shs,12.508343,13.11139,12.508343,12.761234,39034955.354677,0
2003-03-04,D,Canara Bank Ord Shs,12.819593,12.819593,12.362445,12.48889,19078542.500546,0
2003-03-05,D,Canara Bank Ord Shs,12.411078,12.683421,12.041469,12.566703,25124843.524681,0
2003-03-06,D,Canara Bank Ord Shs,12.644515,12.839046,12.313812,12.48889,42763373.912429,0
2003-03-07,D,Canara Bank Ord Shs,12.236,12.294359,11.992836,12.099828,17605651.309781,0
2003-03-10,D,Canara Bank Ord Shs,12.109555,12.333266,11.584321,11.691313,15774904.563429,0
2003-03-11,D,Canara Bank Ord Shs,11.311978,11.963657,11.311978,11.895571,26565631.863366,0
2003-03-12,D,Canara Bank Ord Shs,11.944204,12.352719,11.876118,12.002563,30878085.862798,0
2003-03-13,D,Canara Bank Ord Shs,12.041469,12.352719,11.973383,12.187367,28352411.324877,0
2003-03-17,D,Canara Bank Ord Shs,11.895571,12.216547,11.759399,11.905297,13189815.33146,0
2003-03-19,D,Canara Bank Ord Shs,12.177641,12.479164,12.177641,12.313812,22280772.437187,0
2003-03-20,D,Canara Bank Ord Shs,12.333266,13.121116,12.177641,13.014124,44254837.978223,0
2003-03-21,D,Canara Bank Ord Shs,13.315647,13.315647,12.975218,13.130843,21817427.269506,0
2003-03-22,D,Canara Bank Ord Shs,13.218382,13.403186,13.218382,13.315647,9354940.734683,0
2003-03-24,D,Canara Bank Ord Shs,13.325374,13.374006,12.663968,12.790413,17460805.50305,0
2003-03-25,D,Canara Bank Ord Shs,12.54725,13.237835,12.362445,13.130843,23776652.25157,0
2003-03-26,D,Canara Bank Ord Shs,13.237835,13.578264,13.043304,13.130843,17735712.84068,0
2003-03-27,D,Canara Bank Ord Shs,13.11139,13.39346,13.05303,13.189202,13469189.823366,0
2003-03-28,D,Canara Bank Ord Shs,13.218382,14.803809,13.08221,14.249396,112773078.385387,0
2003-03-31,D,Canara Bank Ord Shs,14.200763,14.512013,13.714436,13.889514,39741963.482896,0
2003-04-01,D,Canara Bank Ord Shs,14.006232,14.443927,13.92842,14.103498,24863568.975476,0
2003-04-02,D,Canara Bank Ord Shs,14.298029,15.173418,14.298029,14.978887,36603127.040545,0
2003-04-03,D,Canara Bank Ord Shs,15.367949,15.367949,14.871895,15.095606,28079570.4959,0
2003-04-04,D,Canara Bank Ord Shs,15.192871,15.59166,14.99834,15.474941,33337030.677285,0
2003-04-07,D,Canara Bank Ord Shs,15.640293,16.116894,15.192871,15.951542,37342536.173833,0
2003-04-08,D,Canara Bank Ord Shs,15.941816,16.428143,15.581933,16.311425,31591098.175361,0
2003-04-09,D,Canara Bank Ord Shs,16.340604,17.313259,15.912636,16.291971,43936528.818319,0
2003-04-10,D,Canara Bank Ord Shs,16.000175,17.741227,15.902909,17.371619,51397910.196632,0
2003-04-11,D,Canara Bank Ord Shs,17.605056,18.033024,16.632401,17.050642,28609635.105877,0
2003-04-15,D,Canara Bank Ord Shs,17.313259,17.371619,16.223886,16.885291,20062730.097799,0
2003-04-16,D,Canara Bank Ord Shs,17.021463,17.429978,16.681033,17.186814,21887267.037056,0
2003-04-17,D,Canara Bank Ord Shs,17.040916,17.838493,16.94365,17.118728,20949046.405902,0
2003-04-21,D,Canara Bank Ord Shs,17.167361,17.449431,16.94365,17.070095,14886573.15236,0
2003-04-22,D,Canara Bank Ord Shs,17.157634,17.2549,16.749119,16.865838,13270527.401996,0
2003-04-23,D,Canara Bank Ord Shs,16.97283,16.97283,15.951542,16.000175,20912646.038316,0
2003-04-24,D,Canara Bank Ord Shs,16.048808,16.865838,15.504121,16.447596,33336326.419361,0
2003-04-25,D,Canara Bank Ord Shs,16.476776,16.817205,16.301698,16.544862,20163978.740642,0
2003-04-28,D,Canara Bank Ord Shs,16.496229,17.235447,16.40869,17.118728,27642961.426484,0
2003-04-29,D,Canara Bank Ord Shs,17.264626,17.614782,16.447596,16.66158,51922422.992318,0
2003-04-30,D,Canara Bank Ord Shs,16.632401,17.429978,16.476776,17.186814,24638890.135472,0
2003-05-02,D,Canara Bank Ord Shs,17.410525,17.955212,17.215994,17.838493,30860993.471578,0
2003-05-05,D,Canara Bank Ord Shs,18.062204,18.772242,17.955212,18.490172,33455423.117035,0
2003-05-06,D,Canara Bank Ord Shs,18.577711,19.248843,18.577711,18.704156,32071391.798335,0
2003-05-07,D,Canara Bank Ord Shs,18.801421,18.995952,17.838493,17.945485,23537826.566261,0
2003-05-08,D,Canara Bank Ord Shs,18.062204,18.188649,17.81904,17.916305,14957369.065705,0
2003-05-09,D,Canara Bank Ord Shs,17.994118,18.577711,17.955212,18.178922,23934755.585205,0
2003-05-12,D,Canara Bank Ord Shs,18.441539,19.608725,18.315094,19.083491,72226142.954885,0
2003-05-13,D,Canara Bank Ord Shs,19.044585,19.929701,18.869507,19.239116,52147816.371384,0
2003-05-14,D,Canara Bank Ord Shs,19.258569,20.231224,19.258569,19.939428,43760495.180752,0
2003-05-15,D,Canara Bank Ord Shs,20.172865,21.378957,20.172865,21.164973,55053291.553048,0
2003-05-16,D,Canara Bank Ord Shs,21.223332,22.001456,19.939428,20.484115,55520630.942677,0
2003-05-19,D,Canara Bank Ord Shs,20.717552,20.717552,19.316929,19.443374,28908687.695103,0
2003-05-20,D,Canara Bank Ord Shs,19.355835,20.61056,18.840328,20.454935,61086761.717489,0
2003-05-21,D,Canara Bank Ord Shs,20.620286,21.592941,20.27013,20.5522,58252411.445573,0
2003-05-22,D,Canara Bank Ord Shs,20.795364,21.281692,19.647631,19.900522,52683201.470057,0
2003-05-23,D,Canara Bank Ord Shs,19.988061,20.406302,19.492006,19.608725,37763235.182851,0
2003-05-26,D,Canara Bank Ord Shs,19.754623,20.367396,19.064038,20.172865,62684717.80629,0
