Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-02-14,D,Capital Small Finance Bank Ord Shs,430.25,462.9,421.0,435.0,3103102,0
2024-02-15,D,Capital Small Finance Bank Ord Shs,442.45,469.0,436.65,455.5,1108504,0
2024-02-16,D,Capital Small Finance Bank Ord Shs,459.2,459.25,443.35,449.5,663831,0
2024-02-19,D,Capital Small Finance Bank Ord Shs,449.45,452.4,426.05,429.55,534371,0
2024-02-20,D,Capital Small Finance Bank Ord Shs,429.55,433.95,417.05,423.95,426513,0
2024-02-21,D,Capital Small Finance Bank Ord Shs,423.95,438.0,417.55,428.25,508447,0
2024-02-22,D,Capital Small Finance Bank Ord Shs,432.9,432.9,421.6,423.2,77691,0
2024-02-23,D,Capital Small Finance Bank Ord Shs,424.65,430.15,424.35,425.8,98788,0
2024-02-26,D,Capital Small Finance Bank Ord Shs,425.65,425.65,417.55,419.0,108860,0
2024-02-27,D,Capital Small Finance Bank Ord Shs,421.4,421.75,408.3,418.5,199391,0
2024-02-28,D,Capital Small Finance Bank Ord Shs,408.05,415.95,392.65,398.15,1362541,0
2024-02-29,D,Capital Small Finance Bank Ord Shs,399.75,401.35,380.65,383.3,159402,0
2024-03-01,D,Capital Small Finance Bank Ord Shs,383.35,387.0,375.35,378.75,114166,0
2024-03-02,D,Capital Small Finance Bank Ord Shs,378.7,378.7,372.0,373.35,32209,0
2024-03-04,D,Capital Small Finance Bank Ord Shs,373.35,375.8,358.2,360.05,236157,0
2024-03-05,D,Capital Small Finance Bank Ord Shs,359.0,366.8,350.0,363.7,242387,0
2024-03-06,D,Capital Small Finance Bank Ord Shs,360.1,364.85,350.1,359.7,151227,0
2024-03-07,D,Capital Small Finance Bank Ord Shs,354.3,375.6,354.3,365.85,180431,0
2024-03-11,D,Capital Small Finance Bank Ord Shs,365.9,369.3,360.25,362.8,114405,0
2024-03-12,D,Capital Small Finance Bank Ord Shs,361.35,364.0,353.6,357.5,197194,0
2024-03-13,D,Capital Small Finance Bank Ord Shs,357.9,360.55,335.0,338.7,130012,0
2024-03-14,D,Capital Small Finance Bank Ord Shs,339.95,352.0,325.65,351.45,185589,0
