Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-08-20,D,Cartrade Tech Ord Shs,1599.8,1618.0,1475.0,1501.05,11573178,0
2021-08-23,D,Cartrade Tech Ord Shs,1526.0,1596.0,1515.0,1579.8,2200048,0
2021-08-24,D,Cartrade Tech Ord Shs,1584.0,1584.4,1525.35,1536.3,567358,0
2021-08-25,D,Cartrade Tech Ord Shs,1535.15,1547.0,1465.95,1476.25,515692,0
2021-08-26,D,Cartrade Tech Ord Shs,1476.25,1486.3,1425.0,1428.2,405762,0
2021-08-27,D,Cartrade Tech Ord Shs,1420.05,1465.0,1414.85,1435.4,379801,0
2021-08-30,D,Cartrade Tech Ord Shs,1439.95,1550.0,1423.15,1508.35,849179,0
2021-08-31,D,Cartrade Tech Ord Shs,1505.0,1531.0,1480.2,1488.5,285431,0
2021-09-01,D,Cartrade Tech Ord Shs,1490.05,1506.0,1465.0,1469.35,166463,0
2021-09-02,D,Cartrade Tech Ord Shs,1472.0,1500.0,1455.25,1456.8,161927,0
2021-09-03,D,Cartrade Tech Ord Shs,1468.95,1475.0,1450.3,1466.0,143088,0
2021-09-06,D,Cartrade Tech Ord Shs,1464.1,1508.85,1461.0,1468.0,345058,0
2021-09-07,D,Cartrade Tech Ord Shs,1468.1,1476.75,1451.0,1452.55,98852,0
2021-09-08,D,Cartrade Tech Ord Shs,1459.6,1507.0,1455.05,1476.15,305059,0
2021-09-09,D,Cartrade Tech Ord Shs,1476.15,1499.95,1476.15,1490.55,167063,0
2021-09-13,D,Cartrade Tech Ord Shs,1485.2,1536.0,1479.0,1518.65,445416,0
2021-09-14,D,Cartrade Tech Ord Shs,1524.0,1529.95,1492.75,1510.9,333373,0
2021-09-15,D,Cartrade Tech Ord Shs,1511.75,1512.0,1476.15,1486.7,298393,0
2021-09-16,D,Cartrade Tech Ord Shs,1488.85,1544.0,1465.65,1497.45,491943,0
2021-09-17,D,Cartrade Tech Ord Shs,1497.25,1507.7,1449.5,1451.25,301127,0
2021-09-20,D,Cartrade Tech Ord Shs,1446.0,1452.25,1405.0,1414.35,204461,0
2021-09-21,D,Cartrade Tech Ord Shs,1436.0,1436.0,1365.0,1385.2,361454,0
2021-09-22,D,Cartrade Tech Ord Shs,1390.95,1409.6,1386.05,1396.05,142820,0
2021-09-23,D,Cartrade Tech Ord Shs,1397.0,1411.95,1380.3,1381.9,131780,0
2021-09-24,D,Cartrade Tech Ord Shs,1390.0,1394.7,1320.2,1325.6,302051,0
2021-09-27,D,Cartrade Tech Ord Shs,1345.0,1345.0,1291.0,1295.4,340622,0
2021-09-28,D,Cartrade Tech Ord Shs,1300.0,1315.0,1260.0,1267.25,318562,0
2021-09-29,D,Cartrade Tech Ord Shs,1265.2,1290.0,1214.2,1234.7,383189,0
2021-09-30,D,Cartrade Tech Ord Shs,1227.65,1277.65,1211.0,1236.1,999401,0
2021-10-01,D,Cartrade Tech Ord Shs,1234.0,1299.0,1229.35,1289.25,655686,0
2021-10-04,D,Cartrade Tech Ord Shs,1298.0,1324.8,1286.35,1316.5,201303,0
2021-10-05,D,Cartrade Tech Ord Shs,1315.8,1353.9,1310.5,1336.75,212061,0
2021-10-06,D,Cartrade Tech Ord Shs,1345.0,1462.0,1341.05,1426.9,902488,0
2021-10-07,D,Cartrade Tech Ord Shs,1431.0,1441.9,1385.0,1391.25,196187,0
2021-10-08,D,Cartrade Tech Ord Shs,1391.25,1425.0,1387.15,1412.3,441723,0
2021-10-11,D,Cartrade Tech Ord Shs,1423.6,1440.0,1402.0,1419.95,216412,0
2021-10-12,D,Cartrade Tech Ord Shs,1414.9,1419.55,1352.0,1375.5,108688,0
2021-10-13,D,Cartrade Tech Ord Shs,1379.0,1393.0,1351.25,1359.95,160283,0
2021-10-14,D,Cartrade Tech Ord Shs,1375.0,1380.0,1346.0,1350.3,314055,0
2021-10-18,D,Cartrade Tech Ord Shs,1360.0,1361.65,1312.05,1320.2,149611,0
2021-10-19,D,Cartrade Tech Ord Shs,1329.0,1332.9,1300.05,1303.95,140660,0
2021-10-20,D,Cartrade Tech Ord Shs,1309.25,1310.0,1274.05,1288.85,92349,0
2021-10-21,D,Cartrade Tech Ord Shs,1305.1,1305.1,1270.0,1275.5,64839,0
2021-10-22,D,Cartrade Tech Ord Shs,1285.0,1299.05,1253.0,1259.55,75162,0
2021-10-25,D,Cartrade Tech Ord Shs,1278.0,1278.0,1230.55,1234.0,72393,0
2021-10-26,D,Cartrade Tech Ord Shs,1245.0,1265.2,1235.0,1242.7,74741,0
2021-10-27,D,Cartrade Tech Ord Shs,1250.0,1265.0,1240.05,1251.5,61400,0
2021-10-28,D,Cartrade Tech Ord Shs,1259.0,1259.0,1230.0,1235.8,71589,0
2021-10-29,D,Cartrade Tech Ord Shs,1200.0,1215.0,1155.0,1197.5,184621,0
2021-11-01,D,Cartrade Tech Ord Shs,1199.9,1213.0,1156.0,1160.0,173257,0
2021-11-02,D,Cartrade Tech Ord Shs,1174.0,1180.0,1165.0,1167.4,74720,0
2021-11-03,D,Cartrade Tech Ord Shs,1170.0,1184.0,1146.0,1148.1,100701,0
2021-11-04,D,Cartrade Tech Ord Shs,1157.0,1170.0,1155.0,1166.45,24370,0
2021-11-08,D,Cartrade Tech Ord Shs,1170.25,1174.6,1139.0,1143.75,103787,0
2021-11-09,D,Cartrade Tech Ord Shs,1144.0,1159.45,1139.05,1140.9,90417,0
2021-11-10,D,Cartrade Tech Ord Shs,1141.0,1147.75,1130.3,1132.4,112493,0
2021-11-11,D,Cartrade Tech Ord Shs,1132.0,1137.45,1115.0,1117.9,105818,0
2021-11-12,D,Cartrade Tech Ord Shs,1121.0,1131.95,1115.0,1116.6,114553,0
2021-11-15,D,Cartrade Tech Ord Shs,1118.1,1150.0,1118.1,1137.6,142202,0
2021-11-16,D,Cartrade Tech Ord Shs,1144.95,1145.55,1107.75,1116.3,145348,0
2021-11-17,D,Cartrade Tech Ord Shs,1119.0,1125.05,1085.0,1089.3,162929,0
2021-11-18,D,Cartrade Tech Ord Shs,1080.5,1100.0,1042.1,1049.05,214705,0
2021-11-22,D,Cartrade Tech Ord Shs,1045.0,1048.7,995.15,1002.95,277288,0
2021-11-23,D,Cartrade Tech Ord Shs,999.0,1045.0,988.2,1003.1,272102,0
2021-11-24,D,Cartrade Tech Ord Shs,1005.0,1013.15,991.05,994.8,446501,0
2021-11-25,D,Cartrade Tech Ord Shs,999.0,1018.0,995.75,1005.55,628126,0
2021-11-26,D,Cartrade Tech Ord Shs,995.45,1003.7,965.1,969.95,266764,0
2021-11-29,D,Cartrade Tech Ord Shs,970.0,970.0,911.35,944.0,246274,0
2021-11-30,D,Cartrade Tech Ord Shs,940.0,965.1,902.5,919.1,446458,0
2021-12-01,D,Cartrade Tech Ord Shs,922.0,934.9,896.3,899.6,265072,0
2021-12-02,D,Cartrade Tech Ord Shs,899.6,958.0,899.0,936.25,485621,0
2021-12-03,D,Cartrade Tech Ord Shs,940.0,949.9,910.0,924.3,272380,0
2021-12-06,D,Cartrade Tech Ord Shs,923.55,935.95,890.0,892.4,189821,0
2021-12-07,D,Cartrade Tech Ord Shs,914.0,914.4,880.0,881.35,179255,0
2021-12-08,D,Cartrade Tech Ord Shs,900.95,919.7,892.3,895.7,299811,0
2021-12-09,D,Cartrade Tech Ord Shs,904.6,910.7,890.1,892.0,138864,0
2021-12-10,D,Cartrade Tech Ord Shs,895.0,977.9,895.0,968.7,756650,0
2021-12-13,D,Cartrade Tech Ord Shs,974.0,982.75,930.0,933.05,323058,0
2021-12-14,D,Cartrade Tech Ord Shs,926.95,931.0,911.2,914.85,164257,0
2021-12-15,D,Cartrade Tech Ord Shs,916.0,925.0,905.0,909.5,126692,0
2021-12-16,D,Cartrade Tech Ord Shs,922.0,931.0,896.35,903.4,293824,0
2021-12-17,D,Cartrade Tech Ord Shs,917.0,917.0,883.25,903.55,240406,0
2021-12-20,D,Cartrade Tech Ord Shs,892.0,901.4,864.0,867.65,155335,0
2021-12-21,D,Cartrade Tech Ord Shs,871.0,880.0,840.0,848.45,234863,0
2021-12-22,D,Cartrade Tech Ord Shs,854.95,865.45,829.05,831.35,227297,0
2021-12-23,D,Cartrade Tech Ord Shs,841.0,853.7,833.0,850.15,185210,0
2021-12-24,D,Cartrade Tech Ord Shs,854.6,854.6,825.2,827.6,121680,0
2021-12-27,D,Cartrade Tech Ord Shs,826.0,826.0,805.0,807.85,186764,0
2021-12-28,D,Cartrade Tech Ord Shs,810.5,844.95,810.5,832.25,227495,0
2021-12-29,D,Cartrade Tech Ord Shs,837.0,913.0,829.15,878.9,621685,0
2021-12-30,D,Cartrade Tech Ord Shs,875.4,877.55,846.7,848.85,148755,0
2021-12-31,D,Cartrade Tech Ord Shs,847.3,863.75,845.0,848.3,104886,0
2022-01-03,D,Cartrade Tech Ord Shs,846.5,855.0,828.3,835.25,229126,0
2022-01-04,D,Cartrade Tech Ord Shs,837.0,867.65,835.2,844.9,187428,0
2022-01-05,D,Cartrade Tech Ord Shs,844.0,851.35,837.2,845.15,117729,0
2022-01-06,D,Cartrade Tech Ord Shs,836.5,848.0,830.0,830.55,135431,0
2022-01-07,D,Cartrade Tech Ord Shs,839.5,841.75,814.95,823.8,216891,0
2022-01-10,D,Cartrade Tech Ord Shs,833.0,842.0,822.0,828.85,145959,0
2022-01-11,D,Cartrade Tech Ord Shs,828.0,837.55,821.35,824.4,158673,0
2022-01-12,D,Cartrade Tech Ord Shs,826.7,832.0,811.9,818.15,183595,0
2022-01-13,D,Cartrade Tech Ord Shs,823.0,832.45,815.1,816.95,108548,0
2022-01-14,D,Cartrade Tech Ord Shs,819.9,853.25,815.0,844.85,247417,0
2022-01-17,D,Cartrade Tech Ord Shs,844.75,890.95,830.0,863.9,333041,0
