Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-03,D,Chennai Petroleum Corporation Ord Shs,137.5,140.0,137.5,137.5,1200,1
1994-11-07,D,Chennai Petroleum Corporation Ord Shs,137.5,137.5,137.5,137.5,100,1
1994-11-11,D,Chennai Petroleum Corporation Ord Shs,135.0,135.0,135.0,135.0,100,1
1994-11-29,D,Chennai Petroleum Corporation Ord Shs,127.5,127.5,127.5,127.5,100,1
1994-12-01,D,Chennai Petroleum Corporation Ord Shs,127.5,127.5,127.5,127.5,200,1
1994-12-05,D,Chennai Petroleum Corporation Ord Shs,128.5,128.5,126.25,126.25,300,0
1994-12-06,D,Chennai Petroleum Corporation Ord Shs,126.25,126.25,125.0,125.0,700,0
1994-12-07,D,Chennai Petroleum Corporation Ord Shs,124.0,124.0,124.0,124.0,100,1
1994-12-09,D,Chennai Petroleum Corporation Ord Shs,117.5,117.5,115.0,115.0,200,0
1994-12-12,D,Chennai Petroleum Corporation Ord Shs,117.5,117.5,117.5,117.5,100,1
1994-12-13,D,Chennai Petroleum Corporation Ord Shs,116.0,116.0,112.0,112.0,500,0
1994-12-14,D,Chennai Petroleum Corporation Ord Shs,112.5,115.0,112.5,115.0,700,0
1994-12-15,D,Chennai Petroleum Corporation Ord Shs,114.0,114.0,114.0,114.0,200,1
1994-12-16,D,Chennai Petroleum Corporation Ord Shs,117.5,117.5,117.5,117.5,300,1
1994-12-19,D,Chennai Petroleum Corporation Ord Shs,117.5,117.5,117.0,117.0,400,0
1994-12-20,D,Chennai Petroleum Corporation Ord Shs,118.5,120.0,117.5,117.75,1000,0
1994-12-21,D,Chennai Petroleum Corporation Ord Shs,120.0,120.0,120.0,120.0,100,1
1994-12-22,D,Chennai Petroleum Corporation Ord Shs,120.0,120.0,116.0,116.0,400,0
1994-12-23,D,Chennai Petroleum Corporation Ord Shs,115.0,115.0,115.0,115.0,100,1
1994-12-26,D,Chennai Petroleum Corporation Ord Shs,117.5,117.5,117.5,117.5,100,1
1995-01-02,D,Chennai Petroleum Corporation Ord Shs,112.5,112.5,112.5,112.5,100,1
1995-01-03,D,Chennai Petroleum Corporation Ord Shs,111.0,111.0,111.0,111.0,100,1
1995-01-06,D,Chennai Petroleum Corporation Ord Shs,105.5,107.0,105.5,105.55,1300,0
1995-01-09,D,Chennai Petroleum Corporation Ord Shs,105.0,105.0,104.5,104.75,5300,0
1995-01-11,D,Chennai Petroleum Corporation Ord Shs,100.0,100.0,97.6,100.0,700,1
1995-01-12,D,Chennai Petroleum Corporation Ord Shs,100.0,102.5,98.75,99.5,800,0
1995-01-17,D,Chennai Petroleum Corporation Ord Shs,103.5,104.0,102.0,103.2,1500,0
1995-01-18,D,Chennai Petroleum Corporation Ord Shs,102.0,103.0,101.5,102.15,800,0
1995-01-19,D,Chennai Petroleum Corporation Ord Shs,102.0,104.0,101.5,102.0,1600,1
1995-01-23,D,Chennai Petroleum Corporation Ord Shs,102.0,102.25,97.5,101.0,2900,0
1995-01-24,D,Chennai Petroleum Corporation Ord Shs,100.0,100.0,95.0,95.0,2500,0
1995-01-25,D,Chennai Petroleum Corporation Ord Shs,95.0,95.0,92.5,92.5,6900,0
1995-01-27,D,Chennai Petroleum Corporation Ord Shs,93.0,93.75,90.05,92.15,6300,0
1995-01-30,D,Chennai Petroleum Corporation Ord Shs,92.5,94.0,90.0,91.55,10000,0
1995-01-31,D,Chennai Petroleum Corporation Ord Shs,92.0,92.25,91.5,92.25,10700,0
1995-02-02,D,Chennai Petroleum Corporation Ord Shs,92.5,93.0,92.0,93.0,6600,0
1995-02-03,D,Chennai Petroleum Corporation Ord Shs,92.0,95.0,92.0,94.7,11200,0
1995-02-06,D,Chennai Petroleum Corporation Ord Shs,95.0,96.0,94.0,94.0,3600,0
1995-02-07,D,Chennai Petroleum Corporation Ord Shs,95.0,95.0,92.95,93.0,10200,0
1995-02-08,D,Chennai Petroleum Corporation Ord Shs,95.0,95.0,92.5,93.5,5200,0
1995-02-09,D,Chennai Petroleum Corporation Ord Shs,92.95,92.95,90.5,90.55,9800,0
1995-02-10,D,Chennai Petroleum Corporation Ord Shs,92.0,92.5,91.0,91.75,3600,0
1995-02-13,D,Chennai Petroleum Corporation Ord Shs,93.0,94.0,92.25,94.0,1900,0
1995-02-14,D,Chennai Petroleum Corporation Ord Shs,92.5,93.6,92.0,93.4,3900,0
1995-02-15,D,Chennai Petroleum Corporation Ord Shs,93.0,95.0,93.0,94.05,700,0
1995-02-16,D,Chennai Petroleum Corporation Ord Shs,94.0,94.5,93.0,93.7,3600,0
1995-02-17,D,Chennai Petroleum Corporation Ord Shs,93.0,94.0,92.0,93.0,2100,1
1995-02-20,D,Chennai Petroleum Corporation Ord Shs,93.0,93.75,91.5,91.5,1600,0
1995-02-21,D,Chennai Petroleum Corporation Ord Shs,92.0,92.0,91.0,91.0,700,0
1995-02-22,D,Chennai Petroleum Corporation Ord Shs,91.25,91.25,90.0,90.35,1600,0
1995-02-23,D,Chennai Petroleum Corporation Ord Shs,92.5,93.5,92.5,93.25,1300,0
1995-02-24,D,Chennai Petroleum Corporation Ord Shs,93.5,93.7,92.95,93.0,3100,0
1995-02-28,D,Chennai Petroleum Corporation Ord Shs,93.0,93.0,91.0,93.0,1600,1
1995-03-01,D,Chennai Petroleum Corporation Ord Shs,93.0,93.0,91.5,92.0,2500,0
1995-03-02,D,Chennai Petroleum Corporation Ord Shs,92.55,93.5,92.0,92.35,3100,0
1995-03-03,D,Chennai Petroleum Corporation Ord Shs,92.5,92.5,90.5,91.0,2500,0
1995-03-06,D,Chennai Petroleum Corporation Ord Shs,92.0,92.0,91.3,91.4,14400,0
1995-03-07,D,Chennai Petroleum Corporation Ord Shs,93.0,93.0,90.0,92.0,4000,0
1995-03-08,D,Chennai Petroleum Corporation Ord Shs,92.0,92.0,91.0,91.0,2500,0
1995-03-09,D,Chennai Petroleum Corporation Ord Shs,90.5,91.0,90.5,91.0,800,0
1995-03-10,D,Chennai Petroleum Corporation Ord Shs,92.0,93.0,91.0,91.75,3500,0
1995-03-13,D,Chennai Petroleum Corporation Ord Shs,90.95,90.95,90.5,90.5,1000,0
1995-03-14,D,Chennai Petroleum Corporation Ord Shs,92.0,92.0,90.0,90.95,1700,0
1995-03-15,D,Chennai Petroleum Corporation Ord Shs,92.5,93.0,89.75,89.75,7000,0
1995-03-16,D,Chennai Petroleum Corporation Ord Shs,89.75,89.95,89.5,89.5,600,0
1995-03-20,D,Chennai Petroleum Corporation Ord Shs,90.95,90.95,87.0,88.0,6000,0
1995-03-21,D,Chennai Petroleum Corporation Ord Shs,89.0,89.0,85.55,85.55,2900,0
1995-03-22,D,Chennai Petroleum Corporation Ord Shs,87.0,87.0,85.05,85.05,3900,0
1995-03-23,D,Chennai Petroleum Corporation Ord Shs,90.0,90.0,90.0,90.0,200,1
1995-03-24,D,Chennai Petroleum Corporation Ord Shs,88.0,88.5,87.5,87.9,800,0
1995-03-27,D,Chennai Petroleum Corporation Ord Shs,87.5,88.05,87.0,88.0,500,0
1995-03-28,D,Chennai Petroleum Corporation Ord Shs,88.0,89.9,87.0,87.0,700,0
1995-03-29,D,Chennai Petroleum Corporation Ord Shs,88.0,89.0,87.6,88.95,900,0
1995-03-30,D,Chennai Petroleum Corporation Ord Shs,87.0,88.0,87.0,88.0,700,0
1995-03-31,D,Chennai Petroleum Corporation Ord Shs,88.0,88.0,86.0,86.95,2400,0
1995-04-03,D,Chennai Petroleum Corporation Ord Shs,88.45,88.45,87.5,88.45,1700,1
1995-04-04,D,Chennai Petroleum Corporation Ord Shs,88.0,89.0,86.0,86.0,800,0
1995-04-05,D,Chennai Petroleum Corporation Ord Shs,87.5,88.0,87.0,87.2,1500,0
1995-04-06,D,Chennai Petroleum Corporation Ord Shs,89.0,89.0,87.5,87.75,1900,0
1995-04-07,D,Chennai Petroleum Corporation Ord Shs,88.0,89.5,88.0,88.0,1100,1
1995-04-10,D,Chennai Petroleum Corporation Ord Shs,89.0,89.0,86.0,88.75,2100,0
1995-04-11,D,Chennai Petroleum Corporation Ord Shs,88.0,88.0,87.0,87.0,200,0
1995-04-12,D,Chennai Petroleum Corporation Ord Shs,88.0,88.0,86.25,87.0,500,0
1995-04-17,D,Chennai Petroleum Corporation Ord Shs,86.25,87.0,85.5,86.15,2100,0
1995-04-18,D,Chennai Petroleum Corporation Ord Shs,85.5,86.05,80.0,85.95,2600,0
1995-04-19,D,Chennai Petroleum Corporation Ord Shs,86.0,86.0,82.0,83.0,800,0
1995-04-20,D,Chennai Petroleum Corporation Ord Shs,83.0,84.25,83.0,84.25,7000,0
