Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-03,D,Cholamandalam Financial Holdings Ord Shs,8.945256,8.945256,8.746472,8.746472,2666.666627,0
1995-01-17,D,Cholamandalam Financial Holdings Ord Shs,8.348905,8.348905,8.348905,8.348905,888.888876,1
1995-01-25,D,Cholamandalam Financial Holdings Ord Shs,8.249514,8.746472,8.249514,8.746472,19555.555264,0
1995-01-30,D,Cholamandalam Financial Holdings Ord Shs,9.044647,9.044647,9.044647,9.044647,888.888876,1
1995-02-03,D,Cholamandalam Financial Holdings Ord Shs,8.905499,8.945256,8.905499,8.945256,1777.777751,0
1995-02-07,D,Cholamandalam Financial Holdings Ord Shs,9.342823,9.342823,9.342823,9.342823,10666.666508,1
1995-02-08,D,Cholamandalam Financial Holdings Ord Shs,8.945256,9.342823,8.945256,9.342823,3555.555503,0
1995-02-09,D,Cholamandalam Financial Holdings Ord Shs,9.342823,9.342823,9.342823,9.342823,1777.777751,1
1995-02-13,D,Cholamandalam Financial Holdings Ord Shs,9.144039,9.144039,9.144039,9.144039,888.888876,1
1995-02-21,D,Cholamandalam Financial Holdings Ord Shs,8.945256,8.945256,8.746472,8.746472,4444.444378,0
1995-02-22,D,Cholamandalam Financial Holdings Ord Shs,8.666959,8.666959,8.666959,8.666959,5333.333254,1
1995-03-07,D,Cholamandalam Financial Holdings Ord Shs,8.388662,8.388662,8.388662,8.388662,444444.437822,1
1995-03-21,D,Cholamandalam Financial Holdings Ord Shs,8.348905,8.945256,8.348905,8.945256,4444.444378,0
1995-03-23,D,Cholamandalam Financial Holdings Ord Shs,8.348905,8.348905,8.348905,8.348905,1777.777751,1
1995-03-24,D,Cholamandalam Financial Holdings Ord Shs,8.348905,8.348905,8.348905,8.348905,888.888876,1
1995-03-27,D,Cholamandalam Financial Holdings Ord Shs,8.150122,8.150122,8.150122,8.150122,1777.777751,1
1995-03-28,D,Cholamandalam Financial Holdings Ord Shs,7.553771,7.553771,7.553771,7.553771,1557333.310127,1
1995-03-31,D,Cholamandalam Financial Holdings Ord Shs,7.593528,7.593528,7.593528,7.593528,1777.777751,1
1995-04-04,D,Cholamandalam Financial Holdings Ord Shs,7.553771,7.553771,7.553771,7.553771,1777.777751,1
1995-04-11,D,Cholamandalam Financial Holdings Ord Shs,7.553771,7.553771,7.553771,7.553771,1777.777751,1
1995-04-17,D,Cholamandalam Financial Holdings Ord Shs,7.951338,7.951338,7.951338,7.951338,1777.777751,1
1995-04-18,D,Cholamandalam Financial Holdings Ord Shs,7.593528,7.673042,7.593528,7.673042,94222.220818,0
1995-04-19,D,Cholamandalam Financial Holdings Ord Shs,7.354988,7.354988,7.354988,7.354988,888.888876,1
1995-04-20,D,Cholamandalam Financial Holdings Ord Shs,7.156205,7.156205,7.156205,7.156205,3555.555503,1
1995-04-24,D,Cholamandalam Financial Holdings Ord Shs,6.957421,6.957421,6.957421,6.957421,888.888876,1
1995-04-26,D,Cholamandalam Financial Holdings Ord Shs,7.156205,7.156205,7.156205,7.156205,1777.777751,1
1995-04-27,D,Cholamandalam Financial Holdings Ord Shs,7.156205,7.156205,7.156205,7.156205,888.888876,1
1995-04-28,D,Cholamandalam Financial Holdings Ord Shs,6.957421,7.553771,6.957421,6.957421,1560888.86563,1
1995-05-02,D,Cholamandalam Financial Holdings Ord Shs,6.659246,6.718881,6.659246,6.718881,10666.666508,0
1995-05-09,D,Cholamandalam Financial Holdings Ord Shs,6.838151,7.156205,6.838151,7.156205,2666.666627,0
1995-05-10,D,Cholamandalam Financial Holdings Ord Shs,7.156205,7.156205,7.156205,7.156205,1777.777751,1
