Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-08-11,D,Cochin Shipyard Ord Shs,220.075,264.075,217.5,264.075,55234074,0
2017-08-14,D,Cochin Shipyard Ord Shs,286.0,287.5,264.825,271.15,19202718,0
2017-08-16,D,Cochin Shipyard Ord Shs,268.775,274.0,264.5,268.1,6482066,0
2017-08-17,D,Cochin Shipyard Ord Shs,267.4,273.475,266.1,268.775,4330378,0
2017-08-18,D,Cochin Shipyard Ord Shs,267.5,268.7,259.0,267.225,4786128,0
2017-08-21,D,Cochin Shipyard Ord Shs,268.325,269.85,260.425,262.125,2221058,0
2017-08-22,D,Cochin Shipyard Ord Shs,264.0,265.0,250.0,256.25,3039678,0
2017-08-23,D,Cochin Shipyard Ord Shs,256.775,258.95,252.525,254.3,1933098,0
2017-08-24,D,Cochin Shipyard Ord Shs,255.0,263.75,253.75,256.6,3302236,0
2017-08-28,D,Cochin Shipyard Ord Shs,257.5,260.5,254.45,255.05,1072778,0
2017-08-29,D,Cochin Shipyard Ord Shs,254.0,258.5,251.5,252.125,1629020,0
2017-08-30,D,Cochin Shipyard Ord Shs,253.25,258.45,253.25,257.425,1702072,0
2017-08-31,D,Cochin Shipyard Ord Shs,258.25,260.45,254.1,256.725,1344092,0
2017-09-01,D,Cochin Shipyard Ord Shs,257.5,269.425,256.0,265.8,4028642,0
2017-09-04,D,Cochin Shipyard Ord Shs,264.5,272.75,262.5,268.3,3053174,0
2017-09-05,D,Cochin Shipyard Ord Shs,269.5,271.9,266.75,269.6,1289926,0
2017-09-06,D,Cochin Shipyard Ord Shs,268.45,272.5,265.5,266.4,1477104,0
2017-09-07,D,Cochin Shipyard Ord Shs,267.0,268.725,265.0,266.45,798722,0
2017-09-08,D,Cochin Shipyard Ord Shs,267.3,280.55,265.525,274.45,5207140,0
2017-09-11,D,Cochin Shipyard Ord Shs,275.875,286.475,272.0,281.1,5035072,0
2017-09-12,D,Cochin Shipyard Ord Shs,289.375,289.9,278.025,279.3,3695900,0
2017-09-13,D,Cochin Shipyard Ord Shs,279.225,279.225,271.1,272.0,1347888,0
2017-09-14,D,Cochin Shipyard Ord Shs,272.725,274.925,270.275,271.125,947250,0
2017-09-15,D,Cochin Shipyard Ord Shs,270.0,279.5,268.5,273.7,1875724,0
2017-09-18,D,Cochin Shipyard Ord Shs,275.95,280.475,274.5,277.05,1631174,0
2017-09-19,D,Cochin Shipyard Ord Shs,277.45,278.0,272.175,272.625,592010,0
2017-09-20,D,Cochin Shipyard Ord Shs,273.0,277.425,272.5,272.775,696186,0
2017-09-21,D,Cochin Shipyard Ord Shs,273.475,275.0,267.0,270.175,788864,0
2017-09-22,D,Cochin Shipyard Ord Shs,269.55,269.55,264.275,266.425,983660,0
2017-09-25,D,Cochin Shipyard Ord Shs,266.425,266.75,255.5,262.575,947950,0
2017-09-26,D,Cochin Shipyard Ord Shs,262.5,267.25,260.25,263.775,413424,0
2017-09-27,D,Cochin Shipyard Ord Shs,265.0,265.775,260.5,263.0,1612514,0
2017-09-28,D,Cochin Shipyard Ord Shs,264.0,264.0,258.7,260.3,588352,0
2017-09-29,D,Cochin Shipyard Ord Shs,261.95,265.8,259.075,260.0,575670,0
2017-10-03,D,Cochin Shipyard Ord Shs,263.0,264.0,259.625,260.05,492208,0
2017-10-04,D,Cochin Shipyard Ord Shs,261.0,264.45,259.6,260.05,1546774,0
2017-10-05,D,Cochin Shipyard Ord Shs,260.85,263.0,258.925,259.275,596762,0
2017-10-06,D,Cochin Shipyard Ord Shs,260.3,262.325,259.0,259.35,534704,0
2017-10-09,D,Cochin Shipyard Ord Shs,260.0,262.425,257.5,258.05,598072,0
2017-10-10,D,Cochin Shipyard Ord Shs,258.975,293.1,258.5,286.125,13293500,0
2017-10-11,D,Cochin Shipyard Ord Shs,290.0,296.0,276.85,281.725,9364768,0
2017-10-12,D,Cochin Shipyard Ord Shs,283.45,287.35,281.7,283.925,1850750,0
2017-10-13,D,Cochin Shipyard Ord Shs,285.45,291.4,281.025,286.525,2495866,0
