Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2004-08-30,D,Coforge Ord Shs,108.000051,132.933397,100.166714,129.733395,5247283.9979,0
2004-08-31,D,Coforge Ord Shs,128.000061,128.566728,123.466726,124.600059,1026229.010656,0
2004-09-01,D,Coforge Ord Shs,124.90006,126.666727,120.900058,121.500058,598189.214761,0
2004-09-02,D,Coforge Ord Shs,122.666725,124.500059,117.433389,118.200056,523156.25054,0
2004-09-03,D,Coforge Ord Shs,118.666723,121.333391,117.700056,118.166723,415472.801887,0
2004-09-06,D,Coforge Ord Shs,119.300057,120.066724,114.433388,114.800055,415330.301955,0
2004-09-07,D,Coforge Ord Shs,115.833389,117.266723,114.666721,115.533388,294725.859464,0
2004-09-08,D,Coforge Ord Shs,116.000055,116.466722,113.566721,114.033388,197554.405799,0
2004-09-09,D,Coforge Ord Shs,114.933388,115.200055,110.833386,111.300053,222368.893966,0
2004-09-10,D,Coforge Ord Shs,112.26672,113.933388,110.000052,112.633387,274642.36904,0
2004-09-13,D,Coforge Ord Shs,112.66672,122.500058,112.66672,119.466724,895534.072976,0
2004-09-14,D,Coforge Ord Shs,120.000057,122.633392,118.000056,120.100057,470773.275518,0
2004-09-15,D,Coforge Ord Shs,120.933391,121.200058,116.666722,117.500056,273728.869476,0
2004-09-16,D,Coforge Ord Shs,113.400054,117.666723,113.400054,114.533388,241154.885008,0
2004-09-17,D,Coforge Ord Shs,115.966722,115.966722,114.666721,114.933388,143002.431811,0
2004-09-20,D,Coforge Ord Shs,116.666722,116.666722,114.000054,114.166721,86542.458733,0
2004-09-21,D,Coforge Ord Shs,114.600055,116.600056,114.200054,115.533388,154991.926094,0
2004-09-22,D,Coforge Ord Shs,115.333388,117.000056,114.666721,115.000055,154592.926284,0
2004-09-23,D,Coforge Ord Shs,114.000054,114.866721,112.233387,112.533387,129077.938451,0
2004-09-24,D,Coforge Ord Shs,111.000053,113.133387,110.833386,111.333386,110234.947436,0
2004-09-27,D,Coforge Ord Shs,112.333387,112.66672,110.800053,111.36672,57155.972746,0
2004-09-28,D,Coforge Ord Shs,112.66672,112.66672,109.333385,109.500052,83603.960135,0
2004-09-29,D,Coforge Ord Shs,110.666719,111.733387,109.033385,110.033386,75863.963825,0
2004-09-30,D,Coforge Ord Shs,112.66672,112.66672,110.666719,111.100053,107227.44887,0
2004-10-01,D,Coforge Ord Shs,111.000053,112.500054,110.000052,111.833387,95635.454397,0
2004-10-04,D,Coforge Ord Shs,113.266721,115.933389,112.000053,112.200054,122552.941562,0
2004-10-05,D,Coforge Ord Shs,112.733387,114.900055,112.433387,112.933387,131635.437231,0
2004-10-06,D,Coforge Ord Shs,112.000053,116.666722,112.000053,112.86672,254674.378562,0
2004-10-07,D,Coforge Ord Shs,114.000054,114.000054,112.133387,112.633387,75004.464235,0
2004-10-08,D,Coforge Ord Shs,112.333387,115.533388,112.333387,113.300054,178469.914899,0
2004-10-09,D,Coforge Ord Shs,113.966721,114.433388,113.400054,114.100054,47699.977255,0
2004-10-11,D,Coforge Ord Shs,120.000057,120.000057,112.133387,112.433387,116698.444354,0
2004-10-12,D,Coforge Ord Shs,114.533388,114.666721,110.733386,111.16672,79742.961976,0
2004-10-14,D,Coforge Ord Shs,111.333386,114.000054,110.933386,113.033387,128548.438703,0
2004-10-15,D,Coforge Ord Shs,113.666721,115.333388,110.766719,111.100053,118697.9434,0
2004-10-18,D,Coforge Ord Shs,113.333387,113.333387,109.666719,110.000052,62530.470183,0
2004-10-19,D,Coforge Ord Shs,111.96672,111.96672,108.400052,108.666718,82268.960771,0
2004-10-20,D,Coforge Ord Shs,109.366719,110.000052,108.000051,109.366719,70453.466405,1
2004-10-21,D,Coforge Ord Shs,109.333385,111.933387,108.700052,109.233385,96997.453748,0
2004-10-25,D,Coforge Ord Shs,110.000052,110.000052,106.366717,107.100051,81041.961356,0
2004-10-26,D,Coforge Ord Shs,107.200051,107.733385,105.333384,105.766717,66223.468422,0
2004-10-27,D,Coforge Ord Shs,108.000051,114.066721,105.70005,110.800053,271073.870742,0
2004-10-28,D,Coforge Ord Shs,114.600055,115.900055,109.666719,110.166719,276548.868131,0
2004-10-29,D,Coforge Ord Shs,111.833387,111.833387,107.133384,107.866718,99713.952453,0
2004-11-01,D,Coforge Ord Shs,108.666718,108.666718,106.666718,106.966718,64829.969087,0
2004-11-02,D,Coforge Ord Shs,108.000051,108.333385,105.366717,105.833384,76801.463378,0
2004-11-03,D,Coforge Ord Shs,106.000051,110.000052,106.000051,108.200052,140843.93284,0
2004-11-04,D,Coforge Ord Shs,108.766719,109.866719,105.40005,106.133384,120274.442649,0
2004-11-05,D,Coforge Ord Shs,107.333385,107.333385,103.466716,104.00005,96590.953942,0
2004-11-08,D,Coforge Ord Shs,104.533383,106.000051,103.400049,103.800049,79849.461925,0
2004-11-09,D,Coforge Ord Shs,105.50005,106.366717,103.566716,104.133383,71669.965825,0
2004-11-10,D,Coforge Ord Shs,105.133383,105.133383,103.366716,103.566716,55391.973587,0
2004-11-11,D,Coforge Ord Shs,103.433383,105.266717,102.700049,103.300049,99331.452635,0
2004-11-12,D,Coforge Ord Shs,103.433383,103.933383,101.733382,102.500049,45907.47811,0
2004-11-16,D,Coforge Ord Shs,102.333382,102.333382,97.93338,98.766714,181673.913371,0
2004-11-17,D,Coforge Ord Shs,99.233381,101.566715,98.73338,100.833381,132188.936967,0
2004-11-18,D,Coforge Ord Shs,101.200048,102.400049,100.666715,102.033382,101404.451647,0
2004-11-19,D,Coforge Ord Shs,102.733382,103.066716,100.400048,101.166715,97567.453476,0
2004-11-22,D,Coforge Ord Shs,101.133382,101.333382,92.066711,100.766715,60109.471338,0
2004-11-23,D,Coforge Ord Shs,101.333382,102.666716,100.833381,101.566715,71056.466118,0
2004-11-24,D,Coforge Ord Shs,102.500049,102.533382,100.733381,101.166715,66205.468431,0
2004-11-25,D,Coforge Ord Shs,101.400048,102.533382,100.033381,100.500048,75658.463923,0
2004-11-29,D,Coforge Ord Shs,102.166715,106.533384,101.333382,105.866717,324848.8451,0
