Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-09-23,D,Crest Ventures Ord Shs,21.668173,21.668173,21.668173,21.668173,174.910918,1
1996-09-24,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1996-09-25,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,349.821835,0
1996-09-27,D,Crest Ventures Ord Shs,21.582415,24.012223,21.582415,22.840198,3498.21835,0
1996-09-30,D,Crest Ventures Ord Shs,22.868784,24.012223,22.868784,24.012223,349.821835,0
1996-10-01,D,Crest Ventures Ord Shs,21.725345,23.154644,21.725345,23.154644,349.821835,0
1996-10-03,D,Crest Ventures Ord Shs,21.725345,23.154644,21.725345,23.154644,349.821835,0
1996-10-04,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,524.732753,0
1996-10-07,D,Crest Ventures Ord Shs,21.439485,22.439994,21.439485,22.439994,699.64367,0
1996-10-08,D,Crest Ventures Ord Shs,21.439485,22.840198,21.153625,21.153625,874.554588,0
1996-10-09,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,524.732753,0
1996-10-10,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1996-10-22,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,349.821835,0
1996-10-23,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1996-10-28,D,Crest Ventures Ord Shs,20.581906,20.581906,20.581906,20.581906,174.910918,1
1996-10-29,D,Crest Ventures Ord Shs,21.725345,22.582924,21.725345,22.582924,1224.376423,0
1996-11-06,D,Crest Ventures Ord Shs,22.297064,22.297064,22.297064,22.297064,174.910918,1
1996-11-07,D,Crest Ventures Ord Shs,21.725345,22.239892,21.725345,22.239892,699.64367,0
1996-11-14,D,Crest Ventures Ord Shs,21.725345,22.239892,21.725345,22.239892,349.821835,0
1996-11-21,D,Crest Ventures Ord Shs,21.725345,22.811612,21.725345,22.811612,349.821835,0
1996-11-22,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,349.821835,0
1996-11-25,D,Crest Ventures Ord Shs,21.725345,22.868784,21.725345,22.868784,349.821835,0
1996-11-28,D,Crest Ventures Ord Shs,21.725345,22.268478,21.725345,22.268478,349.821835,0
1996-11-29,D,Crest Ventures Ord Shs,21.725345,22.239892,21.725345,22.239892,349.821835,0
1996-12-02,D,Crest Ventures Ord Shs,21.725345,22.268478,21.725345,22.268478,349.821835,0
1996-12-03,D,Crest Ventures Ord Shs,21.982619,22.182721,20.581906,22.182721,699.64367,0
1996-12-10,D,Crest Ventures Ord Shs,22.182721,22.182721,22.182721,22.182721,174.910918,1
1996-12-11,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1996-12-12,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1996-12-17,D,Crest Ventures Ord Shs,21.010695,21.010695,20.982109,21.010695,1399.28734,1
1996-12-18,D,Crest Ventures Ord Shs,21.010695,21.010695,20.581906,20.581906,349.821835,0
1996-12-31,D,Crest Ventures Ord Shs,22.640096,22.640096,22.640096,22.640096,174.910918,1
1997-01-02,D,Crest Ventures Ord Shs,22.297064,22.297064,22.297064,22.297064,174.910918,1
1997-01-07,D,Crest Ventures Ord Shs,22.868784,22.868784,22.868784,22.868784,174.910918,1
1997-02-06,D,Crest Ventures Ord Shs,24.012223,24.012223,24.012223,24.012223,174.910918,1
1997-02-11,D,Crest Ventures Ord Shs,23.297574,23.297574,23.297574,23.297574,174.910918,1
1997-02-21,D,Crest Ventures Ord Shs,21.096453,23.297574,21.096453,23.297574,2273.841928,0
1997-02-25,D,Crest Ventures Ord Shs,22.868784,23.268988,22.868784,23.268988,349.821835,0
1997-02-26,D,Crest Ventures Ord Shs,23.011714,23.011714,23.011714,23.011714,174.910918,1
1997-02-28,D,Crest Ventures Ord Shs,20.724836,23.011714,20.724836,20.896351,2798.57468,0
1997-03-01,D,Crest Ventures Ord Shs,23.011714,23.011714,20.581906,20.581906,1399.28734,0
1997-03-03,D,Crest Ventures Ord Shs,22.582924,22.582924,22.582924,22.582924,174.910918,1
1997-03-04,D,Crest Ventures Ord Shs,20.581906,24.012223,20.524734,24.012223,2798.57468,0
