Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-07-21,D,CSL Finance Ord Shs,247.85,247.85,225.2,229.4,16272,0
2022-07-22,D,CSL Finance Ord Shs,229.3,241.0,224.95,235.15,48683,0
2022-07-25,D,CSL Finance Ord Shs,236.0,241.0,228.95,233.05,124136,0
2022-07-26,D,CSL Finance Ord Shs,234.3,239.9,234.2,237.45,36728,0
2022-07-27,D,CSL Finance Ord Shs,238.0,238.0,232.85,236.4,25691,0
2022-07-28,D,CSL Finance Ord Shs,231.7,243.0,231.7,239.8,12550,0
2022-07-29,D,CSL Finance Ord Shs,247.0,247.0,232.9,240.15,26507,0
2022-08-01,D,CSL Finance Ord Shs,235.35,245.7,235.0,239.45,15812,0
2022-08-02,D,CSL Finance Ord Shs,246.0,246.0,235.0,239.35,27881,0
2022-08-03,D,CSL Finance Ord Shs,240.0,242.0,237.5,238.9,24345,0
2022-08-04,D,CSL Finance Ord Shs,238.25,241.45,235.55,239.7,23347,0
2022-08-05,D,CSL Finance Ord Shs,241.1,285.0,238.25,270.15,76471,0
2022-08-08,D,CSL Finance Ord Shs,272.4,307.0,272.4,298.7,118640,0
2022-08-10,D,CSL Finance Ord Shs,294.0,294.0,270.25,275.95,35085,0
2022-08-11,D,CSL Finance Ord Shs,288.6,288.6,260.05,262.5,27372,0
2022-08-12,D,CSL Finance Ord Shs,264.55,269.7,250.55,259.3,14738,0
2022-08-16,D,CSL Finance Ord Shs,264.45,281.95,256.95,274.4,31188,0
2022-08-17,D,CSL Finance Ord Shs,276.8,276.8,266.3,267.9,9830,0
2022-08-18,D,CSL Finance Ord Shs,262.5,267.7,256.5,262.05,48759,0
2022-08-19,D,CSL Finance Ord Shs,269.0,269.0,242.5,246.25,70337,0
2022-08-22,D,CSL Finance Ord Shs,250.0,253.05,242.5,244.7,23306,0
2022-08-23,D,CSL Finance Ord Shs,243.9,251.95,243.9,247.95,7901,0
