Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-09-03,D,Dangee Dums Ord Shs,8.99,9.435,8.95,9.435,16111999.759912,0
2018-09-04,D,Dangee Dums Ord Shs,9.35,9.905,9.125,9.805,4815999.928236,0
2018-09-05,D,Dangee Dums Ord Shs,10.1,10.295,10.1,10.295,1375999.979496,0
2018-09-06,D,Dangee Dums Ord Shs,10.805,10.805,10.2,10.805,2463999.963284,1
2018-09-07,D,Dangee Dums Ord Shs,11.345,11.345,11.345,11.345,799999.988079,1
2018-09-10,D,Dangee Dums Ord Shs,11.91,11.91,11.91,11.91,191999.997139,1
2018-09-11,D,Dangee Dums Ord Shs,12.505,12.505,12.505,12.505,223999.996662,1
2018-09-12,D,Dangee Dums Ord Shs,13.13,13.13,13.13,13.13,191999.997139,1
2018-09-14,D,Dangee Dums Ord Shs,13.785,13.785,12.8,13.785,3375999.949694,1
2018-09-17,D,Dangee Dums Ord Shs,14.47,14.47,14.47,14.47,143999.997854,1
2018-09-18,D,Dangee Dums Ord Shs,14.9,16.4,13.5,16.25,1711999.974489,0
2018-09-19,D,Dangee Dums Ord Shs,16.1,17.43,15.45,17.155,1215999.98188,0
2018-09-21,D,Dangee Dums Ord Shs,17.99,18.6,16.6,18.2,1695999.974728,0
2018-09-24,D,Dangee Dums Ord Shs,18.005,19.58,18.005,19.065,799999.988079,0
2018-09-25,D,Dangee Dums Ord Shs,19.0,20.55,19.0,20.42,1071999.984026,0
2018-09-26,D,Dangee Dums Ord Shs,21.2,21.45,19.83,20.375,607999.99094,0
2018-09-27,D,Dangee Dums Ord Shs,20.9,21.65,19.8,21.235,3183999.952555,0
2018-09-28,D,Dangee Dums Ord Shs,21.78,21.78,19.6,19.755,1759999.973774,0
2018-10-01,D,Dangee Dums Ord Shs,20.4,20.4,19.8,20.135,1039999.984503,0
2018-10-03,D,Dangee Dums Ord Shs,20.51,21.3,20.33,20.4,319999.995232,0
2018-10-04,D,Dangee Dums Ord Shs,20.26,20.59,20.05,20.59,207999.996901,0
2018-10-05,D,Dangee Dums Ord Shs,20.13,20.995,20.0,20.875,527999.992132,0
2018-10-08,D,Dangee Dums Ord Shs,20.255,20.75,20.135,20.61,143999.997854,0
2018-10-09,D,Dangee Dums Ord Shs,20.4,20.47,20.225,20.365,479999.992847,0
2018-10-10,D,Dangee Dums Ord Shs,20.4,20.79,20.4,20.75,143999.997854,0
2018-10-11,D,Dangee Dums Ord Shs,20.4,20.935,20.3,20.32,159999.997616,0
2018-10-12,D,Dangee Dums Ord Shs,20.535,21.7,20.535,21.385,351999.994755,0
2018-10-15,D,Dangee Dums Ord Shs,21.6,22.6,21.6,22.325,271999.995947,0
2018-10-16,D,Dangee Dums Ord Shs,22.45,22.6,22.45,22.6,31999.999523,0
2018-10-17,D,Dangee Dums Ord Shs,22.4,22.4,22.1,22.1,127999.998093,0
2018-10-19,D,Dangee Dums Ord Shs,21.805,21.805,21.52,21.7,207999.996901,0
2018-10-22,D,Dangee Dums Ord Shs,21.46,22.4,21.35,22.2,191999.997139,0
2018-10-23,D,Dangee Dums Ord Shs,21.45,22.08,21.45,21.77,79999.998808,0
2018-10-24,D,Dangee Dums Ord Shs,21.5,21.5,21.3,21.35,79999.998808,0
2018-10-25,D,Dangee Dums Ord Shs,21.4,21.4,21.05,21.05,95999.998569,0
2018-10-26,D,Dangee Dums Ord Shs,21.0,21.0,20.9,21.0,207999.996901,1
2018-10-29,D,Dangee Dums Ord Shs,21.0,21.0,20.53,20.57,383999.994278,0
2018-10-30,D,Dangee Dums Ord Shs,20.55,20.8,20.41,20.545,159999.997616,0
2018-10-31,D,Dangee Dums Ord Shs,20.53,20.65,20.53,20.6,95999.998569,0
2018-11-01,D,Dangee Dums Ord Shs,20.52,20.75,20.3,20.43,207999.996901,0
2018-11-02,D,Dangee Dums Ord Shs,20.405,20.795,20.3,20.795,175999.997377,0
2018-11-05,D,Dangee Dums Ord Shs,20.7,20.7,20.5,20.5,95999.998569,0
2018-11-06,D,Dangee Dums Ord Shs,20.625,20.625,20.625,20.625,63999.999046,1
2018-11-07,D,Dangee Dums Ord Shs,21.025,21.025,20.8,20.94,63999.999046,0
2018-11-12,D,Dangee Dums Ord Shs,21.05,21.05,21.05,21.05,31999.999523,1
2018-11-13,D,Dangee Dums Ord Shs,20.735,20.925,20.735,20.925,31999.999523,0
2018-11-15,D,Dangee Dums Ord Shs,20.95,20.975,20.81,20.81,79999.998808,0
2018-11-16,D,Dangee Dums Ord Shs,20.7,20.7,20.7,20.7,15999.999762,1
2018-11-19,D,Dangee Dums Ord Shs,20.87,20.9,20.87,20.88,47999.999285,0
2018-11-20,D,Dangee Dums Ord Shs,20.9,20.9,20.7,20.7,47999.999285,0
2018-11-21,D,Dangee Dums Ord Shs,20.6,20.6,20.6,20.6,15999.999762,1
2018-11-26,D,Dangee Dums Ord Shs,20.61,20.61,20.6,20.6,31999.999523,0
2018-11-27,D,Dangee Dums Ord Shs,20.635,20.635,20.605,20.605,31999.999523,0
2018-11-28,D,Dangee Dums Ord Shs,20.61,20.61,20.5,20.55,63999.999046,0
2018-11-29,D,Dangee Dums Ord Shs,20.505,21.0,20.3,21.0,239999.996424,0
2018-12-03,D,Dangee Dums Ord Shs,20.55,20.55,20.55,20.55,15999.999762,1
2018-12-04,D,Dangee Dums Ord Shs,20.505,20.505,20.2,20.2,143999.997854,0
2018-12-05,D,Dangee Dums Ord Shs,20.5,20.84,20.5,20.84,47999.999285,0
2018-12-06,D,Dangee Dums Ord Shs,20.5,20.5,20.3,20.3,47999.999285,0
2018-12-07,D,Dangee Dums Ord Shs,20.4,20.4,20.0,20.16,271999.995947,0
2018-12-10,D,Dangee Dums Ord Shs,20.2,20.5,20.1,20.5,63999.999046,0
2018-12-12,D,Dangee Dums Ord Shs,20.4,20.4,20.1,20.105,111999.998331,0
2018-12-13,D,Dangee Dums Ord Shs,20.3,20.3,20.3,20.3,15999.999762,1
2018-12-17,D,Dangee Dums Ord Shs,20.305,20.305,20.3,20.3,47999.999285,0
2018-12-18,D,Dangee Dums Ord Shs,20.305,20.305,20.2,20.2,95999.998569,0
2018-12-20,D,Dangee Dums Ord Shs,20.2,20.68,20.18,20.4,143999.997854,0
2018-12-21,D,Dangee Dums Ord Shs,20.3,20.3,20.3,20.3,15999.999762,1
2018-12-27,D,Dangee Dums Ord Shs,20.325,20.325,20.2,20.2,79999.998808,0
2018-12-31,D,Dangee Dums Ord Shs,20.3,20.3,20.3,20.3,31999.999523,1
2019-01-01,D,Dangee Dums Ord Shs,20.2,20.2,20.1,20.1,79999.998808,0
2019-01-02,D,Dangee Dums Ord Shs,20.2,20.2,20.2,20.2,15999.999762,1
2019-01-03,D,Dangee Dums Ord Shs,20.2,20.2,20.2,20.2,15999.999762,1
2019-01-08,D,Dangee Dums Ord Shs,20.2,20.2,20.1,20.1,63999.999046,0
2019-01-09,D,Dangee Dums Ord Shs,20.1,20.1,20.1,20.1,15999.999762,1
2019-01-16,D,Dangee Dums Ord Shs,20.1,20.1,20.1,20.1,15999.999762,1
2019-01-17,D,Dangee Dums Ord Shs,19.9,19.9,19.9,19.9,15999.999762,1
2019-01-21,D,Dangee Dums Ord Shs,20.11,20.11,20.11,20.11,127999.998093,1
2019-01-22,D,Dangee Dums Ord Shs,20.125,20.125,20.125,20.125,95999.998569,1
2019-01-23,D,Dangee Dums Ord Shs,19.8,19.8,19.6,19.6,63999.999046,0
2019-01-24,D,Dangee Dums Ord Shs,19.8,19.8,18.7,18.7,319999.995232,0
2019-01-25,D,Dangee Dums Ord Shs,19.0,19.0,19.0,19.0,15999.999762,1
2019-01-29,D,Dangee Dums Ord Shs,18.6,18.6,18.6,18.6,15999.999762,1
2019-02-04,D,Dangee Dums Ord Shs,18.6,18.6,18.6,18.6,15999.999762,1
2019-02-08,D,Dangee Dums Ord Shs,18.5,18.5,18.3,18.35,47999.999285,0
2019-02-11,D,Dangee Dums Ord Shs,18.5,18.5,18.4,18.4,31999.999523,0
2019-02-12,D,Dangee Dums Ord Shs,18.4,18.4,18.4,18.4,15999.999762,1
2019-02-13,D,Dangee Dums Ord Shs,18.45,18.45,18.45,18.45,15999.999762,1
2019-02-22,D,Dangee Dums Ord Shs,18.4,18.4,18.4,18.4,15999.999762,1
2019-02-25,D,Dangee Dums Ord Shs,18.3,18.3,18.3,18.3,15999.999762,1
2019-02-27,D,Dangee Dums Ord Shs,18.3,18.3,18.3,18.3,15999.999762,1
2019-02-28,D,Dangee Dums Ord Shs,18.2,18.2,18.0,18.0,47999.999285,0
2019-03-05,D,Dangee Dums Ord Shs,18.35,19.245,18.35,19.245,143999.997854,0
2019-03-06,D,Dangee Dums Ord Shs,19.495,21.395,19.24,19.24,175999.997377,0
2019-03-11,D,Dangee Dums Ord Shs,21.935,21.935,18.55,19.96,47999.999285,0
2019-03-15,D,Dangee Dums Ord Shs,19.995,20.045,19.995,20.045,159999.997616,0
2019-03-25,D,Dangee Dums Ord Shs,18.32,19.7,18.2,19.185,55999.999166,0
2019-03-27,D,Dangee Dums Ord Shs,18.3,18.3,18.2,18.27,55999.999166,0
2019-03-29,D,Dangee Dums Ord Shs,18.5,18.5,18.5,18.5,7999.999881,1
2019-04-01,D,Dangee Dums Ord Shs,18.3,18.3,18.3,18.3,7999.999881,1
2019-04-03,D,Dangee Dums Ord Shs,19.0,19.0,19.0,19.0,39999.999404,1
2019-04-04,D,Dangee Dums Ord Shs,18.2,21.02,18.105,21.01,47999.999285,0
2019-04-08,D,Dangee Dums Ord Shs,18.305,18.305,18.305,18.305,7999.999881,1
2019-04-25,D,Dangee Dums Ord Shs,18.2,18.2,18.2,18.2,7999.999881,1
2019-04-30,D,Dangee Dums Ord Shs,18.2,18.225,18.2,18.225,31999.999523,0
2019-05-02,D,Dangee Dums Ord Shs,18.1,18.1,18.1,18.1,23999.999642,1
2019-05-07,D,Dangee Dums Ord Shs,18.21,18.215,18.205,18.215,31999.999523,0
2019-05-16,D,Dangee Dums Ord Shs,18.2,18.2,18.2,18.2,15999.999762,1
2019-05-21,D,Dangee Dums Ord Shs,18.205,18.205,18.2,18.2,15999.999762,0
2019-05-23,D,Dangee Dums Ord Shs,18.2,18.2,18.2,18.2,7999.999881,1
2019-05-31,D,Dangee Dums Ord Shs,18.0,18.0,18.0,18.0,7999.999881,1
2019-06-06,D,Dangee Dums Ord Shs,17.7,17.7,17.7,17.7,15999.999762,1
2019-06-10,D,Dangee Dums Ord Shs,17.5,17.5,17.5,17.5,7999.999881,1
2019-06-11,D,Dangee Dums Ord Shs,17.8,17.8,17.8,17.8,7999.999881,1
2019-06-13,D,Dangee Dums Ord Shs,17.8,17.8,17.8,17.8,7999.999881,1
2019-06-17,D,Dangee Dums Ord Shs,17.7,17.7,17.7,17.7,7999.999881,1
2019-06-28,D,Dangee Dums Ord Shs,17.5,17.5,17.5,17.5,7999.999881,1
2019-07-02,D,Dangee Dums Ord Shs,17.3,17.3,17.3,17.3,7999.999881,1
2019-07-03,D,Dangee Dums Ord Shs,17.1,17.1,17.1,17.1,7999.999881,1
2019-07-05,D,Dangee Dums Ord Shs,16.9,16.9,16.7,16.7,15999.999762,0
2019-07-08,D,Dangee Dums Ord Shs,16.5,16.5,16.1,16.1,23999.999642,0
2019-07-09,D,Dangee Dums Ord Shs,15.8,15.8,15.5,15.5,15999.999762,0
2019-07-11,D,Dangee Dums Ord Shs,15.2,15.2,12.4,15.2,23999.999642,1
2019-07-15,D,Dangee Dums Ord Shs,15.15,15.15,15.15,15.15,31999.999523,1
2019-07-17,D,Dangee Dums Ord Shs,15.25,15.25,15.25,15.25,39999.999404,1
2019-07-19,D,Dangee Dums Ord Shs,14.8,14.8,14.8,14.8,7999.999881,1
2019-07-22,D,Dangee Dums Ord Shs,14.5,14.5,14.5,14.5,7999.999881,1
2019-07-23,D,Dangee Dums Ord Shs,14.0,14.0,14.0,14.0,15999.999762,1
