Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-09-08,D,Dhampur Bio Organics Ord Shs,160.1,168.1,152.1,168.1,529272,0
2022-09-09,D,Dhampur Bio Organics Ord Shs,176.0,176.0,160.15,164.95,310771,0
2022-09-12,D,Dhampur Bio Organics Ord Shs,164.9,164.9,156.75,156.75,145359,0
2022-09-13,D,Dhampur Bio Organics Ord Shs,150.3,164.55,150.3,164.4,295086,0
2022-09-14,D,Dhampur Bio Organics Ord Shs,162.75,172.6,162.0,172.6,294453,0
2022-09-15,D,Dhampur Bio Organics Ord Shs,181.2,181.2,181.2,181.2,155745,1
2022-09-16,D,Dhampur Bio Organics Ord Shs,179.9,180.8,172.15,172.15,241094,0
2022-09-19,D,Dhampur Bio Organics Ord Shs,169.5,174.0,163.55,165.2,205272,0
2022-09-20,D,Dhampur Bio Organics Ord Shs,166.9,173.45,165.0,173.3,136514,0
2022-09-21,D,Dhampur Bio Organics Ord Shs,173.3,176.9,167.0,167.95,92883,0
2022-09-22,D,Dhampur Bio Organics Ord Shs,174.0,184.85,170.0,172.15,363497,0
2022-09-23,D,Dhampur Bio Organics Ord Shs,172.9,173.1,159.0,162.8,174560,0
2022-09-26,D,Dhampur Bio Organics Ord Shs,159.0,159.45,152.0,152.95,110791,0
2022-09-27,D,Dhampur Bio Organics Ord Shs,156.65,157.3,141.4,144.7,166572,0
2022-09-28,D,Dhampur Bio Organics Ord Shs,140.5,152.0,140.5,149.65,263677,0
2022-09-29,D,Dhampur Bio Organics Ord Shs,154.9,154.9,148.0,150.3,100369,0
2022-09-30,D,Dhampur Bio Organics Ord Shs,147.35,153.8,147.35,150.45,278214,0
2022-10-03,D,Dhampur Bio Organics Ord Shs,153.4,153.4,141.05,142.6,119804,0
2022-10-04,D,Dhampur Bio Organics Ord Shs,144.1,147.45,140.8,142.45,138677,0
2022-10-06,D,Dhampur Bio Organics Ord Shs,143.4,148.9,143.0,145.55,302839,0
2022-10-07,D,Dhampur Bio Organics Ord Shs,145.6,163.6,145.6,156.75,362452,0
2022-10-10,D,Dhampur Bio Organics Ord Shs,155.0,172.4,154.15,167.55,393695,0
2022-10-11,D,Dhampur Bio Organics Ord Shs,169.0,174.5,167.55,168.65,268734,0
2022-10-12,D,Dhampur Bio Organics Ord Shs,168.3,172.0,166.5,168.2,95174,0
2022-10-13,D,Dhampur Bio Organics Ord Shs,168.0,168.45,162.15,163.65,94166,0
2022-10-14,D,Dhampur Bio Organics Ord Shs,165.95,168.0,159.1,161.0,95534,0
2022-10-17,D,Dhampur Bio Organics Ord Shs,161.0,161.9,156.6,159.7,86875,0
2022-10-18,D,Dhampur Bio Organics Ord Shs,159.7,161.1,155.25,156.2,80315,0
2022-10-19,D,Dhampur Bio Organics Ord Shs,157.45,164.45,156.4,158.3,110507,0
2022-10-20,D,Dhampur Bio Organics Ord Shs,158.5,165.4,156.5,164.2,117595,0
