Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-04-03,D,DCM Ord Shs,82.620079,82.620079,82.620079,82.620079,50,1
1995-04-06,D,DCM Ord Shs,83.156573,83.156573,83.156573,83.156573,50,1
1995-04-10,D,DCM Ord Shs,83.156573,83.156573,83.156573,83.156573,100,1
1995-04-11,D,DCM Ord Shs,83.693067,83.693067,83.693067,83.693067,50,1
1995-04-12,D,DCM Ord Shs,84.229561,85.034302,84.229561,85.034302,200,0
1995-04-18,D,DCM Ord Shs,88.521513,88.521513,88.521513,88.521513,100,1
1995-04-27,D,DCM Ord Shs,74.036174,74.036174,74.036174,74.036174,100,1
1995-04-28,D,DCM Ord Shs,74.036174,74.036174,74.036174,74.036174,100,1
1995-05-02,D,DCM Ord Shs,74.036174,74.036174,74.036174,74.036174,500,1
1995-05-04,D,DCM Ord Shs,69.744222,69.744222,69.744222,69.744222,200,1
1995-05-05,D,DCM Ord Shs,68.671234,69.744222,68.671234,69.744222,250,0
1995-05-08,D,DCM Ord Shs,72.426692,72.426692,72.426692,72.426692,50,1
1995-05-10,D,DCM Ord Shs,72.426692,72.426692,72.426692,72.426692,50,1
1995-05-17,D,DCM Ord Shs,68.671234,68.671234,68.671234,68.671234,700,1
1995-05-26,D,DCM Ord Shs,64.379282,64.379282,64.379282,64.379282,100,1
1995-05-29,D,DCM Ord Shs,67.088577,67.088577,67.088577,67.088577,500,1
1995-05-31,D,DCM Ord Shs,67.061752,67.061752,64.915776,64.915776,4000,0
1995-06-01,D,DCM Ord Shs,67.061752,67.061752,67.061752,67.061752,1600,1
1995-06-02,D,DCM Ord Shs,67.061752,67.061752,65.45227,65.45227,800,0
1995-06-13,D,DCM Ord Shs,65.45227,65.45227,65.45227,65.45227,700,1
1995-06-19,D,DCM Ord Shs,61.696812,61.696812,61.696812,61.696812,100,1
1995-06-26,D,DCM Ord Shs,55.527131,55.527131,55.527131,55.527131,200,1
1995-07-07,D,DCM Ord Shs,53.649402,53.649402,53.649402,53.649402,50,1
1995-07-13,D,DCM Ord Shs,56.331872,56.331872,56.331872,56.331872,50,1
1995-07-18,D,DCM Ord Shs,53.676226,53.676226,53.649402,53.649402,400,0
1995-07-19,D,DCM Ord Shs,54.21272,63.306294,54.21272,63.306294,400,0
1995-07-20,D,DCM Ord Shs,67.598246,68.13474,64.111035,64.111035,600,0
1995-07-24,D,DCM Ord Shs,64.379282,64.379282,64.379282,64.379282,100,1
1995-08-02,D,DCM Ord Shs,57.941354,59.014342,57.941354,59.014342,150,0
1995-08-03,D,DCM Ord Shs,53.649402,53.649402,53.649402,53.649402,100,1
1995-08-08,D,DCM Ord Shs,56.331872,56.331872,56.331872,56.331872,100,1
1995-08-17,D,DCM Ord Shs,53.649402,53.649402,53.649402,53.649402,50,1
1995-08-31,D,DCM Ord Shs,50.966932,50.966932,49.893944,49.893944,300,0
