Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-11-11,D,DCX Systems Ord Shs,287.0,319.9,287.0,308.45,36271420,0
2022-11-14,D,DCX Systems Ord Shs,306.7,307.9,283.0,300.95,7021355,0
2022-11-15,D,DCX Systems Ord Shs,292.0,295.6,277.4,278.8,2809423,0
2022-11-16,D,DCX Systems Ord Shs,279.0,286.8,266.15,270.2,1846883,0
2022-11-17,D,DCX Systems Ord Shs,269.9,273.7,260.0,261.05,1025856,0
2022-11-18,D,DCX Systems Ord Shs,262.75,274.85,260.3,267.3,1162040,0
2022-11-21,D,DCX Systems Ord Shs,268.0,271.0,260.4,261.9,538570,0
2022-11-22,D,DCX Systems Ord Shs,262.25,264.3,250.1,251.3,522794,0
2022-11-23,D,DCX Systems Ord Shs,252.25,261.85,251.6,253.25,525846,0
2022-11-24,D,DCX Systems Ord Shs,255.0,262.3,252.45,258.0,613962,0
2022-11-25,D,DCX Systems Ord Shs,259.3,267.0,257.6,260.5,660754,0
2022-11-28,D,DCX Systems Ord Shs,261.95,264.65,258.8,260.1,361035,0
2022-11-29,D,DCX Systems Ord Shs,259.8,260.0,252.65,254.35,502522,0
2022-11-30,D,DCX Systems Ord Shs,256.65,258.0,252.8,254.15,221833,0
2022-12-01,D,DCX Systems Ord Shs,255.45,257.5,254.0,254.8,214179,0
2022-12-02,D,DCX Systems Ord Shs,254.65,264.85,253.4,259.3,469185,0
2022-12-05,D,DCX Systems Ord Shs,260.6,261.3,256.5,257.9,196689,0
2022-12-06,D,DCX Systems Ord Shs,259.0,259.0,253.5,254.35,194532,0
2022-12-07,D,DCX Systems Ord Shs,255.0,255.95,251.3,251.75,167035,0
2022-12-08,D,DCX Systems Ord Shs,253.0,253.3,249.0,249.4,275324,0
2022-12-09,D,DCX Systems Ord Shs,247.0,256.5,241.0,242.25,1152808,0
2022-12-12,D,DCX Systems Ord Shs,241.05,242.0,233.0,233.75,424357,0
2022-12-13,D,DCX Systems Ord Shs,230.55,234.7,225.0,225.75,471315,0
2022-12-14,D,DCX Systems Ord Shs,226.9,234.95,226.5,229.0,471311,0
2022-12-15,D,DCX Systems Ord Shs,230.4,233.45,225.35,227.9,357993,0
2022-12-16,D,DCX Systems Ord Shs,228.0,243.2,227.1,241.55,740012,0
2022-12-19,D,DCX Systems Ord Shs,242.8,249.5,235.85,240.55,429066,0
2022-12-20,D,DCX Systems Ord Shs,238.65,246.4,235.1,239.75,503625,0
2022-12-21,D,DCX Systems Ord Shs,240.95,242.95,225.0,230.1,393250,0
2022-12-22,D,DCX Systems Ord Shs,230.5,234.5,210.55,215.0,656386,0
2022-12-23,D,DCX Systems Ord Shs,217.0,220.0,199.7,200.45,684640,0
2022-12-26,D,DCX Systems Ord Shs,201.5,210.0,201.1,207.05,727852,0
2022-12-27,D,DCX Systems Ord Shs,208.1,215.95,208.1,210.75,549569,0
2022-12-28,D,DCX Systems Ord Shs,210.95,230.9,209.05,228.05,661931,0
2022-12-29,D,DCX Systems Ord Shs,229.2,233.55,217.8,219.6,601203,0
2022-12-30,D,DCX Systems Ord Shs,220.7,227.15,220.55,224.65,302283,0
2023-01-02,D,DCX Systems Ord Shs,225.8,227.0,222.05,224.35,129093,0
2023-01-03,D,DCX Systems Ord Shs,225.4,228.1,222.0,223.0,136761,0
2023-01-04,D,DCX Systems Ord Shs,222.55,223.15,209.05,210.35,496808,0
2023-01-05,D,DCX Systems Ord Shs,212.0,220.0,212.0,215.6,346310,0
2023-01-06,D,DCX Systems Ord Shs,216.65,217.0,211.0,212.7,132331,0
2023-01-09,D,DCX Systems Ord Shs,213.65,215.9,212.3,212.95,164383,0
2023-01-10,D,DCX Systems Ord Shs,213.5,214.0,207.5,209.1,193972,0
2023-01-11,D,DCX Systems Ord Shs,210.1,218.2,208.15,217.05,410129,0
2023-01-12,D,DCX Systems Ord Shs,218.0,221.85,213.95,215.3,226258,0
2023-01-13,D,DCX Systems Ord Shs,216.1,220.0,212.5,217.0,269376,0
2023-01-16,D,DCX Systems Ord Shs,216.95,218.35,212.65,213.7,149704,0
2023-01-17,D,DCX Systems Ord Shs,213.95,218.6,212.0,214.4,155297,0
2023-01-18,D,DCX Systems Ord Shs,214.95,216.8,211.0,212.65,124274,0
2023-01-19,D,DCX Systems Ord Shs,212.3,215.45,211.1,213.55,125612,0
2023-01-20,D,DCX Systems Ord Shs,213.6,216.7,211.4,212.2,150448,0
2023-01-23,D,DCX Systems Ord Shs,213.3,215.0,210.0,211.7,142094,0
2023-01-24,D,DCX Systems Ord Shs,214.0,214.0,208.6,210.7,183376,0
2023-01-25,D,DCX Systems Ord Shs,210.55,211.0,205.0,207.4,150028,0
2023-01-27,D,DCX Systems Ord Shs,208.45,208.65,194.05,198.65,325285,0
2023-01-30,D,DCX Systems Ord Shs,197.55,200.0,190.1,191.7,390299,0
2023-01-31,D,DCX Systems Ord Shs,193.85,193.85,191.45,192.9,163268,0
2023-02-01,D,DCX Systems Ord Shs,195.4,195.4,179.0,180.45,448905,0
2023-02-02,D,DCX Systems Ord Shs,177.0,184.65,171.2,175.2,254138,0
2023-02-03,D,DCX Systems Ord Shs,176.1,179.0,168.25,176.9,258928,0
2023-02-06,D,DCX Systems Ord Shs,177.8,192.45,177.0,189.4,352722,0
2023-02-07,D,DCX Systems Ord Shs,189.5,190.75,180.2,183.25,244064,0
2023-02-08,D,DCX Systems Ord Shs,184.2,184.85,180.1,180.75,168870,0
2023-02-09,D,DCX Systems Ord Shs,180.7,181.0,174.0,174.6,238072,0
