Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-08-16,D,Devyani International Ord Shs,140.9,140.9,120.8,123.5,152435148,0
2021-08-17,D,Devyani International Ord Shs,124.4,131.75,123.5,125.65,40526062,0
2021-08-18,D,Devyani International Ord Shs,127.5,127.5,123.0,124.15,12528072,0
2021-08-20,D,Devyani International Ord Shs,120.0,123.0,117.5,118.5,11898633,0
2021-08-23,D,Devyani International Ord Shs,120.6,121.25,107.55,114.7,18674108,0
2021-08-24,D,Devyani International Ord Shs,115.0,115.8,112.0,113.25,5740819,0
2021-08-25,D,Devyani International Ord Shs,113.5,116.35,112.65,113.2,7285625,0
2021-08-26,D,Devyani International Ord Shs,113.5,114.75,111.6,112.1,3919088,0
2021-08-27,D,Devyani International Ord Shs,112.7,112.7,111.05,112.1,3064802,0
2021-08-30,D,Devyani International Ord Shs,113.5,122.25,112.3,120.95,11054528,0
2021-08-31,D,Devyani International Ord Shs,121.4,127.4,119.5,125.1,16749260,0
2021-09-01,D,Devyani International Ord Shs,125.6,128.75,124.25,126.25,7081885,0
2021-09-02,D,Devyani International Ord Shs,126.3,128.35,124.0,124.7,4545771,0
2021-09-03,D,Devyani International Ord Shs,125.25,129.7,125.0,126.9,8661075,0
2021-09-06,D,Devyani International Ord Shs,127.15,128.45,124.15,125.6,4298778,0
2021-09-07,D,Devyani International Ord Shs,126.2,126.4,120.7,121.4,3733870,0
2021-09-08,D,Devyani International Ord Shs,121.95,123.0,120.7,121.0,2062474,0
2021-09-09,D,Devyani International Ord Shs,121.0,122.2,120.05,120.35,1722413,0
2021-09-13,D,Devyani International Ord Shs,117.85,118.45,114.8,115.1,15279128,0
2021-09-14,D,Devyani International Ord Shs,116.9,121.95,116.05,119.55,8353968,0
2021-09-15,D,Devyani International Ord Shs,120.3,122.3,118.8,120.85,5049074,0
2021-09-16,D,Devyani International Ord Shs,120.1,121.7,118.8,119.35,2526336,0
2021-09-17,D,Devyani International Ord Shs,120.0,120.5,115.35,115.8,5269773,0
2021-09-20,D,Devyani International Ord Shs,115.5,120.4,115.05,117.7,5478030,0
2021-09-21,D,Devyani International Ord Shs,117.5,118.6,115.1,116.3,1959505,0
2021-09-22,D,Devyani International Ord Shs,117.0,120.35,115.9,119.65,5552538,0
2021-09-23,D,Devyani International Ord Shs,120.25,122.0,118.0,119.3,4081617,0
2021-09-24,D,Devyani International Ord Shs,120.4,121.05,119.0,119.7,1843651,0
2021-09-27,D,Devyani International Ord Shs,120.2,120.45,117.55,118.85,2242008,0
2021-09-28,D,Devyani International Ord Shs,119.0,119.45,115.8,116.4,2160490,0
2021-09-29,D,Devyani International Ord Shs,116.0,117.45,115.55,116.4,1724216,0
2021-09-30,D,Devyani International Ord Shs,116.8,117.1,115.7,115.8,1514865,0
2021-10-01,D,Devyani International Ord Shs,115.5,116.9,115.45,115.8,1641048,0
2021-10-04,D,Devyani International Ord Shs,116.5,116.85,115.6,115.8,1874155,0
2021-10-05,D,Devyani International Ord Shs,115.2,115.9,112.1,112.5,5977801,0
2021-10-06,D,Devyani International Ord Shs,113.6,115.1,112.8,113.0,2456312,0
2021-10-07,D,Devyani International Ord Shs,114.65,114.7,113.05,113.65,2664475,0
2021-10-08,D,Devyani International Ord Shs,114.45,114.5,113.25,113.4,1831316,0
2021-10-11,D,Devyani International Ord Shs,113.65,117.35,113.65,114.75,3254425,0
2021-10-12,D,Devyani International Ord Shs,114.95,115.55,113.75,113.95,3215778,0
2021-10-13,D,Devyani International Ord Shs,114.15,115.0,113.15,114.05,4895053,0
2021-10-14,D,Devyani International Ord Shs,114.5,114.8,112.35,112.55,4002402,0
