Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-11-25,D,Dhruv Consultancy Services Ord Shs,68.95,79.2,64.35,79.2,365585,0
2021-11-26,D,Dhruv Consultancy Services Ord Shs,78.8,84.35,71.3,77.1,340528,0
2021-11-29,D,Dhruv Consultancy Services Ord Shs,75.6,78.95,72.4,74.6,63827,0
2021-11-30,D,Dhruv Consultancy Services Ord Shs,75.8,77.5,67.15,68.2,175342,0
2021-12-01,D,Dhruv Consultancy Services Ord Shs,69.5,70.35,66.55,68.4,318585,0
2021-12-02,D,Dhruv Consultancy Services Ord Shs,67.45,75.2,67.45,75.1,229992,0
2021-12-03,D,Dhruv Consultancy Services Ord Shs,74.5,74.75,67.6,67.95,202105,0
2021-12-06,D,Dhruv Consultancy Services Ord Shs,70.4,71.5,68.6,69.1,85910,0
2021-12-07,D,Dhruv Consultancy Services Ord Shs,71.1,73.0,67.6,68.35,70406,0
2021-12-08,D,Dhruv Consultancy Services Ord Shs,68.3,70.75,61.65,66.05,66935,0
2021-12-09,D,Dhruv Consultancy Services Ord Shs,69.7,69.7,65.6,66.8,54494,0
2021-12-10,D,Dhruv Consultancy Services Ord Shs,66.0,68.15,64.5,65.75,51486,0
2021-12-13,D,Dhruv Consultancy Services Ord Shs,69.9,69.9,64.25,65.6,45799,0
2021-12-14,D,Dhruv Consultancy Services Ord Shs,68.0,68.0,59.3,60.2,82987,0
2021-12-15,D,Dhruv Consultancy Services Ord Shs,57.7,63.0,57.7,60.25,94547,0
2021-12-16,D,Dhruv Consultancy Services Ord Shs,61.5,61.5,56.0,56.8,47530,0
2021-12-17,D,Dhruv Consultancy Services Ord Shs,56.8,57.05,52.0,52.8,38836,0
2021-12-20,D,Dhruv Consultancy Services Ord Shs,53.9,53.9,50.2,50.2,57324,0
2021-12-21,D,Dhruv Consultancy Services Ord Shs,48.2,52.7,47.7,52.7,47374,0
2021-12-22,D,Dhruv Consultancy Services Ord Shs,53.0,55.1,50.35,54.7,15336,0
2021-12-23,D,Dhruv Consultancy Services Ord Shs,56.5,57.3,54.6,56.9,16326,0
2021-12-24,D,Dhruv Consultancy Services Ord Shs,59.7,59.7,56.85,57.75,18022,0
2021-12-27,D,Dhruv Consultancy Services Ord Shs,60.6,60.6,56.2,60.55,70569,0
2021-12-28,D,Dhruv Consultancy Services Ord Shs,62.35,63.5,59.1,61.45,55171,0
2021-12-29,D,Dhruv Consultancy Services Ord Shs,63.3,63.3,59.95,60.8,38492,0
2021-12-30,D,Dhruv Consultancy Services Ord Shs,62.5,62.5,59.55,60.0,21044,0
2021-12-31,D,Dhruv Consultancy Services Ord Shs,61.5,61.5,57.0,57.75,42895,0
2022-01-03,D,Dhruv Consultancy Services Ord Shs,57.7,57.7,55.35,55.9,29761,0
2022-01-04,D,Dhruv Consultancy Services Ord Shs,58.5,58.65,55.55,58.15,57677,0
2022-01-05,D,Dhruv Consultancy Services Ord Shs,60.75,61.05,56.65,61.05,76838,0
2022-01-06,D,Dhruv Consultancy Services Ord Shs,60.95,62.95,59.95,60.55,40076,0
2022-01-07,D,Dhruv Consultancy Services Ord Shs,60.4,61.75,57.55,58.2,37822,0
2022-01-10,D,Dhruv Consultancy Services Ord Shs,59.8,59.8,56.8,57.65,10681,0
2022-01-11,D,Dhruv Consultancy Services Ord Shs,56.0,58.95,56.0,56.6,16961,0
2022-01-12,D,Dhruv Consultancy Services Ord Shs,58.7,59.0,56.4,57.4,8715,0
2022-01-13,D,Dhruv Consultancy Services Ord Shs,56.0,58.65,56.0,57.4,7401,0
2022-01-14,D,Dhruv Consultancy Services Ord Shs,56.15,60.25,56.15,60.2,22693,0
2022-01-17,D,Dhruv Consultancy Services Ord Shs,61.5,62.95,57.2,57.2,74769,0
2022-01-18,D,Dhruv Consultancy Services Ord Shs,56.95,60.05,54.35,58.85,93701,0
2022-01-19,D,Dhruv Consultancy Services Ord Shs,59.95,60.0,58.35,59.95,35751,1
2022-01-20,D,Dhruv Consultancy Services Ord Shs,61.5,62.0,58.1,59.1,44666,0
2022-01-21,D,Dhruv Consultancy Services Ord Shs,59.5,59.5,57.8,58.55,19267,0
2022-01-24,D,Dhruv Consultancy Services Ord Shs,58.85,59.45,56.0,56.85,13880,0
2022-01-25,D,Dhruv Consultancy Services Ord Shs,55.0,58.35,54.15,56.4,34888,0
2022-01-27,D,Dhruv Consultancy Services Ord Shs,56.4,59.0,55.1,58.0,33629,0
2022-01-28,D,Dhruv Consultancy Services Ord Shs,58.05,59.7,56.6,57.4,14194,0
2022-01-31,D,Dhruv Consultancy Services Ord Shs,58.55,59.5,55.95,57.95,24487,0
2022-02-01,D,Dhruv Consultancy Services Ord Shs,58.0,58.3,56.1,57.4,18330,0
2022-02-02,D,Dhruv Consultancy Services Ord Shs,57.0,58.0,56.4,57.25,24443,0
2022-02-03,D,Dhruv Consultancy Services Ord Shs,58.15,58.15,56.5,56.7,10307,0
2022-02-04,D,Dhruv Consultancy Services Ord Shs,57.35,59.5,55.1,56.65,42586,0
2022-02-07,D,Dhruv Consultancy Services Ord Shs,58.8,58.8,57.0,57.15,6456,0
2022-02-08,D,Dhruv Consultancy Services Ord Shs,57.95,57.95,55.4,56.95,5618,0
2022-02-09,D,Dhruv Consultancy Services Ord Shs,58.1,58.8,55.7,57.05,11904,0
2022-02-10,D,Dhruv Consultancy Services Ord Shs,57.05,58.2,56.15,57.4,2847,0
2022-02-11,D,Dhruv Consultancy Services Ord Shs,57.2,57.2,54.15,56.0,22388,0
2022-02-14,D,Dhruv Consultancy Services Ord Shs,56.0,60.1,51.65,56.25,77932,0
2022-02-15,D,Dhruv Consultancy Services Ord Shs,57.0,58.05,53.8,55.1,26183,0
2022-02-16,D,Dhruv Consultancy Services Ord Shs,55.35,58.5,55.0,55.85,20864,0
2022-02-17,D,Dhruv Consultancy Services Ord Shs,58.5,60.4,53.25,55.4,15862,0
2022-02-18,D,Dhruv Consultancy Services Ord Shs,55.4,58.15,54.05,55.5,19505,0
2022-02-21,D,Dhruv Consultancy Services Ord Shs,56.4,56.4,53.0,53.65,14019,0
2022-02-22,D,Dhruv Consultancy Services Ord Shs,53.0,55.0,49.1,53.7,34541,0
2022-02-23,D,Dhruv Consultancy Services Ord Shs,57.5,57.5,50.65,54.5,3529,0
2022-02-24,D,Dhruv Consultancy Services Ord Shs,53.0,53.0,49.05,49.05,50359,0
2022-02-25,D,Dhruv Consultancy Services Ord Shs,53.3,53.3,46.4,49.3,26439,0
2022-02-28,D,Dhruv Consultancy Services Ord Shs,52.65,52.65,47.5,48.55,12236,0
2022-03-02,D,Dhruv Consultancy Services Ord Shs,50.0,50.65,47.1,49.55,13475,0
2022-03-03,D,Dhruv Consultancy Services Ord Shs,50.0,51.85,49.2,51.05,4741,0
2022-03-04,D,Dhruv Consultancy Services Ord Shs,47.0,53.95,47.0,50.5,16086,0
2022-03-07,D,Dhruv Consultancy Services Ord Shs,50.45,50.5,48.2,49.75,3431,0
2022-03-08,D,Dhruv Consultancy Services Ord Shs,51.5,51.5,47.8,49.0,9118,0
2022-03-09,D,Dhruv Consultancy Services Ord Shs,48.15,50.25,46.4,47.65,6082,0
2022-03-10,D,Dhruv Consultancy Services Ord Shs,48.0,52.0,48.0,51.15,19290,0
2022-03-11,D,Dhruv Consultancy Services Ord Shs,52.05,52.05,49.75,51.5,21380,0
2022-03-14,D,Dhruv Consultancy Services Ord Shs,52.95,53.0,50.6,51.75,24311,0
2022-03-15,D,Dhruv Consultancy Services Ord Shs,51.0,52.0,49.65,51.8,45695,0
2022-03-16,D,Dhruv Consultancy Services Ord Shs,53.0,56.0,49.55,53.25,36829,0
2022-03-17,D,Dhruv Consultancy Services Ord Shs,56.95,58.55,54.6,57.7,63815,0
2022-03-21,D,Dhruv Consultancy Services Ord Shs,58.0,59.7,54.5,54.95,31360,0
2022-03-22,D,Dhruv Consultancy Services Ord Shs,54.65,58.0,53.1,56.1,27718,0
2022-03-23,D,Dhruv Consultancy Services Ord Shs,55.4,58.05,53.35,54.55,36731,0
2022-03-24,D,Dhruv Consultancy Services Ord Shs,55.75,60.0,51.3,57.0,63269,0
2022-03-25,D,Dhruv Consultancy Services Ord Shs,56.1,62.0,54.45,60.75,195687,0
2022-03-28,D,Dhruv Consultancy Services Ord Shs,60.75,62.0,56.55,58.35,81618,0
2022-03-29,D,Dhruv Consultancy Services Ord Shs,61.3,61.95,56.0,57.3,42559,0
2022-03-30,D,Dhruv Consultancy Services Ord Shs,58.1,59.95,57.95,59.1,30582,0
2022-03-31,D,Dhruv Consultancy Services Ord Shs,59.0,63.45,58.2,62.2,87799,0
