Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-06-05,D,Debock Industries Ord Shs,10.155104,10.179341,9.743083,9.864266,581766.554972,0
2018-06-06,D,Debock Industries Ord Shs,9.936975,9.961212,9.670374,9.670374,717924.684859,0
2018-06-07,D,Debock Industries Ord Shs,9.258353,9.718847,9.20988,9.20988,136158.129887,0
2018-06-08,D,Debock Industries Ord Shs,9.161407,9.161407,9.161407,9.161407,99024.094463,1
2018-06-11,D,Debock Industries Ord Shs,9.476482,9.476482,9.476482,9.476482,24756.023616,1
2018-06-12,D,Debock Industries Ord Shs,9.403772,9.403772,9.403772,9.403772,12378.011808,1
2018-06-13,D,Debock Industries Ord Shs,9.185643,9.185643,9.088697,9.088697,49512.047232,0
2018-06-14,D,Debock Industries Ord Shs,8.65244,8.65244,8.65244,8.65244,24756.023616,1
2018-06-15,D,Debock Industries Ord Shs,8.240419,9.040224,8.240419,8.434311,198048.188927,0
2018-06-18,D,Debock Industries Ord Shs,8.725149,8.725149,8.603967,8.603967,99024.094463,0
2018-06-19,D,Debock Industries Ord Shs,8.57973,8.822095,8.555494,8.555494,148536.141695,0
2018-06-20,D,Debock Industries Ord Shs,8.822095,8.822095,8.725149,8.773622,148536.141695,0
2018-06-21,D,Debock Industries Ord Shs,8.603967,8.603967,8.603967,8.603967,12378.011808,1
2018-06-22,D,Debock Industries Ord Shs,8.822095,8.822095,8.822095,8.822095,12378.011808,1
2018-06-25,D,Debock Industries Ord Shs,8.822095,8.822095,7.513323,7.852634,198048.188927,0
2018-06-28,D,Debock Industries Ord Shs,8.216182,8.216182,8.216182,8.216182,61890.05904,1
2018-07-04,D,Debock Industries Ord Shs,7.295194,7.295194,7.246721,7.246721,24756.023616,0
2018-07-05,D,Debock Industries Ord Shs,7.028592,8.385838,7.028592,8.070763,37134.035424,0
2018-07-06,D,Debock Industries Ord Shs,8.095,8.095,8.095,8.095,12378.011808,1
2018-07-09,D,Debock Industries Ord Shs,7.998053,8.628203,7.755688,8.410074,111402.106271,0
2018-07-11,D,Debock Industries Ord Shs,8.458547,8.458547,7.658742,7.755688,111402.106271,0
2018-07-12,D,Debock Industries Ord Shs,9.258353,9.258353,6.786227,6.786227,74268.070847,0
2018-07-13,D,Debock Industries Ord Shs,6.786227,7.973817,6.786227,7.94958,49512.047232,0
2018-07-16,D,Debock Industries Ord Shs,7.901107,7.901107,6.398443,6.568098,74268.070847,0
2018-07-17,D,Debock Industries Ord Shs,6.543862,6.543862,6.422679,6.543862,99024.094463,1
2018-07-18,D,Debock Industries Ord Shs,6.543862,6.980119,6.495389,6.640808,74268.070847,0
2018-07-20,D,Debock Industries Ord Shs,6.543862,7.198248,6.301497,6.34997,235182.22435,0
2018-07-23,D,Debock Industries Ord Shs,6.398443,6.495389,6.398443,6.471152,61890.05904,0
2018-07-24,D,Debock Industries Ord Shs,6.592335,7.610269,6.592335,7.610269,61890.05904,0
2018-07-25,D,Debock Industries Ord Shs,7.270958,7.94958,6.204551,6.640808,185670.177119,0
2018-07-26,D,Debock Industries Ord Shs,6.592335,6.592335,5.622874,5.79253,222804.212542,0
2018-07-27,D,Debock Industries Ord Shs,5.356272,5.356272,5.356272,5.356272,24756.023616,1
2018-07-30,D,Debock Industries Ord Shs,5.962185,6.228787,5.962185,6.204551,49512.047232,0
2018-07-31,D,Debock Industries Ord Shs,5.453218,6.059131,5.332036,6.034895,74268.070847,0
2018-08-01,D,Debock Industries Ord Shs,5.525928,5.986422,5.332036,5.332036,86646.082655,0
2018-08-02,D,Debock Industries Ord Shs,5.768293,5.768293,5.283563,5.283563,37134.035424,0
2018-08-06,D,Debock Industries Ord Shs,5.332036,6.27726,5.23509,5.453218,99024.094463,0
2018-08-08,D,Debock Industries Ord Shs,5.574401,6.059131,5.332036,5.937949,160914.153503,0
2018-08-09,D,Debock Industries Ord Shs,6.180314,6.665045,6.180314,6.665045,24756.023616,0
2018-08-10,D,Debock Industries Ord Shs,6.301497,6.301497,6.301497,6.301497,12378.011808,1
2018-08-14,D,Debock Industries Ord Shs,6.543862,7.270958,6.543862,7.270958,24756.023616,0
2018-08-21,D,Debock Industries Ord Shs,7.174012,7.174012,7.174012,7.174012,12378.011808,1
2018-08-27,D,Debock Industries Ord Shs,7.125539,7.125539,7.125539,7.125539,24756.023616,1
2018-08-29,D,Debock Industries Ord Shs,6.543862,6.543862,6.543862,6.543862,12378.011808,1
2018-09-06,D,Debock Industries Ord Shs,6.422679,6.422679,5.962185,5.962185,24756.023616,0
2018-09-07,D,Debock Industries Ord Shs,5.937949,5.937949,5.937949,5.937949,12378.011808,1
2018-09-11,D,Debock Industries Ord Shs,5.380509,5.380509,5.356272,5.356272,24756.023616,0
2018-09-12,D,Debock Industries Ord Shs,4.847305,5.210853,4.289865,5.210853,86646.082655,0
2018-09-21,D,Debock Industries Ord Shs,4.823069,5.307799,4.823069,5.307799,24756.023616,0
2018-09-24,D,Debock Industries Ord Shs,4.847305,4.847305,4.847305,4.847305,12378.011808,1
2018-09-25,D,Debock Industries Ord Shs,4.726122,4.726122,4.726122,4.726122,12378.011808,1
2018-09-27,D,Debock Industries Ord Shs,4.580703,4.580703,3.829371,4.265629,61890.05904,0
2018-09-28,D,Debock Industries Ord Shs,4.847305,4.847305,4.677649,4.677649,24756.023616,0
2018-10-04,D,Debock Industries Ord Shs,4.798832,5.598637,4.798832,5.598637,24756.023616,0
2018-10-05,D,Debock Industries Ord Shs,5.186616,5.79253,5.186616,5.622874,49512.047232,0
2018-10-08,D,Debock Industries Ord Shs,5.64711,6.665045,5.64711,6.665045,49512.047232,0
2018-10-09,D,Debock Industries Ord Shs,7.149775,7.149775,7.149775,7.149775,12378.011808,1
2018-10-10,D,Debock Industries Ord Shs,7.149775,7.852634,7.149775,7.149775,49512.047232,1
2018-10-11,D,Debock Industries Ord Shs,7.270958,7.270958,7.270958,7.270958,12378.011808,1
2018-10-12,D,Debock Industries Ord Shs,7.852634,7.852634,7.852634,7.852634,12378.011808,1
2018-10-16,D,Debock Industries Ord Shs,8.482784,8.482784,8.482784,8.482784,12378.011808,1
2018-10-17,D,Debock Industries Ord Shs,8.434311,9.20988,8.434311,8.822095,24756.023616,0
2018-10-22,D,Debock Industries Ord Shs,9.306826,9.306826,7.94958,7.94958,24756.023616,0
2018-10-23,D,Debock Industries Ord Shs,7.270958,7.270958,7.174012,7.174012,24756.023616,0
2018-10-25,D,Debock Industries Ord Shs,6.471152,7.755688,6.471152,7.755688,49512.047232,0
2018-10-26,D,Debock Industries Ord Shs,6.980119,6.980119,6.980119,6.980119,24756.023616,1
2018-10-30,D,Debock Industries Ord Shs,6.640808,6.640808,6.640808,6.640808,12378.011808,1
2018-11-02,D,Debock Industries Ord Shs,6.325733,6.325733,6.325733,6.325733,12378.011808,1
2018-11-05,D,Debock Industries Ord Shs,6.616571,6.616571,6.616571,6.616571,12378.011808,1
2018-11-06,D,Debock Industries Ord Shs,6.883173,6.90741,6.301497,6.301497,74268.070847,0
2018-11-27,D,Debock Industries Ord Shs,6.422679,6.422679,6.422679,6.422679,24756.023616,1
2018-11-28,D,Debock Industries Ord Shs,6.737754,6.737754,6.737754,6.737754,12378.011808,1
2018-11-29,D,Debock Industries Ord Shs,6.980119,6.980119,6.980119,6.980119,12378.011808,1
2018-11-30,D,Debock Industries Ord Shs,7.246721,7.246721,7.246721,7.246721,12378.011808,1
2018-12-03,D,Debock Industries Ord Shs,7.586033,7.586033,7.586033,7.586033,12378.011808,1
2018-12-04,D,Debock Industries Ord Shs,7.222485,7.222485,7.222485,7.222485,12378.011808,1
