Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2008-04-21,D,DPSC Ord Shs,0.239999,2.698245,0.239999,2.693679,628593.798814,0
2008-04-22,D,DPSC Ord Shs,3.232589,3.232589,2.717375,3.232589,1959151.839845,1
2008-04-23,D,DPSC Ord Shs,3.543457,3.878237,2.739114,3.525631,11968352.328968,0
2008-04-24,D,DPSC Ord Shs,3.525631,3.525631,3.282589,3.448023,3065918.528425,0
2008-04-25,D,DPSC Ord Shs,3.304328,4.086932,3.304328,3.728456,2110952.757231,0
2008-04-28,D,DPSC Ord Shs,3.81302,4.474321,3.81302,4.474321,4488017.122668,0
2008-04-29,D,DPSC Ord Shs,4.569538,4.921927,4.56519,4.921927,2083352.590433,0
2008-04-30,D,DPSC Ord Shs,5.414315,5.414315,4.613885,5.135839,4619117.914956,0
2008-05-02,D,DPSC Ord Shs,5.439098,5.565184,4.78258,5.261707,3296839.923965,0
2008-05-05,D,DPSC Ord Shs,5.266273,5.499967,4.99997,5.015622,554763.35263,0
2008-05-06,D,DPSC Ord Shs,4.78258,4.913014,4.764971,4.764971,174111.052214,0
2008-05-07,D,DPSC Ord Shs,4.713015,4.713015,4.526712,4.526712,20700.125098,0
2008-05-08,D,DPSC Ord Shs,4.300409,4.300409,4.300409,4.300409,12880.077839,1
2008-05-09,D,DPSC Ord Shs,4.08541,4.08541,4.08541,4.08541,2300.0139,1
2008-05-12,D,DPSC Ord Shs,3.881281,3.881281,3.881281,3.881281,230.00139,1
2008-05-13,D,DPSC Ord Shs,3.687369,3.687369,3.687369,3.687369,3450.02085,1
2008-05-14,D,DPSC Ord Shs,3.503022,3.503022,3.503022,3.503022,230.00139,1
2008-05-15,D,DPSC Ord Shs,3.328023,3.328023,3.328023,3.328023,69230.418384,1
2008-05-16,D,DPSC Ord Shs,3.16172,3.16172,3.16172,3.16172,3910.02363,1
2008-05-20,D,DPSC Ord Shs,3.003677,3.003677,3.003677,3.003677,14030.084789,1
2008-05-21,D,DPSC Ord Shs,2.853896,3.153894,2.853896,3.153894,326371.972381,0
2008-05-22,D,DPSC Ord Shs,3.295632,3.311719,2.996504,2.996504,253921.534537,0
2008-05-23,D,DPSC Ord Shs,2.852157,2.852157,2.846722,2.846722,28750.173747,0
2008-05-26,D,DPSC Ord Shs,2.704766,2.704766,2.704549,2.704549,14950.090349,0
2008-05-27,D,DPSC Ord Shs,2.569332,2.569332,2.569332,2.569332,3450.02085,1
2008-05-28,D,DPSC Ord Shs,2.440855,2.440855,2.440855,2.440855,18630.112588,1
2008-05-29,D,DPSC Ord Shs,2.318899,2.390855,2.318899,2.318899,495422.994016,1
2008-05-30,D,DPSC Ord Shs,2.221726,2.434333,2.20303,2.20303,113160.68387,0
2008-06-02,D,DPSC Ord Shs,2.108683,2.113031,2.093031,2.093031,100510.607421,0
