Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-10-05,D,D P Wires Ord Shs,68.25,68.25,52.5,65.625,539428.571429,0
2017-10-06,D,D P Wires Ord Shs,54.38125,63.875,54.38125,62.43125,21942.857143,0
2017-10-09,D,D P Wires Ord Shs,63.4375,65.58125,61.95,64.925,45714.285714,0
2017-10-10,D,D P Wires Ord Shs,64.75,65.58125,63.48125,64.96875,45714.285714,0
2017-10-11,D,D P Wires Ord Shs,63.04375,65.8,63.04375,65.275,43885.714286,0
2017-10-12,D,D P Wires Ord Shs,66.2375,66.2375,64.79375,65.625,31085.714286,0
2017-10-13,D,D P Wires Ord Shs,65.625,66.2375,65.625,65.93125,27428.571429,0
2017-10-16,D,D P Wires Ord Shs,65.625,65.975,65.625,65.75625,16457.142857,0
2017-10-17,D,D P Wires Ord Shs,66.0625,66.2375,65.625,65.975,21942.857143,0
2017-10-18,D,D P Wires Ord Shs,65.625,65.75625,65.625,65.66875,10971.428571,0
2017-10-19,D,D P Wires Ord Shs,65.8,66.0625,65.625,65.975,7314.285714,0
2017-10-23,D,D P Wires Ord Shs,65.975,65.975,65.975,65.975,3657.142857,1
2017-10-24,D,D P Wires Ord Shs,65.8,65.8,62.16875,64.75,20114.285714,0
2017-10-25,D,D P Wires Ord Shs,64.05,65.625,64.05,65.625,9142.857143,0
2017-10-26,D,D P Wires Ord Shs,65.1875,65.625,64.925,65.23125,23771.428571,0
2017-10-27,D,D P Wires Ord Shs,64.3125,64.3125,64.26875,64.26875,3657.142857,0
2017-10-30,D,D P Wires Ord Shs,65.275,65.625,64.75,65.625,7314.285714,0
2017-10-31,D,D P Wires Ord Shs,63.0875,65.58125,63.0875,65.58125,5485.714286,0
2017-11-01,D,D P Wires Ord Shs,63.525,65.58125,63.525,65.58125,3657.142857,0
2017-11-02,D,D P Wires Ord Shs,66.0625,66.0625,64.05,65.05625,14628.571429,0
2017-11-03,D,D P Wires Ord Shs,64.8375,64.8375,64.75,64.75,5485.714286,0
2017-11-06,D,D P Wires Ord Shs,65.1875,65.1875,64.75,64.75,3657.142857,0
2017-11-07,D,D P Wires Ord Shs,64.75,65.40625,64.75,65.1875,10971.428571,0
2017-11-08,D,D P Wires Ord Shs,62.3875,64.09375,62.3875,64.09375,7314.285714,0
2017-11-09,D,D P Wires Ord Shs,64.09375,64.75,64.09375,64.75,5485.714286,0
2017-11-10,D,D P Wires Ord Shs,63.4375,64.3125,63.4375,64.3125,5485.714286,0
2017-11-13,D,D P Wires Ord Shs,64.75,67.59375,64.75,66.15,27428.571429,0
2017-11-14,D,D P Wires Ord Shs,64.75,66.5,64.75,65.93125,18285.714286,0
2017-11-15,D,D P Wires Ord Shs,66.325,66.325,65.1875,65.1875,3657.142857,0
2017-11-16,D,D P Wires Ord Shs,63.4375,65.58125,63.4375,65.1875,14628.571429,0
2017-11-17,D,D P Wires Ord Shs,63.4375,63.4375,63.4375,63.4375,1828.571429,1
2017-11-20,D,D P Wires Ord Shs,62.5625,63.0875,62.5625,63.0875,3657.142857,0
2017-11-21,D,D P Wires Ord Shs,63.875,63.875,63.875,63.875,1828.571429,1
2017-11-23,D,D P Wires Ord Shs,64.75,64.75,64.75,64.75,1828.571429,1
2017-11-24,D,D P Wires Ord Shs,65.975,65.975,62.125,62.125,3657.142857,0
2017-11-27,D,D P Wires Ord Shs,63.0,63.4375,63.0,63.4375,7314.285714,0
2017-11-28,D,D P Wires Ord Shs,63.4375,63.4375,63.0,63.0,3657.142857,0
2017-11-29,D,D P Wires Ord Shs,65.5375,65.625,65.1875,65.40625,10971.428571,0
2017-11-30,D,D P Wires Ord Shs,63.525,63.525,63.525,63.525,1828.571429,1
2017-12-01,D,D P Wires Ord Shs,62.825,64.75,62.825,64.53125,5485.714286,0
2017-12-05,D,D P Wires Ord Shs,64.00625,65.1875,62.34375,62.34375,18285.714286,0
2017-12-06,D,D P Wires Ord Shs,64.75,65.625,64.3125,64.75,9142.857143,1
2017-12-07,D,D P Wires Ord Shs,65.625,65.625,65.625,65.625,1828.571429,1
2017-12-08,D,D P Wires Ord Shs,65.45,65.625,65.45,65.625,7314.285714,0
2017-12-11,D,D P Wires Ord Shs,65.625,66.28125,65.625,66.28125,9142.857143,0
2017-12-12,D,D P Wires Ord Shs,62.3875,66.28125,62.3875,66.28125,14628.571429,0
2017-12-13,D,D P Wires Ord Shs,63.0,65.8,63.0,65.23125,20114.285714,0
2017-12-14,D,D P Wires Ord Shs,65.45,66.10625,64.05,66.0625,16457.142857,0
2017-12-15,D,D P Wires Ord Shs,64.8375,66.15,64.8375,65.66875,5485.714286,0
2017-12-18,D,D P Wires Ord Shs,64.75,64.75,64.75,64.75,1828.571429,1
2017-12-19,D,D P Wires Ord Shs,65.75625,65.75625,65.625,65.625,9142.857143,0
2017-12-20,D,D P Wires Ord Shs,65.7125,66.15,65.7125,65.75625,14628.571429,0
2017-12-21,D,D P Wires Ord Shs,65.66875,65.66875,64.75,64.8375,9142.857143,0
2017-12-22,D,D P Wires Ord Shs,65.625,66.0625,65.625,66.0625,5485.714286,0
2017-12-26,D,D P Wires Ord Shs,66.0625,66.0625,66.0625,66.0625,1828.571429,1
2017-12-28,D,D P Wires Ord Shs,65.625,66.0625,65.625,65.8,7314.285714,0
2017-12-29,D,D P Wires Ord Shs,62.5625,62.5625,62.5625,62.5625,3657.142857,1
2018-01-01,D,D P Wires Ord Shs,66.19375,75.075,66.19375,74.2875,78628.571429,0
2018-01-02,D,D P Wires Ord Shs,78.575,87.325,75.81875,84.6125,96914.285714,0
2018-01-03,D,D P Wires Ord Shs,86.625,94.0625,86.625,90.125,54857.142857,0
2018-01-04,D,D P Wires Ord Shs,89.5125,89.5125,79.7125,81.15625,29257.142857,0
2018-01-05,D,D P Wires Ord Shs,80.5,80.5,76.34375,77.6125,16457.142857,0
2018-01-08,D,D P Wires Ord Shs,80.7625,80.7625,77.6125,77.6125,14628.571429,0
2018-01-09,D,D P Wires Ord Shs,78.75,80.01875,78.75,80.01875,5485.714286,0
2018-01-10,D,D P Wires Ord Shs,76.65,78.75,75.3375,76.3875,9142.857143,0
2018-01-11,D,D P Wires Ord Shs,75.3375,77.0,61.5125,77.0,25600.0,0
2018-01-12,D,D P Wires Ord Shs,75.25,77.4375,70.9625,77.4375,12800.0,0
2018-01-15,D,D P Wires Ord Shs,74.9,87.5,74.4625,81.8125,47542.857143,0
2018-01-16,D,D P Wires Ord Shs,83.125,83.125,80.71875,80.71875,10971.428571,0
2018-01-17,D,D P Wires Ord Shs,77.0875,78.75,77.0875,78.75,5485.714286,0
2018-01-18,D,D P Wires Ord Shs,81.375,81.375,79.625,79.625,7314.285714,0
2018-01-19,D,D P Wires Ord Shs,77.175,77.175,77.0875,77.0875,5485.714286,0
2018-01-22,D,D P Wires Ord Shs,77.0,77.4375,71.8375,77.4375,7314.285714,0
2018-01-23,D,D P Wires Ord Shs,77.6125,77.6125,76.125,76.125,3657.142857,0
2018-01-24,D,D P Wires Ord Shs,68.25,74.375,68.25,74.375,5485.714286,0
2018-01-25,D,D P Wires Ord Shs,69.2125,75.25,69.2125,75.25,14628.571429,0
2018-01-29,D,D P Wires Ord Shs,70.9625,72.0125,70.9625,72.0125,9142.857143,0
2018-01-30,D,D P Wires Ord Shs,75.25,75.25,75.25,75.25,1828.571429,1
2018-01-31,D,D P Wires Ord Shs,71.925,75.6875,71.925,75.6875,3657.142857,0
2018-02-01,D,D P Wires Ord Shs,71.8375,71.8375,71.8375,71.8375,3657.142857,1
2018-02-02,D,D P Wires Ord Shs,71.75,71.75,63.0,65.0125,18285.714286,0
2018-02-05,D,D P Wires Ord Shs,55.125,70.0,55.125,70.0,7314.285714,0
2018-02-06,D,D P Wires Ord Shs,58.8,70.0,58.8,65.625,10971.428571,0
2018-02-07,D,D P Wires Ord Shs,66.5,66.675,66.5,66.675,10971.428571,0
2018-02-08,D,D P Wires Ord Shs,65.1875,65.1875,65.1875,65.1875,3657.142857,1
