Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-03-10,D,Drc Systems India Ord Shs,4.293329,4.506662,4.293329,4.506662,19590.020142,0
2021-03-12,D,Drc Systems India Ord Shs,4.731662,4.731662,4.731662,4.731662,103920.106849,1
2021-03-15,D,Drc Systems India Ord Shs,4.966662,4.966662,4.966662,4.966662,72330.074368,1
2021-03-16,D,Drc Systems India Ord Shs,5.214995,5.214995,5.214995,5.214995,5880.006046,1
2021-03-17,D,Drc Systems India Ord Shs,5.474994,5.474994,5.474994,5.474994,600.000617,1
2021-03-18,D,Drc Systems India Ord Shs,5.748327,5.748327,5.748327,5.748327,78570.080784,1
2021-03-19,D,Drc Systems India Ord Shs,6.034994,6.034994,5.983327,6.033327,2338712.404618,0
2021-03-22,D,Drc Systems India Ord Shs,6.334993,6.334993,6.32666,6.334993,159360.163851,1
2021-03-23,D,Drc Systems India Ord Shs,6.65166,6.65166,6.65166,6.65166,7920.008143,1
2021-03-24,D,Drc Systems India Ord Shs,6.983326,6.983326,6.983326,6.983326,1200.001234,1
2021-03-25,D,Drc Systems India Ord Shs,7.681659,7.681659,7.681659,7.681659,54000.055522,1
2021-03-26,D,Drc Systems India Ord Shs,8.448325,8.448325,8.448325,8.448325,5550.005706,1
2021-03-30,D,Drc Systems India Ord Shs,9.291657,9.291657,9.291657,9.291657,16050.016502,1
2021-03-31,D,Drc Systems India Ord Shs,9.75499,9.75499,8.828324,9.75499,1402471.441993,1
2021-04-01,D,Drc Systems India Ord Shs,10.241656,10.241656,10.241656,10.241656,124680.128194,1
2021-04-05,D,Drc Systems India Ord Shs,10.733322,10.753322,10.733322,10.753322,116130.119403,0
2021-04-06,D,Drc Systems India Ord Shs,11.289988,11.289988,11.289988,11.289988,17820.018322,1
2021-04-07,D,Drc Systems India Ord Shs,11.853321,11.853321,11.289988,11.853321,290580.298769,1
2021-04-08,D,Drc Systems India Ord Shs,12.444987,12.444987,11.261655,11.261655,738390.759199,0
2021-04-09,D,Drc Systems India Ord Shs,10.699989,10.699989,10.699989,10.699989,14040.014436,1
2021-04-12,D,Drc Systems India Ord Shs,10.16499,10.16499,10.16499,10.16499,2340.002406,1
2021-04-13,D,Drc Systems India Ord Shs,9.658323,10.671656,9.658323,10.654989,977911.005469,0
2021-04-15,D,Drc Systems India Ord Shs,10.233323,10.566656,10.123323,10.123323,142350.146362,0
2021-04-16,D,Drc Systems India Ord Shs,9.618323,10.01499,9.618323,9.633323,134850.13865,0
2021-04-19,D,Drc Systems India Ord Shs,9.151657,9.151657,9.151657,9.151657,66210.068076,1
2021-04-20,D,Drc Systems India Ord Shs,8.694991,8.694991,8.694991,8.694991,15300.015731,1
2021-04-22,D,Drc Systems India Ord Shs,8.361658,9.128324,8.261658,8.504991,326880.336092,0
2021-04-23,D,Drc Systems India Ord Shs,8.079992,8.929991,8.079992,8.923324,295800.304136,0
2021-04-26,D,Drc Systems India Ord Shs,9.36499,9.368324,8.478325,9.368324,239430.246177,0
2021-04-27,D,Drc Systems India Ord Shs,9.833323,9.836657,8.933324,9.813323,308580.317276,0
2021-04-28,D,Drc Systems India Ord Shs,9.806657,10.298323,9.333324,9.696657,211890.217861,0
2021-04-29,D,Drc Systems India Ord Shs,9.363324,9.933323,9.213324,9.213324,81930.084239,0
2021-04-30,D,Drc Systems India Ord Shs,8.753324,8.753324,8.753324,8.753324,16020.016471,1
2021-05-03,D,Drc Systems India Ord Shs,8.399991,8.399991,8.316658,8.316658,18180.018692,0
2021-05-04,D,Drc Systems India Ord Shs,7.903325,7.903325,7.901659,7.901659,24360.025046,0
2021-05-05,D,Drc Systems India Ord Shs,7.506659,7.901659,7.506659,7.513326,107010.110026,0
2021-05-06,D,Drc Systems India Ord Shs,7.286659,7.883325,7.138326,7.204993,152970.157281,0
2021-05-07,D,Drc Systems India Ord Shs,7.064993,7.533326,6.844993,7.366659,112260.115424,0
2021-05-10,D,Drc Systems India Ord Shs,7.166659,7.644992,7.066659,7.468326,514770.529277,0
2021-05-11,D,Drc Systems India Ord Shs,7.273326,7.841659,7.266659,7.841659,119310.122672,0
2021-05-12,D,Drc Systems India Ord Shs,8.233325,8.233325,8.233325,8.233325,28050.02884,1
2021-05-14,D,Drc Systems India Ord Shs,8.644991,8.644991,8.644991,8.644991,63540.065331,1
2021-05-17,D,Drc Systems India Ord Shs,9.064991,9.076657,9.063324,9.076657,39600.040716,0
2021-05-18,D,Drc Systems India Ord Shs,9.52999,9.52999,8.633324,9.52999,174600.17952,1
2021-05-19,D,Drc Systems India Ord Shs,10.00499,10.00499,9.133324,10.00499,559140.574897,1
2021-05-20,D,Drc Systems India Ord Shs,10.20499,10.499989,9.99999,10.498323,60600.062308,0
2021-05-21,D,Drc Systems India Ord Shs,10.996655,10.996655,10.066656,10.216656,42330.043523,0
2021-05-24,D,Drc Systems India Ord Shs,10.299989,10.499989,9.706657,10.218323,216300.222396,0
2021-05-25,D,Drc Systems India Ord Shs,9.766657,10.333323,9.766657,10.001656,48270.04963,0
2021-05-26,D,Drc Systems India Ord Shs,9.966656,10.333323,9.666657,9.891656,20160.020728,0
2021-05-27,D,Drc Systems India Ord Shs,9.696657,10.263323,9.398324,9.398324,17040.01752,0
2021-05-28,D,Drc Systems India Ord Shs,8.936657,9.866657,8.929991,9.556657,40650.041796,0
2021-05-31,D,Drc Systems India Ord Shs,9.081657,9.956656,9.081657,9.373324,40590.041734,0
2021-06-01,D,Drc Systems India Ord Shs,9.266657,9.83999,9.266657,9.616657,76470.078625,0
2021-06-02,D,Drc Systems India Ord Shs,9.538324,9.79999,9.43999,9.721657,5100.005244,0
2021-06-03,D,Drc Systems India Ord Shs,9.466657,9.833323,9.466657,9.69999,10890.011197,0
2021-06-04,D,Drc Systems India Ord Shs,9.266657,9.933323,9.214991,9.34499,61830.063572,0
2021-06-07,D,Drc Systems India Ord Shs,9.34499,9.79999,9.234991,9.29999,52470.053949,0
2021-06-08,D,Drc Systems India Ord Shs,9.763323,9.763323,8.866658,9.099991,50280.051697,0
2021-06-09,D,Drc Systems India Ord Shs,9.098324,9.293324,8.871658,9.014991,17910.018415,0
2021-06-10,D,Drc Systems India Ord Shs,8.741658,9.41499,8.741658,9.099991,31890.032789,0
2021-06-11,D,Drc Systems India Ord Shs,8.833324,9.533324,8.833324,9.491657,44610.045867,0
2021-06-14,D,Drc Systems India Ord Shs,9.633323,9.666657,9.033324,9.393324,82920.085257,0
2021-06-15,D,Drc Systems India Ord Shs,9.47999,9.62999,8.999991,9.31999,40260.041395,0
2021-06-16,D,Drc Systems India Ord Shs,9.008324,9.333324,9.008324,9.331657,8820.009069,0
2021-06-17,D,Drc Systems India Ord Shs,8.919991,9.496657,8.919991,9.34999,123540.127022,0
2021-06-18,D,Drc Systems India Ord Shs,9.34999,9.816657,9.166657,9.35499,238980.245715,0
2021-06-21,D,Drc Systems India Ord Shs,9.821657,9.821657,8.903324,9.608323,27960.028748,0
2021-06-22,D,Drc Systems India Ord Shs,9.134991,9.998323,9.134991,9.238324,217980.224123,0
2021-06-23,D,Drc Systems India Ord Shs,9.366657,9.646657,9.366657,9.401657,43500.044726,0
2021-06-24,D,Drc Systems India Ord Shs,9.833323,9.833323,8.944991,9.29999,20310.020882,0
2021-06-25,D,Drc Systems India Ord Shs,9.199991,9.491657,9.199991,9.236657,35400.036398,0
2021-06-28,D,Drc Systems India Ord Shs,9.233324,9.626657,8.833324,9.35499,28530.029334,0
2021-06-29,D,Drc Systems India Ord Shs,9.096657,9.49999,9.001657,9.104991,96960.099692,0
2021-06-30,D,Drc Systems India Ord Shs,8.966657,9.39999,8.966657,8.968324,15360.015793,0
2021-07-01,D,Drc Systems India Ord Shs,8.744991,9.416657,8.744991,9.291657,35610.036614,0
2021-07-02,D,Drc Systems India Ord Shs,9.49999,9.75499,9.001657,9.363324,91350.093924,0
2021-07-05,D,Drc Systems India Ord Shs,9.37499,9.816657,9.266657,9.60499,37170.038217,0
2021-07-06,D,Drc Systems India Ord Shs,9.433324,10.081656,9.268324,9.848323,70650.072641,0
2021-07-07,D,Drc Systems India Ord Shs,10.066656,10.293323,9.401657,10.076656,62550.064313,0
2021-07-08,D,Drc Systems India Ord Shs,9.603323,10.266656,9.573323,9.621657,54810.056355,0
2021-07-09,D,Drc Systems India Ord Shs,9.199991,9.99999,9.199991,9.823323,23820.024491,0
2021-07-12,D,Drc Systems India Ord Shs,9.866657,9.931656,9.39999,9.521657,4920.005059,0
2021-07-13,D,Drc Systems India Ord Shs,9.366657,9.966656,9.366657,9.478324,94650.097317,0
2021-07-14,D,Drc Systems India Ord Shs,9.49999,9.831657,9.466657,9.49999,38280.039359,1
