Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2008-01-11,D,Dhunseri Ventures Ord Shs,133.844236,133.881981,121.652558,130.900116,7777,0
2008-01-14,D,Dhunseri Ventures Ord Shs,128.371192,128.371192,128.333447,128.333447,100,0
2008-01-15,D,Dhunseri Ventures Ord Shs,130.220703,130.220703,128.333447,128.333447,446,0
2008-01-16,D,Dhunseri Ventures Ord Shs,128.333447,128.333447,128.333447,128.333447,1,1
2008-01-17,D,Dhunseri Ventures Ord Shs,134.334923,134.750119,134.334923,134.750119,410,0
2008-01-18,D,Dhunseri Ventures Ord Shs,128.333447,130.598155,128.333447,130.522664,850,0
2008-02-07,D,Dhunseri Ventures Ord Shs,127.201093,127.201093,127.201093,127.201093,1,1
2008-02-18,D,Dhunseri Ventures Ord Shs,126.823641,126.823641,126.823641,126.823641,1,1
2008-04-09,D,Dhunseri Ventures Ord Shs,78.094677,78.094677,78.094677,78.094677,80,1
2008-04-10,D,Dhunseri Ventures Ord Shs,82.020171,82.020171,82.020171,82.020171,100,1
2008-04-11,D,Dhunseri Ventures Ord Shs,85.379487,85.379487,85.379487,85.379487,25,1
2008-04-15,D,Dhunseri Ventures Ord Shs,86.0589,89.682432,86.0589,86.0589,51,1
2008-04-21,D,Dhunseri Ventures Ord Shs,87.568705,87.568705,87.568705,87.568705,5,1
2008-04-22,D,Dhunseri Ventures Ord Shs,86.813802,90.512825,83.605466,83.605466,112,0
2008-04-23,D,Dhunseri Ventures Ord Shs,79.755463,87.75743,79.717718,80.774581,85,0
2008-04-24,D,Dhunseri Ventures Ord Shs,83.794192,83.794192,83.794192,83.794192,100,1
2008-04-28,D,Dhunseri Ventures Ord Shs,87.53096,87.568705,82.322132,83.077034,62,0
2008-05-05,D,Dhunseri Ventures Ord Shs,87.153508,87.191254,87.153508,87.191254,150,0
2008-05-06,D,Dhunseri Ventures Ord Shs,86.021154,86.021154,83.794192,83.794192,50,0
2008-05-07,D,Dhunseri Ventures Ord Shs,84.549094,84.549094,80.812326,80.812326,55,0
2008-05-08,D,Dhunseri Ventures Ord Shs,87.908411,87.908411,81.718209,87.191254,121,0
2008-05-09,D,Dhunseri Ventures Ord Shs,87.115763,87.191254,80.132914,83.794192,477,0
2008-05-12,D,Dhunseri Ventures Ord Shs,79.981933,80.019679,79.981933,80.019679,140,0
2008-05-16,D,Dhunseri Ventures Ord Shs,87.53096,87.53096,87.53096,87.53096,50,1
2008-05-20,D,Dhunseri Ventures Ord Shs,87.568705,87.568705,87.568705,87.568705,50,1
2008-05-21,D,Dhunseri Ventures Ord Shs,95.117731,95.117731,95.117731,95.117731,220,1
2008-05-22,D,Dhunseri Ventures Ord Shs,90.965767,96.627536,90.965767,91.343218,215,0
2008-05-23,D,Dhunseri Ventures Ord Shs,92.098121,92.853023,92.098121,92.853023,250,0
2008-05-26,D,Dhunseri Ventures Ord Shs,85.303997,86.813802,85.303997,86.813802,45,0
2008-05-27,D,Dhunseri Ventures Ord Shs,86.436351,89.07851,83.039289,83.114779,152,0
2008-05-28,D,Dhunseri Ventures Ord Shs,91.343218,91.343218,83.114779,91.343218,11,1
2008-05-29,D,Dhunseri Ventures Ord Shs,86.813802,86.813802,86.813802,86.813802,67,1
2008-05-30,D,Dhunseri Ventures Ord Shs,84.549094,90.210864,83.794192,90.210864,103,0
2008-06-02,D,Dhunseri Ventures Ord Shs,83.039289,86.813802,82.322132,82.963799,108,0
2008-06-03,D,Dhunseri Ventures Ord Shs,82.133406,82.133406,76.245165,76.245165,310,0
2008-06-04,D,Dhunseri Ventures Ord Shs,78.623109,78.623109,78.585364,78.585364,100,0
2008-06-09,D,Dhunseri Ventures Ord Shs,76.282911,79.264776,76.282911,79.264776,125,0
2008-06-10,D,Dhunseri Ventures Ord Shs,72.017711,79.227031,71.94222,72.546143,78,0
2008-06-11,D,Dhunseri Ventures Ord Shs,77.377519,77.377519,72.734868,72.734868,10,0
2008-06-13,D,Dhunseri Ventures Ord Shs,70.24369,74.018203,70.205944,73.829477,102,0
2008-06-17,D,Dhunseri Ventures Ord Shs,67.978982,74.773105,67.941237,74.773105,180,0
2008-06-20,D,Dhunseri Ventures Ord Shs,70.960847,70.998592,70.960847,70.960847,105,1
2008-06-23,D,Dhunseri Ventures Ord Shs,69.828493,70.205944,69.828493,69.828493,91,1
2008-06-27,D,Dhunseri Ventures Ord Shs,75.377027,75.414773,63.449566,68.809375,241,0
2008-06-30,D,Dhunseri Ventures Ord Shs,65.676529,66.05398,63.562801,66.05398,63,0
2008-07-01,D,Dhunseri Ventures Ord Shs,72.017711,72.055456,72.017711,72.055456,8,0
2008-07-04,D,Dhunseri Ventures Ord Shs,67.941237,67.941237,67.941237,67.941237,25,1
2008-07-07,D,Dhunseri Ventures Ord Shs,67.941237,67.941237,67.186334,67.186334,6,0
2008-07-09,D,Dhunseri Ventures Ord Shs,63.33633,63.33633,63.33633,63.33633,75,1
2008-07-11,D,Dhunseri Ventures Ord Shs,75.490263,75.490263,61.902015,68.054472,174,0
2008-07-14,D,Dhunseri Ventures Ord Shs,77.754971,77.754971,58.882405,64.166723,151,0
2008-07-15,D,Dhunseri Ventures Ord Shs,64.166723,76.245165,57.3726,57.3726,135,0
2008-07-17,D,Dhunseri Ventures Ord Shs,68.696139,68.696139,57.485835,57.485835,300,0
2008-07-18,D,Dhunseri Ventures Ord Shs,68.696139,68.696139,61.071623,64.883881,200,0
2008-07-21,D,Dhunseri Ventures Ord Shs,52.126026,77.717226,52.126026,74.773105,916,0
2008-07-22,D,Dhunseri Ventures Ord Shs,73.980458,77.000068,68.696139,72.583888,715,0
2008-07-23,D,Dhunseri Ventures Ord Shs,71.074082,76.245165,64.204468,76.245165,255,0
2008-07-24,D,Dhunseri Ventures Ord Shs,67.941237,75.112811,67.941237,68.84712,150,0
2008-07-25,D,Dhunseri Ventures Ord Shs,75.452518,77.754971,68.696139,73.2633,802,0
2008-07-29,D,Dhunseri Ventures Ord Shs,87.568705,87.568705,72.470652,80.019679,100,0
