Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-05-15,D,E2E Networks Ord Shs,85.0,89.25,84.0,89.0,1868000,0
2018-05-16,D,E2E Networks Ord Shs,90.0,90.0,84.55,84.55,308000,0
2018-05-17,D,E2E Networks Ord Shs,80.35,80.35,80.35,80.35,126000,1
2018-05-18,D,E2E Networks Ord Shs,77.1,84.35,76.35,76.6,616000,0
2018-05-21,D,E2E Networks Ord Shs,74.0,74.9,72.8,72.8,70000,0
2018-05-22,D,E2E Networks Ord Shs,69.2,75.55,69.2,72.15,192000,0
2018-05-23,D,E2E Networks Ord Shs,72.0,73.0,68.55,68.55,136000,0
2018-05-24,D,E2E Networks Ord Shs,69.25,69.25,65.8,66.35,112000,0
2018-05-25,D,E2E Networks Ord Shs,67.5,67.5,64.75,66.3,104000,0
2018-05-28,D,E2E Networks Ord Shs,68.75,69.6,68.75,69.6,60000,0
2018-05-29,D,E2E Networks Ord Shs,76.9,82.8,73.15,75.15,254000,0
2018-05-30,D,E2E Networks Ord Shs,72.5,80.0,72.5,76.0,102000,0
2018-05-31,D,E2E Networks Ord Shs,75.5,76.0,72.0,73.0,66000,0
2018-06-01,D,E2E Networks Ord Shs,72.5,74.6,70.0,71.1,46000,0
2018-06-04,D,E2E Networks Ord Shs,70.0,73.7,70.0,70.0,42000,1
2018-06-05,D,E2E Networks Ord Shs,70.1,74.0,66.8,71.75,46000,0
2018-06-06,D,E2E Networks Ord Shs,71.0,75.9,71.0,75.25,18000,0
2018-06-07,D,E2E Networks Ord Shs,76.5,76.5,74.0,74.95,36000,0
2018-06-08,D,E2E Networks Ord Shs,74.95,74.95,73.15,74.05,8000,0
2018-06-11,D,E2E Networks Ord Shs,75.0,75.4,74.05,74.5,14000,0
2018-06-12,D,E2E Networks Ord Shs,74.75,75.95,74.35,75.35,24000,0
2018-06-13,D,E2E Networks Ord Shs,73.05,75.95,73.05,75.95,18000,0
2018-06-14,D,E2E Networks Ord Shs,74.0,76.0,73.5,76.0,28000,0
2018-06-18,D,E2E Networks Ord Shs,72.2,74.2,71.1,73.0,18000,0
2018-06-19,D,E2E Networks Ord Shs,70.0,72.0,68.0,70.0,38000,1
2018-06-20,D,E2E Networks Ord Shs,74.4,74.4,70.5,71.5,12000,0
2018-06-21,D,E2E Networks Ord Shs,72.0,72.25,70.5,70.55,12000,0
2018-06-22,D,E2E Networks Ord Shs,70.5,71.5,68.1,69.0,28000,0
2018-06-25,D,E2E Networks Ord Shs,71.9,71.9,69.95,69.95,6000,0
2018-06-26,D,E2E Networks Ord Shs,69.15,70.0,68.5,68.5,12000,0
2018-06-27,D,E2E Networks Ord Shs,68.5,68.5,64.05,67.65,52000,0
2018-06-28,D,E2E Networks Ord Shs,68.0,68.0,65.6,67.3,8000,0
2018-06-29,D,E2E Networks Ord Shs,69.0,69.0,69.0,69.0,2000,1
2018-07-02,D,E2E Networks Ord Shs,68.0,68.0,64.0,66.0,18000,0
2018-07-04,D,E2E Networks Ord Shs,65.0,69.85,65.0,69.2,16000,0
2018-07-05,D,E2E Networks Ord Shs,69.0,69.7,65.2,68.65,24000,0
2018-07-11,D,E2E Networks Ord Shs,67.0,70.4,67.0,70.2,20000,0
2018-07-12,D,E2E Networks Ord Shs,70.0,72.9,70.0,72.9,12000,0
