Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-12-31,D,Eclerx Services Ord Shs,123.333451,155.833482,113.333441,149.883476,27950622.344203,0
2008-01-01,D,Eclerx Services Ord Shs,158.333484,171.66683,147.183474,159.083485,12020295.53655,0
2008-01-02,D,Eclerx Services Ord Shs,159.633486,162.316821,148.750142,149.883476,3386219.770648,0
2008-01-03,D,Eclerx Services Ord Shs,155.000148,155.000148,135.666796,137.483464,1782496.300079,0
2008-01-04,D,Eclerx Services Ord Shs,142.466803,148.333475,137.700131,140.1668,1710274.368955,0
2008-01-07,D,Eclerx Services Ord Shs,138.666799,145.000138,135.450129,140.366801,995123.050976,0
2008-01-08,D,Eclerx Services Ord Shs,141.900135,143.300137,133.000127,134.500128,694505.337668,0
2008-01-09,D,Eclerx Services Ord Shs,133.300127,135.333462,126.766788,131.466792,667139.363766,0
2008-01-10,D,Eclerx Services Ord Shs,136.00013,136.233463,118.333446,121.150116,294923.718739,0
2008-01-11,D,Eclerx Services Ord Shs,123.666785,124.133452,113.666775,117.850112,376331.641102,0
2008-01-14,D,Eclerx Services Ord Shs,118.950113,121.000115,116.666778,117.933446,221990.788293,0
2008-01-15,D,Eclerx Services Ord Shs,119.000113,121.333449,113.683442,115.583444,179123.829174,0
2008-01-16,D,Eclerx Services Ord Shs,117.333445,119.933448,105.016767,108.783437,133790.872407,0
2008-01-17,D,Eclerx Services Ord Shs,109.616771,130.550125,107.333436,128.81679,1173070.881272,0
2008-01-18,D,Eclerx Services Ord Shs,130.000124,147.900141,125.45012,127.700122,4661644.554308,0
2008-01-21,D,Eclerx Services Ord Shs,126.666787,129.583457,103.366765,106.100101,686663.345147,0
2008-01-22,D,Eclerx Services Ord Shs,101.166763,111.000106,85.000081,108.36677,207656.801963,0
2008-01-23,D,Eclerx Services Ord Shs,112.000107,123.333451,100.000095,117.150112,210911.798859,0
2008-01-24,D,Eclerx Services Ord Shs,118.333446,123.000117,105.333434,113.833442,211118.798661,0
2008-01-25,D,Eclerx Services Ord Shs,118.100113,121.333449,107.516769,113.916775,90200.913978,0
2008-01-28,D,Eclerx Services Ord Shs,110.000105,122.666784,108.333437,117.466779,172841.835165,0
2008-01-29,D,Eclerx Services Ord Shs,117.000112,120.600115,110.083438,112.200107,110813.89432,0
2008-01-30,D,Eclerx Services Ord Shs,110.000105,113.333441,109.000104,111.38344,163190.844369,0
2008-01-31,D,Eclerx Services Ord Shs,112.666774,116.266778,107.333436,112.750108,120272.885299,0
2008-02-01,D,Eclerx Services Ord Shs,110.000105,114.983443,106.000101,107.666769,50156.952167,0
2008-02-04,D,Eclerx Services Ord Shs,110.666772,119.566781,110.333439,116.966778,229283.781338,0
2008-02-05,D,Eclerx Services Ord Shs,115.00011,118.66678,114.000109,114.600109,70571.932697,0
2008-02-06,D,Eclerx Services Ord Shs,112.000107,115.00011,105.666767,113.500108,73367.930031,0
2008-02-07,D,Eclerx Services Ord Shs,113.333441,118.933447,112.866774,114.216776,96767.907715,0
2008-02-08,D,Eclerx Services Ord Shs,114.000109,114.983443,112.516774,113.400108,53270.949197,0
2008-02-11,D,Eclerx Services Ord Shs,110.333439,113.000108,98.333427,104.9001,81215.922546,0
2008-02-12,D,Eclerx Services Ord Shs,112.666774,112.666774,100.333429,102.666765,47117.955065,0
2008-02-13,D,Eclerx Services Ord Shs,104.000099,107.316769,102.500098,102.766765,53657.948828,0
2008-02-14,D,Eclerx Services Ord Shs,106.633435,106.633435,103.333432,104.316766,32774.968743,0
2008-02-15,D,Eclerx Services Ord Shs,104.316766,108.26677,100.033429,105.733434,38528.963256,0
2008-02-18,D,Eclerx Services Ord Shs,108.000103,119.500114,104.683433,113.933442,137900.868487,0
2008-02-19,D,Eclerx Services Ord Shs,114.000109,114.000109,110.000105,111.33344,57161.945486,0
2008-02-20,D,Eclerx Services Ord Shs,103.333432,110.000105,103.333432,106.066768,20276.980662,0
2008-02-21,D,Eclerx Services Ord Shs,108.333437,109.000104,106.666768,108.350103,41558.960366,0
2008-02-22,D,Eclerx Services Ord Shs,104.000099,107.666769,103.666766,106.716768,17687.983131,0
2008-02-25,D,Eclerx Services Ord Shs,107.333436,107.633436,104.000099,106.000101,18560.982299,0
2008-02-26,D,Eclerx Services Ord Shs,105.3501,109.000104,105.3501,108.083436,42800.959182,0
2008-02-27,D,Eclerx Services Ord Shs,108.66677,111.566773,106.166768,107.000102,20513.980436,0
2008-02-28,D,Eclerx Services Ord Shs,106.066768,110.000105,105.666767,109.133437,22937.978125,0
2008-02-29,D,Eclerx Services Ord Shs,105.416767,110.000105,105.416767,106.683435,23681.977415,0
2008-03-03,D,Eclerx Services Ord Shs,105.0001,113.333441,100.083429,106.516768,80489.923239,0
2008-03-04,D,Eclerx Services Ord Shs,103.400099,108.600104,96.666759,97.66676,37067.964649,0
2008-03-05,D,Eclerx Services Ord Shs,99.666762,101.33343,96.700092,100.116762,30140.971255,0
2008-03-07,D,Eclerx Services Ord Shs,96.333425,101.666764,95.366758,100.316762,101573.903132,0
2008-03-10,D,Eclerx Services Ord Shs,95.666758,97.333426,94.05009,95.250091,24452.97668,0
2008-03-11,D,Eclerx Services Ord Shs,97.56676,99.000094,94.333423,96.816759,12578.988004,0
2008-03-12,D,Eclerx Services Ord Shs,98.666761,103.266765,93.366756,95.716758,25814.975381,0
2008-03-13,D,Eclerx Services Ord Shs,97.66676,97.66676,83.333413,85.916749,24923.976231,0
2008-03-14,D,Eclerx Services Ord Shs,89.316752,96.666759,85.500082,89.433419,43430.958581,0
2008-03-17,D,Eclerx Services Ord Shs,85.000081,86.666749,80.750077,83.350079,81428.922343,0
2008-03-18,D,Eclerx Services Ord Shs,83.65008,85.000081,67.616731,83.40008,34019.967556,0
2008-03-19,D,Eclerx Services Ord Shs,85.050081,85.666748,75.016738,77.150074,16202.984548,0
2008-03-24,D,Eclerx Services Ord Shs,77.333407,77.333407,68.416732,75.250072,31577.969885,0
2008-03-25,D,Eclerx Services Ord Shs,71.183401,84.00008,71.183401,80.63341,33941.96763,0
2008-03-26,D,Eclerx Services Ord Shs,80.000076,82.833412,80.000076,80.866744,12878.987718,0
2008-03-27,D,Eclerx Services Ord Shs,74.850071,83.000079,74.850071,80.200076,24407.976723,0
