Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-03-31,D,Euro India Fresh Foods Ord Shs,89.85,89.85,89.85,89.85,0,1
2017-04-03,D,Euro India Fresh Foods Ord Shs,93.6,93.6,93.6,93.6,0,1
2017-04-05,D,Euro India Fresh Foods Ord Shs,93.9,93.9,93.9,93.9,0,1
2017-04-06,D,Euro India Fresh Foods Ord Shs,93.0,93.0,93.0,93.0,0,1
2017-04-07,D,Euro India Fresh Foods Ord Shs,92.15,92.15,92.15,92.15,0,1
2017-04-10,D,Euro India Fresh Foods Ord Shs,91.0,91.0,91.0,91.0,0,1
2017-04-11,D,Euro India Fresh Foods Ord Shs,91.5,91.5,91.5,91.5,0,1
2017-04-12,D,Euro India Fresh Foods Ord Shs,91.3,91.3,91.3,91.3,0,1
2017-04-13,D,Euro India Fresh Foods Ord Shs,89.55,89.55,89.55,89.55,0,1
2017-04-17,D,Euro India Fresh Foods Ord Shs,89.7,89.7,89.7,89.7,0,1
2017-04-18,D,Euro India Fresh Foods Ord Shs,88.35,88.35,88.35,88.35,0,1
2017-04-19,D,Euro India Fresh Foods Ord Shs,88.75,88.75,88.75,88.75,0,1
2017-04-20,D,Euro India Fresh Foods Ord Shs,88.2,88.2,88.2,88.2,0,1
2017-04-21,D,Euro India Fresh Foods Ord Shs,89.2,89.2,89.2,89.2,0,1
2017-04-24,D,Euro India Fresh Foods Ord Shs,88.95,88.95,88.95,88.95,0,1
2017-04-25,D,Euro India Fresh Foods Ord Shs,88.8,88.8,88.8,88.8,0,1
2017-04-26,D,Euro India Fresh Foods Ord Shs,88.35,88.35,88.35,88.35,0,1
2017-04-27,D,Euro India Fresh Foods Ord Shs,89.15,89.15,89.15,89.15,0,1
2017-04-28,D,Euro India Fresh Foods Ord Shs,89.4,89.4,89.4,89.4,0,1
2017-05-02,D,Euro India Fresh Foods Ord Shs,89.85,89.85,89.85,89.85,0,1
2017-05-03,D,Euro India Fresh Foods Ord Shs,89.9,89.9,89.9,89.9,0,1
2017-05-05,D,Euro India Fresh Foods Ord Shs,88.75,88.75,88.75,88.75,0,1
2017-05-08,D,Euro India Fresh Foods Ord Shs,89.0,89.25,89.0,89.1,3200,0
2017-05-09,D,Euro India Fresh Foods Ord Shs,88.0,90.5,88.0,90.4,8000,0
2017-05-10,D,Euro India Fresh Foods Ord Shs,91.0,92.0,91.0,92.0,4800,0
2017-05-11,D,Euro India Fresh Foods Ord Shs,93.0,93.25,92.0,93.0,9600,1
2017-05-12,D,Euro India Fresh Foods Ord Shs,92.0,94.0,92.0,93.5,8000,0
2017-05-15,D,Euro India Fresh Foods Ord Shs,94.2,95.75,94.2,95.5,12800,0
2017-05-16,D,Euro India Fresh Foods Ord Shs,95.9,98.5,95.9,98.5,16000,0
2017-05-17,D,Euro India Fresh Foods Ord Shs,98.5,98.5,98.0,98.0,4800,0
2017-05-18,D,Euro India Fresh Foods Ord Shs,97.0,98.8,96.5,98.8,8000,0
2017-05-19,D,Euro India Fresh Foods Ord Shs,97.0,98.9,97.0,97.6,14400,0
2017-05-22,D,Euro India Fresh Foods Ord Shs,98.5,99.8,97.9,99.05,17600,0
