Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-04-12,D,Eldeco Housing And Industries Ord Shs,800.0,800.0,750.0,770.0,2267,0
2022-04-13,D,Eldeco Housing And Industries Ord Shs,794.9,798.85,752.0,764.2,1598,0
2022-04-18,D,Eldeco Housing And Industries Ord Shs,764.2,789.8,751.0,763.55,733,0
2022-04-19,D,Eldeco Housing And Industries Ord Shs,789.9,789.9,755.6,763.4,550,0
2022-04-20,D,Eldeco Housing And Industries Ord Shs,755.95,774.25,733.0,747.45,1120,0
2022-04-21,D,Eldeco Housing And Industries Ord Shs,765.75,769.95,720.0,733.7,3522,0
2022-04-22,D,Eldeco Housing And Industries Ord Shs,736.15,742.95,722.0,737.65,1900,0
2022-04-25,D,Eldeco Housing And Industries Ord Shs,736.0,736.0,701.0,717.2,2017,0
2022-04-26,D,Eldeco Housing And Industries Ord Shs,727.3,746.35,712.0,724.4,1112,0
2022-04-27,D,Eldeco Housing And Industries Ord Shs,720.5,757.35,714.4,725.9,1963,0
2022-04-28,D,Eldeco Housing And Industries Ord Shs,725.0,750.1,716.15,731.85,1021,0
2022-04-29,D,Eldeco Housing And Industries Ord Shs,718.6,736.9,713.0,717.4,965,0
2022-05-02,D,Eldeco Housing And Industries Ord Shs,744.0,744.0,695.0,700.25,1148,0
2022-05-04,D,Eldeco Housing And Industries Ord Shs,700.25,729.95,680.0,697.05,1526,0
2022-05-05,D,Eldeco Housing And Industries Ord Shs,711.9,724.95,679.95,689.45,1448,0
2022-05-06,D,Eldeco Housing And Industries Ord Shs,671.0,682.95,620.0,656.7,6575,0
2022-05-09,D,Eldeco Housing And Industries Ord Shs,656.7,675.2,645.0,664.65,1721,0
2022-05-10,D,Eldeco Housing And Industries Ord Shs,658.95,680.5,655.0,668.7,1166,0
2022-05-11,D,Eldeco Housing And Industries Ord Shs,665.0,690.5,615.05,649.4,2591,0
2022-05-12,D,Eldeco Housing And Industries Ord Shs,649.4,674.0,630.4,649.5,1012,0
2022-05-13,D,Eldeco Housing And Industries Ord Shs,694.9,694.9,636.2,649.1,1180,0
2022-05-16,D,Eldeco Housing And Industries Ord Shs,694.0,694.0,634.15,647.5,672,0
2022-05-17,D,Eldeco Housing And Industries Ord Shs,660.05,679.95,649.95,656.7,1192,0
2022-05-18,D,Eldeco Housing And Industries Ord Shs,661.05,665.35,624.95,639.55,1262,0
2022-05-19,D,Eldeco Housing And Industries Ord Shs,634.0,642.45,623.75,631.3,599,0
2022-05-20,D,Eldeco Housing And Industries Ord Shs,637.0,652.15,615.05,629.7,1333,0
2022-05-23,D,Eldeco Housing And Industries Ord Shs,634.3,634.3,595.4,601.25,2684,0
2022-05-24,D,Eldeco Housing And Industries Ord Shs,601.0,620.05,590.95,597.55,1657,0
