Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-15,D,Electrosteel Castings Ord Shs,6.0,6.25,6.0,6.25,3999.99994,0
1995-05-16,D,Electrosteel Castings Ord Shs,6.2475,6.25,6.2475,6.25,11999.999821,0
1995-05-26,D,Electrosteel Castings Ord Shs,5.75,6.35,5.75,6.35,5999.999911,0
1995-05-30,D,Electrosteel Castings Ord Shs,6.5,6.5,6.5,6.5,1999.99997,1
1995-05-31,D,Electrosteel Castings Ord Shs,6.5025,6.5025,6.5025,6.5025,1999.99997,1
1995-06-02,D,Electrosteel Castings Ord Shs,6.515,6.515,6.515,6.515,1999.99997,1
1995-06-05,D,Electrosteel Castings Ord Shs,6.75,7.15,6.75,7.1,7999.999881,0
1995-06-06,D,Electrosteel Castings Ord Shs,7.35,7.5,7.35,7.5,5999.999911,0
1995-06-07,D,Electrosteel Castings Ord Shs,7.4975,7.4975,7.4975,7.4975,1999.99997,1
1995-06-08,D,Electrosteel Castings Ord Shs,7.35,7.425,7.35,7.425,11999.999821,0
1995-06-09,D,Electrosteel Castings Ord Shs,7.3,7.3,7.3,7.3,1999.99997,1
1995-06-12,D,Electrosteel Castings Ord Shs,7.15,7.2,7.15,7.2,3999.99994,0
1995-06-13,D,Electrosteel Castings Ord Shs,6.9,7.1,6.9,7.1,3999.99994,0
1995-06-14,D,Electrosteel Castings Ord Shs,6.9,6.9,6.85,6.85,3999.99994,0
1995-06-15,D,Electrosteel Castings Ord Shs,6.7775,6.95,6.7775,6.9,13999.999791,0
1995-06-16,D,Electrosteel Castings Ord Shs,6.875,6.875,6.765,6.815,7999.999881,0
1995-06-19,D,Electrosteel Castings Ord Shs,6.7625,6.7625,6.7625,6.7625,1999.99997,1
1995-06-20,D,Electrosteel Castings Ord Shs,6.8,6.8,6.625,6.625,3999.99994,0
1995-06-22,D,Electrosteel Castings Ord Shs,6.65,6.65,6.65,6.65,1999.99997,1
1995-06-23,D,Electrosteel Castings Ord Shs,6.7125,6.7125,6.7125,6.7125,1999.99997,1
1995-06-27,D,Electrosteel Castings Ord Shs,6.6,6.6,6.6,6.6,1999.99997,1
1995-06-28,D,Electrosteel Castings Ord Shs,6.6,6.6,5.95,6.6,7999.999881,1
1995-06-29,D,Electrosteel Castings Ord Shs,6.625,6.625,6.625,6.625,3999.99994,1
1995-07-05,D,Electrosteel Castings Ord Shs,6.25,6.25,6.25,6.25,1999.99997,1
1995-07-06,D,Electrosteel Castings Ord Shs,6.25,6.25,6.1,6.1,3999.99994,0
1995-07-07,D,Electrosteel Castings Ord Shs,6.05,6.05,6.05,6.05,1999.99997,1
1995-07-10,D,Electrosteel Castings Ord Shs,6.1,6.1,6.0,6.0,5999.999911,0
1995-07-11,D,Electrosteel Castings Ord Shs,6.0,6.1975,6.0,6.1,27999.999583,0
1995-07-12,D,Electrosteel Castings Ord Shs,6.1125,6.1125,6.1,6.1,9999.999851,0
1995-07-13,D,Electrosteel Castings Ord Shs,6.025,6.025,6.0,6.0,5999.999911,0
1995-07-14,D,Electrosteel Castings Ord Shs,5.5,5.5,5.5,5.5,1999.99997,1
1995-07-18,D,Electrosteel Castings Ord Shs,6.4,6.4,6.4,6.4,1999.99997,1
1995-07-20,D,Electrosteel Castings Ord Shs,6.2475,6.2475,6.2475,6.2475,1999.99997,1
1995-07-21,D,Electrosteel Castings Ord Shs,6.2,6.2,6.2,6.2,1999.99997,1
1995-07-24,D,Electrosteel Castings Ord Shs,5.95,5.95,5.95,5.95,1999.99997,1
1995-07-25,D,Electrosteel Castings Ord Shs,6.25,6.25,6.0125,6.0125,3999.99994,0
1995-07-26,D,Electrosteel Castings Ord Shs,6.25,6.45,6.25,6.45,5999.999911,0
1995-07-27,D,Electrosteel Castings Ord Shs,6.2475,6.2475,6.2475,6.2475,1999.99997,1
1995-07-28,D,Electrosteel Castings Ord Shs,6.0,6.0,6.0,6.0,1999.99997,1
1995-07-31,D,Electrosteel Castings Ord Shs,5.7525,5.7525,5.6,5.6,5999.999911,0
1995-08-01,D,Electrosteel Castings Ord Shs,5.7975,5.7975,5.65,5.65,7999.999881,0
1995-08-02,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-08-03,D,Electrosteel Castings Ord Shs,5.7525,5.7525,5.75,5.7525,9999.999851,1
1995-08-07,D,Electrosteel Castings Ord Shs,6.1475,6.1475,6.1475,6.1475,3999.99994,1
1995-08-08,D,Electrosteel Castings Ord Shs,6.0125,6.25,6.0,6.15,19999.999702,0
1995-08-09,D,Electrosteel Castings Ord Shs,6.075,6.075,6.05,6.05,15999.999762,0
1995-08-14,D,Electrosteel Castings Ord Shs,5.95,5.95,5.9,5.925,5999.999911,0
1995-08-16,D,Electrosteel Castings Ord Shs,5.8,5.8,5.8,5.8,1999.99997,1
1995-08-17,D,Electrosteel Castings Ord Shs,5.8,5.8,5.5,5.5,3999.99994,0
1995-08-18,D,Electrosteel Castings Ord Shs,5.8,5.8,5.8,5.8,1999.99997,1
1995-08-21,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-08-28,D,Electrosteel Castings Ord Shs,5.765,5.765,5.765,5.765,1999.99997,1
1995-09-04,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-09-05,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-09-06,D,Electrosteel Castings Ord Shs,5.75,6.1,5.75,5.7525,5999.999911,0
1995-09-07,D,Electrosteel Castings Ord Shs,6.1,6.1,6.1,6.1,1999.99997,1
1995-09-08,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-09-12,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,23999.999642,1
1995-09-13,D,Electrosteel Castings Ord Shs,5.8,5.8,5.8,5.8,1999.99997,1
1995-09-14,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-09-18,D,Electrosteel Castings Ord Shs,5.775,5.775,5.775,5.775,1999.99997,1
1995-09-19,D,Electrosteel Castings Ord Shs,5.5,5.5,5.5,5.5,1999.99997,1
1995-09-20,D,Electrosteel Castings Ord Shs,5.8,5.8,5.75,5.75,3999.99994,0
1995-09-21,D,Electrosteel Castings Ord Shs,5.8,5.8,5.8,5.8,1999.99997,1
1995-09-22,D,Electrosteel Castings Ord Shs,5.25,5.25,5.25,5.25,1999.99997,1
1995-09-25,D,Electrosteel Castings Ord Shs,5.25,5.25,5.25,5.25,11999.999821,1
1995-09-26,D,Electrosteel Castings Ord Shs,5.775,5.775,5.775,5.775,1999.99997,1
1995-09-28,D,Electrosteel Castings Ord Shs,5.755,5.755,5.75,5.75,3999.99994,0
1995-09-29,D,Electrosteel Castings Ord Shs,5.8,5.8,5.8,5.8,1999.99997,1
1995-10-05,D,Electrosteel Castings Ord Shs,5.75,5.75,5.75,5.75,1999.99997,1
1995-10-10,D,Electrosteel Castings Ord Shs,5.85,5.85,5.85,5.85,1999.99997,1
1995-10-11,D,Electrosteel Castings Ord Shs,5.85,6.0,5.85,6.0,3999.99994,0
1995-10-12,D,Electrosteel Castings Ord Shs,5.9,5.9,5.9,5.9,3999.99994,1
1995-10-13,D,Electrosteel Castings Ord Shs,5.9,5.9,5.85,5.9,5999.999911,1
1995-10-16,D,Electrosteel Castings Ord Shs,5.9,5.9375,5.9,5.9375,11999.999821,0
1995-10-17,D,Electrosteel Castings Ord Shs,5.95,6.025,5.95,6.025,9999.999851,0
1995-10-18,D,Electrosteel Castings Ord Shs,6.075,6.075,6.075,6.075,3999.99994,1
1995-10-19,D,Electrosteel Castings Ord Shs,6.075,6.075,6.0,6.0,9999.999851,0
1995-10-20,D,Electrosteel Castings Ord Shs,6.0,6.0025,5.95,5.975,15999.999762,0
1995-10-23,D,Electrosteel Castings Ord Shs,6.0,6.0,5.85,5.8875,13999.999791,0
1995-10-24,D,Electrosteel Castings Ord Shs,5.9,5.9,5.85,5.85,11999.999821,0
1995-10-26,D,Electrosteel Castings Ord Shs,5.875,5.875,5.875,5.875,7999.999881,1
1995-10-27,D,Electrosteel Castings Ord Shs,5.85,5.85,5.85,5.85,1999.99997,1
1995-10-30,D,Electrosteel Castings Ord Shs,5.85,5.875,5.6,5.6,7999.999881,0
1995-10-31,D,Electrosteel Castings Ord Shs,5.8,5.8,5.7,5.8,29999.999553,1
1995-11-01,D,Electrosteel Castings Ord Shs,5.55,5.55,5.55,5.55,1999.99997,1
1995-11-02,D,Electrosteel Castings Ord Shs,5.35,5.75,5.35,5.75,3999.99994,0
1995-11-03,D,Electrosteel Castings Ord Shs,5.5,5.5,5.5,5.5,1999.99997,1
1995-11-06,D,Electrosteel Castings Ord Shs,5.25,5.35,5.25,5.25,7999.999881,1
1995-11-07,D,Electrosteel Castings Ord Shs,5.25,5.25,5.25,5.25,1999.99997,1
1995-11-13,D,Electrosteel Castings Ord Shs,4.825,4.825,4.825,4.825,1999.99997,1
1995-11-14,D,Electrosteel Castings Ord Shs,4.75,4.75,4.6,4.75,11999.999821,1
1995-11-15,D,Electrosteel Castings Ord Shs,4.75,4.75,4.65,4.7,3999.99994,0
1995-11-16,D,Electrosteel Castings Ord Shs,4.7,4.7,4.7,4.7,3999.99994,1
1995-11-17,D,Electrosteel Castings Ord Shs,4.7,4.7,4.7,4.7,9999.999851,1
1995-11-20,D,Electrosteel Castings Ord Shs,4.6,4.6,4.5,4.6,11999.999821,1
1995-11-21,D,Electrosteel Castings Ord Shs,4.6,4.645,4.6,4.645,3999.99994,0
1995-11-22,D,Electrosteel Castings Ord Shs,4.55,4.55,4.525,4.525,7999.999881,0
1995-11-23,D,Electrosteel Castings Ord Shs,4.5,4.5975,4.475,4.5975,9999.999851,0
1995-11-24,D,Electrosteel Castings Ord Shs,4.6,4.6975,4.6,4.6975,5999.999911,0
1995-11-27,D,Electrosteel Castings Ord Shs,4.55,4.6,4.5,4.6,9999.999851,0
1995-11-28,D,Electrosteel Castings Ord Shs,4.575,4.575,4.575,4.575,1999.99997,1
1995-11-29,D,Electrosteel Castings Ord Shs,4.5025,4.6,4.5,4.6,11999.999821,0
1995-11-30,D,Electrosteel Castings Ord Shs,4.525,4.57,4.5025,4.55,11999.999821,0
1995-12-01,D,Electrosteel Castings Ord Shs,4.575,4.575,4.575,4.575,3999.99994,1
1995-12-04,D,Electrosteel Castings Ord Shs,4.6,4.695,4.6,4.695,3999.99994,0
1995-12-05,D,Electrosteel Castings Ord Shs,4.6,4.6,4.55,4.55,3999.99994,0
1995-12-06,D,Electrosteel Castings Ord Shs,4.6,4.6,4.55,4.55,3999.99994,0
1995-12-07,D,Electrosteel Castings Ord Shs,4.55,4.565,4.55,4.565,11999.999821,0
1995-12-11,D,Electrosteel Castings Ord Shs,4.8,4.805,4.8,4.805,3999.99994,0
1995-12-12,D,Electrosteel Castings Ord Shs,4.85,4.85,4.8,4.8,3999.99994,0
1995-12-13,D,Electrosteel Castings Ord Shs,4.85,4.9,4.8,4.9,7999.999881,0
1995-12-14,D,Electrosteel Castings Ord Shs,4.995,4.995,4.995,4.995,1999.99997,1
1995-12-15,D,Electrosteel Castings Ord Shs,4.9,4.9,4.75,4.75,13999.999791,0
1995-12-18,D,Electrosteel Castings Ord Shs,4.75,4.75,4.625,4.685,73999.998897,0
1995-12-19,D,Electrosteel Castings Ord Shs,4.65,4.7,4.5,4.55,67999.998987,0
1995-12-20,D,Electrosteel Castings Ord Shs,4.55,4.55,4.5,4.55,73999.998897,1
1995-12-21,D,Electrosteel Castings Ord Shs,4.5,4.525,4.25,4.35,51999.999225,0
1995-12-22,D,Electrosteel Castings Ord Shs,4.445,4.55,4.445,4.4625,75999.998868,0
1995-12-26,D,Electrosteel Castings Ord Shs,4.5,4.5,4.35,4.45,23999.999642,0
1995-12-27,D,Electrosteel Castings Ord Shs,4.45,4.4975,4.4,4.485,39999.999404,0
1995-12-28,D,Electrosteel Castings Ord Shs,4.45,4.65,4.4,4.65,93999.998599,0
1995-12-29,D,Electrosteel Castings Ord Shs,4.6,4.6,4.55,4.565,33999.999493,0
1996-01-01,D,Electrosteel Castings Ord Shs,4.55,4.55,4.5,4.5,37999.999434,0
1996-01-02,D,Electrosteel Castings Ord Shs,4.5,4.5375,4.5,4.5,109999.998361,1
1996-01-03,D,Electrosteel Castings Ord Shs,4.5,4.5,4.45,4.45,57999.999136,0
1996-01-04,D,Electrosteel Castings Ord Shs,4.45,4.45,4.45,4.45,61999.999076,1
1996-01-05,D,Electrosteel Castings Ord Shs,4.45,4.45,4.4,4.45,89999.998659,1
1996-01-08,D,Electrosteel Castings Ord Shs,4.45,4.4525,4.3525,4.445,77999.998838,0
1996-01-09,D,Electrosteel Castings Ord Shs,4.375,4.425,4.375,4.4,99999.99851,0
1996-01-10,D,Electrosteel Castings Ord Shs,4.375,4.5,4.35,4.4125,49999.999255,0
1996-01-11,D,Electrosteel Castings Ord Shs,4.35,4.5,4.35,4.425,31999.999523,0
1996-01-12,D,Electrosteel Castings Ord Shs,4.375,4.445,4.35,4.4,19999.999702,0
1996-01-15,D,Electrosteel Castings Ord Shs,4.4,4.4,4.375,4.4,25999.999613,1
1996-01-16,D,Electrosteel Castings Ord Shs,4.375,4.5,4.375,4.375,33999.999493,1
1996-01-17,D,Electrosteel Castings Ord Shs,4.375,4.5,4.15,4.4,265999.996036,0
1996-01-18,D,Electrosteel Castings Ord Shs,4.4,4.4,4.3,4.375,165999.997526,0
1996-01-19,D,Electrosteel Castings Ord Shs,4.325,4.5,4.3,4.3925,53999.999195,0
1996-01-22,D,Electrosteel Castings Ord Shs,4.35,4.35,4.3,4.3425,15999.999762,0
1996-01-23,D,Electrosteel Castings Ord Shs,4.3025,4.4,4.3025,4.4,23999.999642,0
1996-01-24,D,Electrosteel Castings Ord Shs,4.2875,4.3,4.275,4.3,11999.999821,0
1996-01-25,D,Electrosteel Castings Ord Shs,4.25,4.25,4.2,4.2,7999.999881,0
1996-01-29,D,Electrosteel Castings Ord Shs,4.2075,4.225,4.2075,4.225,3999.99994,0
1996-01-30,D,Electrosteel Castings Ord Shs,4.25,4.25,4.15,4.15,11999.999821,0
1996-02-01,D,Electrosteel Castings Ord Shs,4.3,4.3,4.3,4.3,1999.99997,1
1996-02-02,D,Electrosteel Castings Ord Shs,4.275,4.35,4.25,4.35,7999.999881,0
1996-02-05,D,Electrosteel Castings Ord Shs,4.3125,4.3125,4.3125,4.3125,1999.99997,1
1996-02-06,D,Electrosteel Castings Ord Shs,4.45,4.45,4.45,4.45,3999.99994,1
1996-02-07,D,Electrosteel Castings Ord Shs,4.3,4.3,4.3,4.3,1999.99997,1
1996-02-08,D,Electrosteel Castings Ord Shs,4.3,4.3,4.25,4.25,7999.999881,0
1996-02-09,D,Electrosteel Castings Ord Shs,4.3,4.3,4.3,4.3,1999.99997,1
1996-02-13,D,Electrosteel Castings Ord Shs,4.3,4.45,4.3,4.45,3999.99994,0
1996-02-15,D,Electrosteel Castings Ord Shs,4.25,4.25,4.25,4.25,1999.99997,1
1996-02-19,D,Electrosteel Castings Ord Shs,4.375,4.375,4.375,4.375,1999.99997,1
1996-02-20,D,Electrosteel Castings Ord Shs,4.35,4.5,4.35,4.4,9999.999851,0
1996-02-22,D,Electrosteel Castings Ord Shs,4.45,4.525,4.45,4.5,7999.999881,0
1996-02-23,D,Electrosteel Castings Ord Shs,4.6,4.6,4.6,4.6,1999.99997,1
1996-02-26,D,Electrosteel Castings Ord Shs,4.45,4.5,4.45,4.5,5999.999911,0
1996-02-27,D,Electrosteel Castings Ord Shs,4.3525,4.3525,4.3525,4.3525,1999.99997,1
1996-02-28,D,Electrosteel Castings Ord Shs,4.35,4.4,4.35,4.4,3999.99994,0
1996-03-04,D,Electrosteel Castings Ord Shs,4.4,4.4,4.25,4.25,5999.999911,0
1996-03-06,D,Electrosteel Castings Ord Shs,4.25,4.25,4.25,4.25,1999.99997,1
1996-03-07,D,Electrosteel Castings Ord Shs,4.25,4.3,4.25,4.3,5999.999911,0
1996-03-08,D,Electrosteel Castings Ord Shs,4.295,4.2975,4.295,4.2975,3999.99994,0
1996-03-11,D,Electrosteel Castings Ord Shs,4.25,4.25,4.25,4.25,3999.99994,1
1996-03-14,D,Electrosteel Castings Ord Shs,4.0,4.0,4.0,4.0,1999.99997,1
1996-03-15,D,Electrosteel Castings Ord Shs,4.0,4.0,4.0,4.0,1999.99997,1
1996-03-19,D,Electrosteel Castings Ord Shs,4.0625,4.1,4.05,4.1,5999.999911,0
1996-03-26,D,Electrosteel Castings Ord Shs,4.0,4.05,4.0,4.05,3999.99994,0
1996-03-27,D,Electrosteel Castings Ord Shs,4.0,4.0,4.0,4.0,5999.999911,1
1996-03-29,D,Electrosteel Castings Ord Shs,4.0,4.0,4.0,4.0,3999.99994,1
1996-04-01,D,Electrosteel Castings Ord Shs,4.0,4.0025,4.0,4.0,5999.999911,1
1996-04-02,D,Electrosteel Castings Ord Shs,4.0,4.4,4.0,4.25,13999.999791,0
1996-04-03,D,Electrosteel Castings Ord Shs,4.5,4.5,4.2,4.2,3999.99994,0
1996-04-10,D,Electrosteel Castings Ord Shs,4.4,4.4,4.4,4.4,5999.999911,1
1996-04-11,D,Electrosteel Castings Ord Shs,4.3,4.3,4.3,4.3,1999.99997,1
1996-04-16,D,Electrosteel Castings Ord Shs,4.175,4.2,4.175,4.2,3999.99994,0
