Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-04-28,D,Emkay Global Financial Services Ord Shs,129.492614,142.441875,110.56677,136.216269,6678169,0
2006-04-29,D,Emkay Global Financial Services Ord Shs,140.449681,163.459522,140.449681,152.65187,1768717,0
2006-05-02,D,Emkay Global Financial Services Ord Shs,156.387233,157.38333,143.039533,145.87841,1112178,0
2006-05-03,D,Emkay Global Financial Services Ord Shs,144.981922,148.717286,137.511195,138.855926,383205,0
2006-05-04,D,Emkay Global Financial Services Ord Shs,138.507292,142.192851,130.986759,132.4311,320967,0
2006-05-05,D,Emkay Global Financial Services Ord Shs,136.465293,136.465293,124.063885,125.75725,314377,0
2006-05-08,D,Emkay Global Financial Services Ord Shs,126.504323,134.373489,123.715251,130.638125,258174,0
2006-05-09,D,Emkay Global Financial Services Ord Shs,131.235783,131.982856,129.393004,129.691833,173772,0
2006-05-10,D,Emkay Global Financial Services Ord Shs,129.492614,135.967244,129.492614,130.488711,128259,0
2006-05-11,D,Emkay Global Financial Services Ord Shs,124.512129,133.477002,124.512129,129.542419,80532,0
2006-05-12,D,Emkay Global Financial Services Ord Shs,129.592223,131.783637,127.50042,128.94476,140154,0
2006-05-15,D,Emkay Global Financial Services Ord Shs,131.335393,131.484808,126.504323,127.251395,75405,0
2006-05-16,D,Emkay Global Financial Services Ord Shs,128.496517,128.94476,113.555061,127.649834,91652,0
2006-05-17,D,Emkay Global Financial Services Ord Shs,129.442809,130.389101,126.504323,127.251395,28950,0
2006-05-18,D,Emkay Global Financial Services Ord Shs,127.898858,129.442809,123.516032,125.358811,104391,0
2006-05-19,D,Emkay Global Financial Services Ord Shs,125.358811,125.358811,114.551158,117.041401,79146,0
2006-05-22,D,Emkay Global Financial Services Ord Shs,116.543352,119.282619,94.629218,114.700573,73575,0
2006-05-23,D,Emkay Global Financial Services Ord Shs,105.586285,111.463257,101.751311,109.769893,20142,0
2006-05-24,D,Emkay Global Financial Services Ord Shs,106.681992,111.562867,106.681992,109.819697,17420,0
2006-05-25,D,Emkay Global Financial Services Ord Shs,108.574576,108.574576,104.689798,105.486675,10378,0
2006-05-26,D,Emkay Global Financial Services Ord Shs,107.777698,111.562867,104.590188,109.720088,27949,0
2006-05-29,D,Emkay Global Financial Services Ord Shs,111.562867,111.562867,104.839212,106.383163,9451,0
2006-05-30,D,Emkay Global Financial Services Ord Shs,105.586285,114.551158,105.586285,109.769893,30527,0
2006-05-31,D,Emkay Global Financial Services Ord Shs,106.084334,106.532577,94.629218,103.594091,33113,0
2006-06-01,D,Emkay Global Financial Services Ord Shs,104.590188,106.283553,97.866533,100.356776,14003,0
2006-06-02,D,Emkay Global Financial Services Ord Shs,98.613606,100.6058,87.656538,93.184877,25089,0
2006-06-05,D,Emkay Global Financial Services Ord Shs,93.83234,94.629218,91.640927,92.736633,11685,0
2006-06-06,D,Emkay Global Financial Services Ord Shs,95.625315,95.625315,84.668247,85.41532,11652,0
2006-06-07,D,Emkay Global Financial Services Ord Shs,80.783469,87.457319,71.270742,72.466059,23670,0
2006-06-08,D,Emkay Global Financial Services Ord Shs,64.746307,68.730695,58.371286,60.413285,48643,0
2006-06-09,D,Emkay Global Financial Services Ord Shs,59.765822,72.117425,59.666212,68.830305,20755,0
2006-06-12,D,Emkay Global Financial Services Ord Shs,69.726792,71.718986,63.75021,64.995331,12530,0
2006-06-13,D,Emkay Global Financial Services Ord Shs,63.75021,63.75021,53.938654,59.666212,45403,0
2006-06-14,D,Emkay Global Financial Services Ord Shs,62.754113,65.742404,53.888849,58.022652,39589,0
2006-06-15,D,Emkay Global Financial Services Ord Shs,58.769725,68.232646,57.773628,64.148649,43396,0
2006-06-16,D,Emkay Global Financial Services Ord Shs,67.734598,67.734598,62.754113,64.298063,100340,0
2006-06-19,D,Emkay Global Financial Services Ord Shs,59.815627,66.738501,59.815627,65.642794,26497,0
