Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-09-21,D,Ems Ord Shs,282.05,291.0,268.0,279.9,20614554,0
2023-09-22,D,Ems Ord Shs,279.2,284.95,265.65,267.7,2502985,0
2023-09-25,D,Ems Ord Shs,267.65,269.25,247.0,252.65,1817299,0
2023-09-26,D,Ems Ord Shs,252.55,261.5,252.25,256.1,1153698,0
2023-09-27,D,Ems Ord Shs,257.0,258.65,246.5,248.6,963254,0
2023-09-28,D,Ems Ord Shs,250.0,271.4,248.7,259.1,3151085,0
2023-09-29,D,Ems Ord Shs,263.45,272.7,262.5,266.35,1339940,0
2023-10-03,D,Ems Ord Shs,268.25,292.2,267.5,287.5,3050026,0
2023-10-04,D,Ems Ord Shs,287.5,291.6,275.0,276.75,1614833,0
2023-10-05,D,Ems Ord Shs,279.5,304.4,278.15,304.4,2805736,0
2023-10-06,D,Ems Ord Shs,313.05,333.4,310.0,323.15,4343638,0
2023-10-09,D,Ems Ord Shs,320.0,332.85,308.0,312.05,2569485,0
2023-10-10,D,Ems Ord Shs,318.0,328.85,315.25,317.05,1092241,0
2023-10-11,D,Ems Ord Shs,320.0,326.75,315.0,322.9,808979,0
2023-10-12,D,Ems Ord Shs,331.8,334.7,322.05,325.35,1178824,0
2023-10-13,D,Ems Ord Shs,323.0,332.6,321.45,327.3,815527,0
2023-10-16,D,Ems Ord Shs,327.0,329.35,315.55,318.5,777368,0
2023-10-17,D,Ems Ord Shs,321.8,323.4,311.0,312.45,394259,0
2023-10-18,D,Ems Ord Shs,314.0,315.4,300.3,303.1,604581,0
2023-10-19,D,Ems Ord Shs,303.0,316.0,299.95,309.5,525995,0
2023-10-20,D,Ems Ord Shs,310.8,317.5,296.0,301.95,583740,0
2023-10-23,D,Ems Ord Shs,306.05,309.55,289.8,292.85,663204,0
2023-10-25,D,Ems Ord Shs,296.1,300.95,277.2,289.7,711579,0
2023-10-26,D,Ems Ord Shs,286.95,289.3,277.05,286.1,519697,0
2023-10-27,D,Ems Ord Shs,290.25,302.0,289.0,299.25,652535,0
2023-10-30,D,Ems Ord Shs,302.0,305.0,296.0,296.95,313010,0
2023-10-31,D,Ems Ord Shs,298.7,303.95,292.15,293.15,259887,0
2023-11-01,D,Ems Ord Shs,294.0,306.05,293.25,300.95,679904,0
2023-11-02,D,Ems Ord Shs,304.7,306.0,294.7,297.5,326889,0
2023-11-03,D,Ems Ord Shs,300.0,304.9,298.8,301.5,216904,0
2023-11-06,D,Ems Ord Shs,303.55,318.4,303.55,316.45,630252,0
2023-11-07,D,Ems Ord Shs,319.65,325.7,318.35,324.75,976226,0
2023-11-08,D,Ems Ord Shs,325.2,355.0,324.05,348.85,1804742,0
2023-11-09,D,Ems Ord Shs,352.75,361.8,345.65,351.05,1113617,0
2023-11-10,D,Ems Ord Shs,352.05,363.1,344.3,361.15,811042,0
2023-11-12,D,Ems Ord Shs,365.0,375.6,365.0,374.15,457771,0
2023-11-13,D,Ems Ord Shs,375.6,383.05,364.3,379.5,1243481,0
2023-11-15,D,Ems Ord Shs,417.45,417.45,405.0,417.45,1019506,1
2023-11-16,D,Ems Ord Shs,438.3,438.3,438.3,438.3,106696,1
2023-11-17,D,Ems Ord Shs,449.0,449.0,423.3,427.25,1499158,0
2023-11-20,D,Ems Ord Shs,429.4,431.9,409.1,411.95,405111,0
2023-11-21,D,Ems Ord Shs,415.95,432.5,413.3,432.5,265936,0
2023-11-22,D,Ems Ord Shs,442.8,454.1,438.55,454.1,805288,0
2023-11-23,D,Ems Ord Shs,460.0,476.8,436.1,456.95,1706804,0
2023-11-24,D,Ems Ord Shs,459.9,467.0,439.0,441.4,505970,0
2023-11-28,D,Ems Ord Shs,452.0,454.8,434.0,444.25,333680,0
2023-11-29,D,Ems Ord Shs,448.0,453.7,440.0,443.15,249969,0
2023-11-30,D,Ems Ord Shs,443.0,447.0,433.0,435.2,207337,0
2023-12-01,D,Ems Ord Shs,439.9,456.95,437.45,456.95,236922,0
2023-12-04,D,Ems Ord Shs,479.7,479.75,477.0,479.75,139344,0
2023-12-05,D,Ems Ord Shs,487.6,487.6,458.0,463.95,516761,0
2023-12-06,D,Ems Ord Shs,463.9,468.9,448.1,460.45,247631,0
2023-12-07,D,Ems Ord Shs,464.0,472.5,453.65,461.6,287021,0
2023-12-08,D,Ems Ord Shs,466.95,466.95,455.0,456.9,125811,0
2023-12-11,D,Ems Ord Shs,459.95,459.95,448.0,449.25,140171,0
2023-12-12,D,Ems Ord Shs,452.0,455.0,438.15,444.45,231317,0
2023-12-13,D,Ems Ord Shs,446.2,449.7,438.2,443.9,232212,0
2023-12-14,D,Ems Ord Shs,445.0,453.25,428.4,432.45,336660,0
2023-12-15,D,Ems Ord Shs,437.0,444.0,425.8,436.9,689448,0
2023-12-18,D,Ems Ord Shs,439.0,440.6,424.35,425.5,228361,0
2023-12-19,D,Ems Ord Shs,427.05,433.0,420.0,423.7,311292,0
2023-12-20,D,Ems Ord Shs,424.0,428.65,402.55,405.2,394842,0
2023-12-21,D,Ems Ord Shs,403.0,420.65,399.4,416.3,359260,0
2023-12-22,D,Ems Ord Shs,424.8,424.8,406.2,416.9,351214,0
2023-12-26,D,Ems Ord Shs,437.7,437.7,437.7,437.7,164177,1
2023-12-27,D,Ems Ord Shs,459.55,459.55,434.0,437.0,811817,0
2023-12-28,D,Ems Ord Shs,443.0,443.0,431.1,433.9,233714,0
2023-12-29,D,Ems Ord Shs,435.0,437.95,419.05,424.4,512279,0
2024-01-01,D,Ems Ord Shs,424.4,445.6,422.25,445.6,706265,0
2024-01-02,D,Ems Ord Shs,450.0,453.9,432.0,437.25,371716,0
2024-01-03,D,Ems Ord Shs,441.9,459.0,438.0,447.65,576239,0
2024-01-04,D,Ems Ord Shs,452.0,458.6,448.0,454.15,328593,0
2024-01-05,D,Ems Ord Shs,455.9,467.8,449.05,457.15,556865,0
2024-01-08,D,Ems Ord Shs,465.1,465.1,434.3,434.3,549837,0
2024-01-09,D,Ems Ord Shs,440.0,443.25,427.55,430.85,359939,0
2024-01-10,D,Ems Ord Shs,433.8,452.35,428.1,447.45,688012,0
2024-01-11,D,Ems Ord Shs,448.1,452.45,440.4,445.55,236798,0
2024-01-12,D,Ems Ord Shs,445.8,449.0,437.0,442.55,292981,0
2024-01-15,D,Ems Ord Shs,445.0,456.15,443.1,451.35,440637,0
2024-01-16,D,Ems Ord Shs,446.05,456.7,440.0,442.9,377489,0
2024-01-17,D,Ems Ord Shs,435.0,442.75,434.95,436.9,238143,0
2024-01-18,D,Ems Ord Shs,444.45,458.7,425.1,458.7,664777,0
2024-01-19,D,Ems Ord Shs,475.0,481.6,466.2,474.9,1583095,0
2024-01-20,D,Ems Ord Shs,477.95,482.0,464.05,465.85,193521,0
2024-01-23,D,Ems Ord Shs,479.9,480.0,446.0,450.25,386191,0
2024-01-24,D,Ems Ord Shs,458.55,458.55,445.0,453.15,282105,0
2024-01-25,D,Ems Ord Shs,455.0,468.0,450.0,455.9,151218,0
2024-01-29,D,Ems Ord Shs,463.0,478.65,459.0,478.65,410627,0
2024-01-30,D,Ems Ord Shs,485.05,502.55,485.05,502.55,560790,0
2024-01-31,D,Ems Ord Shs,524.0,527.65,518.15,527.65,421425,0
2024-02-01,D,Ems Ord Shs,554.0,554.0,513.45,544.6,1089361,0
2024-02-02,D,Ems Ord Shs,563.95,569.0,551.05,567.0,641126,0
2024-02-05,D,Ems Ord Shs,584.25,588.0,555.1,571.2,559371,0
2024-02-06,D,Ems Ord Shs,578.0,599.75,576.9,589.2,637165,0
2024-02-07,D,Ems Ord Shs,593.65,594.95,565.1,579.2,341115,0
2024-02-08,D,Ems Ord Shs,579.95,585.25,571.0,573.6,128853,0
2024-02-09,D,Ems Ord Shs,575.05,586.95,550.0,584.3,392876,0
2024-02-12,D,Ems Ord Shs,595.0,595.0,555.1,555.1,395899,0
2024-02-13,D,Ems Ord Shs,527.35,527.35,527.35,527.35,123178,1
2024-02-14,D,Ems Ord Shs,501.0,524.15,501.0,501.05,999376,0
2024-02-15,D,Ems Ord Shs,487.35,514.0,487.35,497.9,415681,0
2024-02-16,D,Ems Ord Shs,501.0,516.55,493.05,504.55,410289,0
2024-02-19,D,Ems Ord Shs,507.0,510.0,494.05,496.9,163883,0
2024-02-20,D,Ems Ord Shs,496.9,521.7,496.9,519.4,584639,0
2024-02-21,D,Ems Ord Shs,517.8,517.8,500.5,507.05,143589,0
2024-02-22,D,Ems Ord Shs,514.95,532.4,497.05,515.05,309243,0
2024-02-23,D,Ems Ord Shs,516.0,532.0,513.55,522.05,315600,0
2024-02-26,D,Ems Ord Shs,522.05,523.75,501.5,506.65,153435,0
2024-02-27,D,Ems Ord Shs,513.35,518.7,504.1,506.55,94983,0
2024-02-28,D,Ems Ord Shs,518.0,518.0,499.9,502.0,210077,0
2024-02-29,D,Ems Ord Shs,501.05,505.2,492.0,497.65,158399,0
2024-03-01,D,Ems Ord Shs,503.95,512.8,496.0,497.35,174896,0
2024-03-02,D,Ems Ord Shs,501.05,502.4,490.0,492.9,41434,0
2024-03-04,D,Ems Ord Shs,494.95,499.95,468.25,468.25,152536,0
2024-03-05,D,Ems Ord Shs,452.5,477.0,444.85,444.85,474303,0
2024-03-06,D,Ems Ord Shs,436.0,440.0,422.6,423.2,701115,0
2024-03-07,D,Ems Ord Shs,425.9,444.0,424.95,430.5,243284,0
2024-03-11,D,Ems Ord Shs,434.9,434.9,409.0,409.0,285876,0
2024-03-12,D,Ems Ord Shs,403.1,405.0,388.55,388.55,345335,0
2024-03-13,D,Ems Ord Shs,379.05,394.75,369.15,369.15,614439,0
2024-03-14,D,Ems Ord Shs,366.0,387.6,356.15,387.6,177486,0
2024-03-15,D,Ems Ord Shs,398.0,406.0,377.5,397.9,390741,0
2024-03-18,D,Ems Ord Shs,400.1,412.35,379.05,384.85,258804,0
2024-03-19,D,Ems Ord Shs,385.95,393.7,376.2,378.3,146274,0
2024-03-20,D,Ems Ord Shs,379.0,389.0,372.0,375.35,179787,0
2024-03-21,D,Ems Ord Shs,375.25,394.1,375.25,394.1,210137,0
2024-03-22,D,Ems Ord Shs,395.85,405.6,390.0,395.9,291130,0
2024-03-26,D,Ems Ord Shs,394.5,401.95,378.25,383.55,501778,0
2024-03-27,D,Ems Ord Shs,382.0,402.7,381.9,402.7,254682,0
2024-03-28,D,Ems Ord Shs,403.95,412.0,396.8,402.4,339693,0
2024-04-01,D,Ems Ord Shs,403.5,422.5,403.5,422.5,198104,0
2024-04-02,D,Ems Ord Shs,440.65,443.6,425.55,443.6,454354,0
2024-04-03,D,Ems Ord Shs,444.0,465.75,441.35,448.5,976970,0
2024-04-04,D,Ems Ord Shs,453.0,455.95,436.4,443.35,518828,0
2024-04-05,D,Ems Ord Shs,448.0,448.0,435.05,436.65,694346,0
2024-04-08,D,Ems Ord Shs,445.0,448.0,433.55,434.95,230268,0
2024-04-09,D,Ems Ord Shs,436.0,437.8,420.0,423.3,195741,0
2024-04-10,D,Ems Ord Shs,431.0,435.0,420.0,424.8,162851,0
2024-04-12,D,Ems Ord Shs,429.0,429.0,412.95,420.45,240581,0
2024-04-15,D,Ems Ord Shs,409.0,411.6,396.95,402.9,289667,0
2024-04-16,D,Ems Ord Shs,399.95,432.0,399.15,428.5,442208,0
2024-04-18,D,Ems Ord Shs,437.0,447.4,426.15,428.05,350255,0
2024-04-19,D,Ems Ord Shs,418.9,434.9,413.0,431.2,249114,0
2024-04-22,D,Ems Ord Shs,436.8,445.0,432.8,435.45,241378,0
2024-04-23,D,Ems Ord Shs,437.95,443.8,436.5,437.45,157355,0
2024-04-24,D,Ems Ord Shs,440.0,442.85,421.65,423.9,219118,0
2024-04-25,D,Ems Ord Shs,425.75,468.0,423.45,458.0,856961,0
2024-04-26,D,Ems Ord Shs,471.0,475.0,458.1,466.65,507219,0
2024-04-29,D,Ems Ord Shs,470.4,471.65,452.8,455.05,196423,0
2024-04-30,D,Ems Ord Shs,455.3,468.4,454.0,456.4,167387,0
2024-05-02,D,Ems Ord Shs,456.4,471.5,447.9,461.5,281499,0
2024-05-03,D,Ems Ord Shs,461.5,464.95,450.55,458.05,145350,0
2024-05-06,D,Ems Ord Shs,461.1,461.75,438.0,443.55,212798,0
2024-05-07,D,Ems Ord Shs,450.2,450.2,424.1,429.9,205491,0
2024-05-08,D,Ems Ord Shs,430.1,451.7,428.0,443.85,178285,0
2024-05-09,D,Ems Ord Shs,443.85,448.85,413.1,416.7,423837,0
2024-05-10,D,Ems Ord Shs,420.1,429.3,412.95,423.35,267637,0
2024-05-13,D,Ems Ord Shs,424.9,424.95,404.15,411.65,245814,0
2024-05-14,D,Ems Ord Shs,413.9,436.3,413.9,432.6,202534,0
2024-05-15,D,Ems Ord Shs,435.05,448.65,431.0,447.55,462743,0
2024-05-16,D,Ems Ord Shs,450.0,455.0,445.0,453.35,257448,0
2024-05-17,D,Ems Ord Shs,453.0,458.1,450.0,452.5,157548,0
2024-05-18,D,Ems Ord Shs,454.9,458.9,452.05,453.65,33855,0
2024-05-21,D,Ems Ord Shs,455.0,461.0,450.1,455.45,244377,0
2024-05-22,D,Ems Ord Shs,458.8,461.0,440.0,447.45,164362,0
2024-05-23,D,Ems Ord Shs,455.0,466.0,450.35,459.9,326433,0
2024-05-24,D,Ems Ord Shs,466.8,480.0,461.1,471.85,415421,0
2024-05-27,D,Ems Ord Shs,472.95,476.65,460.0,464.4,252639,0
2024-05-28,D,Ems Ord Shs,467.5,470.2,455.5,458.1,184720,0
2024-05-29,D,Ems Ord Shs,456.0,499.0,452.2,487.3,866814,0
2024-05-30,D,Ems Ord Shs,501.05,504.0,471.4,473.95,645731,0
2024-05-31,D,Ems Ord Shs,478.85,486.0,468.4,480.05,276785,0
2024-06-03,D,Ems Ord Shs,504.0,504.0,483.65,490.3,359556,0
2024-06-04,D,Ems Ord Shs,487.0,489.0,392.25,419.8,959839,0
2024-06-05,D,Ems Ord Shs,426.0,474.4,415.45,464.75,429471,0
2024-06-06,D,Ems Ord Shs,469.05,481.75,465.0,472.65,316496,0
2024-06-07,D,Ems Ord Shs,476.0,493.55,473.0,491.2,621114,0
2024-06-10,D,Ems Ord Shs,492.4,535.2,492.4,531.8,988764,0
2024-06-11,D,Ems Ord Shs,538.7,545.7,529.15,543.7,457348,0
2024-06-12,D,Ems Ord Shs,546.0,548.9,527.0,530.45,384692,0
2024-06-13,D,Ems Ord Shs,529.85,534.35,521.0,528.95,188066,0
2024-06-14,D,Ems Ord Shs,528.95,545.05,527.45,536.75,377162,0
2024-06-18,D,Ems Ord Shs,543.45,544.0,513.1,517.0,421246,0
2024-06-19,D,Ems Ord Shs,520.0,572.0,507.4,558.95,1599075,0
2024-06-20,D,Ems Ord Shs,564.6,568.9,549.85,555.9,494997,0
2024-06-21,D,Ems Ord Shs,560.05,560.9,545.35,556.5,276614,0
2024-06-24,D,Ems Ord Shs,556.5,589.35,546.0,579.1,1006268,0
2024-06-25,D,Ems Ord Shs,585.0,605.95,581.15,590.1,1199387,0
2024-06-26,D,Ems Ord Shs,600.0,653.5,586.1,641.25,3151501,0
2024-06-27,D,Ems Ord Shs,656.1,675.0,630.0,640.3,1630297,0
2024-06-28,D,Ems Ord Shs,650.0,651.95,635.0,642.95,586372,0
2024-07-01,D,Ems Ord Shs,646.0,684.0,646.0,679.6,1560046,0
2024-07-02,D,Ems Ord Shs,685.4,713.0,674.0,697.45,1590597,0
2024-07-03,D,Ems Ord Shs,708.0,708.0,661.15,667.1,704129,0
2024-07-04,D,Ems Ord Shs,671.0,679.95,654.3,656.65,479278,0
2024-07-05,D,Ems Ord Shs,658.95,695.7,658.0,683.95,537972,0
2024-07-08,D,Ems Ord Shs,684.0,685.0,663.15,676.55,293314,0
2024-07-09,D,Ems Ord Shs,676.7,683.0,659.7,674.55,266436,0
2024-07-10,D,Ems Ord Shs,676.9,684.0,641.15,656.1,481544,0
2024-07-11,D,Ems Ord Shs,659.7,664.15,637.8,641.9,327684,0
2024-07-12,D,Ems Ord Shs,643.0,663.05,641.75,653.7,221374,0
2024-07-15,D,Ems Ord Shs,691.0,699.0,674.5,682.7,1149029,0
2024-07-16,D,Ems Ord Shs,682.0,682.0,666.6,674.65,248446,0
2024-07-18,D,Ems Ord Shs,675.0,675.0,646.05,655.25,309228,0
2024-07-19,D,Ems Ord Shs,654.8,678.0,621.0,670.95,651429,0
2024-07-22,D,Ems Ord Shs,688.0,697.95,665.1,672.95,918126,0
2024-07-23,D,Ems Ord Shs,673.0,790.0,646.3,768.05,5894313,0
2024-07-24,D,Ems Ord Shs,778.0,817.5,761.25,789.85,2838117,0
2024-07-25,D,Ems Ord Shs,775.0,811.45,756.5,768.25,1409471,0
2024-07-26,D,Ems Ord Shs,777.4,874.0,775.95,842.8,3768195,0
2024-07-29,D,Ems Ord Shs,890.0,901.8,800.05,814.35,2491034,0
2024-07-30,D,Ems Ord Shs,819.5,854.0,811.0,846.35,1441984,0
2024-07-31,D,Ems Ord Shs,850.95,863.0,831.15,837.85,744624,0
2024-08-01,D,Ems Ord Shs,840.0,849.65,802.55,809.3,686868,0
2024-08-02,D,Ems Ord Shs,795.0,839.85,782.4,814.25,744933,0
2024-08-05,D,Ems Ord Shs,784.95,829.8,771.15,801.9,1393001,0
2024-08-06,D,Ems Ord Shs,820.7,844.95,796.25,804.35,839781,0
2024-08-07,D,Ems Ord Shs,826.0,836.7,810.0,824.05,684637,0
2024-08-08,D,Ems Ord Shs,820.0,892.0,820.0,858.9,2119263,0
2024-08-09,D,Ems Ord Shs,894.0,894.0,850.3,860.3,853409,0
2024-08-12,D,Ems Ord Shs,865.0,924.35,838.1,908.95,2227105,0
2024-08-13,D,Ems Ord Shs,918.9,935.0,851.65,866.7,1064287,0
2024-08-14,D,Ems Ord Shs,871.05,894.0,841.3,879.5,701696,0
