Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-08-16,D,EXXARO Tiles Ord Shs,12.6,13.23,12.6,13.23,46332329.309594,0
2021-08-17,D,EXXARO Tiles Ord Shs,12.725,13.19,12.72,12.805,8293939.876411,0
2021-08-18,D,EXXARO Tiles Ord Shs,12.51,12.805,12.165,12.2,14225229.788028,0
2021-08-20,D,EXXARO Tiles Ord Shs,12.2,12.39,12.0,12.295,7616129.886511,0
2021-08-23,D,EXXARO Tiles Ord Shs,12.51,12.58,12.2,12.205,2208719.967088,0
2021-08-24,D,EXXARO Tiles Ord Shs,12.2,12.4,12.2,12.245,3975169.940765,0
2021-08-25,D,EXXARO Tiles Ord Shs,12.2,12.5,12.2,12.385,2137399.96815,0
2021-08-26,D,EXXARO Tiles Ord Shs,12.3,12.6,12.3,12.48,2248039.966502,0
2021-08-27,D,EXXARO Tiles Ord Shs,12.5,13.1,12.5,13.1,5178089.92284,0
2021-08-30,D,EXXARO Tiles Ord Shs,13.755,13.755,13.755,13.755,940649.985983,1
2021-08-31,D,EXXARO Tiles Ord Shs,14.4,14.5,13.16,13.65,28096049.581336,0
2021-09-01,D,EXXARO Tiles Ord Shs,13.85,13.95,13.01,13.225,4874429.927365,0
2021-09-02,D,EXXARO Tiles Ord Shs,13.245,13.68,13.2,13.28,3684039.945104,0
2021-09-03,D,EXXARO Tiles Ord Shs,13.22,13.5,12.89,13.01,3164729.952842,0
2021-09-06,D,EXXARO Tiles Ord Shs,13.05,14.1,13.05,13.675,10642309.841417,0
2021-09-07,D,EXXARO Tiles Ord Shs,13.68,14.05,13.33,13.655,9443789.859277,0
2021-09-08,D,EXXARO Tiles Ord Shs,13.69,14.8,13.605,14.1,18578719.723156,0
2021-09-09,D,EXXARO Tiles Ord Shs,14.2,14.65,14.0,14.06,11201679.833082,0
2021-09-13,D,EXXARO Tiles Ord Shs,14.14,15.545,14.115,15.405,26332119.607621,0
2021-09-14,D,EXXARO Tiles Ord Shs,15.59,16.245,15.425,15.585,18009599.731636,0
2021-09-15,D,EXXARO Tiles Ord Shs,15.61,16.83,15.61,16.265,17454309.739911,0
2021-09-16,D,EXXARO Tiles Ord Shs,16.46,16.745,15.8,15.91,7941129.881668,0
2021-09-17,D,EXXARO Tiles Ord Shs,16.015,16.43,14.735,15.57,8458029.873966,0
2021-09-20,D,EXXARO Tiles Ord Shs,15.07,15.945,15.0,15.085,4256599.936572,0
2021-09-21,D,EXXARO Tiles Ord Shs,15.0,15.39,14.675,15.04,5679719.915366,0
2021-09-22,D,EXXARO Tiles Ord Shs,15.09,15.48,14.975,15.1,3635519.945827,0
2021-09-23,D,EXXARO Tiles Ord Shs,15.38,16.2,15.225,15.77,10944879.836909,0
2021-09-24,D,EXXARO Tiles Ord Shs,15.91,16.085,15.39,15.675,6394229.904719,0
2021-09-27,D,EXXARO Tiles Ord Shs,15.79,15.875,15.27,15.37,4264119.93646,0
2021-09-28,D,EXXARO Tiles Ord Shs,15.45,15.925,15.305,15.575,5871459.912508,0
2021-09-29,D,EXXARO Tiles Ord Shs,15.255,15.655,15.255,15.475,2683759.960009,0
2021-09-30,D,EXXARO Tiles Ord Shs,15.74,15.935,15.5,15.57,4510489.932788,0
2021-10-01,D,EXXARO Tiles Ord Shs,15.35,15.57,15.205,15.285,2341689.965106,0
2021-10-04,D,EXXARO Tiles Ord Shs,15.42,15.6,15.25,15.3,2707949.959648,0
2021-10-05,D,EXXARO Tiles Ord Shs,15.3,15.6,15.25,15.28,2650049.960511,0
2021-10-06,D,EXXARO Tiles Ord Shs,15.35,15.36,14.8,14.82,3417809.949071,0
2021-10-07,D,EXXARO Tiles Ord Shs,14.97,15.12,14.685,14.745,1973749.970589,0
2021-10-08,D,EXXARO Tiles Ord Shs,14.85,15.6,14.33,15.185,7181909.892981,0
2021-10-11,D,EXXARO Tiles Ord Shs,15.25,16.63,15.145,16.015,17014889.746458,0
2021-10-12,D,EXXARO Tiles Ord Shs,15.93,16.545,15.745,16.085,12828669.808838,0
2021-10-13,D,EXXARO Tiles Ord Shs,16.125,16.55,15.7,15.965,7365179.89025,0
2021-10-14,D,EXXARO Tiles Ord Shs,16.065,16.125,15.72,15.76,2853339.957482,0
